t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0657222,0,0.740229,0,0.0707831,0.0186918,-0.997317,0,0,0,0.5,DISABLED,0
0.0399988,0.000473507,0.000188618,0.056826,0.00190395,0.740217,0.0020716,0.0726871,0.0195341,-0.997163,0.000879139,0,0,0.5,DISABLED,0
0.0599988,0.000992477,0.000781156,0.0496621,0.00294522,0.740217,0.00325724,0.0737283,0.0200827,-0.997076,0.00176691,0,0,0.5,DISABLED,0
0.0799987,0.00105993,0.00198463,0.103818,0.00557208,0.740276,0.00611816,0.0763552,0.0211774,-0.996856,0.0021321,0,0,0.5,DISABLED,0
0.0999987,0.000814907,0.00356225,0.103856,0.00850244,0.740335,0.009174,0.0792855,0.0220793,-0.996607,0.00308888,0,0,0.5,DISABLED,0
0.119999,0.00076326,0.00562459,0.0823551,0.00972767,0.740212,0.0102248,0.0805108,0.0217451,-0.996517,0.00737239,0,0,0.5,DISABLED,0
0.139999,0.000845417,0.00822985,0.0632748,0.00924978,0.739926,0.00950586,0.0800329,0.020742,-0.996576,0.0117346,0,0,0.5,DISABLED,0
0.159999,0.000612244,0.0107423,0.0446578,0.00910559,0.739683,0.00929022,0.0798887,0.0169867,-0.996659,0.0149841,0,0,0.5,DISABLED,0
0.179999,6.11693e-05,0.0139493,0.0321825,0.00966296,0.739764,0.0102656,0.0804461,0.0152828,-0.996642,0.014293,0,0,0.5,DISABLED,0
0.199999,-0.000359535,0.0177401,0.0864132,0.00969797,0.740413,0.00993509,0.0804811,0.0166291,-0.996617,0.0126199,0,0,0.5,DISABLED,0
0.219999,-0.000555359,0.0205966,0.123558,0.00942719,0.741388,0.0125538,0.0802103,0.0104163,-0.996724,0.0134036,0,0,0.5,DISABLED,0
0.239999,-0.000814892,0.0238849,0.134197,0.00991436,0.742673,0.021543,0.0806975,-0.000426164,-0.996739,0.0166361,0,0,0.5,DISABLED,0
0.259999,-0.000880837,0.0272005,0.11057,0.00995275,0.743451,0.0282791,0.0807359,-0.0077705,-0.996705,0.0188324,0,0,0.5,DISABLED,0
