t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0366744,0,0.74146,0,0.0973134,-0.00865676,-0.995216,0,0,0.3,0,DISABLED,0
0.0399988,0.00381045,0.00190633,0.169773,-0.00873258,0.740298,0.00884318,0.0885808,-0.00749449,-0.996041,0.00599079,0,0.3,0,DISABLED,0
0.0599988,0.00705358,0.0029002,0.242436,-0.0127441,0.739771,0.0129142,0.0845693,-0.00695615,-0.996393,0.00736251,0,0.3,0,DISABLED,0
0.0799987,0.0100939,0.00350058,0.17876,-0.0137759,0.739421,0.0138582,0.0835375,-0.00786397,-0.996474,0.00704625,0,0.3,0,DISABLED,0
0.0999987,0.0122604,0.00411998,0.133196,-0.0143259,0.739176,0.0148346,0.0829875,-0.0122896,-0.996475,0.00340234,0,0.3,0,DISABLED,0
0.119999,0.0149489,0.00552434,0.0994962,-0.0169356,0.738507,0.0191867,0.0803778,-0.0175618,-0.99661,-0.00343711,0,0.3,0,DISABLED,0
0.139999,0.0168835,0.00742628,0.112321,-0.0176343,0.737504,0.0205285,0.0796791,-0.0190715,-0.996638,-0.00885887,0,0.3,0,DISABLED,0
0.159999,0.0181882,0.00968216,0.149657,-0.0163396,0.73666,0.0190714,0.0809738,-0.0184,-0.996546,-0.0130133,0,0.3,0,DISABLED,0
0.179999,0.0194477,0.0129391,0.173243,-0.013339,0.736107,0.0164104,0.0839744,-0.0181522,-0.996303,-0.0158725,0,0.3,0,DISABLED,0
0.199999,0.0202529,0.0160309,0.184942,-0.00868508,0.736136,0.0139696,0.0886283,-0.0195758,-0.995872,-0.0177343,0,0.3,0,DISABLED,0
0.219999,0.0210142,0.019991,0.188214,-0.00276723,0.736655,0.013914,0.0945462,-0.0222948,-0.995271,-0.0190538,0,0.3,0,DISABLED,0
0.239999,0.0216529,0.0245252,0.182906,0.00415821,0.737548,0.0172877,0.101472,-0.0254226,-0.994514,-0.0190468,0,0.3,0,DISABLED,0
0.259999,0.0223548,0.0297829,0.160984,0.0108276,0.738596,0.0224375,0.108141,-0.0282524,-0.993734,-0.0180021,0,0.3,0,DISABLED,0
0.279999,0.0230715,0.0359779,0.127157,0.0169934,0.739634,0.026368,0.114307,-0.0286952,-0.993031,-0.0155631,0,0.3,0,DISABLED,0
0.299999,0.0238333,0.043072,0.0950775,0.0228818,0.740533,0.0305822,0.120195,-0.0287405,-0.992334,-0.0102576,0,0.3,0,DISABLED,0
0.319999,0.0245569,0.0510313,0.0844236,0.0279171,0.741164,0.0347453,0.12523,-0.0290383,-0.991703,-0.00381665,0,0.3,0,DISABLED,0
0.339998,0.0252082,0.0600735,0.079959,0.0322024,0.741208,0.0366524,0.129516,-0.0257007,-0.991244,0.00191381,0,0.3,0,DISABLED,0
0.359998,0.0258837,0.0713595,0.0607044,0.0362974,0.740054,0.0368891,0.133611,-0.0136426,-0.99094,0.00835195,0,0.3,0,DISABLED,0
0.379998,0.026706,0.0803608,0.0182899,0.0370834,0.739893,0.0383036,0.134397,-0.017146,-0.990779,0.0127627,0,0.3,0,DISABLED,0
0.399998,0.0281292,0.0893027,-0.0375637,0.0347148,0.739626,0.0352004,0.132028,-0.0128186,-0.991163,0.0146109,0,0.3,0,DISABLED,0
0.419998,0.0296044,0.0969865,-0.0542807,0.0305423,0.738456,0.034115,0.127856,0.00614098,-0.991774,0.0226127,0,0.3,0,DISABLED,0
0.439998,0.0310161,0.104019,-0.0459499,0.0280621,0.737862,0.033631,0.125375,0.00960631,-0.992063,0.0237614,0,0.3,0,DISABLED,0
0.459998,0.0324469,0.109617,0.0330504,0.0257489,0.738814,0.0315531,0.123062,0.00935371,-0.992355,0.0238272,0,0.3,0,DISABLED,0
0.479998,0.0347787,0.116116,0.0552144,0.0201328,0.739916,0.0313674,0.117446,0.0152886,-0.992962,0.0255726,0,0.3,0,DISABLED,0
0.499998,0.0369322,0.121243,0.0520999,0.0148765,0.740354,0.0310523,0.11219,0.0185449,-0.993514,0.0261608,0,0.3,0,DISABLED,0
0.519998,0.0391637,0.125539,0.0447744,0.00982706,0.740312,0.0280442,0.10714,0.0175829,-0.994088,0.0279741,0,0.3,0,DISABLED,0
0.539998,0.041485,0.129288,0.0375633,0.00484434,0.739963,0.0230223,0.102158,0.0138454,-0.994672,0.0309367,0,0.3,0,DISABLED,0
0.559998,0.0438179,0.132844,0.0299609,-0.000203304,0.73945,0.0176393,0.0971101,0.00897976,-0.995233,0.0333874,0,0.3,0,DISABLED,0
0.579998,0.0461439,0.136419,0.0283256,-0.00546139,0.738908,0.0142484,0.091852,0.00449063,-0.995763,0.0355991,0,0.3,0,DISABLED,0
0.599998,0.0487031,0.140347,0.0302212,-0.0113661,0.738356,0.0144849,0.0859473,0.000255525,-0.9963,0.0379543,0,0.3,0,DISABLED,0
0.619998,0.0508067,0.143521,0.0317056,-0.0159967,0.737956,0.017177,0.0813167,-0.00258072,-0.996685,0.0402145,0,0.3,0,DISABLED,0
0.639998,0.0532057,0.146937,0.0267953,-0.0209799,0.737458,0.021242,0.0763335,-0.00589917,-0.997065,0.0429712,0,0.3,0,DISABLED,0
0.659998,0.0556931,0.150156,0.0282905,-0.025964,0.736759,0.0260793,0.0713494,-0.00967362,-0.997404,0.0468294,0,0.3,0,DISABLED,0
0.679998,0.0588629,0.153873,0.0565025,-0.0328377,0.736392,0.0330084,0.0644757,-0.00665433,-0.997897,0.0561518,0,0.3,0,DISABLED,0
0.699998,0.0615064,0.156892,0.0810716,-0.0374691,0.736183,0.0382273,0.0598443,-0.00171254,-0.998206,0.0608829,0,0.3,0,DISABLED,0
0.719998,0.064138,0.159994,0.10139,-0.0397994,0.735582,0.041314,0.057514,0.00196083,-0.998343,0.0643057,0,0.3,0,DISABLED,0
0.739998,0.0666778,0.162641,0.120713,-0.0407651,0.734256,0.0419726,0.0565483,0.000803792,-0.9984,0.0674465,0,0.3,0,DISABLED,0
0.759998,0.0691312,0.166091,0.159667,-0.0420206,0.733515,0.0455216,0.0552928,0.00853892,-0.998434,0.0696265,0,0.3,0,DISABLED,0
0.779998,0.0718585,0.169675,0.168491,-0.0431249,0.733943,0.0484407,0.0541885,0.0131583,-0.998444,0.0704116,0,0.3,0,DISABLED,0
0.799998,0.0737899,0.172136,0.167293,-0.0423362,0.734895,0.0462338,0.0549772,0.00962983,-0.998441,0.0734577,0,0.3,0,DISABLED,0
0.819998,0.0757132,0.175045,0.16434,-0.0405931,0.736141,0.042412,0.0567203,0.00320438,-0.998385,0.0773058,0,0.3,0,DISABLED,0
0.839998,0.0774405,0.178395,0.160717,-0.0385226,0.73731,0.0390635,0.0587908,-0.00296174,-0.998266,0.0809701,0,0.3,0,DISABLED,0
0.859998,0.0789686,0.182264,0.149792,-0.0364825,0.738293,0.0366052,0.0608309,-0.00806119,-0.998116,0.0844151,0,0.3,0,DISABLED,0
0.879998,0.0803906,0.187286,0.126346,-0.0345996,0.739144,0.0348652,0.0627138,-0.0119541,-0.99796,0.0876058,0,0.3,0,DISABLED,0
0.899998,0.0813745,0.192092,0.0920381,-0.0335607,0.739744,0.034045,0.0637527,-0.013722,-0.997871,0.0902116,0,0.3,0,DISABLED,0
0.919998,0.0821445,0.198114,0.0858345,-0.0320496,0.740388,0.0328436,0.0652638,-0.015364,-0.99775,0.0925622,0,0.3,0,DISABLED,0
0.939998,0.0825285,0.204813,0.0991309,-0.0295582,0.740965,0.03073,0.0677552,-0.0167248,-0.997562,0.0954251,0,0.3,0,DISABLED,0
0.959998,0.0826683,0.212213,0.106779,-0.0264316,0.741361,0.0277514,0.0708818,-0.0168344,-0.997343,0.099327,0,0.3,0,DISABLED,0
0.979998,0.0826988,0.221159,0.10451,-0.0228389,0.741341,0.0234228,0.0744745,-0.0134799,-0.997132,0.104581,0,0.3,0,DISABLED,0
0.999998,0.0829065,0.229211,0.0914623,-0.0208763,0.74109,0.0211774,0.0764371,-0.0117372,-0.997005,0.107508,0,0.3,0,DISABLED,0
1.02,0.083586,0.235834,0.0442922,-0.0214756,0.741252,0.0225144,0.0758378,-0.015166,-0.997005,0.107221,0,0.3,0,DISABLED,0
1.04,0.08411,0.243019,0.024846,-0.0210699,0.741031,0.0212981,0.0762434,-0.0111905,-0.997026,0.108254,0,0.3,0,DISABLED,0
1.06,0.0850957,0.250202,-0.00950733,-0.0221812,0.740063,0.0239363,0.0751322,0.000119948,-0.997174,0.112747,0,0.3,0,DISABLED,0
1.08,0.0864048,0.255151,-0.00277412,-0.0243409,0.739024,0.0302549,0.0729725,0.00918943,-0.997292,0.117354,0,0.3,0,DISABLED,0
1.1,0.088288,0.259576,0.0364129,-0.0269871,0.738841,0.0323111,0.0703263,0.00896388,-0.997484,0.118872,0,0.3,0,DISABLED,0
1.12,0.0906198,0.26438,0.0605388,-0.0295673,0.739158,0.035334,0.0677461,0.010531,-0.997647,0.119289,0,0.3,0,DISABLED,0
1.14,0.0925422,0.268094,0.0695064,-0.0304191,0.739334,0.0362122,0.0668943,0.0108272,-0.997701,0.11949,0,0.3,0,DISABLED,0
1.16,0.0947312,0.271922,0.0739987,-0.0305591,0.739304,0.0352799,0.0667543,0.00878823,-0.997731,0.119868,0,0.3,0,DISABLED,0
1.18,0.0969766,0.275589,0.0718686,-0.0305533,0.739097,0.0336399,0.0667601,0.00518083,-0.997756,0.11968,0,0.3,0,DISABLED,0
