t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.243134,0,0.739493,0,0.0792483,0.000417557,-0.996855,0,0,-0.3,0,DISABLED,0
0.0399988,0.00278896,0.00075002,0.183477,-0.00148492,0.739215,0.00165584,0.0777634,-0.00041348,-0.996972,0.00076079,0,-0.3,0,DISABLED,0
0.0599988,0.00552619,0.00166453,0.0708365,-0.00416651,0.739058,0.00543728,0.0750818,-0.00306136,-0.997173,-0.00252067,0,-0.3,0,DISABLED,0
0.0799987,0.00897691,0.00342001,-0.0168772,-0.00840169,0.738647,0.00960566,0.0708466,-0.0042012,-0.997478,-0.0109788,0,-0.3,0,DISABLED,0
0.0999987,0.0105949,0.00555431,0.080723,-0.00608854,0.737885,0.00614731,0.0731598,0.00109544,-0.99732,-0.0174864,0,-0.3,0,DISABLED,0
0.119999,0.0116027,0.00808674,0.0929756,-0.002621,0.736487,0.00772042,0.0766273,0.00768016,-0.99703,-0.023284,0,-0.3,0,DISABLED,0
0.139999,0.0126543,0.0098481,0.0932322,-0.00154448,0.735534,0.00662338,0.0777038,0.00686191,-0.996953,-0.027774,0,-0.3,0,DISABLED,0
0.159999,0.0138604,0.0123776,0.0660311,-0.00145724,0.734861,0.00650534,0.0777911,0.00676019,-0.996947,-0.0335265,0,-0.3,0,DISABLED,0
0.179999,0.0149174,0.0154346,0.0835212,-0.00130616,0.734747,0.00822144,0.0779421,0.00853553,-0.996921,-0.040515,0,-0.3,0,DISABLED,0
0.199999,0.0159531,0.0185701,0.123282,0.000779405,0.735409,0.00709271,0.0800277,0.00747694,-0.996765,-0.0441097,0,-0.3,0,DISABLED,0
0.219999,0.0167638,0.0214991,0.137061,0.00604836,0.736492,0.00644088,0.0852967,0.00258845,-0.996352,-0.0454153,0,-0.3,0,DISABLED,0
0.239999,0.0178559,0.0257796,0.12168,0.0127462,0.737953,0.0133052,0.0919945,-0.00324926,-0.995754,-0.0456437,0,-0.3,0,DISABLED,0
0.259999,0.0188649,0.030047,0.0821797,0.017858,0.738859,0.0191525,0.0971064,-0.0063166,-0.995254,-0.0449849,0,-0.3,0,DISABLED,0
0.279999,0.0202812,0.0363024,0.0425166,0.0228045,0.739321,0.0241298,0.102053,-0.00719226,-0.994753,-0.0427243,0,-0.3,0,DISABLED,0
0.299999,0.021752,0.043222,0.00458267,0.0255949,0.738801,0.0261751,0.104843,-0.00451447,-0.994479,-0.0407876,0,-0.3,0,DISABLED,0
0.319999,0.0232317,0.0513957,-0.0162911,0.0274016,0.736993,0.027745,0.10665,0.00393947,-0.994289,-0.0394348,0,-0.3,0,DISABLED,0
0.339998,0.0248014,0.0586145,-0.0473655,0.0273411,0.736278,0.0276071,0.106589,-0.00243309,-0.9943,-0.0373022,0,-0.3,0,DISABLED,0
0.359998,0.0267632,0.0664032,-0.0777308,0.0243396,0.736051,0.0245995,0.103588,0.00321182,-0.994615,-0.0422235,0,-0.3,0,DISABLED,0
0.379998,0.028608,0.0742056,-0.0597273,0.0226223,0.735255,0.0300354,0.101871,0.0200434,-0.994596,-0.0467182,0,-0.3,0,DISABLED,0
0.399998,0.0303409,0.0795322,-0.0490434,0.0208417,0.735367,0.0290937,0.10009,0.0206104,-0.994765,-0.051942,0,-0.3,0,DISABLED,0
0.419998,0.032722,0.0849372,-0.0176105,0.0174219,0.736751,0.0272769,0.0966702,0.0213319,-0.995088,-0.0542311,0,-0.3,0,DISABLED,0
0.439998,0.0348017,0.0891971,-0.00533837,0.013291,0.737844,0.0294035,0.0925393,0.0266014,-0.995354,-0.05549,0,-0.3,0,DISABLED,0
0.459998,0.0373462,0.0935795,0.0042266,0.00756785,0.738598,0.0308906,0.0868162,0.0303464,-0.995762,-0.0573362,0,-0.3,0,DISABLED,0
0.479998,0.0396067,0.0965252,0.0117044,0.00279086,0.738667,0.0291204,0.0820392,0.0293964,-0.996195,-0.0579573,0,-0.3,0,DISABLED,0
0.499998,0.0418778,0.0985391,0.0179358,-0.00147029,0.738325,0.0247806,0.077778,0.0251536,-0.996653,-0.0571197,0,-0.3,0,DISABLED,0
0.519998,0.0442152,0.099877,0.0159017,-0.00563999,0.737723,0.0192549,0.0736083,0.0188282,-0.997109,-0.0557318,0,-0.3,0,DISABLED,0
0.539998,0.0466101,0.100769,0.00584367,-0.0099477,0.736985,0.0153558,0.0693006,0.0120995,-0.997522,-0.0544077,0,-0.3,0,DISABLED,0
0.559998,0.0489886,0.101376,-0.000484675,-0.0142957,0.736232,0.0153169,0.0649526,0.00582951,-0.997871,-0.0542461,0,-0.3,0,DISABLED,0
0.579998,0.0513942,0.101784,0.00138056,-0.0186454,0.735597,0.0186958,0.0606029,0.000873934,-0.998162,-0.0542354,0,-0.3,0,DISABLED,0
0.599998,0.0538714,0.101966,0.00582722,-0.0227718,0.735154,0.023043,0.0564765,-0.00273698,-0.9984,-0.054487,0,-0.3,0,DISABLED,0
0.619998,0.0564376,0.101897,0.0106599,-0.0263383,0.734899,0.0270443,0.05291,-0.00547587,-0.998584,-0.0550165,0,-0.3,0,DISABLED,0
0.639998,0.058826,0.101621,0.0186545,-0.0289365,0.7348,0.0300532,0.0503118,-0.00747702,-0.998706,-0.0559676,0,-0.3,0,DISABLED,0
0.659998,0.0618432,0.100933,0.038531,-0.0312073,0.734777,0.0327727,0.048041,-0.00939636,-0.998801,-0.0571188,0,-0.3,0,DISABLED,0
0.679998,0.0648576,0.0998632,0.0747638,-0.0330835,0.734904,0.0344091,0.0461648,-0.00880773,-0.998895,-0.0574042,0,-0.3,0,DISABLED,0
0.699998,0.0678995,0.0985042,0.103276,-0.03358,0.735201,0.0341534,0.0456683,-0.00545499,-0.998942,-0.0589459,0,-0.3,0,DISABLED,0
0.719998,0.0704646,0.0971242,0.124954,-0.0323223,0.735629,0.0324032,0.046926,-0.000567074,-0.998898,-0.0612124,0,-0.3,0,DISABLED,0
0.739998,0.0733937,0.0950477,0.134113,-0.0294344,0.736241,0.0298622,0.0498139,0.00508707,-0.998746,-0.0655008,0,-0.3,0,DISABLED,0
0.759998,0.0758728,0.0927391,0.13625,-0.0263456,0.736666,0.0274164,0.0529027,0.00780332,-0.998569,-0.0699671,0,-0.3,0,DISABLED,0
0.779998,0.0780522,0.0904242,0.119451,-0.0240424,0.736681,0.0248742,0.0552059,0.00659204,-0.998453,-0.073504,0,-0.3,0,DISABLED,0
0.799998,0.0806042,0.0884032,0.103852,-0.0236093,0.736725,0.0251483,0.055639,0.00894158,-0.998411,-0.076322,0,-0.3,0,DISABLED,0
0.819998,0.0832847,0.0869156,0.123017,-0.0243253,0.737345,0.0265325,0.054923,0.010895,-0.998431,-0.0799634,0,-0.3,0,DISABLED,0
0.839998,0.0860831,0.0854795,0.12394,-0.0254302,0.738198,0.0265908,0.0538181,0.00800637,-0.998519,-0.0837231,0,-0.3,0,DISABLED,0
0.859998,0.0885089,0.0846919,0.0914918,-0.0266301,0.738742,0.0272791,0.0526182,0.0060687,-0.998596,-0.0848886,0,-0.3,0,DISABLED,0
0.879998,0.0906658,0.0844636,0.0568115,-0.0281909,0.739044,0.0286872,0.0510574,0.00541305,-0.998681,-0.0856439,0,-0.3,0,DISABLED,0
0.899998,0.0932695,0.0846402,0.0450484,-0.0302115,0.739336,0.0306348,0.0490368,0.00510435,-0.998784,-0.0860514,0,-0.3,0,DISABLED,0
0.919998,0.0954556,0.085237,0.0605872,-0.0313856,0.739496,0.031779,0.0478627,0.0049932,-0.998841,-0.0865628,0,-0.3,0,DISABLED,0
0.939998,0.0973443,0.0861091,0.0825911,-0.0315483,0.739498,0.032035,0.0477,0.00561543,-0.998846,-0.086657,0,-0.3,0,DISABLED,0
0.959998,0.100053,0.0874269,0.0966754,-0.0327669,0.739398,0.0333623,0.0464814,0.00634778,-0.998899,-0.0899142,0,-0.3,0,DISABLED,0
0.979998,0.103215,0.0883989,0.0401182,-0.0352861,0.739591,0.03543,0.0439622,0.00272354,-0.999029,-0.0963969,0,-0.3,0,DISABLED,0
0.999998,0.106107,0.0892545,0.0366064,-0.0340261,0.739833,0.0341883,0.0452222,-0.00211973,-0.998975,-0.100573,0,-0.3,0,DISABLED,0
