t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.229985,0,0.73878,0,0.0793364,0.00399425,-0.99684,0,-0.25,0.2,0,DISABLED,0
0.0399988,0.00255843,0.000767976,0.156159,0.000707291,0.738569,0.00138107,0.0800437,0.00282867,-0.996787,0.00248269,-0.25,0.2,0,DISABLED,0
0.0599988,0.005541,0.00214787,0.0381384,-0.00109224,0.738432,0.00399676,0.0782442,0.000147471,-0.996934,-0.00202748,-0.25,0.2,0,DISABLED,0
0.0799987,0.00816628,0.00397474,0.00411266,-0.00158478,0.738132,0.00387561,0.0777517,0.000470758,-0.996973,-0.0078944,-0.25,0.2,0,DISABLED,0
0.0999987,0.00937483,0.00591832,0.0912908,0.00201604,0.737737,0.00210018,0.0813525,0.00351459,-0.996679,-0.0127905,-0.25,0.2,0,DISABLED,0
0.119999,0.0103479,0.00901029,0.107899,0.00625105,0.736596,0.0077127,0.0855875,0.00846629,-0.996295,-0.0162743,-0.25,0.2,0,DISABLED,0
0.139999,0.0114419,0.0115571,0.125768,0.00792243,0.73551,0.00803073,0.0872589,0.00285352,-0.996182,-0.0178949,-0.25,0.2,0,DISABLED,0
0.159999,0.01243,0.0150144,0.164993,0.00971019,0.734897,0.0104554,0.0890466,0.000214669,-0.996027,-0.021814,-0.25,0.2,0,DISABLED,0
0.179999,0.0128526,0.0192837,0.178679,0.016633,0.735332,0.0180336,0.0959695,-0.00282109,-0.99538,-0.0231497,-0.25,0.2,0,DISABLED,0
0.199999,0.0129138,0.0230337,0.180764,0.0248825,0.73644,0.0278115,0.104219,-0.00820865,-0.99452,-0.0229415,-0.25,0.2,0,DISABLED,0
0.219999,0.0130351,0.027802,0.172898,0.0340954,0.738179,0.0395157,0.113432,-0.0156811,-0.993422,-0.02189,-0.25,0.2,0,DISABLED,0
0.239999,0.0132153,0.0335693,0.146086,0.0422763,0.740208,0.0490729,0.121613,-0.0205089,-0.992366,-0.0197589,-0.25,0.2,0,DISABLED,0
0.259999,0.0134729,0.0403718,0.0994112,0.0487259,0.742192,0.0557184,0.128062,-0.0224848,-0.991511,-0.015913,-0.25,0.2,0,DISABLED,0
0.279999,0.0137646,0.048166,0.0512878,0.0537703,0.743734,0.0605108,0.133107,-0.0230814,-0.990833,-0.00902188,-0.25,0.2,0,DISABLED,0
0.299999,0.0140195,0.0561481,0.0110429,0.0573933,0.744435,0.0634036,0.13673,-0.0221336,-0.990361,-0.00169493,-0.25,0.2,0,DISABLED,0
0.319999,0.0141423,0.0677428,-0.013136,0.060927,0.743841,0.0635295,0.140263,-0.0126242,-0.990034,0.00506325,-0.25,0.2,0,DISABLED,0
0.339998,0.0138293,0.0785726,0.00769123,0.0644498,0.742578,0.0658684,0.143786,-0.00742925,-0.989581,0.0110404,-0.25,0.2,0,DISABLED,0
0.359998,0.0141314,0.088404,-0.0315362,0.0634394,0.742605,0.0657333,0.142776,-0.011614,-0.989687,0.0117252,-0.25,0.2,0,DISABLED,0
0.379998,0.0148836,0.0995925,-0.0641004,0.0591312,0.741774,0.0595371,0.138468,0.00622132,-0.990347,0.0143394,-0.25,0.2,0,DISABLED,0
0.399998,0.0155763,0.108907,-0.0522644,0.0559808,0.740234,0.0595751,0.135317,0.023343,-0.990527,0.0166396,-0.25,0.2,0,DISABLED,0
0.419998,0.0166529,0.11528,-0.0211509,0.0518414,0.740603,0.0550226,0.131178,0.0214998,-0.991126,0.0172129,-0.25,0.2,0,DISABLED,0
0.439998,0.0181998,0.121871,0.00192404,0.0449841,0.741563,0.0497068,0.124321,0.0245492,-0.991938,0.0178776,-0.25,0.2,0,DISABLED,0
0.459998,0.0196513,0.127821,0.0115763,0.0378095,0.742097,0.0458791,0.117146,0.0296367,-0.992672,0.0177521,-0.25,0.2,0,DISABLED,0
0.479998,0.0211011,0.133085,0.010874,0.0314788,0.742005,0.0408101,0.110815,0.0297337,-0.993396,0.0178074,-0.25,0.2,0,DISABLED,0
0.499998,0.0222899,0.136481,0.00635368,0.0259337,0.741527,0.0332764,0.10527,0.0246663,-0.994138,0.0192055,-0.25,0.2,0,DISABLED,0
0.519998,0.0236707,0.139633,0.000667572,0.0207388,0.74073,0.0242481,0.100075,0.0163993,-0.994845,0.022046,-0.25,0.2,0,DISABLED,0
0.539998,0.0250261,0.142509,-0.00904202,0.0157255,0.739761,0.0160542,0.095062,0.00689395,-0.995447,0.0251477,-0.25,0.2,0,DISABLED,0
0.559998,0.0262842,0.145335,-0.00805947,0.0107912,0.738744,0.0125869,0.0901276,-0.00241495,-0.995927,0.0276875,-0.25,0.2,0,DISABLED,0
0.579998,0.0274902,0.148114,-0.000595242,0.00578478,0.737807,0.0156099,0.0851212,-0.0104916,-0.996315,0.0305014,-0.25,0.2,0,DISABLED,0
0.599998,0.0286508,0.150802,0.00783351,0.000881225,0.736997,0.0212336,0.0802177,-0.0172181,-0.996629,0.0337935,-0.25,0.2,0,DISABLED,0
0.619998,0.0297876,0.153379,0.0163975,-0.00364444,0.73631,0.0273446,0.075692,-0.023103,-0.996864,0.0371278,-0.25,0.2,0,DISABLED,0
0.639998,0.0308707,0.155883,0.0197016,-0.0074679,0.735721,0.0330481,0.0718685,-0.0281976,-0.997015,0.0409359,-0.25,0.2,0,DISABLED,0
0.659998,0.0321925,0.15852,0.0333145,-0.0120099,0.735745,0.0334301,0.0673265,-0.0271968,-0.99736,0.0469195,-0.25,0.2,0,DISABLED,0
0.679998,0.0335999,0.161035,0.0556135,-0.0156876,0.73614,0.0314566,0.0636488,-0.023255,-0.997701,0.0513643,-0.25,0.2,0,DISABLED,0
0.699998,0.0347958,0.163278,0.0847828,-0.0168002,0.736469,0.0291654,0.0625362,-0.0198224,-0.997846,0.0544018,-0.25,0.2,0,DISABLED,0
0.719998,0.0361504,0.165397,0.113633,-0.0170627,0.736398,0.0274099,0.0622737,-0.0174298,-0.997907,0.0583685,-0.25,0.2,0,DISABLED,0
0.739998,0.0371684,0.166788,0.134538,-0.0166847,0.735612,0.0270641,0.0626517,-0.0172888,-0.997886,0.0628231,-0.25,0.2,0,DISABLED,0
0.759998,0.038165,0.168899,0.122386,-0.0172318,0.735258,0.022084,0.0621047,-0.00976685,-0.998022,0.0646407,-0.25,0.2,0,DISABLED,0
0.779998,0.0394093,0.170883,0.13044,-0.0197475,0.735652,0.0222588,0.059589,-0.00618358,-0.998204,0.0628679,-0.25,0.2,0,DISABLED,0
0.799998,0.0403771,0.172681,0.127311,-0.0212592,0.736462,0.0236683,0.0580773,-0.00630942,-0.998292,0.0630591,-0.25,0.2,0,DISABLED,0
0.819998,0.0409653,0.174614,0.122157,-0.0215115,0.737339,0.0246939,0.0578249,-0.00804019,-0.998294,0.0650051,-0.25,0.2,0,DISABLED,0
0.839998,0.0413036,0.177237,0.121869,-0.0215223,0.738151,0.0253066,0.0578141,-0.0092331,-0.998285,0.0674767,-0.25,0.2,0,DISABLED,0
0.859998,0.0413278,0.180121,0.119406,-0.0214235,0.738702,0.0253373,0.057913,-0.00945053,-0.998277,0.0696486,-0.25,0.2,0,DISABLED,0
0.879998,0.0411609,0.183215,0.107679,-0.0216748,0.739096,0.0249604,0.0576616,-0.00829402,-0.998302,0.0716084,-0.25,0.2,0,DISABLED,0
0.899998,0.0407281,0.187267,0.0934296,-0.0221848,0.739467,0.0244244,0.0571516,-0.00611432,-0.998347,0.0732194,-0.25,0.2,0,DISABLED,0
0.919998,0.0400006,0.191898,0.0961449,-0.0223819,0.73984,0.0236154,0.0569546,-0.00337377,-0.998371,0.0750144,-0.25,0.2,0,DISABLED,0
0.939998,0.0387182,0.197613,0.103956,-0.021193,0.740226,0.0216148,0.0581435,1.29342e-05,-0.998308,0.0779814,-0.25,0.2,0,DISABLED,0
0.959998,0.0372737,0.203414,0.107622,-0.019547,0.740511,0.0195955,0.0597894,0.00394749,-0.998203,0.0818297,-0.25,0.2,0,DISABLED,0
0.979998,0.0359035,0.209482,0.106529,-0.0187675,0.741055,0.0188229,0.060569,0.00460729,-0.998153,0.0834475,-0.25,0.2,0,DISABLED,0
0.999998,0.0349596,0.214889,0.0629935,-0.0189748,0.741855,0.0191681,0.0603617,0.00162471,-0.998175,0.082767,-0.25,0.2,0,DISABLED,0
1.02,0.0336524,0.220758,0.0571043,-0.0170677,0.742425,0.0175885,0.0622688,-7.32839e-05,-0.998059,0.0838055,-0.25,0.2,0,DISABLED,0
1.04,0.0321914,0.226386,0.0514084,-0.0139861,0.742365,0.014489,0.0653503,0.000355389,-0.997862,0.0856157,-0.25,0.2,0,DISABLED,0
1.06,0.0310184,0.231694,0.0273954,-0.0124195,0.741404,0.0125109,0.0669169,0.00521829,-0.997745,0.0889237,-0.25,0.2,0,DISABLED,0
1.08,0.0306742,0.235983,0.0265932,-0.0138062,0.73986,0.0145751,0.0655302,0.00856375,-0.997814,0.0949137,-0.25,0.2,0,DISABLED,0
1.1,0.0308411,0.239322,0.0459271,-0.0161351,0.739257,0.0161836,0.0632013,0.00432286,-0.997991,0.0977909,-0.25,0.2,0,DISABLED,0
1.12,0.0310595,0.242918,0.0598093,-0.0182493,0.739001,0.0183027,0.0610871,0.0034766,-0.998126,0.0985625,-0.25,0.2,0,DISABLED,0
1.14,0.0311636,0.246457,0.0598195,-0.0188491,0.738675,0.019087,0.0604874,0.00130109,-0.998168,0.0979725,-0.25,0.2,0,DISABLED,0
1.16,0.0311947,0.249683,0.058713,-0.0181466,0.738178,0.0197832,0.0611898,-0.0037839,-0.998119,0.0973905,-0.25,0.2,0,DISABLED,0
1.18,0.0312032,0.252718,0.0591225,-0.0170389,0.737624,0.0221433,0.0622975,-0.010098,-0.998007,0.0966571,-0.25,0.2,0,DISABLED,0
1.2,0.0312269,0.255675,0.0596017,-0.0162289,0.737124,0.0258289,0.0631076,-0.0160727,-0.997877,0.0952923,-0.25,0.2,0,DISABLED,0
1.22,0.0312598,0.258559,0.0578398,-0.0157378,0.736655,0.030367,0.0635986,-0.0219581,-0.997734,0.0932463,-0.25,0.2,0,DISABLED,0
1.24,0.0312764,0.261351,0.0539063,-0.0154183,0.736147,0.0354704,0.0639182,-0.0279403,-0.997564,0.0912965,-0.25,0.2,0,DISABLED,0
1.26,0.0316109,0.264577,0.0523649,-0.0174344,0.736169,0.036077,0.061902,-0.0275746,-0.997701,0.0939662,-0.25,0.2,0,DISABLED,0
1.28,0.032236,0.267846,0.0526207,-0.0205478,0.736531,0.034197,0.0587886,-0.0233142,-0.997998,0.0946156,-0.25,0.2,0,DISABLED,0
1.3,0.0325149,0.270424,0.0764517,-0.0208533,0.736751,0.0317678,0.0584831,-0.0199363,-0.998089,0.0920666,-0.25,0.2,0,DISABLED,0
1.32,0.03277,0.273259,0.103982,-0.0192402,0.736561,0.0289191,0.0600962,-0.017562,-0.998038,0.0886793,-0.25,0.2,0,DISABLED,0
1.34,0.0328767,0.275086,0.115017,-0.0174863,0.735867,0.0268118,0.0618501,-0.0162987,-0.997952,0.0876582,-0.25,0.2,0,DISABLED,0
1.36,0.0332792,0.277676,0.0959041,-0.0180814,0.735694,0.0226937,0.0612551,-0.00966094,-0.998075,0.0852782,-0.25,0.2,0,DISABLED,0
1.38,0.0338297,0.279537,0.129272,-0.0198377,0.736051,0.0234914,0.0594988,-0.00851634,-0.998192,0.0840366,-0.25,0.2,0,DISABLED,0
1.4,0.0342763,0.281453,0.137411,-0.020766,0.736677,0.0252288,0.0585704,-0.010264,-0.998231,0.0844902,-0.25,0.2,0,DISABLED,0
1.42,0.0344243,0.283729,0.136623,-0.0200458,0.737346,0.0258635,0.0592906,-0.0122918,-0.998165,0.0866629,-0.25,0.2,0,DISABLED,0
1.44,0.0343716,0.285933,0.136812,-0.0187773,0.73779,0.0251791,0.0605592,-0.012734,-0.998083,0.0889789,-0.25,0.2,0,DISABLED,0
1.46,0.0341601,0.288846,0.129451,-0.0171488,0.738169,0.023819,0.0621877,-0.0124936,-0.997986,0.0912336,-0.25,0.2,0,DISABLED,0
1.48,0.0337572,0.292317,0.114297,-0.0155978,0.738445,0.0216203,0.0637387,-0.0109351,-0.997907,0.0937696,-0.25,0.2,0,DISABLED,0
1.5,0.0331681,0.296486,0.0972672,-0.0145114,0.738671,0.0186447,0.0648251,-0.00766416,-0.997867,0.0964338,-0.25,0.2,0,DISABLED,0
1.52,0.0322387,0.30129,0.101092,-0.0129864,0.7389,0.0152115,0.06635,-0.00386367,-0.997789,0.0994725,-0.25,0.2,0,DISABLED,0
1.54,0.0309933,0.306714,0.10854,-0.0107517,0.739174,0.0114825,0.0685847,3.397e-05,-0.997645,0.104317,-0.25,0.2,0,DISABLED,0
1.56,0.0293334,0.312864,0.110812,-0.00781788,0.739358,0.00784298,0.0715186,0.00414482,-0.997431,0.109775,-0.25,0.2,0,DISABLED,0
1.58,0.0277117,0.319201,0.0966506,-0.00517541,0.73989,0.00521342,0.074161,0.00455748,-0.997236,0.11494,-0.25,0.2,0,DISABLED,0
1.6,0.0264851,0.325554,0.043678,-0.00499469,0.740819,0.00578774,0.0743417,0.00110419,-0.997232,0.115927,-0.25,0.2,0,DISABLED,0
1.62,0.024957,0.331946,0.0360301,-0.00325645,0.741172,0.00362119,0.07608,0.00243019,-0.997099,0.117473,-0.25,0.2,0,DISABLED,0
