t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0379125,0,0.741218,0,0.0945336,-0.00596203,-0.995504,0,-0.3,0,0,DISABLED,0
0.0399988,0.00380673,0.00191695,0.168037,-0.00756364,0.740053,0.00774355,0.0869699,-0.00441674,-0.996201,0.00585726,-0.3,0,0,DISABLED,0
0.0599988,0.00703235,0.00280537,0.239399,-0.0116269,0.739604,0.0118855,0.0829066,-0.00374657,-0.99655,0.00843337,-0.3,0,0,DISABLED,0
0.0799987,0.00981392,0.00327607,0.166297,-0.0123595,0.739337,0.0124536,0.0821741,-0.0048919,-0.996606,0.00826898,-0.3,0,0,DISABLED,0
0.0999987,0.0123275,0.00410064,0.107499,-0.012941,0.739084,0.0133767,0.0815926,-0.00916369,-0.996624,0.00277971,-0.3,0,0,DISABLED,0
0.119999,0.0143293,0.00529412,0.0825457,-0.013601,0.738491,0.0150222,0.0809325,-0.012244,-0.996644,-0.00222454,-0.3,0,0,DISABLED,0
0.139999,0.016493,0.00728977,0.0899955,-0.0142524,0.737395,0.0162717,0.0802812,-0.0137343,-0.996678,-0.00664422,-0.3,0,0,DISABLED,0
0.159999,0.0180146,0.00966293,0.133182,-0.0131838,0.736583,0.0155257,0.0813498,-0.0140918,-0.996586,-0.0115025,-0.3,0,0,DISABLED,0
0.179999,0.0190423,0.0125057,0.163985,-0.00948682,0.736302,0.0129786,0.0850467,-0.0147904,-0.996267,-0.0141014,-0.3,0,0,DISABLED,0
0.199999,0.0197477,0.0158033,0.173033,-0.00367645,0.736636,0.011294,0.0908571,-0.0166371,-0.995725,-0.0155,-0.3,0,0,DISABLED,0
0.219999,0.0204731,0.0196485,0.169747,0.00253838,0.737483,0.0138926,0.0970719,-0.0196169,-0.995084,-0.0168608,-0.3,0,0,DISABLED,0
0.239999,0.0210993,0.0240932,0.154293,0.00939463,0.738616,0.0184519,0.103928,-0.0218035,-0.994346,-0.0167021,-0.3,0,0,DISABLED,0
0.259999,0.0218037,0.029318,0.123646,0.0155119,0.739825,0.022111,0.110045,-0.0216155,-0.993692,-0.0156776,-0.3,0,0,DISABLED,0
0.279999,0.0226298,0.0353986,0.0853553,0.0203854,0.740904,0.0243976,0.114919,-0.0191666,-0.99319,-0.0127641,-0.3,0,0,DISABLED,0
0.299999,0.0235031,0.0416142,0.0572627,0.0238583,0.741588,0.0259004,0.118392,-0.0156871,-0.992843,-0.00803138,-0.3,0,0,DISABLED,0
0.319999,0.0244986,0.0505009,0.0405872,0.0279054,0.741619,0.0281142,0.122439,-0.00749581,-0.992448,-0.00297969,-0.3,0,0,DISABLED,0
0.339998,0.0252854,0.0583833,0.0216622,0.030644,0.741053,0.0311825,0.125178,-0.00129532,-0.992133,0.0015859,-0.3,0,0,DISABLED,0
0.359998,0.026655,0.0676214,-0.0276429,0.0304537,0.74123,0.0308848,0.124987,-0.00205957,-0.992156,0.00234615,-0.3,0,0,DISABLED,0
0.379998,0.0279731,0.0764846,-0.0697134,0.029893,0.740721,0.0334372,0.124427,0.00864783,-0.992191,0.00144121,-0.3,0,0,DISABLED,0
0.399998,0.0288468,0.0842932,-0.0587233,0.0316318,0.739547,0.0411462,0.126165,0.0200875,-0.991806,0.00194261,-0.3,0,0,DISABLED,0
0.419998,0.0301778,0.0901413,-0.0045175,0.0311232,0.740348,0.0400343,0.125657,0.0189572,-0.991893,0.00207162,-0.3,0,0,DISABLED,0
0.439998,0.0320363,0.0959731,0.0140162,0.0266713,0.741548,0.0426923,0.121205,0.02721,-0.992254,0.00216521,-0.3,0,0,DISABLED,0
