t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.155409,0,0.739331,0,0.0818577,0.00170611,-0.996643,0,0,0,0.5,DISABLED,0
0.0399988,0.00297122,0.00100628,0.22192,-0.00243121,0.738877,0.00244141,0.0794265,0.00191827,-0.996839,0.00290368,0,0,0.5,DISABLED,0
0.0599988,0.00533037,0.00160275,0.147863,-0.00262633,0.738604,0.00265205,0.0792314,0.00136702,-0.996855,0.0049645,0,0,0.5,DISABLED,0
0.0799987,0.00788651,0.00271612,0.0809206,-0.00331971,0.738338,0.00454128,0.078538,-0.00139825,-0.99691,0.000102781,0,0,0.5,DISABLED,0
0.0999987,0.00989217,0.00447693,0.0585409,-0.00300175,0.737347,0.00308816,0.078856,0.00100383,-0.996886,-0.00428155,0,0,0.5,DISABLED,0
0.119999,0.0115385,0.00647639,0.0608857,-0.00295264,0.735819,0.00378221,0.0789051,0.0040772,-0.996874,-0.00791928,0,0,0.5,DISABLED,0
0.139999,0.0131642,0.00855014,0.060855,-0.00350703,0.73436,0.00352105,0.0783507,0.00188335,-0.996924,-0.012544,0,0,0.5,DISABLED,0
0.159999,0.0142853,0.0111546,0.0927502,-0.00295024,0.733731,0.00294996,0.0789075,0.00184803,-0.99688,-0.0163648,0,0,0.5,DISABLED,0
0.179999,0.0152066,0.0139852,0.143311,-0.00107284,0.733895,0.00138107,0.0807849,0.000833146,-0.996731,-0.0187942,0,0,0.5,DISABLED,0
0.199999,0.0161492,0.0175837,0.166771,0.00467502,0.734975,0.00776661,0.0865327,-0.00449278,-0.996239,-0.0176051,0,0,0.5,DISABLED,0
0.219999,0.016864,0.0209005,0.167015,0.0112066,0.736345,0.0166627,0.0930643,-0.0105845,-0.995604,-0.0154436,0,0,0.5,DISABLED,0
0.239999,0.0178295,0.025747,0.148583,0.0194368,0.738158,0.0273751,0.101294,-0.0174715,-0.994703,-0.0124578,0,0,0.5,DISABLED,0
0.259999,0.0187064,0.0305584,0.110015,0.0255129,0.739502,0.0337513,0.107371,-0.0202312,-0.994013,-0.00912211,0,0,0.5,DISABLED,0
0.279999,0.0197771,0.0368336,0.0675758,0.0310778,0.74064,0.0386013,0.112936,-0.0209556,-0.993381,-0.00299065,0,0,0.5,DISABLED,0
0.299999,0.020945,0.0442057,0.0312538,0.0350526,0.741119,0.0414968,0.11691,-0.0201875,-0.992937,0.00436608,0,0,0.5,DISABLED,0
0.319999,0.0221167,0.0529109,0.00506693,0.0376602,0.740436,0.0410606,0.119518,-0.0141724,-0.992731,0.0110861,0,0,0.5,DISABLED,0
0.339998,0.0231529,0.0619785,-0.0053857,0.0394548,0.739003,0.0414968,0.121313,-0.0104748,-0.992559,0.0202943,0,0,0.5,DISABLED,0
0.359998,0.0246126,0.0703766,-0.0645972,0.0375036,0.738572,0.0403813,0.119361,-0.0127463,-0.992769,0.0228741,0,0,0.5,DISABLED,0
0.379998,0.0261874,0.0790367,-0.0680791,0.0344419,0.737786,0.0347693,0.1163,-0.00157677,-0.993213,0.0241781,0,0,0.5,DISABLED,0
0.399998,0.0278287,0.0869349,-0.0616146,0.0320396,0.736559,0.0341517,0.113897,0.0130708,-0.993407,0.0271169,0,0,0.5,DISABLED,0
0.419998,0.0296882,0.0929016,-0.0268478,0.0294291,0.736835,0.0314111,0.111287,0.0122866,-0.993712,0.0285881,0,0,0.5,DISABLED,0
