t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.167713,0,0.738797,0,0.0757719,0.00577439,-0.997108,0,0.4,0,0,DISABLED,0
0.0399988,0.00302565,0.00153285,0.0442972,-0.00227528,0.738695,0.0038136,0.0734966,0.00273897,-0.997292,-0.0045181,0.4,0,0,DISABLED,0
0.0599988,0.00571042,0.00341028,0.00309092,-0.00293636,0.738476,0.00484606,0.0728355,0.00192723,-0.997342,-0.00963626,0.4,0,0,DISABLED,0
0.0799987,0.00732988,0.00585036,0.089365,0.00107062,0.738046,0.00119604,0.0768425,0.00625192,-0.997024,-0.0145565,0.4,0,0,DISABLED,0
0.0999987,0.00823407,0.00851502,0.0954243,0.00397595,0.737196,0.00893704,0.0797478,0.0137684,-0.99672,-0.0194258,0.4,0,0,DISABLED,0
0.119999,0.00975353,0.0114783,0.0865058,0.00375138,0.736355,0.011673,0.0795233,0.0168223,-0.996691,-0.0255206,0.4,0,0,DISABLED,0
0.139999,0.0109321,0.0138608,0.0757006,0.00266931,0.735839,0.0143526,0.0784412,0.0198703,-0.996721,-0.0305819,0.4,0,0,DISABLED,0
0.159999,0.0118925,0.0166437,0.053133,0.00222287,0.735257,0.0167839,0.0779947,0.0224064,-0.996702,-0.0386,0.4,0,0,DISABLED,0
0.179999,0.0128154,0.0197846,0.0487925,0.00242175,0.73418,0.0125585,0.0781936,0.0180966,-0.996774,-0.0480322,0.4,0,0,DISABLED,0
0.199999,0.0134463,0.0232275,0.117784,0.0044868,0.734113,0.0141813,0.0802587,0.0192152,-0.996589,-0.0548919,0.4,0,0,DISABLED,0
0.219999,0.0142642,0.0270792,0.147833,0.00924461,0.735418,0.0115807,0.0850165,0.012709,-0.996298,-0.0556418,0.4,0,0,DISABLED,0
0.239999,0.0149976,0.0307123,0.155278,0.0157749,0.737192,0.0166197,0.0915467,0.00070127,-0.995801,-0.0557441,0.4,0,0,DISABLED,0
0.259999,0.0158502,0.0351828,0.12575,0.0221795,0.738715,0.0267228,0.0979514,-0.00900263,-0.995151,-0.0556482,0.4,0,0,DISABLED,0
0.279999,0.016788,0.0399934,0.0829763,0.0268888,0.73956,0.0343432,0.102661,-0.0154402,-0.994597,-0.0535451,0.4,0,0,DISABLED,0
0.299999,0.0180019,0.0471042,0.0417102,0.0311524,0.739711,0.0412172,0.106924,-0.0210354,-0.994045,-0.0509635,0.4,0,0,DISABLED,0
0.319999,0.019061,0.0549777,0.0185953,0.0338323,0.738727,0.0433877,0.109604,-0.0211748,-0.99375,-0.0492058,0.4,0,0,DISABLED,0
0.339998,0.0200371,0.0634038,0.0103338,0.034886,0.736667,0.0392097,0.110658,-0.0118062,-0.993788,-0.0466218,0.4,0,0,DISABLED,0
0.359998,0.0210657,0.0715537,0.00767875,0.0346004,0.735003,0.0400566,0.110372,-0.014128,-0.99379,-0.0394958,0.4,0,0,DISABLED,0
0.379998,0.0227971,0.07923,-0.0448239,0.0282541,0.734703,0.0351326,0.104026,-0.0149346,-0.994462,-0.0419077,0.4,0,0,DISABLED,0
0.399998,0.0246708,0.0872129,-0.0483038,0.0206706,0.734694,0.0209368,0.0964425,0.00297907,-0.995334,-0.0455914,0.4,0,0,DISABLED,0
0.419998,0.0268868,0.0944752,-0.0391271,0.0146881,0.734728,0.0177236,0.09046,0.0156032,-0.995778,-0.0466305,0.4,0,0,DISABLED,0
0.439998,0.0295704,0.100439,-0.0156429,0.00815024,0.735089,0.0170342,0.0839221,0.0207105,-0.996257,-0.0456372,0.4,0,0,DISABLED,0
0.459998,0.0324202,0.105106,0.0228995,0.00331631,0.736189,0.0157997,0.0790882,0.0212142,-0.996642,-0.0445706,0.4,0,0,DISABLED,0
0.479998,0.0357984,0.109381,0.0490494,-0.000414282,0.737573,0.0191898,0.0753576,0.0249555,-0.996844,-0.042823,0.4,0,0,DISABLED,0
0.499998,0.0389342,0.112115,0.058459,-0.00324664,0.738499,0.0211041,0.0725252,0.0266267,-0.997011,-0.0403658,0.4,0,0,DISABLED,0
0.519998,0.0427827,0.114508,0.0592986,-0.00639868,0.73919,0.0214848,0.0693732,0.0262831,-0.997244,-0.0360566,0.4,0,0,DISABLED,0
0.539998,0.0468793,0.116449,0.0521818,-0.00944413,0.739567,0.0204325,0.0663277,0.0238895,-0.997512,-0.0314419,0.4,0,0,DISABLED,0
0.559998,0.0511475,0.118154,0.0404259,-0.0124938,0.739789,0.0196866,0.0632781,0.0209736,-0.997775,-0.0279356,0.4,0,0,DISABLED,0
0.579998,0.0560025,0.119881,0.034606,-0.0158358,0.740028,0.0206472,0.0599361,0.0189915,-0.998022,-0.0255259,0.4,0,0,DISABLED,0
0.599998,0.0605469,0.121316,0.0381899,-0.0185096,0.740274,0.0224189,0.0572623,0.0183775,-0.99819,-0.0241493,0.4,0,0,DISABLED,0
0.619998,0.0652498,0.122596,0.0439011,-0.0206801,0.740486,0.0242013,0.0550918,0.0182855,-0.998314,-0.0228497,0.4,0,0,DISABLED,0
0.639998,0.0696748,0.123595,0.0437243,-0.0224131,0.740568,0.0257086,0.0533588,0.0182998,-0.998408,-0.0216662,0.4,0,0,DISABLED,0
0.659998,0.074765,0.124459,0.0461824,-0.0239598,0.740414,0.0269028,0.0518121,0.0179269,-0.998496,-0.0201133,0.4,0,0,DISABLED,0
0.679998,0.0807317,0.125054,0.0804024,-0.0261892,0.739793,0.0283002,0.0495827,0.0163871,-0.998636,-0.0183045,0.4,0,0,DISABLED,0
0.699998,0.0858367,0.125183,0.120239,-0.0283272,0.738787,0.0294035,0.0474447,0.013468,-0.998783,-0.0169071,0.4,0,0,DISABLED,0
0.719998,0.0922944,0.125331,0.128856,-0.0323759,0.737656,0.034258,0.0433959,0.0168244,-0.998916,-0.0135404,0.4,0,0,DISABLED,0
0.739998,0.0982485,0.125177,0.116904,-0.0368475,0.736808,0.0400313,0.0389243,0.0212979,-0.999015,-0.00775574,0.4,0,0,DISABLED,0
0.759998,0.103413,0.124966,0.0856243,-0.0399435,0.735865,0.0425328,0.0358284,0.0202346,-0.999153,-0.00340261,0.4,0,0,DISABLED,0
0.779998,0.10942,0.125295,0.12125,-0.0434567,0.734561,0.0449389,0.0323152,0.0169842,-0.999333,-2.26796e-05,0.4,0,0,DISABLED,0
0.799998,0.115424,0.126532,0.162695,-0.0447927,0.733942,0.0466255,0.0309792,0.0185091,-0.999349,0.00449677,0.4,0,0,DISABLED,0
0.819998,0.12194,0.128422,0.16571,-0.0429,0.734623,0.0450741,0.0328719,0.0194181,-0.999271,0.00552238,0.4,0,0,DISABLED,0
0.839998,0.127235,0.129982,0.160401,-0.0392397,0.735699,0.0405536,0.0365322,0.0157835,-0.999208,0.00580043,0.4,0,0,DISABLED,0
0.859998,0.133146,0.131999,0.139726,-0.0342669,0.736992,0.034544,0.041505,0.00965904,-0.999092,0.00691435,0.4,0,0,DISABLED,0
