t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733606,0,-0.0277943,-0.00221255,-0.999611,0,0,0.3,0,flat,0,8.6632e-15,1.76264e-14,1,1.37767e-09,0,0,1
0.0399988,-1.26846e-05,-1.62626e-06,0,1.01291e-05,0.733608,0,-0.0277841,-0.00221302,-0.999611,-2.0152e-05,0,0.3,0,flat,0,8.66165e-15,1.75204e-14,1,1.42555e-09,0,0,1
0.0599988,-2.18526e-05,-1.71646e-06,0,1.64695e-05,0.73361,0,-0.0277778,-0.00221093,-0.999612,-3.48985e-05,0,0.3,0,flat,0,8.83107e-15,1.77547e-14,1,1.49018e-09,0,0,1
0.0799987,-3.11248e-05,1.43549e-06,0,2.10516e-05,0.733612,0,-0.0277732,-0.00220456,-0.999612,-4.81438e-05,0,0.3,0,flat,0,9.25785e-15,1.85291e-14,1,1.58374e-09,0,0,1
0.0999987,-3.73907e-05,1.19288e-05,0,2.14484e-05,0.733612,0,-0.0277728,-0.00219371,-0.999612,-5.44079e-05,0,0.3,0,flat,0,9.93654e-15,1.98021e-14,1,1.71003e-09,0,0,1
0.119999,-4.16134e-05,3.33264e-05,0,1.9785e-05,0.733612,0,-0.0277745,-0.00217713,-0.999612,-5.63003e-05,0,0.3,0,flat,0,1.08737e-14,2.15495e-14,1,1.87251e-09,0,0,1
0.139999,-4.40832e-05,6.7691e-05,0,1.59945e-05,0.733611,0,-0.0277783,-0.00215691,-0.999612,-5.45532e-05,0,0.3,0,flat,0,1.20915e-14,2.37719e-14,1,2.07515e-09,0,0,1
0.159999,-4.61396e-05,0.000117933,0,6.23055e-06,0.733609,0,-0.027788,-0.00212424,-0.999612,-4.89354e-05,0,0.3,0,flat,0,1.36262e-14,2.65086e-14,1,2.32629e-09,0,0,1
0.179999,-4.83431e-05,0.000179108,0,-5.67362e-06,0.733607,0,-0.0277999,-0.00209376,-0.999611,-4.1509e-05,0,0.3,0,flat,0,1.55096e-14,2.97459e-14,1,2.63517e-09,0,0,1
0.199999,-5.12041e-05,0.000278132,0,-2.45869e-05,0.733604,0,-0.0278188,-0.0020533,-0.999611,-2.71164e-05,0,0.3,0,flat,0,1.78501e-14,3.36713e-14,1,3.01739e-09,0,0,1
0.219999,-5.30109e-05,0.000381028,0,-4.44632e-05,0.7336,0,-0.0278387,-0.00201501,-0.99961,-1.13416e-05,0,0.3,0,flat,0,2.07102e-14,3.8348e-14,1,3.48292e-09,0,0,1
0.239999,-0.000293972,0.000589878,0,0.000554422,0.733587,0.00077204,-0.0272398,-0.00185985,-0.999627,0.000614557,0,0.3,0,flat,0,2.68906e-14,4.41006e-14,1,4.47907e-09,0,0,1
0.259999,-0.00117479,0.00162494,0,0.00392801,0.733447,0.00473407,-0.0238662,0.000431506,-0.999715,0.00303097,0,0.3,0,flat,0,2.24728e-13,7.66709e-13,1,7.44453e-09,0,0,1
0.279999,-0.00190247,0.00330067,0,0.00512185,0.733362,0.00699114,-0.0226724,0.00255271,-0.99974,0.0035725,0,0.3,0,flat,0,2.82214e-13,1.81798e-12,1,2.8336e-08,0,0,1
0.299999,-0.00277867,0.00523549,0,0.00543617,0.733388,0.00812664,-0.0223581,0.00383094,-0.999743,0.00399528,0,0.3,0,flat,0,2.44335e-13,3.80928e-12,1,7.56304e-08,0,0,1
0.319999,-0.00384429,0.00698533,0,0.00589951,0.73343,0.0092838,-0.0218947,0.00495538,-0.999748,0.005366,0,0.3,0,flat,0,2.58077e-13,7.87176e-12,1,1.07596e-07,0,0,1
0.339998,-0.00500361,0.00863293,0,0.00681302,0.73342,0.0115601,-0.0209812,0.00712362,-0.999754,0.00740318,0,0.3,0,flat,0,3.91994e-13,1.8661e-11,1,1.65868e-07,0,0,1
0.359998,-0.00640585,0.0106574,0,0.00810068,0.733294,0.0149666,-0.0196936,0.0103704,-0.999752,0.00873122,0,0.3,0,flat,0,8.40545e-13,5.49099e-11,1,2.93649e-07,0,0,1
0.379998,-0.00801936,0.0130357,0,0.0105197,0.7329,0.0213596,-0.0172746,0.0163751,-0.999717,0.010538,0,0.3,0,flat,0,1.08805e-12,7.76234e-11,1,4.1738e-07,0,0,1
0.399998,-0.0098526,0.0156393,0,0.0127315,0.733034,0.0220921,-0.0150628,0.0158404,-0.999761,0.0145953,0,0.3,0,flat,0,2.24725e-12,1.5992e-10,1,4.31376e-07,0,0,1
0.419998,-0.0110085,0.0178585,0,0.0118557,0.733693,0.0170516,-0.0159385,0.010041,-0.999823,0.0148957,0,0.3,0,flat,0,2.12436e-12,1.66336e-10,1,2.43586e-07,0,0,1
0.439998,-0.0121537,0.0208319,0,0.00972193,0.734541,0.0146078,-0.0180723,0.00868395,-0.999799,0.0135552,0,0.3,0,flat,0,1.2148e-12,3.60779e-11,1,1.47586e-07,0,0,1
0.459998,-0.0132011,0.0244295,0,0.0065015,0.735178,0.0150183,-0.0212928,0.0113246,-0.999709,0.0105605,0,0.3,0,flat,0,9.9755e-13,1.11636e-11,1,9.26196e-08,0,0,1
0.479998,-0.0141058,0.027552,0,0.00385032,0.735476,0.0179142,-0.0239439,0.0152849,-0.999596,0.00847423,0,0.3,0,flat,0,2.03034e-12,1.11547e-11,1,1.39193e-07,0,0,1
