t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.7336,0,-0.028225,-0.00216202,-0.999599,0,0,0,0.5,flat,0,8.58671e-15,1.75818e-14,1,1.36796e-09,0,0,1
0.0399988,-4.37349e-06,-1.85586e-06,0,1.60914e-05,0.733602,0,-0.0282089,-0.00216365,-0.9996,-1.60206e-05,0,0,0.5,flat,0,8.46872e-15,1.65828e-14,1,1.36374e-09,0,0,1
0.0599988,-7.48597e-06,-3.49083e-06,0,2.98545e-05,0.733604,0,-0.0281951,-0.00216589,-0.9996,-1.99247e-05,0,0,0.5,flat,0,8.58104e-15,1.55181e-14,1,1.39533e-09,0,0,1
0.0799987,-8.25524e-06,-5.24902e-06,0,4.0276e-05,0.733605,0,-0.0281847,-0.00216939,-0.9996,1.28336e-06,0,0,0.5,flat,0,8.94209e-15,1.46666e-14,1,1.45252e-09,0,0,1
0.0999987,-8.22917e-06,-8.3081e-06,0,4.65792e-05,0.733605,0,-0.0281784,-0.00217492,-0.999601,6.21174e-05,0,0,0.5,flat,0,9.52967e-15,1.40486e-14,1,1.53708e-09,0,0,1
0.119999,-7.97771e-06,-1.66138e-05,0,4.87138e-05,0.733605,0,-0.0281763,-0.00218542,-0.999601,0.000199433,0,0,0.5,flat,0,1.03293e-14,1.36172e-14,1,1.65011e-09,0,0,1
0.139999,-0.000219751,-1.5938e-05,0,0.000987144,0.733573,0.00109183,-0.0272378,-0.00158995,-0.999628,0.00232594,0,0,0.5,flat,0,2.30204e-14,1.51058e-14,1,1.71443e-09,0,0,1
0.159999,-0.00140398,0.000551293,0,0.00592011,0.733358,0.00729161,-0.0223049,0.00209441,-0.999749,0.00874526,0,0,0.5,flat,0,1.24399e-13,1.12008e-13,1,2.72299e-09,0,0,1
0.179999,-0.00251125,0.0020552,0,0.00973356,0.733118,0.0126578,-0.0184914,0.00592824,-0.999811,0.0133334,0,0,0.5,flat,0,1.81634e-13,2.58719e-13,1,9.71873e-09,0,0,1
0.199999,-0.00314671,0.00372982,0,0.010804,0.73307,0.0140122,-0.017421,0.00675841,-0.999825,0.015502,0,0,0.5,flat,0,1.65082e-13,5.96595e-13,1,3.48397e-08,0,0,1
0.219999,-0.00404157,0.00602895,0,0.0117553,0.733147,0.0143941,-0.0164697,0.00614229,-0.999846,0.0182549,0,0,0.5,flat,0,3.41575e-13,2.80851e-12,1,8.23652e-08,0,0,1
0.239999,-0.0048771,0.00804769,0,0.0125565,0.733243,0.0146973,-0.0156685,0.00547053,-0.999862,0.0207385,0,0,0.5,flat,0,7.85654e-13,9.44739e-12,1,1.47858e-07,0,0,1
0.259999,-0.00579108,0.0104253,0,0.01303,0.733374,0.0146364,-0.015195,0.00449842,-0.999874,0.0230675,0,0,0.5,flat,0,1.41926e-12,1.85518e-11,1,2.53593e-07,0,0,1
0.279999,-0.00684498,0.013136,0,0.0132792,0.733516,0.0145629,-0.0149458,0.00380838,-0.999881,0.0271686,0,0,0.5,flat,0,2.12913e-12,3.04657e-11,1,5.04128e-07,0,0,1
0.299999,-0.00790728,0.0157939,0,0.01347,0.733635,0.0146119,-0.014755,0.00349614,-0.999885,0.031509,0,0,0.5,flat,0,3.88532e-12,7.25385e-11,0.999999,1.06599e-06,0,0,1
0.319999,-0.00898769,0.0185267,0,0.0139377,0.733722,0.0150262,-0.0142873,0.00345103,-0.999892,0.0363055,0,0,0.5,flat,0,6.57361e-12,1.50584e-10,0.999997,2.78762e-06,0,0,1
0.339998,-0.0103517,0.0220342,0,0.0149864,0.733769,0.0161615,-0.0132386,0.00388597,-0.999905,0.0410622,0,0,0.5,flat,0,8.86885e-12,2.12752e-10,0.999993,6.68068e-06,0,0,1
0.359998,-0.0119388,0.0261156,0,0.0168444,0.733594,0.0187531,-0.0113806,0.00608227,-0.999917,0.0462713,0,0,0.5,flat,0,1.10571e-11,2.5746e-10,0.99999,1.02774e-05,0,0,1
0.379998,-0.0138076,0.0313252,0,0.0192205,0.732508,0.0247926,-0.00900445,0.0134957,-0.999868,0.0526643,0,0,0.5,flat,0,7.49584e-12,1.12732e-10,0.999985,1.52791e-05,0,0,1
0.399998,-0.0156851,0.0360995,0,0.0210388,0.731339,0.0267406,-0.0071862,0.0143433,-0.999871,0.0600728,0,0,0.5,flat,0,1.9619e-11,1.16982e-10,0.99999,1.03439e-05,0,0,1
0.419998,-0.0168148,0.0395148,0,0.0184411,0.731839,0.0192239,-0.00978393,0.00325266,-0.999947,0.0626145,0,0,0.5,flat,0,1.2129e-11,5.25454e-11,0.999998,2.12414e-06,0,0,1
0.439998,-0.0176502,0.0434774,0,0.0125856,0.732584,0.0137112,-0.0156394,0.00327712,-0.999872,0.0642446,0,0,0.5,flat,0,3.194e-12,1.03047e-11,0.999998,1.58167e-06,0,0,1
0.459998,-0.0190313,0.0488374,0,0.00835621,0.733726,0.0150302,-0.0198688,0.0103342,-0.999749,0.0705754,0,0,0.5,flat,0,4.1728e-12,6.86182e-12,0.999999,6.70946e-07,0,0,1
0.479998,-0.020136,0.0523978,0,0.00535684,0.734438,0.016555,-0.0228681,0.0135027,-0.999647,0.0760036,0,0,0.5,flat,0,5.28021e-12,3.75428e-12,0.999999,6.63071e-07,0,0,1
0.499998,-0.0212821,0.0558441,0,0.00190727,0.734988,0.0164249,-0.0263177,0.0141507,-0.999553,0.081534,0,0,0.5,flat,0,5.94499e-12,3.22525e-12,0.999999,7.64441e-07,0,0,1
0.519998,-0.022281,0.0588377,0,-0.00220195,0.735389,0.0167127,-0.0304269,0.0144067,-0.999433,0.0865786,0,0,0.5,flat,0,7.31215e-12,3.51981e-12,0.999999,7.66651e-07,0,0,1
0.539998,-0.0231661,0.0613184,0,-0.00674631,0.735699,0.0180039,-0.0349713,0.0145296,-0.999283,0.0914887,0,0,0.5,flat,0,9.57795e-12,4.20142e-12,0.999999,7.10053e-07,0,0,1
0.559998,-0.0240326,0.0631685,0,-0.0109656,0.735886,0.0191649,-0.0391905,0.0135505,-0.99914,0.0959452,0,0,0.5,flat,0,1.32235e-11,5.3836e-12,0.999999,6.78861e-07,0,0,1
0.579998,-0.0248728,0.0644118,0,-0.0149947,0.735971,0.0206559,-0.0432197,0.0120326,-0.998993,0.10186,0,0,0.5,flat,0,1.66027e-11,7.0331e-12,0.999999,5.64203e-07,0,0,1
0.599998,-0.0254294,0.0648441,0,-0.0173824,0.735934,0.0217714,-0.0456074,0.0109255,-0.9989,0.107434,0,0,0.5,flat,0,1.79398e-11,6.55755e-12,1,3.67793e-07,0,0,1
0.619998,-0.0258612,0.0647566,0,-0.0186796,0.735771,0.0217632,-0.0469046,0.00898251,-0.998859,0.112822,0,0,0.5,flat,0,1.60557e-11,4.22658e-12,1,2.30367e-07,0,0,1
0.639998,-0.0260617,0.0641589,0,-0.0182704,0.735506,0.0200526,-0.0464954,0.00607501,-0.9989,0.116552,0,0,0.5,flat,0,1.47786e-11,2.65499e-12,1,1.65804e-07,0,0,1
0.659998,-0.0259163,0.0630164,0,-0.0163564,0.735162,0.0172808,-0.0445814,0.00339083,-0.999,0.121049,0,0,0.5,flat,0,1.56737e-11,2.296e-12,1,1.44873e-07,0,0,1
0.679998,-0.0252953,0.0612772,0,-0.0135226,0.734588,0.0135933,-0.0417476,-0.00085674,-0.999128,0.126783,0,0,0.5,flat,0,2.39881e-11,3.55736e-12,1,1.85479e-07,0,0,1
0.699998,-0.024136,0.0586536,0,-0.00954587,0.73339,0.0133678,-0.0377709,-0.0115096,-0.99922,0.132866,0,0,0.5,flat,0,5.2629e-11,1.13297e-11,1,3.85392e-07,0,0,1
0.719998,-0.0227667,0.0567352,0,-0.00629703,0.733145,0.0122412,-0.034522,-0.0126599,-0.999324,0.138069,0,0,0.5,flat,0,1.11309e-10,3.32715e-11,0.999999,6.6385e-07,0,0,1
0.739998,-0.0215286,0.0556194,0,-0.00465978,0.733715,0.00663237,-0.0328848,-0.00688497,-0.999435,0.142632,0,0,0.5,flat,0,1.02474e-10,1.43434e-11,0.999998,2.13752e-06,0,0,1
0.759998,-0.0203085,0.0537187,0,-0.00267905,0.734242,0.00681849,-0.030904,-0.00843289,-0.999487,0.151393,0,0,0.5,flat,0,9.45032e-11,1.62654e-11,0.999994,5.5845e-06,0,0,1
0.779998,-0.0191404,0.0513561,0,-0.00225288,0.73476,0.0135801,-0.0304779,-0.0155508,-0.999414,0.162547,0,0,0.5,flat,0,9.42805e-11,1.52908e-11,0.999994,5.55404e-06,0,0,1
0.799998,-0.0183381,0.0498976,0,-0.0026812,0.735019,0.0190088,-0.0309062,-0.0209783,-0.999302,0.170823,0,0,0.5,flat,0,7.10529e-11,1.13015e-11,0.999996,4.2057e-06,0,0,1
0.819998,-0.0179189,0.04886,0,-0.00249927,0.735078,0.0216864,-0.0307243,-0.0237031,-0.999247,0.179341,0,0,0.5,flat,0,5.96861e-11,9.41019e-12,0.999997,2.74596e-06,0,0,1
0.839998,-0.0178297,0.0479985,0,-0.00139685,0.735024,0.0230353,-0.0296218,-0.025151,-0.999245,0.189125,0,0,0.5,flat,0,6.62362e-11,9.88724e-12,0.999997,2.49075e-06,0,0,1
0.859998,-0.0178752,0.047293,0,-5.97537e-05,0.734951,0.0242726,-0.0282847,-0.0264331,-0.99925,0.199094,0,0,0.5,flat,0,9.00078e-11,1.24319e-11,0.999997,2.66628e-06,0,0,1
0.879998,-0.0179201,0.0467693,0,0.000766972,0.734936,0.0256761,-0.027458,-0.0278242,-0.999236,0.207923,0,0,0.5,flat,0,1.29948e-10,1.87773e-11,0.999997,2.9183e-06,0,0,1
0.899998,-0.0180149,0.0464996,0,0.00148445,0.734983,0.0273097,-0.0267405,-0.0294268,-0.999209,0.218528,0,0,0.5,flat,0,1.73841e-10,2.77437e-11,0.999997,3.35792e-06,0,0,1
0.919998,-0.0182786,0.0465845,0,0.00264519,0.735034,0.0274794,-0.0255798,-0.0295094,-0.999237,0.228274,0,0,0.5,flat,0,2.27132e-10,3.96445e-11,0.999996,3.8298e-06,0,0,1
0.939998,-0.0188504,0.0471547,0,0.00489423,0.734986,0.0254757,-0.0233308,-0.0271604,-0.999359,0.238646,0,0,0.5,flat,0,3.22707e-10,5.36247e-11,0.999995,4.69086e-06,0,0,1
0.959998,-0.0195118,0.0481111,0,0.00803506,0.734881,0.0210673,-0.0201899,-0.0216351,-0.999562,0.251171,0,0,0.5,flat,0,5.07991e-10,6.35569e-11,0.999995,5.0233e-06,0,0,1
0.979998,-0.0201922,0.049263,0,0.0109423,0.734713,0.0172636,-0.0172826,-0.0155161,-0.99973,0.261163,0,0,0.5,flat,0,7.34731e-10,5.40624e-11,0.999995,5.03498e-06,0,0,1
0.999998,-0.0211661,0.0510883,0,0.0146835,0.734312,0.0152936,-0.0135415,-0.00643986,-0.999888,0.272119,0,0,0.5,flat,0,8.27029e-10,3.52846e-11,0.999996,4.19809e-06,0,0,1
1.02,-0.0220272,0.052809,0,0.0173918,0.733769,0.017737,-0.0108332,0.00129891,-0.99994,0.281147,0,0,0.5,flat,0,8.65048e-10,2.00995e-11,0.999997,3.11554e-06,0,0,1
1.04,-0.0227748,0.0547657,0,0.0187755,0.733347,0.0203594,-0.00944947,0.0057049,-0.999939,0.289634,0,0,0.5,flat,0,1.02589e-09,1.91041e-11,0.999998,1.84969e-06,0,0,1
1.06,-0.0235077,0.0566379,0,0.0192772,0.733409,0.0202095,-0.00894783,0.00389178,-0.999952,0.296955,0,0,0.5,flat,0,6.42315e-10,1.07953e-11,0.999999,1.37842e-06,0,0,1
1.08,-0.0242138,0.0589463,0,0.0182219,0.73371,0.0186766,-0.0100031,0.00191801,-0.999948,0.300219,0,0,0.5,flat,0,6.10875e-10,1.46166e-11,0.999999,8.42587e-07,0,0,1
1.1,-0.0248872,0.0616623,0,0.0163691,0.733811,0.0177236,-0.0118559,0.00462695,-0.999919,0.30642,0,0,0.5,flat,0,3.90175e-10,9.05572e-12,0.999999,7.73343e-07,0,0,1
1.12,-0.0254783,0.0641767,0,0.0142006,0.733899,0.0172843,-0.0140243,0.0076859,-0.999872,0.316573,0,0,0.5,flat,0,1.75718e-10,6.28611e-12,0.999999,9.10497e-07,0,0,1
1.14,-0.0263438,0.0675935,0,0.0117352,0.734266,0.017974,-0.0164898,0.0114486,-0.999798,0.323246,0,0,0.5,flat,0,6.41051e-11,4.51764e-12,0.999999,6.05314e-07,0,0,1
1.16,-0.0269723,0.0701829,0,0.0086263,0.734766,0.0199363,-0.0195987,0.015812,-0.999683,0.329338,0,0,0.5,flat,0,3.16994e-11,4.35433e-12,1,3.34446e-07,0,0,1
1.18,-0.0274528,0.07208,0,0.00573955,0.735215,0.022057,-0.0224854,0.0191362,-0.999564,0.335678,0,0,0.5,flat,0,2.18709e-11,5.10511e-12,1,2.44154e-07,0,0,1
1.2,-0.0279084,0.0737442,0,0.00293039,0.735628,0.0240134,-0.0252946,0.021673,-0.999445,0.342797,0,0,0.5,flat,0,1.88413e-11,5.52161e-12,1,1.85097e-07,0,0,1
1.22,-0.0282138,0.0745585,0,0.00135165,0.735816,0.0250486,-0.0268733,0.0228483,-0.999378,0.34843,0,0,0.5,flat,0,1.53531e-11,3.22747e-12,1,1.19899e-07,0,0,1
1.24,-0.0284377,0.0748642,0,0.0014281,0.735894,0.024631,-0.0267969,0.0224278,-0.999389,0.352645,0,0,0.5,flat,0,1.49489e-11,1.61511e-12,1,8.30786e-08,0,0,1
1.26,-0.0283274,0.0745868,0,0.00281143,0.735992,0.0241446,-0.0254136,0.0218186,-0.999439,0.357818,0,0,0.5,flat,0,1.61237e-11,9.39497e-13,1,6.63894e-08,0,0,1
1.28,-0.0280351,0.0736108,0,0.00672754,0.736018,0.0219758,-0.0214974,0.0187597,-0.999593,0.362773,0,0,0.5,flat,0,2.55573e-11,1.22011e-12,1,7.39694e-08,0,0,1
1.3,-0.0275555,0.0718715,0,0.0126455,0.735802,0.0178442,-0.0155795,0.0104259,-0.999824,0.366812,0,0,0.5,flat,0,5.31222e-11,3.5428e-12,1,1.21121e-07,0,0,1
1.32,-0.0266731,0.0696433,0,0.0182525,0.735292,0.018257,-0.00997248,-0.00230416,-0.999948,0.371977,0,0,0.5,flat,0,1.88852e-10,1.62454e-11,1,2.15785e-07,0,0,1
1.34,-0.0260527,0.0680084,0,0.0226375,0.735687,0.0230327,-0.00558753,-0.00638444,-0.999964,0.378145,0,0,0.5,flat,0,3.71878e-11,3.26834e-12,1,2.36821e-07,0,0,1
1.36,-0.025438,0.0663513,0,0.0236212,0.736506,0.0241347,-0.00460375,-0.00710442,-0.999964,0.388383,0,0,0.5,flat,0,8.61861e-11,7.16621e-12,0.999999,7.85832e-07,0,0,1
1.38,-0.0250621,0.0651096,0,0.0213853,0.736672,0.0233565,-0.00683965,-0.0115515,-0.99991,0.395202,0,0,0.5,flat,0,3.93585e-11,4.80017e-12,0.999999,1.47879e-06,0,0,1
1.4,-0.0252253,0.0640182,0,0.0184634,0.736492,0.022699,-0.00976161,-0.0153652,-0.999834,0.403766,0,0,0.5,flat,0,5.76135e-11,1.5341e-11,0.999998,1.90749e-06,0,0,1
1.42,-0.0259611,0.0631294,0,0.0167237,0.736126,0.0221676,-0.0115013,-0.0167136,-0.999794,0.411838,0,0,0.5,flat,0,9.89381e-11,3.73999e-11,0.999997,2.54348e-06,0,0,1
1.44,-0.0270668,0.0621634,0,0.0156525,0.735708,0.0218043,-0.0125725,-0.0173441,-0.999771,0.423411,0,0,0.5,flat,0,8.96965e-11,3.45519e-11,0.999997,3.24696e-06,0,0,1
1.46,-0.0278804,0.0614305,0,0.0148803,0.735483,0.0219296,-0.0133447,-0.0182721,-0.999744,0.431789,0,0,0.5,flat,0,1.00094e-10,3.22984e-11,0.999996,3.88166e-06,0,0,1
1.48,-0.0286732,0.0606668,0,0.0137564,0.735414,0.0229497,-0.0144686,-0.0205306,-0.999685,0.441443,0,0,0.5,flat,0,1.42165e-10,4.29748e-11,0.999996,3.9285e-06,0,0,1
1.5,-0.0292842,0.0602481,0,0.0130805,0.735493,0.0242947,-0.0151445,-0.0226364,-0.999629,0.449269,0,0,0.5,flat,0,1.75462e-10,5.19703e-11,0.999996,4.23183e-06,0,0,1
1.52,-0.030142,0.0601152,0,0.0132876,0.735619,0.0257411,-0.0149374,-0.0242103,-0.999595,0.458293,0,0,0.5,flat,0,2.06614e-10,5.92281e-11,0.999995,5.46184e-06,0,0,1
1.54,-0.031284,0.0605345,0,0.0141314,0.735708,0.0264357,-0.0140936,-0.0245063,-0.9996,0.466826,0,0,0.5,flat,0,2.48014e-10,6.22574e-11,0.999993,6.92624e-06,0,0,1
1.56,-0.0324509,0.061303,0,0.0157955,0.735631,0.0254406,-0.0124295,-0.0221044,-0.999678,0.476928,0,0,0.5,flat,0,3.26826e-10,6.37605e-11,0.999991,9.37148e-06,0,0,1
1.58,-0.0341577,0.0627716,0,0.0182812,0.735239,0.0232003,-0.0099438,-0.0164449,-0.999815,0.488224,0,0,0.5,flat,0,4.58185e-10,5.36154e-11,0.99999,1.05349e-05,0,0,1
1.6,-0.0358229,0.0644629,0,0.0204703,0.734519,0.0216781,-0.00775467,-0.00928609,-0.999927,0.49613,0,0,0.5,flat,0,7.22466e-10,4.74703e-11,0.999991,9.20514e-06,0,0,1
1.62,-0.0375688,0.0663412,0,0.0221026,0.733499,0.0221056,-0.00612239,-0.00209137,-0.999979,0.503724,0,0,0.5,flat,0,8.09762e-10,2.69977e-11,0.999993,7.40126e-06,0,0,1
1.64,-0.0395654,0.0685635,0,0.0229858,0.732805,0.0231128,-0.00523916,0.000213888,-0.999986,0.514871,0,0,0.5,flat,0,1.07674e-09,2.25737e-11,0.999996,4.39308e-06,0,0,1
1.66,-0.0411459,0.0704112,0,0.0219616,0.733111,0.0221622,-0.00626338,-0.00512367,-0.999967,0.517065,0,0,0.5,flat,0,6.29851e-10,9.58299e-12,0.999997,2.96713e-06,0,0,1
1.68,-0.0424773,0.0724814,0,0.0192695,0.733237,0.0195651,-0.00895553,-0.00553078,-0.999945,0.52269,0,0,0.5,flat,0,8.36795e-10,1.33443e-11,0.999997,2.47222e-06,0,0,1
1.7,-0.0440855,0.0749617,0,0.0162765,0.733348,0.0163521,-0.0119485,-0.00371772,-0.999922,0.531211,0,0,0.5,flat,0,4.63663e-10,8.09269e-12,0.999997,3.21065e-06,0,0,1
