t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733601,0,-0.0284093,-0.00257585,-0.999593,0,0.4,0,0,flat,0,8.61377e-15,1.75346e-14,1,1.36535e-09,0,0,1
0.0399988,-2.99513e-06,-1.88922e-06,0,1.62721e-05,0.733603,0,-0.0283931,-0.00257723,-0.999593,-2.20686e-05,0.4,0,0,flat,0,1.10196e-14,2.05098e-14,1,1.0311e-09,0,0,1
0.0599988,-2.29664e-06,-2.79944e-06,0,3.22852e-05,0.733603,0,-0.0283771,-0.0025794,-0.999594,-4.46681e-05,0.4,0,0,flat,0,1.34272e-14,2.15634e-14,1,6.9784e-10,0,0,1
0.0799987,6.13928e-06,-3.07811e-06,0,5.12414e-05,0.733603,0,-0.0283581,-0.00258229,-0.999595,-6.65244e-05,0.4,0,0,flat,0,1.57753e-14,2.12514e-14,1,4.40662e-10,0,0,1
0.0999987,2.85637e-05,-3.14487e-06,0,7.70781e-05,0.7336,0,-0.0283323,-0.00258622,-0.999595,-8.72649e-05,0.4,0,0,flat,0,1.80881e-14,2.04755e-14,1,2.65621e-10,0,0,1
0.119999,7.10431e-05,-3.06804e-06,0,0.000117673,0.733596,0,-0.0282917,-0.00259139,-0.999596,-0.000106355,0.4,0,0,flat,0,2.03104e-14,1.97527e-14,1,1.54256e-10,0,0,1
0.139999,0.00013921,-2.86812e-06,0,0.000186808,0.73359,0,-0.0282225,-0.0025979,-0.999598,-0.000124091,0.4,0,0,flat,0,2.23169e-14,1.9394e-14,1,8.68845e-11,0,0,1
0.159999,0.000216236,-2.5997e-06,0,0.000269571,0.733583,0,-0.0281398,-0.00260442,-0.999601,-0.000137629,0.4,0,0,flat,0,2.40617e-14,1.99206e-14,1,4.86155e-11,0,0,1
0.179999,0.00039372,-1.4359e-06,0,0.000471039,0.73357,0.000345267,-0.0279383,-0.00261736,-0.999606,-0.000158735,0.4,0,0,flat,0,2.55451e-14,2.18866e-14,1,2.75819e-11,0,0,1
0.199999,0.000558726,3.45521e-07,0,0.000693966,0.733559,0.00059802,-0.0277154,-0.00262911,-0.999612,-0.000174813,0.4,0,0,flat,0,2.67952e-14,2.59836e-14,1,1.6081e-11,0,0,1
