t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733541,0,-0.0258138,-0.00159139,-0.999665,0,-0.25,0.2,0,flat,0,1.0094e-14,1.65509e-14,1,1.63509e-09,0,0,1
0.0399988,-6.72229e-06,-2.63797e-07,0,1.27982e-05,0.733543,0,-0.025801,-0.00159144,-0.999666,-7.56513e-06,-0.25,0.2,0,flat,0,7.79021e-15,1.40192e-14,1,2.21843e-09,0,0,1
0.0599988,-1.95839e-05,3.32016e-07,0,2.48607e-05,0.733547,0,-0.025789,-0.0015877,-0.999666,-1.48523e-05,-0.25,0.2,0,flat,0,6.47889e-15,1.36372e-14,1,3.28246e-09,0,0,1
0.0799987,-3.89647e-05,3.18047e-06,0,2.75336e-05,0.73355,0,-0.0257863,-0.00157977,-0.999666,-1.9033e-05,-0.25,0.2,0,flat,0,5.91295e-15,1.50248e-14,1,5.08076e-09,0,0,1
0.0999987,-7.85757e-05,1.25819e-05,0,1.74604e-05,0.733556,0,-0.0257964,-0.00156639,-0.999666,-2.14716e-05,-0.25,0.2,0,flat,0,5.81875e-15,1.7965e-14,1,7.85955e-09,0,0,1
0.119999,-0.000127666,2.67508e-05,0,-9.59262e-06,0.733562,0,-0.0258234,-0.00154638,-0.999665,-2.21655e-05,-0.25,0.2,0,flat,0,6.04604e-15,2.25101e-14,1,1.1702e-08,0,0,1
0.139999,-0.000203904,5.05662e-05,0,-6.20913e-05,0.73357,0,-0.0258759,-0.00151952,-0.999664,-2.07839e-05,-0.25,0.2,0,flat,0,6.57552e-15,2.91202e-14,1,1.67183e-08,0,0,1
0.159999,-0.000307703,8.38528e-05,0,-0.000152372,0.733578,0,-0.0259662,-0.00148643,-0.999662,-1.6294e-05,-0.25,0.2,0,flat,0,7.40975e-15,3.8437e-14,1,2.29761e-08,0,0,1
0.179999,-0.000698555,0.000206276,0,0.000404162,0.73356,0.00059802,-0.0254097,-0.00112567,-0.999676,0.000768104,-0.25,0.2,0,flat,0,1.3988e-14,5.73609e-14,1,3.37867e-08,0,0,1
0.199999,-0.00201243,0.00119298,0,0.00495885,0.733374,0.00675702,-0.020855,0.00299145,-0.999778,0.00459821,-0.25,0.2,0,flat,0,7.43098e-14,7.36292e-13,1,6.2467e-08,0,0,1
0.219999,-0.00315456,0.00292596,0,0.00687354,0.733296,0.0100721,-0.0189403,0.00577113,-0.999804,0.00535943,-0.25,0.2,0,flat,0,1.2213e-13,3.40075e-12,1,1.56025e-07,0,0,1
0.239999,-0.00418263,0.00491224,0,0.00650143,0.733346,0.0101605,-0.0193124,0.00621499,-0.999794,0.00499429,-0.25,0.2,0,flat,0,1.31834e-13,8.49886e-12,1,2.51823e-07,0,0,1
0.259999,-0.0055431,0.00702001,0,0.00628274,0.733409,0.010219,-0.0195311,0.00646396,-0.999788,0.00518037,-0.25,0.2,0,flat,0,1.98359e-13,1.77548e-11,1,3.21859e-07,0,0,1
0.279999,-0.00742337,0.00945853,0,0.00687527,0.7335,0.0110702,-0.0189386,0.00707997,-0.999796,0.00551118,-0.25,0.2,0,flat,0,3.14975e-13,2.99143e-11,1,3.84324e-07,0,0,1
0.299999,-0.00909917,0.0115893,0,0.00738748,0.733624,0.0117797,-0.0184263,0.00758061,-0.999801,0.00553068,-0.25,0.2,0,flat,0,5.60192e-13,6.00775e-11,0.999999,6.13049e-07,0,0,1
0.319999,-0.0113981,0.0145291,0,0.00828441,0.733806,0.0130702,-0.0175294,0.00851383,-0.99981,0.0054405,-0.25,0.2,0,flat,0,8.43197e-13,1.02699e-10,0.999999,9.52419e-07,0,0,1
0.339998,-0.0135069,0.0173429,0,0.00975491,0.733924,0.0151487,-0.0160589,0.00999461,-0.999821,0.00521488,-0.25,0.2,0,flat,0,1.07764e-12,1.27185e-10,0.999999,1.31825e-06,0,0,1
0.359998,-0.0160974,0.0209321,0,0.0118894,0.733894,0.0183547,-0.0139245,0.0123932,-0.999826,0.00523003,-0.25,0.2,0,flat,0,1.19336e-12,1.20351e-10,0.999998,1.56919e-06,0,0,1
0.379998,-0.0188614,0.0250255,0,0.0143814,0.733471,0.0231797,-0.0114325,0.0165844,-0.999797,0.00581666,-0.25,0.2,0,flat,0,1.25328e-12,1.06444e-10,0.999999,1.4688e-06,0,0,1
0.399998,-0.0217695,0.0297847,0,0.0168095,0.732585,0.0289046,-0.00900434,0.0219211,-0.999719,0.00595943,-0.25,0.2,0,flat,0,1.47188e-12,9.25397e-11,0.999999,1.28155e-06,0,0,1
0.419998,-0.0245855,0.0337317,0,0.0167147,0.733406,0.0221971,-0.0090991,0.0130109,-0.999874,0.00517749,-0.25,0.2,0,flat,0,2.49666e-12,1.24282e-10,0.999999,1.38852e-06,0,0,1
0.439998,-0.0266989,0.0381191,0,0.0118018,0.734627,0.017104,-0.014012,0.0107835,-0.999844,0.000173207,-0.25,0.2,0,flat,0,4.71194e-13,1.20486e-11,1,4.33564e-07,0,0,1
0.459998,-0.0290436,0.0427997,0,0.00690023,0.735616,0.0199841,-0.0189136,0.0171637,-0.999674,-0.0027921,-0.25,0.2,0,flat,0,2.61529e-13,6.12247e-12,1,3.41149e-07,0,0,1
0.479998,-0.0316976,0.0473546,0,0.00342105,0.73635,0.0238815,-0.0223928,0.0220429,-0.999506,-0.00489872,-0.25,0.2,0,flat,0,4.96967e-13,1.29047e-11,1,3.36967e-07,0,0,1
0.499998,-0.0344102,0.0515698,0,-0.00117872,0.73678,0.0268118,-0.0269925,0.0251919,-0.999318,-0.00691382,-0.25,0.2,0,flat,0,1.38683e-12,4.47892e-11,1,4.49973e-07,0,0,1
0.519998,-0.0372256,0.0553997,0,-0.00632214,0.736929,0.0287205,-0.032136,0.0264175,-0.999134,-0.0090967,-0.25,0.2,0,flat,0,2.66937e-12,1.13971e-10,0.999999,5.6178e-07,0,0,1
0.539998,-0.0402661,0.0589043,0,-0.0112589,0.736911,0.0300016,-0.0370727,0.0262073,-0.998969,-0.0130087,-0.25,0.2,0,flat,0,3.88068e-12,1.81101e-10,0.999999,6.21699e-07,0,0,1
0.559998,-0.0434956,0.061918,0,-0.0157243,0.736798,0.0307842,-0.0415381,0.02486,-0.998828,-0.0167696,-0.25,0.2,0,flat,0,4.96099e-12,2.09576e-10,0.999999,5.68356e-07,0,0,1
0.579998,-0.0468512,0.0643247,0,-0.0195855,0.736576,0.0310138,-0.0453993,0.0224352,-0.998717,-0.0198022,-0.25,0.2,0,flat,0,6.30469e-12,2.0975e-10,1,4.24352e-07,0,0,1
0.599998,-0.0503444,0.0661505,0,-0.0222223,0.736293,0.0308113,-0.0480361,0.0197276,-0.998651,-0.0225959,-0.25,0.2,0,flat,0,8.124e-12,1.9464e-10,1,2.7912e-07,0,0,1
0.619998,-0.0539066,0.0674491,0,-0.0234191,0.735998,0.0300612,-0.049233,0.0172275,-0.998639,-0.025271,-0.25,0.2,0,flat,0,9.69771e-12,1.55384e-10,1,1.92296e-07,0,0,1
0.639998,-0.0573795,0.0682286,0,-0.0235626,0.735703,0.0285769,-0.0493765,0.0145436,-0.998674,-0.0279934,-0.25,0.2,0,flat,0,1.15981e-11,1.31724e-10,1,1.6563e-07,0,0,1
0.659998,-0.0606481,0.0684166,0,-0.0229379,0.735401,0.0264672,-0.0487517,0.0115794,-0.998744,-0.0300164,-0.25,0.2,0,flat,0,1.50123e-11,1.35059e-10,1,1.70154e-07,0,0,1
0.679998,-0.0638633,0.0679479,0,-0.0207101,0.73496,0.022224,-0.0465239,0.00642927,-0.998896,-0.032012,-0.25,0.2,0,flat,0,2.23007e-11,1.536e-10,1,1.92573e-07,0,0,1
0.699998,-0.0670803,0.0668856,0,-0.0168793,0.73435,0.0168936,-0.0426931,-0.00191441,-0.999086,-0.0336989,-0.25,0.2,0,flat,0,4.71595e-11,2.43743e-10,1,2.59699e-07,0,0,1
0.719998,-0.0703085,0.0659372,0,-0.0123167,0.734268,0.0137502,-0.0381305,-0.00768715,-0.999243,-0.034513,-0.25,0.2,0,flat,0,3.30099e-11,2.14141e-10,1,2.60543e-07,0,0,1
0.739998,-0.073594,0.064832,0,-0.00850078,0.734235,0.0166698,-0.0343146,-0.015926,-0.999284,-0.0336303,-0.25,0.2,0,flat,0,1.02355e-10,8.7489e-10,1,4.7693e-07,0,0,1
0.759998,-0.0768595,0.0646408,0,-0.00834538,0.734778,0.0178743,-0.0341592,-0.0173906,-0.999265,-0.0309732,-0.25,0.2,0,flat,0,1.66499e-10,1.63294e-09,0.999999,1.03102e-06,0,0,1
0.779998,-0.0799994,0.064631,0,-0.0116093,0.735009,0.0219894,-0.0374231,-0.0202565,-0.999094,-0.0269563,-0.25,0.2,0,flat,0,2.08928e-10,2.12352e-09,0.999999,1.3997e-06,0,0,1
0.799998,-0.0833595,0.0650852,0,-0.0148921,0.735066,0.0262864,-0.040706,-0.0232376,-0.998901,-0.0250664,-0.25,0.2,0,flat,0,1.87945e-10,2.3599e-09,0.999998,1.5624e-06,0,0,1
0.819998,-0.0871952,0.0659108,0,-0.0158494,0.735019,0.0276309,-0.0416632,-0.0242101,-0.998838,-0.0219318,-0.25,0.2,0,flat,0,1.82299e-10,2.57023e-09,0.999998,2.06545e-06,0,0,1
0.839998,-0.0913115,0.0669274,0,-0.0147883,0.734966,0.0270068,-0.0406021,-0.0241747,-0.998883,-0.0172729,-0.25,0.2,0,flat,0,1.99002e-10,2.85605e-09,0.999998,2.20972e-06,0,0,1
0.859998,-0.095377,0.0680923,0,-0.0133919,0.73499,0.0265549,-0.0392057,-0.0245102,-0.998931,-0.0135851,-0.25,0.2,0,flat,0,2.37008e-10,3.58269e-09,0.999998,2.1613e-06,0,0,1
0.879998,-0.0998166,0.0695202,0,-0.012148,0.73516,0.0267852,-0.0379619,-0.0254521,-0.998955,-0.0107109,-0.25,0.2,0,flat,0,2.61338e-10,4.23822e-09,0.999998,2.03983e-06,0,0,1
0.899998,-0.103525,0.0709027,0,-0.0109293,0.735387,0.0272288,-0.0367431,-0.0265198,-0.998973,-0.00781494,-0.25,0.2,0,flat,0,2.83133e-10,5.17908e-09,0.999998,2.11769e-06,0,0,1
0.919998,-0.107823,0.0728655,0,-0.00927072,0.735627,0.0271323,-0.0350845,-0.0270828,-0.999017,-0.00529755,-0.25,0.2,0,flat,0,3.04006e-10,6.40898e-09,0.999997,2.4881e-06,0,0,1
0.939998,-0.111862,0.0750916,0,-0.00691251,0.735766,0.0255644,-0.0327263,-0.0261974,-0.999121,-0.00197365,-0.25,0.2,0,flat,0,2.94467e-10,6.76966e-09,0.999997,2.92533e-06,0,0,1
0.959998,-0.116845,0.0785033,0,-0.00427615,0.735859,0.0220165,-0.03009,-0.0231839,-0.999278,0.00180691,-0.25,0.2,0,flat,0,2.74125e-10,6.37e-09,0.999997,3.04147e-06,0,0,1
0.979998,-0.121275,0.0823041,0,-0.00175816,0.735921,0.0166519,-0.027572,-0.018147,-0.999455,0.00413196,-0.25,0.2,0,flat,0,2.0451e-10,4.27985e-09,0.999997,2.82216e-06,0,0,1
0.999998,-0.125597,0.0866942,0,0.000616331,0.735901,0.009405,-0.0251975,-0.0109753,-0.999622,0.0058631,-0.25,0.2,0,flat,0,1.49452e-10,2.4524e-09,0.999998,2.14527e-06,0,0,1
1.02,-0.129747,0.0914742,0,0.002669,0.735572,0.00267443,-0.0231448,-0.00181757,-0.99973,0.00716172,-0.25,0.2,0,flat,0,1.07131e-10,1.24436e-09,0.999999,1.38188e-06,0,0,1
1.04,-0.133863,0.0959517,0,0.00492206,0.735267,0.00824316,-0.0208918,0.00502024,-0.999769,0.0114766,-0.25,0.2,0,flat,0,7.83597e-11,8.01966e-10,0.999999,9.96276e-07,0,0,1
