t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.631722,0,-0.021044,0.0233315,-0.999506,0,0,-0.3,0,NEUTRAL,0,2.46447e-07,5.22011e-06,2.56638e-05,0.999969,0,0,1
0.0399988,-0.00503302,-0.000351369,0,0.00744568,0.627481,0.0395458,-0.0135983,-0.0155036,-0.999787,-0.00532936,0,-0.3,0,NEUTRAL,0,3.13738e-07,1.1178e-05,1.3015e-05,0.999976,0,0,1
0.0599988,-0.0109646,-0.00281407,0,0.0193388,0.623441,0.0803918,-0.00170519,-0.0546704,-0.998503,-0.0234231,0,-0.3,0,NEUTRAL,0,2.05853e-07,4.89518e-05,4.8233e-06,0.999946,0,0,1
0.0799987,-0.01625,-0.00339884,0,0.0235915,0.62384,0.0808337,0.00254747,-0.0539544,-0.99854,-0.0219347,0,-0.3,0,NEUTRAL,0,1.04354e-06,9.11801e-05,2.25777e-06,0.999905,0,0,1
0.0999987,-0.0199301,-0.0056418,0,0.0173047,0.624989,0.0829331,-0.00373929,-0.0577437,-0.998324,-0.0163096,0,-0.3,0,NEUTRAL,0,1.35317e-05,7.09415e-06,0.000154705,0.999825,0,0,1
0.119999,-0.023556,-0.00848262,0,0.00870298,0.625224,0.0858111,-0.012341,-0.0619984,-0.998,-0.0225894,0,-0.3,0,NEUTRAL,0,8.07267e-07,8.2295e-07,0.000686381,0.999312,0,0,1
0.139999,-0.0271263,-0.0114683,0,-0.000495836,0.625031,0.0859716,-0.0215398,-0.0625958,-0.997806,-0.0333135,0,-0.3,0,NEUTRAL,0,1.25601e-07,7.11001e-07,0.000262727,0.999736,0,0,1
0.159999,-0.0305259,-0.0140789,0,-0.00676238,0.624989,0.0866554,-0.0278064,-0.0630123,-0.997625,-0.0465418,0,-0.3,0,NEUTRAL,0,8.34768e-09,7.58905e-07,5.09902e-05,0.999948,0,0,1
0.179999,-0.0345979,-0.0164331,0,-0.0100006,0.62527,0.0871136,-0.0310446,-0.0631566,-0.997521,-0.0644338,0,-0.3,0,NEUTRAL,0,2.88044e-09,1.02403e-06,7.27986e-06,0.999992,0,0,1
0.199999,-0.0386478,-0.0179413,0,-0.0104799,0.625323,0.0840254,-0.0315239,-0.0599939,-0.997701,-0.0834982,0,-0.3,0,NEUTRAL,0,5.38772e-09,1.89856e-06,2.50302e-06,0.999996,0,0,1
0.219999,-0.0429091,-0.0186579,0,-0.0098609,0.62416,0.0705108,-0.0309049,-0.046464,-0.998442,-0.101927,0,-0.3,0,NEUTRAL,0,1.62651e-08,1.75619e-06,3.15273e-06,0.999995,0,0,1
0.239999,-0.0471756,-0.0189967,0,-0.00739544,0.621554,0.0491203,-0.0284394,-0.025224,-0.999277,-0.107596,0,-0.3,0,NEUTRAL,0,4.99115e-08,1.14657e-06,6.76899e-06,0.999992,0,0,1
0.259999,-0.0515948,-0.0185512,0,-0.00557076,0.619531,0.0293792,-0.0266148,-0.00551552,-0.999631,-0.109161,0,-0.3,0,NEUTRAL,0,2.37057e-07,7.94359e-06,5.77194e-05,0.999934,0,0,1
0.279999,-0.0562283,-0.0170099,0,-0.0102914,0.618333,0.0183417,-0.0313354,0.00814787,-0.999476,-0.117039,0,-0.3,0,NEUTRAL,0,7.70591e-07,2.11404e-05,0.000456014,0.999522,0,0,1
0.299999,-0.0605878,-0.0144628,0,-0.0224736,0.617894,0.0253913,-0.0435176,0.011525,-0.998986,-0.127576,0,-0.3,0,NEUTRAL,0,9.1721e-07,1.84471e-05,0.000435571,0.999545,0,0,1
0.319999,-0.0649194,-0.0109274,0,-0.0343154,0.617566,0.0365678,-0.0553594,0.0107484,-0.998409,-0.134224,0,-0.3,0,NEUTRAL,0,2.35216e-07,5.96273e-06,7.26282e-05,0.999921,0,0,1
