t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.73353,0,-0.0257619,-0.00160157,-0.999667,0,0.3,0,0,flat,0,1.00925e-14,1.63799e-14,1,1.64304e-09,0,0,1
0.0399988,-5.13718e-06,-2.95462e-07,0,1.36998e-05,0.733532,0,-0.0257482,-0.00160224,-0.999667,-7.30995e-06,0.3,0,0,flat,0,1.30905e-14,1.9235e-14,1,1.24585e-09,0,0,1
0.0599988,-5.97723e-06,-5.60191e-07,0,3.07932e-05,0.733533,0.000345267,-0.0257311,-0.00160393,-0.999668,-1.52783e-05,0.3,0,0,flat,0,1.61718e-14,2.0183e-14,1,8.44194e-10,0,0,1
0.0799987,3.03611e-07,-7.26199e-07,0,4.72926e-05,0.733533,0,-0.0257146,-0.00160608,-0.999668,-2.02241e-05,0.3,0,0,flat,0,1.90891e-14,1.95962e-14,1,5.28472e-10,0,0,1
0.0999987,2.28155e-05,-7.8883e-07,0,7.46809e-05,0.73353,0,-0.0256872,-0.00160969,-0.999669,-2.38768e-05,0.3,0,0,flat,0,2.19342e-14,1.84559e-14,1,3.14845e-10,0,0,1
0.119999,6.42054e-05,-7.39237e-07,0,0.000114271,0.733525,0,-0.0256476,-0.00161393,-0.99967,-2.47299e-05,0.3,0,0,flat,0,2.45788e-14,1.72584e-14,1,1.80228e-10,0,0,1
0.139999,0.000123324,-6.19795e-07,0,0.000182027,0.733519,0.000345267,-0.0255798,-0.00161894,-0.999671,-2.33985e-05,0.3,0,0,flat,0,2.6835e-14,1.62921e-14,1,9.98274e-11,0,0,1
0.159999,0.00021849,-4.1537e-07,0,0.000276105,0.733511,0.000345267,-0.0254858,-0.00162416,-0.999674,-2.04863e-05,0.3,0,0,flat,0,2.86434e-14,1.59407e-14,1,5.48108e-11,0,0,1
0.179999,0.000365531,-1.16881e-07,0,0.000425454,0.7335,0.000345267,-0.0253364,-0.00163088,-0.999678,-1.55508e-05,0.3,0,0,flat,0,2.99691e-14,1.64767e-14,1,3.03134e-11,0,0,1
0.199999,0.000542141,2.13971e-07,0,0.000630653,0.733488,0.00059802,-0.0251312,-0.00163841,-0.999683,-9.73418e-06,0.3,0,0,flat,0,3.09056e-14,1.82407e-14,1,1.71318e-11,0,0,1
0.219999,0.000763478,6.55418e-07,0,0.000897635,0.733474,0.000913491,-0.0248642,-0.00164694,-0.999689,-3.56464e-06,0.3,0,0,flat,0,3.18318e-14,2.1773e-14,1,1.00445e-11,0,0,1
0.239999,0.00064026,0.000150809,0,0.00294639,0.733399,0.0031074,-0.0228155,-0.000676723,-0.999739,0.00210398,0.3,0,0,flat,0,2.55178e-14,2.13893e-14,1,4.68894e-12,0,0,1
0.259999,0.000262812,0.00116219,0,0.005697,0.73313,0.00699114,-0.0200649,0.0024477,-0.999796,0.00409485,0.3,0,0,flat,0,3.08395e-13,8.95591e-13,1,4.31823e-12,0,0,1
0.279999,0.000185406,0.00255634,0,0.00693006,0.732987,0.00949958,-0.0188318,0.00489317,-0.999811,0.00423833,0.3,0,0,flat,0,2.96347e-13,1.34324e-12,1,1.24218e-11,0,0,1
0.299999,0.000144228,0.00379369,0,0.00741061,0.733008,0.010335,-0.0183513,0.00559198,-0.999816,0.00464423,0.3,0,0,flat,0,7.89129e-14,1.47177e-12,1,1.13067e-11,0,0,1
0.319999,-5.96773e-05,0.00525698,0,0.00839891,0.733136,0.0112623,-0.017363,0.00590322,-0.999832,0.00668904,0.3,0,0,flat,0,8.03441e-14,1.24503e-11,1,1.31211e-11,0,0,1
0.339998,-0.000329195,0.00673594,0,0.00982757,0.733197,0.0131066,-0.0159343,0.00706848,-0.999848,0.00892869,0.3,0,0,flat,0,1.9382e-13,2.07191e-10,1,3.2346e-11,0,0,1
0.359998,-0.000691295,0.00833352,0,0.0116782,0.733056,0.0162717,-0.0140837,0.00973133,-0.999853,0.010443,0.3,0,0,flat,0,5.38804e-13,3.16032e-09,1,9.99156e-11,0,0,1
0.379998,-0.00107771,0.0106225,0,0.0138895,0.732515,0.0208283,-0.0118723,0.0139175,-0.999833,0.0123842,0.3,0,0,flat,0,1.84051e-12,4.23806e-08,1,2.36205e-10,0,0,1
0.399998,-0.00107979,0.0120296,0,0.0139418,0.732667,0.0173015,-0.0118201,0.00864447,-0.999893,0.0140651,0.3,0,0,flat,0,1.44876e-12,1.48646e-07,1,2.36143e-10,0,0,1
0.419998,-0.000562634,0.013848,0,0.0121057,0.733356,0.013341,-0.0136562,0.00399739,-0.999899,0.0146746,0.3,0,0,flat,0,1.66464e-12,2.71422e-07,1,2.05531e-10,0,0,1
0.439998,-8.93138e-05,0.0156693,0,0.010878,0.733934,0.0126625,-0.0148838,0.00488206,-0.999877,0.0159617,0.3,0,0,flat,0,2.71233e-12,1.50294e-07,1,1.97732e-10,0,0,1
