t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.711575,0,-0.0777206,0.0273073,-0.996601,0,0,0.3,0,flat,0,2.12802e-13,2.47881e-12,1,9.17225e-08,0,0,1
0.0399988,-0.00299057,0.0040363,0,-0.00393267,0.711202,0.00398182,-0.0816532,0.0267419,-0.996302,0.000466213,0,0.3,0,flat,0,4.84047e-13,1.16857e-12,1,1.16321e-07,0,0,1
0.0599988,-0.00597739,0.00787823,0,-0.00721256,0.711023,0.00752494,-0.0849331,0.0252193,-0.996067,0.000822037,0,0.3,0,flat,0,2.6725e-13,2.74467e-13,1,7.3035e-08,0,0,1
0.0799987,-0.00896418,0.0113887,0,-0.00958189,0.710874,0.00996505,-0.0873025,0.0246629,-0.995876,0.000958636,0,0.3,0,flat,0,1.9225e-13,1.36783e-13,1,5.61104e-08,0,0,1
0.0999987,-0.0118885,0.0144166,0,-0.0122483,0.710734,0.0125443,-0.0899688,0.024772,-0.995636,0.00108293,0,0.3,0,flat,0,1.2604e-13,8.39145e-14,1,3.87077e-08,0,0,1
0.119999,-0.0146773,0.0169359,0,-0.0148451,0.710587,0.0149905,-0.0925657,0.0255815,-0.995378,0.00149451,0,0.3,0,flat,0,7.99401e-14,4.81282e-14,1,2.21161e-08,0,0,1
0.139999,-0.0172571,0.0188852,0,-0.0172965,0.710433,0.0173668,-0.095017,0.0268684,-0.995113,0.00298239,0,0.3,0,flat,0,6.40752e-14,3.24102e-14,1,1.31989e-08,0,0,1
0.159999,-0.0195752,0.020179,0,-0.0195787,0.710253,0.0197078,-0.0972993,0.0286973,-0.994841,0.00712015,0,0.3,0,flat,0,7.12915e-14,2.80979e-14,1,9.74326e-09,0,0,1
0.179999,-0.0217225,0.021,0,-0.0193587,0.710193,0.0197078,-0.0970793,0.0305397,-0.994808,0.014457,0,0.3,0,flat,0,1.27814e-13,3.2502e-14,1,9.06699e-09,0,0,1
0.199999,-0.0238293,0.0217529,0,-0.0161849,0.71033,0.0164575,-0.0939054,0.029918,-0.995131,0.0212453,0,0.3,0,flat,0,2.40317e-13,6.06505e-14,1,1.06419e-08,0,0,1
0.219999,-0.0258995,0.0224645,0,-0.0104895,0.710285,0.0110648,-0.08821,0.0238454,-0.995816,0.0245553,0,0.3,0,flat,0,2.21944e-13,6.94114e-14,1,1.71621e-08,0,0,1
0.239999,-0.0280491,0.0231224,0,-0.00328845,0.709651,0.0152819,-0.081009,0.012382,-0.996636,0.0231591,0,0.3,0,flat,0,1.8943e-13,7.94799e-14,1,2.77636e-08,0,0,1
0.259999,-0.0326112,0.0253185,0,0.00915853,0.708194,0.0252878,-0.068562,0.00375815,-0.99764,0.0120809,0,0.3,0,flat,0,1.53361e-11,1.24354e-11,1,4.61323e-07,0,0,1
0.279999,-0.0367328,0.028466,0,0.0129474,0.70795,0.0167981,-0.0647731,0.0166632,-0.997761,0.0135106,0,0.3,0,flat,0,3.03797e-10,3.76516e-10,0.999998,1.82307e-06,0,0,1
0.299999,-0.039941,0.0304472,0,0.00986543,0.707909,0.0137068,-0.0678551,0.0178369,-0.997536,0.0155663,0,0.3,0,flat,0,1.05681e-10,8.11587e-10,0.999999,1.30847e-06,0,0,1
0.319999,-0.0435316,0.0319647,0,0.0059987,0.707921,0.0119754,-0.0717219,0.0169607,-0.99728,0.0161079,0,0.3,0,flat,0,1.6048e-11,7.07619e-10,0.999999,7.69741e-07,0,0,1
0.339998,-0.0477022,0.033426,0,0.00519039,0.707798,0.00959945,-0.0725302,0.0192467,-0.997181,0.0172691,0,0.3,0,flat,0,9.37565e-12,7.98798e-10,0.999999,8.70935e-07,0,0,1
0.359998,-0.052227,0.0351193,0,0.00628901,0.707469,0.00715129,-0.0714316,0.0239394,-0.997158,0.018907,0,0.3,0,flat,0,9.19985e-12,8.39104e-10,0.999999,1.36557e-06,0,0,1
0.379998,-0.0568738,0.0373617,0,0.00772275,0.706784,0.00835805,-0.0699978,0.0304578,-0.997082,0.0205477,0,0.3,0,flat,0,9.0051e-12,6.06865e-10,0.999998,1.97133e-06,0,0,1
0.399998,-0.061631,0.0406559,0,0.00795382,0.705903,0.011172,-0.0697667,0.03515,-0.996944,0.0192454,0,0.3,0,flat,0,1.69919e-11,7.92441e-10,0.999995,4.77055e-06,0,0,1
0.419998,-0.066099,0.0436389,0,0.00773385,0.7055,0.0103868,-0.0699867,0.0342331,-0.99696,0.0209558,0,0.3,0,flat,0,1.79636e-11,3.31607e-10,0.999989,1.10317e-05,0,0,1
0.439998,-0.0710922,0.0473745,0,0.00303294,0.706242,0.00316443,-0.0746876,0.0264018,-0.996857,0.0172051,0,0.3,0,flat,0,1.2781e-11,2.10258e-10,0.999997,3.44679e-06,0,0,1
0.459998,-0.0757486,0.0517265,0,-0.00319912,0.706583,0.00322044,-0.0809197,0.0275925,-0.996339,0.00952676,0,0.3,0,flat,0,7.42633e-12,1.22629e-10,0.999995,4.80969e-06,0,0,1
0.479998,-0.0808177,0.0559822,0,-0.0057587,0.706763,0.00694838,-0.0834793,0.0311684,-0.996022,0.00649887,0,0.3,0,flat,0,2.07005e-11,3.25754e-10,0.999992,8.03643e-06,0,0,1
0.499998,-0.0854358,0.0594696,0,-0.00683246,0.706878,0.00902333,-0.084553,0.0331572,-0.995867,0.00446355,0,0.3,0,flat,0,4.06492e-11,4.0319e-10,0.999991,8.98741e-06,0,0,1
0.519998,-0.0905017,0.0629789,0,-0.00809477,0.707001,0.011027,-0.0858153,0.0347416,-0.995705,0.00135349,0,0.3,0,flat,0,4.78501e-11,3.11902e-10,0.99999,1.03761e-05,0,0,1
0.539998,-0.0959865,0.0662972,0,-0.0100684,0.707065,0.0132962,-0.087789,0.0359192,-0.995491,-0.00157696,0,0.3,0,flat,0,4.50846e-11,2.46683e-10,0.99999,1.00698e-05,0,0,1
0.559998,-0.100964,0.0687604,0,-0.0120686,0.706922,0.0146648,-0.0897892,0.0355511,-0.995326,-0.00373827,0,0.3,0,flat,0,4.70002e-11,2.57974e-10,0.99999,9.60236e-06,0,0,1
0.579998,-0.105961,0.0707331,0,-0.0136636,0.706553,0.0153208,-0.0913842,0.0341066,-0.995231,-0.00547276,0,0.3,0,flat,0,6.79348e-11,3.71861e-10,0.99999,1.02035e-05,0,0,1
0.599998,-0.110517,0.0720736,0,-0.014313,0.706093,0.0149187,-0.0920335,0.0313032,-0.995264,-0.00689961,0,0.3,0,flat,0,1.09828e-10,4.7905e-10,0.999989,1.11592e-05,0,0,1
0.619998,-0.116198,0.0731704,0,-0.0128539,0.705466,0.0129188,-0.0905745,0.0265601,-0.995535,-0.00773804,0,0.3,0,flat,0,1.89337e-10,5.54826e-10,0.999987,1.26876e-05,0,0,1
0.639998,-0.121485,0.0737728,0,-0.00953106,0.704909,0.011294,-0.0872516,0.0212876,-0.995959,-0.00868997,0,0.3,0,flat,0,4.07743e-10,7.51338e-10,0.999982,1.76647e-05,0,0,1
0.659998,-0.126757,0.0740333,0,-0.0034835,0.704271,0.0148466,-0.0812041,0.0128774,-0.996614,-0.00947371,0,0.3,0,flat,0,7.29855e-10,9.64138e-10,0.999975,2.48778e-05,0,0,1
0.679998,-0.132041,0.0738717,0,0.00409106,0.703144,0.0265325,-0.0736295,0.00109973,-0.997285,-0.0107162,0,0.3,0,flat,0,1.52531e-09,1.72909e-09,0.999959,4.13106e-05,0,0,1
0.699998,-0.137477,0.0735999,0,0.0134506,0.70152,0.0431368,-0.0642699,-0.0136575,-0.997839,-0.0153262,0,0.3,0,flat,0,5.90242e-09,6.37075e-09,0.999914,8.62443e-05,0,0,1
0.719998,-0.143239,0.0734155,0,0.0241807,0.699894,0.0617035,-0.0535399,-0.0294303,-0.998132,-0.0251764,0,0.3,0,flat,0,4.73075e-09,5.61461e-09,0.9998,0.000199592,0,0,1
0.739998,-0.148568,0.073306,0,0.0300724,0.699206,0.0700363,-0.0476482,-0.0359087,-0.998219,-0.0241495,0,0.3,0,flat,0,1.02137e-08,1.46676e-08,0.999525,0.000474788,0,0,1
0.759998,-0.152774,0.0735197,0,0.0269036,0.699348,0.0690783,-0.0508169,-0.0362858,-0.998049,-0.0164184,0,0.3,0,flat,0,4.80941e-08,2.25137e-08,0.999646,0.000354046,0,0,1
0.779998,-0.15656,0.0737452,0,0.0211593,0.699213,0.0713418,-0.0565613,-0.0408022,-0.997565,-0.0153896,0,0.3,0,flat,0,7.83773e-09,2.00455e-09,0.999868,0.000131961,0,0,1
0.799998,-0.160548,0.0741864,0,0.0175795,0.699016,0.0723845,-0.060141,-0.0428917,-0.997268,-0.0148442,0,0.3,0,flat,0,4.09836e-09,1.36356e-09,0.999903,9.65263e-05,0,0,1
0.819998,-0.164301,0.0746552,0,0.0172103,0.698946,0.0719869,-0.0605103,-0.0425727,-0.997259,-0.0125412,0,0.3,0,flat,0,7.07805e-09,2.67641e-09,0.999883,0.000117429,0,0,1
0.839998,-0.168838,0.075371,0,0.0191798,0.699137,0.0713752,-0.0585408,-0.0414233,-0.997425,-0.00907485,0,0.3,0,flat,0,1.51135e-08,4.95691e-09,0.999818,0.000182019,0,0,1
0.859998,-0.172848,0.0763202,0,0.0221342,0.699557,0.0714863,-0.0555863,-0.0406423,-0.997626,-0.00669625,0,0.3,0,flat,0,1.89443e-08,4.72032e-09,0.999725,0.000274639,0,0,1
0.879998,-0.176359,0.077615,0,0.0247629,0.700054,0.0715355,-0.0529577,-0.0397781,-0.997804,-0.00577214,0,0.3,0,flat,0,2.43482e-08,5.16659e-09,0.999632,0.000368155,0,0,1
0.899998,-0.180182,0.0796313,0,0.0270551,0.70067,0.0711802,-0.0506654,-0.0385011,-0.997973,-0.00566283,0,0.3,0,flat,0,2.97287e-08,5.92153e-09,0.999572,0.000428035,0,0,1
0.919998,-0.184056,0.0822641,0,0.0291367,0.701271,0.0703346,-0.0485839,-0.0366748,-0.998146,-0.0056299,0,0.3,0,flat,0,3.30073e-08,6.34051e-09,0.999585,0.000414678,0,0,1
0.939998,-0.188488,0.0859292,0,0.0320565,0.701777,0.0683465,-0.0456641,-0.0330146,-0.998411,-0.00481096,0,0.3,0,flat,0,3.43157e-08,6.22019e-09,0.999622,0.000377833,0,0,1
0.959998,-0.192522,0.0900115,0,0.0353323,0.702003,0.0653675,-0.0423883,-0.0276336,-0.998719,-0.00298506,0,0.3,0,flat,0,3.03395e-08,4.64583e-09,0.999646,0.000353812,0,0,1
0.979998,-0.196636,0.094763,0,0.04012,0.701826,0.0617383,-0.0376005,-0.0195396,-0.999102,0.00211361,0,0.3,0,flat,0,1.89074e-08,1.90576e-09,0.999699,0.000301269,0,0,1
0.999998,-0.20036,0.0997416,0,0.0453222,0.701255,0.0589684,-0.0323984,-0.0102982,-0.999422,0.00712503,0,0.3,0,flat,0,1.99658e-08,1.2378e-09,0.999773,0.000226894,0,0,1
1.02,-0.204987,0.106793,0,0.0524325,0.699802,0.0567628,-0.0252881,0.00579769,-0.999663,0.0137507,0,0.3,0,flat,0,2.21739e-08,6.93918e-10,0.99979,0.000209759,0,0,1
1.04,-0.209019,0.113336,0,0.0579241,0.69838,0.0590735,-0.0197965,0.0161647,-0.999673,0.0188439,0,0.3,0,flat,0,3.13778e-08,9.02747e-10,0.999813,0.000186544,0,0,1
1.06,-0.212632,0.119302,0,0.0632514,0.696973,0.0633292,-0.0144692,0.0276166,-0.999514,0.0268755,0,0.3,0,flat,0,1.7681e-08,3.78743e-10,0.999846,0.000153513,0,0,1
1.08,-0.217377,0.127166,0,0.0676935,0.694889,0.0700542,-0.0100271,0.0451347,-0.998931,0.0358917,0,0.3,0,flat,0,1.09801e-08,3.27213e-10,0.999924,7.60138e-05,0,0,1
1.1,-0.221012,0.133167,0,0.0667594,0.693846,0.070101,-0.0109612,0.0485395,-0.998761,0.0390721,0,0.3,0,flat,0,6.10904e-09,3.41668e-10,0.999956,4.39296e-05,0,0,1
1.12,-0.224944,0.140651,0,0.0585707,0.693017,0.0613992,-0.0191499,0.0455674,-0.998778,0.0405417,0,0.3,0,flat,0,5.13883e-10,9.87502e-11,0.999958,4.20681e-05,0,0,1
