t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.71498,0,-0.109608,0.0227733,-0.993714,0,0,0,0,flat,0,3.54997e-14,1.67356e-14,1,3.04475e-09,0,0,1
0.0399988,-0.000644848,-0.00155254,0,-0.000372067,0.715069,0.00179406,-0.10998,0.0210574,-0.993711,0.0072217,0,0,0,flat,0,3.65263e-14,1.63159e-14,1,2.69706e-09,0,0,1
0.0599988,-0.00120337,-0.00313843,0,-0.00085669,0.715164,0.00365396,-0.110465,0.0192382,-0.993694,0.0150345,0,0,0,flat,0,3.33984e-14,1.63853e-14,1,2.25386e-09,0,0,1
0.0799987,-0.00166418,-0.00477764,0,-0.00172029,0.71526,0.00552428,-0.111328,0.0175271,-0.993629,0.0234267,0,0,0,flat,0,2.96874e-14,1.81988e-14,1,1.70592e-09,0,0,1
0.0999987,-0.0020016,-0.00647037,0,-0.00322632,0.715337,0.00822868,-0.112834,0.0152049,-0.993497,0.0307828,0,0,0,flat,0,2.53236e-14,2.15343e-14,1,1.27357e-09,0,0,1
0.119999,-0.00236151,-0.00807333,0,-0.00502963,0.715406,0.011172,-0.114638,0.0128047,-0.993325,0.0357016,0,0,0,flat,0,2.6248e-14,3.19273e-14,1,1.46253e-09,0,0,1
0.139999,-0.00280884,-0.00937914,0,-0.00645502,0.71539,0.0130062,-0.116063,0.0114935,-0.993175,0.0389884,0,0,0,flat,0,4.2105e-14,7.03689e-14,1,1.97156e-09,0,0,1
0.159999,-0.00334656,-0.0107004,0,-0.00816344,0.715236,0.0139439,-0.117771,0.0114974,-0.992974,0.0411286,0,0,0,flat,0,6.01921e-14,1.18354e-13,1,3.02162e-09,0,0,1
0.179999,-0.00370942,-0.0116532,0,-0.00944962,0.715102,0.0147054,-0.119058,0.0115399,-0.99282,0.0422283,0,0,0,flat,0,7.46674e-14,1.39601e-13,1,4.7447e-09,0,0,1
0.199999,-0.0041402,-0.0123604,0,-0.00905897,0.715095,0.0145751,-0.118667,0.0113903,-0.992869,0.0444547,0,0,0,flat,0,8.55834e-14,1.55224e-13,1,6.45918e-09,0,0,1
0.219999,-0.0048992,-0.0127088,0,-0.00574782,0.715139,0.0116985,-0.115356,0.0126008,-0.993244,0.0481957,0,0,0,flat,0,1.30813e-13,2.30932e-13,1,8.88282e-09,0,0,1
0.239999,-0.00609525,-0.012429,0,9.31323e-05,0.714967,0.00499147,-0.109515,0.0177799,-0.993826,0.0521349,0,0,0,flat,0,1.77289e-13,3.45833e-13,1,1.27125e-08,0,0,1
0.259999,-0.00772993,-0.0113437,0,0.00620967,0.714251,0.00800098,-0.103398,0.0277846,-0.994252,0.055605,0,0,0,flat,0,1.3474e-13,3.81001e-13,1,1.94878e-08,0,0,1
0.279999,-0.00988914,-0.0100989,0,0.01399,0.713462,0.0224455,-0.0956179,0.0403011,-0.994602,0.0621838,0,0,0,flat,0,1.36656e-13,5.40575e-13,1,3.03493e-08,0,0,1
0.299999,-0.0116885,-0.00871069,0,0.0155329,0.713786,0.0233769,-0.094075,0.0402114,-0.994753,0.0630051,0,0,0,flat,0,2.20876e-13,1.31159e-12,1,1.42525e-08,0,0,1
0.319999,-0.0133102,-0.00652542,0,0.0129816,0.713702,0.0243682,-0.0966263,0.043381,-0.994375,0.0624369,0,0,0,flat,0,5.86063e-14,3.34474e-13,1,9.93993e-09,0,0,1
0.339998,-0.015379,-0.00369591,0,0.00999993,0.713345,0.0244635,-0.099608,0.0450948,-0.994004,0.0629586,0,0,0,flat,0,4.09113e-14,1.6623e-13,1,1.01877e-08,0,0,1
0.359998,-0.0177679,-0.000662158,0,0.00766253,0.712964,0.0238065,-0.101945,0.0453103,-0.993758,0.064998,0,0,0,flat,0,6.00541e-14,1.25804e-13,1,1.19629e-08,0,0,1
0.379998,-0.0205079,0.00281908,0,0.00654335,0.712627,0.0230094,-0.103065,0.0448304,-0.993664,0.0671307,0,0,0,flat,0,1.13374e-13,1.18166e-13,1,1.31641e-08,0,0,1
0.399998,-0.0228824,0.0059529,0,0.00643761,0.712378,0.0229471,-0.10317,0.0447987,-0.993654,0.068951,0,0,0,flat,0,1.59158e-13,8.18225e-14,1,1.35889e-08,0,0,1
0.419998,-0.024946,0.00882618,0,0.00677269,0.712186,0.0232875,-0.102835,0.0450517,-0.993678,0.0724192,0,0,0,flat,0,1.67018e-13,4.85662e-14,1,1.0066e-08,0,0,1
0.439998,-0.0266057,0.011247,0,0.00782672,0.711968,0.0230611,-0.101781,0.044466,-0.993813,0.0781949,0,0,0,flat,0,1.89107e-13,3.36178e-14,1,5.90987e-09,0,0,1
0.459998,-0.028049,0.0133961,0,0.0109772,0.711832,0.0228143,-0.0986307,0.0427638,-0.994205,0.0869964,0,0,0,flat,0,1.8781e-13,2.28198e-14,1,3.07779e-09,0,0,1
