t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.711598,0,-0.110852,-0.0110137,-0.993776,0,0,0,0.5,flat,0,1.03185e-13,1.13025e-13,1,1.29934e-08,0,0,1
0.0399988,-0.0021781,0.00043259,0,-0.000949785,0.711493,0.00363762,-0.111802,-0.00749794,-0.993702,-0.00421726,0,0,0.5,flat,0,1.79119e-13,2.37535e-13,1,2.46162e-08,0,0,1
0.0599988,-0.00464398,0.00160472,0,-0.00117544,0.711118,0.00930304,-0.112027,-0.0017816,-0.993703,-0.0100528,0,0,0.5,flat,0,2.45349e-13,3.56887e-13,1,4.19247e-08,0,0,1
0.0799987,-0.00688282,0.00275438,0,0.0015035,0.710593,0.0164466,-0.109349,0.00536403,-0.993989,-0.0128241,0,0,0.5,flat,0,6.65276e-13,9.59605e-13,1,9.3616e-08,0,0,1
0.0999987,-0.00970507,0.00390611,0,0.00657689,0.709784,0.0241989,-0.104275,0.0122648,-0.994473,-0.0130997,0,0,0.5,flat,0,1.92215e-12,3.53753e-12,1,1.73744e-07,0,0,1
0.119999,-0.0123619,0.00432005,0,0.00759022,0.709747,0.0236356,-0.103262,0.0113556,-0.994589,-0.0170312,0,0,0.5,flat,0,8.99821e-13,3.75603e-12,1,8.45429e-08,0,0,1
0.139999,-0.0139752,0.00494986,0,0.00396906,0.709397,0.0251412,-0.106883,0.013808,-0.994176,-0.0211266,0,0,0.5,flat,0,1.53658e-12,1.71607e-12,1,3.53608e-08,0,0,1
0.159999,-0.01658,0.00593158,0,0.00129315,0.708568,0.026334,-0.109559,0.0152888,-0.993863,-0.0204313,0,0,0.5,flat,0,4.16276e-12,3.0702e-12,1,8.01597e-08,0,0,1
0.179999,-0.0189189,0.00779434,0,-0.00114552,0.707936,0.0298123,-0.111998,0.0187756,-0.993531,-0.0208353,0,0,0.5,flat,0,1.61329e-11,7.78185e-12,1,1.1958e-07,0,0,1
0.199999,-0.0218098,0.0112705,0,-0.00477936,0.70724,0.0334319,-0.115631,0.022066,-0.993047,-0.0251254,0,0,0.5,flat,0,1.80159e-11,7.9206e-12,1,3.32353e-07,0,0,1
0.219999,-0.0243886,0.014798,0,-0.00692636,0.706631,0.0363142,-0.117778,0.0246178,-0.992735,-0.024124,0,0,0.5,flat,0,5.5161e-11,3.21973e-11,0.999999,1.37642e-06,0,0,1
0.239999,-0.0272504,0.0190486,0,-0.00889494,0.705988,0.0395157,-0.119747,0.0274623,-0.992425,-0.0186067,0,0,0.5,flat,0,7.00792e-10,4.72614e-10,0.999998,2.42148e-06,0,0,1
0.259999,-0.0299315,0.0235354,0,-0.0109886,0.705411,0.0416145,-0.121841,0.029088,-0.992123,-0.0157082,0,0,0.5,flat,0,2.24921e-09,1.34823e-09,0.999997,2.85975e-06,0,0,1
0.279999,-0.032671,0.0280931,0,-0.0119369,0.7048,0.0435126,-0.122789,0.0307864,-0.991955,-0.0129964,0,0,0.5,flat,0,4.90738e-09,2.1497e-09,0.999996,3.71744e-06,0,0,1
0.299999,-0.0355142,0.032736,0,-0.011913,0.704025,0.0448446,-0.122765,0.032175,-0.991914,-0.0115894,0,0,0.5,flat,0,1.48301e-08,4.76588e-09,0.999992,7.66006e-06,0,0,1
