t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733602,0,-0.0283196,-0.00244235,-0.999596,0,-0.25,0.2,0,flat,0,8.61292e-15,1.75552e-14,1,1.36931e-09,0,0,1
0.0399988,-5.09061e-06,-2.02291e-06,0,1.69035e-05,0.733605,0,-0.0283027,-0.00244335,-0.999596,-2.24542e-05,-0.25,0.2,0,flat,0,6.7689e-15,1.49679e-14,1,1.8692e-09,0,0,1
0.0599988,-1.33533e-05,-2.37889e-06,0,2.93311e-05,0.733608,0,-0.0282902,-0.00244041,-0.999597,-4.11198e-05,-0.25,0.2,0,flat,0,5.73112e-15,1.45927e-14,1,2.77681e-09,0,0,1
0.0799987,-3.09218e-05,-1.30905e-06,0,3.40976e-05,0.733611,0,-0.0282855,-0.00243304,-0.999597,-5.56018e-05,-0.25,0.2,0,flat,0,5.30612e-15,1.60334e-14,1,4.30809e-09,0,0,1
0.0999987,-6.28214e-05,3.89025e-06,0,2.61404e-05,0.733617,0,-0.0282934,-0.00242045,-0.999597,-6.60587e-05,-0.25,0.2,0,flat,0,5.2801e-15,1.90631e-14,1,6.66713e-09,0,0,1
0.119999,-0.000107188,1.41344e-05,0,4.27105e-06,0.733622,0,-0.0283153,-0.00240411,-0.999596,-7.18515e-05,-0.25,0.2,0,flat,0,5.53218e-15,2.36988e-14,1,9.92138e-09,0,0,1
0.139999,-0.000187119,3.62545e-05,0,-5.48121e-05,0.733631,0,-0.0283744,-0.00237666,-0.999595,-7.35298e-05,-0.25,0.2,0,flat,0,6.05133e-15,3.03643e-14,1,1.41566e-08,0,0,1
0.159999,-0.0002787,6.33483e-05,0,-0.000142515,0.733638,0,-0.0284621,-0.00234791,-0.999592,-7.05048e-05,-0.25,0.2,0,flat,0,6.83958e-15,3.96334e-14,1,1.94153e-08,0,0,1
0.179999,-0.00068838,0.000169612,0,0.00040574,0.73363,0.000488281,-0.0279138,-0.00206136,-0.999608,0.000695232,-0.25,0.2,0,flat,0,1.25811e-14,5.73132e-14,1,2.81767e-08,0,0,1
0.199999,-0.00194688,0.00109021,0,0.00480579,0.733459,0.00631943,-0.0235138,0.00165677,-0.999722,0.00437381,-0.25,0.2,0,flat,0,7.44995e-14,7.62257e-13,1,5.75743e-08,0,0,1
