t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733602,0,-0.0283521,-0.00232898,-0.999595,0,0,0,-0.5,flat,0,8.62916e-15,1.7591e-14,1,1.37395e-09,0,0,1
0.0399988,-2.82563e-06,-2.08951e-06,0,1.76169e-05,0.733604,0,-0.0283345,-0.0023303,-0.999596,-2.21841e-05,0,0,-0.5,flat,0,8.86016e-15,1.87251e-14,1,1.4018e-09,0,0,1
0.0599988,-5.74067e-06,-4.08374e-06,0,3.68785e-05,0.733606,0,-0.0283152,-0.00233084,-0.999596,-5.99213e-05,0,0,-0.5,flat,0,8.86817e-15,2.00393e-14,1,1.40819e-09,0,0,1
0.0799987,-9.86643e-06,-4.64544e-06,0,5.91036e-05,0.733609,0,-0.028293,-0.00232718,-0.999597,-0.000168575,0,0,-0.5,flat,0,8.66112e-15,2.12012e-14,1,1.41588e-09,0,0,1
0.0999987,-1.68812e-05,-4.48355e-06,0,8.65161e-05,0.733613,0,-0.0282656,-0.00231828,-0.999598,-0.000369623,0,0,-0.5,flat,0,8.30983e-15,2.2085e-14,1,1.43626e-09,0,0,1
0.119999,-2.99551e-05,-1.76537e-06,0,0.000123654,0.733618,0,-0.0282284,-0.00230525,-0.999599,-0.000681855,0,0,-0.5,flat,0,7.8867e-15,2.27645e-14,1,1.46892e-09,0,0,1
0.139999,-0.000331666,0.000105497,0,0.00139908,0.733557,0.00172634,-0.026953,-0.00133676,-0.999636,-0.000196246,0,0,-0.5,flat,0,1.3668e-14,2.44879e-14,1,1.42287e-09,0,0,1
0.159999,-0.00131286,0.000783546,0,0.00522502,0.733307,0.00715962,-0.0231271,0.00256469,-0.999729,0.00145204,0,0,-0.5,flat,0,3.45946e-14,1.00766e-13,1,1.92354e-09,0,0,1
0.179999,-0.00225516,0.0022472,0,0.00805194,0.733025,0.0124823,-0.0203001,0.00720816,-0.999768,0.00260686,0,0,-0.5,flat,0,4.01676e-14,2.93831e-13,1,3.34347e-09,0,0,1
0.199999,-0.00279607,0.00416599,0,0.00824895,0.732908,0.0140292,-0.0201031,0.00901932,-0.999757,0.00171153,0,0,-0.5,flat,0,3.10064e-14,7.26656e-13,1,7.67885e-09,0,0,1
0.219999,-0.00336965,0.00629594,0,0.00811334,0.732967,0.0137676,-0.0202387,0.00879445,-0.999757,-2.87779e-06,0,0,-0.5,flat,0,3.54795e-14,1.8782e-12,1,1.46966e-08,0,0,1
0.239999,-0.00406293,0.00854479,0,0.00847393,0.733126,0.0132378,-0.0198781,0.00784102,-0.999772,-0.00240537,0,0,-0.5,flat,0,6.32415e-14,4.42903e-12,1,2.19714e-08,0,0,1
0.259999,-0.00469256,0.0108942,0,0.00863632,0.733367,0.0121729,-0.0197158,0.00623985,-0.999786,-0.00523069,0,0,-0.5,flat,0,9.16633e-14,6.46288e-12,1,3.27434e-08,0,0,1
0.279999,-0.00531805,0.0133713,0,0.00880162,0.733646,0.011294,-0.0195505,0.00473794,-0.999798,-0.00804012,0,0,-0.5,flat,0,1.08282e-13,7.86762e-12,1,4.91838e-08,0,0,1
0.299999,-0.00604768,0.0161108,0,0.00938961,0.733931,0.0111292,-0.0189625,0.00363863,-0.999814,-0.0112872,0,0,-0.5,flat,0,1.29891e-13,1.03982e-11,1,8.39919e-08,0,0,1
0.319999,-0.00693992,0.0192597,0,0.0106431,0.734201,0.0118855,-0.0177089,0.00295939,-0.999839,-0.0150165,0,0,-0.5,flat,0,1.70589e-13,1.69424e-11,1,1.74901e-07,0,0,1
0.339998,-0.00802795,0.0228776,0,0.0128086,0.734402,0.0138883,-0.0155435,0.00303087,-0.999875,-0.0184552,0,0,-0.5,flat,0,2.0468e-13,2.38761e-11,1,3.91418e-07,0,0,1
0.359998,-0.00924145,0.0270441,0,0.0160518,0.734328,0.0177168,-0.0123003,0.00516087,-0.999911,-0.0227734,0,0,-0.5,flat,0,1.98377e-13,2.33685e-11,0.999999,7.15553e-07,0,0,1
0.379998,-0.0104814,0.0318793,0,0.0191016,0.733339,0.0237337,-0.00925044,0.0117561,-0.999888,-0.0255304,0,0,-0.5,flat,0,1.1898e-13,1.04236e-11,0.999999,9.14246e-07,0,0,1
0.399998,-0.0116445,0.0357474,0,0.0209895,0.733175,0.022379,-0.00736259,0.00542057,-0.999958,-0.0250613,0,0,-0.5,flat,0,1.48298e-13,8.74102e-12,0.999999,9.25556e-07,0,0,1
0.419998,-0.0120612,0.0392951,0,0.0185108,0.734258,0.018526,-0.00984124,-0.00291896,-0.999947,-0.0274043,0,0,-0.5,flat,0,3.22008e-14,8.51976e-12,0.999999,6.8531e-07,0,0,1
0.439998,-0.0129145,0.0436857,0,0.0175369,0.735392,0.0184745,-0.0108152,0.0034712,-0.999936,-0.0344431,0,0,-0.5,flat,0,8.32163e-15,2.0226e-12,1,3.59878e-07,0,0,1
0.459998,-0.0138787,0.0480291,0,0.0166192,0.736385,0.0226964,-0.0117329,0.0131242,-0.999845,-0.0426159,0,0,-0.5,flat,0,6.33811e-15,8.25077e-13,1,2.03921e-07,0,0,1
0.479998,-0.014678,0.0517409,0,0.0143303,0.736896,0.0246939,-0.0140218,0.0177802,-0.999744,-0.0492153,0,0,-0.5,flat,0,5.31254e-15,5.70998e-13,1,1.48704e-07,0,0,1
0.499998,-0.0154912,0.0552599,0,0.0107426,0.737005,0.0237362,-0.0176095,0.018835,-0.999668,-0.057798,0,0,-0.5,flat,0,4.61771e-15,4.86028e-13,1,1.36227e-07,0,0,1
0.519998,-0.0161767,0.057822,0,0.00786292,0.736976,0.023056,-0.0204892,0.0193449,-0.999603,-0.065854,0,0,-0.5,flat,0,4.98493e-15,4.84139e-13,1,1.65533e-07,0,0,1
0.539998,-0.0170274,0.060268,0,0.00544272,0.736919,0.0225884,-0.0229094,0.0195945,-0.999546,-0.0766627,0,0,-0.5,flat,0,7.12126e-15,5.84605e-13,1,2.11527e-07,0,0,1
0.559998,-0.0177962,0.0621415,0,0.0033323,0.736861,0.022331,-0.0250198,0.0197488,-0.999492,-0.0868111,0,0,-0.5,flat,0,1.00581e-14,6.55767e-13,1,2.45614e-07,0,0,1
0.579998,-0.0184564,0.0635194,0,0.00118633,0.736744,0.021755,-0.0271657,0.0193939,-0.999443,-0.0966415,0,0,-0.5,flat,0,1.26834e-14,6.50036e-13,1,2.2504e-07,0,0,1
0.599998,-0.0188553,0.0642207,0,-4.29545e-05,0.736601,0.0209595,-0.028395,0.018629,-0.999423,-0.104984,0,0,-0.5,flat,0,1.34758e-14,5.2184e-13,1,1.74933e-07,0,0,1
0.619998,-0.0191691,0.0645788,0,-0.000295248,0.7364,0.0194367,-0.0286473,0.0171046,-0.999443,-0.115079,0,0,-0.5,flat,0,1.29054e-14,3.64671e-13,1,1.2434e-07,0,0,1
0.639998,-0.0192463,0.0643862,0,0.0002949,0.736156,0.0172497,-0.0280572,0.0149145,-0.999495,-0.125064,0,0,-0.5,flat,0,1.37143e-14,2.85833e-13,1,9.18072e-08,0,0,1
0.659998,-0.0189257,0.0635712,0,0.00110444,0.735854,0.0145465,-0.0272476,0.0121732,-0.999555,-0.13538,0,0,-0.5,flat,0,1.77973e-14,3.12054e-13,1,9.06615e-08,0,0,1
0.679998,-0.0183939,0.0620793,0,0.00286414,0.735387,0.0106699,-0.0254879,0.00794403,-0.999644,-0.146931,0,0,-0.5,flat,0,3.64508e-14,6.30988e-13,1,1.50819e-07,0,0,1
0.699998,-0.0177676,0.059888,0,0.00553429,0.734653,0.00715129,-0.0228178,0.00219611,-0.999737,-0.157354,0,0,-0.5,flat,0,1.1276e-13,1.96177e-12,1,2.98752e-07,0,0,1
0.719998,-0.017172,0.0578634,0,0.00928719,0.734061,0.00948703,-0.0190649,-0.00042202,-0.999818,-0.168509,0,0,-0.5,flat,0,2.13247e-13,3.10171e-12,1,4.03677e-07,0,0,1
0.739998,-0.016902,0.0558829,0,0.0135967,0.733713,0.0138797,-0.0147553,0.000456004,-0.999891,-0.174641,0,0,-0.5,flat,0,2.3955e-13,3.51544e-12,1,3.95099e-07,0,0,1
0.759998,-0.0167424,0.0541321,0,0.0150076,0.733829,0.0158524,-0.0133445,0.00276712,-0.999907,-0.178953,0,0,-0.5,flat,0,3.33804e-13,7.77787e-12,1,3.56662e-07,0,0,1
0.779998,-0.0158864,0.0526357,0,0.0102938,0.733943,0.0104326,-0.0180583,-0.000650705,-0.999837,-0.190098,0,0,-0.5,flat,0,2.37708e-13,2.09977e-11,0.999999,7.70312e-07,0,0,1
0.799998,-0.0151416,0.0516069,0,0.00469446,0.734164,0.00570475,-0.0236576,-0.00555853,-0.999705,-0.201069,0,0,-0.5,flat,0,9.17861e-14,1.97659e-11,0.999998,1.57237e-06,0,0,1
0.819998,-0.015046,0.051018,0,0.00259873,0.734446,0.00661438,-0.0257533,-0.0084002,-0.999633,-0.20907,0,0,-0.5,flat,0,3.59689e-14,9.04229e-12,0.999999,1.25127e-06,0,0,1
0.839998,-0.0152244,0.0507372,0,0.00277647,0.734688,0.00775893,-0.0255756,-0.00957712,-0.999627,-0.216153,0,0,-0.5,flat,0,1.96428e-14,3.21087e-12,0.999999,6.8456e-07,0,0,1
0.859998,-0.0154442,0.0507062,0,0.00358693,0.734876,0.00876872,-0.0247651,-0.0103314,-0.99964,-0.223402,0,0,-0.5,flat,0,1.97453e-14,2.34192e-12,1,5.07964e-07,0,0,1
0.879998,-0.0156695,0.0509245,0,0.0040851,0.735074,0.00992909,-0.024267,-0.0113706,-0.999641,-0.231052,0,0,-0.5,flat,0,1.95651e-14,2.09712e-12,1,4.10263e-07,0,0,1
0.899998,-0.0159648,0.0514688,0,0.00423124,0.735276,0.0107256,-0.0241208,-0.012183,-0.999635,-0.23794,0,0,-0.5,flat,0,1.70789e-14,1.83101e-12,1,3.63022e-07,0,0,1
0.919998,-0.0163519,0.0524401,0,0.00439208,0.735445,0.0111773,-0.02396,-0.0126062,-0.999633,-0.246242,0,0,-0.5,flat,0,1.68769e-14,1.91449e-12,1,3.85732e-07,0,0,1
0.939998,-0.0167743,0.0538913,0,0.00477382,0.735572,0.0108086,-0.0235783,-0.0120218,-0.99965,-0.253331,0,0,-0.5,flat,0,1.92222e-14,2.04908e-12,1,4.58612e-07,0,0,1
0.959998,-0.0170729,0.0558702,0,0.00532129,0.735655,0.00935416,-0.0230308,-0.0100226,-0.999685,-0.260823,0,0,-0.5,flat,0,2.07861e-14,1.7679e-12,1,5.24338e-07,0,0,1
0.979998,-0.0170769,0.0584184,0,0.0058616,0.735589,0.00660536,-0.0224905,-0.00537376,-0.999733,-0.268652,0,0,-0.5,flat,0,2.10625e-14,1.324e-12,0.999999,6.23048e-07,0,0,1
0.999998,-0.0167581,0.061557,0,0.006255,0.735068,0.00891033,-0.0220971,0.00401644,-0.999748,-0.275,0,0,-0.5,flat,0,3.33071e-14,1.3854e-12,0.999999,7.59651e-07,0,0,1
1.02,-0.0163454,0.0639096,0,0.00519804,0.735135,0.00895037,-0.023154,0.00496238,-0.99972,-0.278372,0,0,-0.5,flat,0,4.88772e-14,1.11675e-12,0.999999,6.66792e-07,0,0,1
1.04,-0.0151561,0.0665187,0,0.000693124,0.735793,0.00379794,-0.027659,0.00141147,-0.999616,-0.282894,0,0,-0.5,flat,0,2.17318e-14,5.71973e-13,1,3.06647e-07,0,0,1
1.06,-0.0145194,0.0692702,0,-0.000627603,0.736218,0.00624352,-0.0289797,0.00387808,-0.999572,-0.287534,0,0,-0.5,flat,0,1.99182e-14,4.21063e-13,1,1.92286e-07,0,0,1
1.08,-0.0140576,0.0730783,0,-0.000940442,0.736863,0.0144354,-0.0292925,0.0120733,-0.999498,-0.297164,0,0,-0.5,flat,0,9.09792e-15,1.60091e-13,1,1.40169e-07,0,0,1
1.1,-0.0136486,0.0761902,0,-0.00200916,0.737378,0.0220219,-0.0303612,0.0195987,-0.999347,-0.304577,0,0,-0.5,flat,0,3.74328e-15,6.19404e-14,1,8.25589e-08,0,0,1
1.12,-0.0131797,0.0787378,0,-0.00434542,0.737673,0.0272879,-0.0326975,0.0246074,-0.999162,-0.312278,0,0,-0.5,flat,0,2.36242e-15,4.15866e-14,1,6.0148e-08,0,0,1
1.14,-0.0127116,0.0808363,0,-0.00719148,0.737826,0.031555,-0.0355436,0.0283886,-0.998965,-0.321353,0,0,-0.5,flat,0,2.644e-15,4.74693e-14,1,7.43622e-08,0,0,1
1.16,-0.0123299,0.0824471,0,-0.00968144,0.737882,0.0349625,-0.0380335,0.0312532,-0.998788,-0.330925,0,0,-0.5,flat,0,4.54056e-15,7.40804e-14,1,9.69533e-08,0,0,1
1.18,-0.0120305,0.0834303,0,-0.0113977,0.737847,0.0368115,-0.0397498,0.0326595,-0.998676,-0.339461,0,0,-0.5,flat,0,7.53482e-15,9.66507e-14,1,9.65749e-08,0,0,1
1.2,-0.0116887,0.0840321,0,-0.0124906,0.737701,0.0375094,-0.0408426,0.0330227,-0.99862,-0.349345,0,0,-0.5,flat,0,1.0689e-14,9.70042e-14,1,7.3772e-08,0,0,1
1.22,-0.011372,0.0840851,0,-0.0122851,0.737488,0.0366719,-0.0406372,0.0322076,-0.998655,-0.35938,0,0,-0.5,flat,0,1.36585e-14,8.10372e-14,1,4.95493e-08,0,0,1
1.24,-0.0109922,0.0835996,0,-0.0111037,0.737181,0.0342928,-0.0394557,0.0301038,-0.998768,-0.370466,0,0,-0.5,flat,0,1.73822e-14,7.71448e-14,1,4.37722e-08,0,0,1
1.26,-0.0104666,0.0824624,0,-0.00931865,0.736804,0.0310081,-0.0376707,0.0272371,-0.998919,-0.381486,0,0,-0.5,flat,0,2.54532e-14,1.10874e-13,1,5.21463e-08,0,0,1
1.28,-0.009918,0.0806639,0,-0.00651035,0.736316,0.0263114,-0.0348624,0.0231587,-0.999124,-0.392894,0,0,-0.5,flat,0,4.66385e-14,2.18531e-13,1,8.35358e-08,0,0,1
1.3,-0.00952472,0.078254,0,-0.00236379,0.735581,0.0193568,-0.0307159,0.0168827,-0.999386,-0.40381,0,0,-0.5,flat,0,1.18084e-13,5.7761e-13,1,1.55796e-07,0,0,1
1.32,-0.00913522,0.0757948,0,0.00256265,0.73469,0.0125964,-0.0257894,0.0100071,-0.999617,-0.415113,0,0,-0.5,flat,0,3.38856e-13,1.75697e-12,1,3.03617e-07,0,0,1
1.34,-0.00886197,0.07364,0,0.00802813,0.734061,0.012035,-0.0203239,0.00663434,-0.999771,-0.423236,0,0,-0.5,flat,0,2.23801e-13,1.35425e-12,1,2.80636e-07,0,0,1
1.36,-0.00886349,0.0715847,0,0.0123961,0.733852,0.0148667,-0.015956,0.00587469,-0.999855,-0.429412,0,0,-0.5,flat,0,2.56065e-13,3.52351e-12,1,2.34726e-07,0,0,1
1.38,-0.00832555,0.0700809,0,0.0109224,0.733974,0.0126153,-0.0174296,0.00397837,-0.99984,-0.436944,0,0,-0.5,flat,0,1.54972e-13,6.90689e-12,1,4.42573e-07,0,0,1
1.4,-0.00733261,0.0687433,0,0.00637754,0.734229,0.00638512,-0.0219745,-0.00201597,-0.999757,-0.448994,0,0,-0.5,flat,0,9.10986e-14,1.53053e-11,0.999999,1.2127e-06,0,0,1
1.42,-0.00654002,0.0678301,0,0.00306603,0.734569,0.0059201,-0.025286,-0.00738293,-0.999653,-0.459338,0,0,-0.5,flat,0,3.73939e-14,8.96369e-12,0.999999,1.38139e-06,0,0,1
1.44,-0.00618035,0.0672548,0,0.00273887,0.73484,0.00847139,-0.0256132,-0.0103469,-0.999618,-0.46636,0,0,-0.5,flat,0,1.87884e-14,3.3521e-12,0.999999,8.47073e-07,0,0,1
1.46,-0.00592154,0.0669229,0,0.00379711,0.735052,0.0104611,-0.024555,-0.0120785,-0.999626,-0.472935,0,0,-0.5,flat,0,1.95849e-14,2.17399e-12,0.999999,5.41085e-07,0,0,1
1.48,-0.00563697,0.0668059,0,0.00502702,0.735275,0.0126342,-0.0233251,-0.0139244,-0.999631,-0.480933,0,0,-0.5,flat,0,2.26917e-14,2.03806e-12,1,4.34176e-07,0,0,1
1.5,-0.00535873,0.0669127,0,0.00594286,0.735526,0.0148747,-0.0224092,-0.0159656,-0.999621,-0.488998,0,0,-0.5,flat,0,2.12554e-14,1.92294e-12,1,4.22086e-07,0,0,1
1.52,-0.00511037,0.0673449,0,0.00668046,0.735744,0.0165334,-0.0216716,-0.0174513,-0.999613,-0.495901,0,0,-0.5,flat,0,2.13329e-14,2.31405e-12,1,4.73593e-07,0,0,1
