t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.73353,0,-0.0257261,-0.00161728,-0.999668,0,-0.3,0,0,flat,0,1.01202e-14,1.64174e-14,1,1.6427e-09,0,0,1
0.0399988,-7.37421e-06,-3.46685e-07,0,1.5283e-05,0.733533,0,-0.0257108,-0.00161759,-0.999668,-8.37538e-06,-0.3,0,0,flat,0,7.87203e-15,1.40605e-14,1,2.17385e-09,0,0,1
0.0599988,-1.99359e-05,-9.89065e-07,0,2.81613e-05,0.733536,0.000345267,-0.0256979,-0.00161715,-0.999668,-1.64635e-05,-0.3,0,0,flat,0,6.42889e-15,1.35245e-14,1,3.10775e-09,0,0,1
0.0799987,-4.35077e-05,-2.63425e-06,0,3.80408e-05,0.733542,0,-0.025688,-0.00161602,-0.999669,-2.77599e-05,-0.3,0,0,flat,0,5.57747e-15,1.43152e-14,1,4.5931e-09,0,0,1
0.0999987,-8.302e-05,-5.79632e-06,0,3.55951e-05,0.733549,0,-0.0256905,-0.00161449,-0.999669,-4.07924e-05,-0.3,0,0,flat,0,5.10857e-15,1.62113e-14,1,6.76207e-09,0,0,1
0.119999,-0.000142321,-1.08106e-05,0,2.04165e-05,0.733558,0,-0.0257057,-0.0016133,-0.999668,-5.26574e-05,-0.3,0,0,flat,0,4.87332e-15,1.91141e-14,1,9.54028e-09,0,0,1
0.139999,-0.000224635,-1.81114e-05,0,-1.30963e-05,0.733569,0,-0.0257392,-0.00161221,-0.999667,-6.7777e-05,-0.3,0,0,flat,0,4.83084e-15,2.3248e-14,1,1.28533e-08,0,0,1
0.159999,-0.000347566,-2.96796e-05,0,-8.3629e-05,0.733584,0,-0.0258097,-0.0016117,-0.999666,-8.73129e-05,-0.3,0,0,flat,0,4.96133e-15,2.90183e-14,1,1.65939e-08,0,0,1
0.179999,-0.000493443,-4.38197e-05,0,-0.000190798,0.733599,0,-0.0259169,-0.00161192,-0.999663,-0.000106774,-0.3,0,0,flat,0,5.23997e-15,3.68987e-14,1,2.06375e-08,0,0,1
0.199999,-0.000655444,-5.94542e-05,0,-0.000327932,0.733613,0.000345267,-0.026054,-0.00161241,-0.999659,-0.000124688,-0.3,0,0,flat,0,5.61628e-15,4.73145e-14,1,2.47769e-08,0,0,1
0.219999,-0.000873385,-8.00679e-05,0,-0.000525782,0.733631,0.00059802,-0.0262519,-0.00161375,-0.999654,-0.000143677,-0.3,0,0,flat,0,6.0714e-15,6.08664e-14,1,2.88681e-08,0,0,1
0.239999,-0.00149036,-3.4573e-06,0,0.000512643,0.733616,0.000845728,-0.0252134,-0.000955629,-0.999682,0.0010927,-0.3,0,0,flat,0,7.8842e-15,8.40838e-14,1,3.74111e-08,0,0,1
0.259999,-0.00265469,0.00078807,0,0.00323119,0.733433,0.0050034,-0.0224949,0.00218833,-0.999745,0.00265796,-0.3,0,0,flat,0,8.04014e-14,2.62254e-12,1,6.55546e-08,0,0,1
0.279999,-0.0038534,0.00212213,0,0.00399841,0.733364,0.00734049,-0.0217277,0.00453699,-0.999754,0.00223732,-0.3,0,0,flat,0,9.91226e-14,9.16754e-12,1,1.71293e-07,0,0,1
0.299999,-0.00521279,0.00353321,0,0.00372885,0.733432,0.00827203,-0.0219972,0.00576288,-0.999741,0.00220055,-0.3,0,0,flat,0,1.07981e-13,2.1148e-11,1,2.78793e-07,0,0,1
