t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,-0.789921,0,-0.434388,0.36439,-0.823728,0,0,0,-0.5,NEUTRAL,0,0.000705495,0.0001608,7.07857e-09,0.999134,0,0,1
0.0399988,-0.0634842,0.0143435,0,-0.00327733,-0.828192,0.0898448,-0.437665,0.280044,-0.854415,-0.0985574,0,0,-0.5,NEUTRAL,0,3.86477e-05,0.000331177,2.04979e-09,0.99963,0,0,1
0.0599988,-0.123111,0.0244027,0,0.00149781,-0.869324,0.215574,-0.43289,0.158857,-0.887339,-0.222704,0,0,-0.5,NEUTRAL,0,3.09236e-06,0.000348625,1.97183e-09,0.999648,0,0,1
0.0799987,-0.180773,0.0299671,0,0.0133954,-0.915005,0.343531,-0.420992,0.0329802,-0.906465,-0.337531,0,0,-0.5,NEUTRAL,0,3.75839e-06,0.000925774,5.66554e-09,0.99907,0,0,1
0.0999987,-0.238801,0.0327922,0,0.0287252,-0.965218,0.462421,-0.405662,-0.0847952,-0.910081,-0.4475,0,0,-0.5,NEUTRAL,0,8.7205e-06,0.00542842,2.96297e-08,0.994563,0,0,1
0.119999,-0.298233,0.0333139,0,0.0420825,-1.01858,0.563701,-0.392305,-0.184865,-0.901067,-0.536377,0,0,-0.5,NEUTRAL,0,3.24907e-05,0.0167747,1.87426e-08,0.983193,0,0,1
0.139999,-0.360418,0.0311463,0,0.0530124,-1.07432,0.653568,-0.381375,-0.272636,-0.883302,-0.587164,0,0,-0.5,NEUTRAL,0,2.84434e-05,0.0154937,2.93532e-08,0.984478,0,0,1
0.159999,-0.42704,0.0274303,0,0.0683993,-1.13233,0.731009,-0.365988,-0.346036,-0.863893,-0.589973,0,0,-0.5,NEUTRAL,0,0.000226149,0.0167386,1.11063e-06,0.983034,0,0,1
0.179999,-0.498684,0.023867,0,0.092134,-1.19194,0.78981,-0.342254,-0.399039,-0.850664,-0.558031,0,0,-0.5,NEUTRAL,0,0.00427598,0.0969715,1.85939e-05,0.898734,0,0,1
0.199999,-0.572839,0.0218593,0,0.12041,-1.25275,0.847484,-0.313978,-0.448994,-0.836554,-0.529101,0,0,-0.5,NEUTRAL,0,0.0518487,0.137738,6.13963e-05,0.810352,0,0,1
0.219999,-0.651951,0.0227126,0,0.143117,-1.32271,0.907473,-0.29127,-0.500461,-0.815291,-0.527013,0,0,-0.5,NEUTRAL,0,0.00564153,0.031449,0.00029007,0.962619,0,0,1
0.239999,-0.723622,0.0178521,0,0.0953342,-1.39446,0.898223,-0.339053,-0.498306,-0.797956,-0.4036,0,0,-0.5,NEUTRAL,0,0.00766786,0.0834539,0.000268109,0.90861,0,0,1
0.259999,-0.78403,0.0139063,0,-0.0212869,-1.4638,0.783217,-0.455675,-0.398166,-0.796131,-0.199072,0,0,-0.5,NEUTRAL,0,0.000979281,0.710229,0.106715,0.182077,0,0,1
0.279999,-0.844668,0.0122882,0,-0.161416,-1.54182,0.627567,-0.595803,-0.229006,-0.769789,-0.0113335,0,0,-0.5,NEUTRAL,0,0.0112206,0.0604718,0.00280767,0.9255,0,0,1
0.299999,-0.897467,0.00762551,0,-0.277782,-1.62317,0.576068,-0.71217,-0.113586,-0.692757,0.135329,0,0,-0.5,NEUTRAL,0,0.0283572,0.0102223,2.56844e-05,0.961395,0,0,1
0.319999,-0.950184,0.00158818,0,-0.348343,-1.7109,0.709096,-0.78273,-0.190008,-0.592647,0.0339534,0,0,-0.5,NEUTRAL,0,0.00242374,0.175282,0.00211761,0.820177,0,0,1
0.339998,-1.01384,0.00250772,0,-0.361555,-1.80603,0.970528,-0.795943,-0.408541,-0.446731,-0.372995,0,0,-0.5,NEUTRAL,0,0.223105,0.657723,4.35537e-09,0.119171,0,0,1
0.359998,-1.02115,0.00331151,0,-0.361555,-1.81617,0.970528,-0.795943,-0.408541,-0.446731,-0.372995,0,0,-0.5,NEUTRAL,0,0.223105,0.657723,4.35537e-09,0.119171,0,0,1
