t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733536,0,-0.0257474,-0.00162114,-0.999667,0,0.25,0.2,0,flat,0,1.00911e-14,1.65168e-14,1,1.62199e-09,0,0,1
0.0399988,-7.29598e-06,-2.12342e-07,0,1.25561e-05,0.733538,0,-0.0257349,-0.00162133,-0.999667,-7.72951e-06,0.25,0.2,0,flat,0,1.2952e-14,1.91801e-14,1,1.26198e-09,0,0,1
0.0599988,-8.65944e-06,5.33182e-07,0,2.47899e-05,0.733539,0,-0.0257226,-0.00161981,-0.999668,-1.33771e-05,0.25,0.2,0,flat,0,1.61466e-14,2.03356e-14,1,8.90808e-10,0,0,1
0.0799987,-2.43075e-06,6.37653e-06,0,3.70368e-05,0.733537,0,-0.0257104,-0.00161471,-0.999668,-1.45547e-05,0.25,0.2,0,flat,0,1.98072e-14,2.068e-14,1,5.9659e-10,0,0,1
0.0999987,1.79186e-05,2.16907e-05,0,5.2033e-05,0.733533,0,-0.0256954,-0.00160523,-0.999669,-1.15754e-05,0.25,0.2,0,flat,0,2.42944e-14,2.11298e-14,1,3.92435e-10,0,0,1
0.119999,6.14226e-05,5.44421e-05,0,7.48262e-05,0.733525,0,-0.0256726,-0.0015881,-0.999669,-6.24778e-06,0.25,0.2,0,flat,0,2.97447e-14,2.21939e-14,1,2.57463e-10,0,0,1
0.139999,0.000116594,9.63535e-05,0,0.000102432,0.733516,0,-0.025645,-0.00156283,-0.99967,-2.62167e-07,0.25,0.2,0,flat,0,3.60946e-14,2.427e-14,1,1.70442e-10,0,0,1
0.159999,0.000213951,0.000171573,0,0.000131618,0.733498,0,-0.0256158,-0.00153144,-0.999671,1.01002e-05,0.25,0.2,0,flat,0,4.36215e-14,2.8315e-14,1,1.15783e-10,0,0,1
0.179999,-0.000101473,0.000456459,0,0.00209279,0.733399,0.00256057,-0.0236546,-0.000139102,-0.99972,0.00230002,0.25,0.2,0,flat,0,7.84805e-14,3.46748e-14,1,7.87303e-11,0,0,1
0.199999,-0.000758441,0.00154849,0,0.00539768,0.733127,0.00753285,-0.0203497,0.00363125,-0.999786,0.00456854,0.25,0.2,0,flat,0,5.04377e-13,1.10351e-12,1,7.18159e-11,0,0,1
0.219999,-0.00112134,0.00340667,0,0.0070443,0.732929,0.0105857,-0.0187031,0.00627726,-0.999805,0.00503056,0.25,0.2,0,flat,0,3.56256e-13,1.7828e-12,1,1.58631e-10,0,0,1
0.239999,-0.0013192,0.00573509,0,0.00750197,0.732902,0.0112358,-0.0182454,0.00673727,-0.999811,0.00534961,0.25,0.2,0,flat,0,1.71845e-13,2.51052e-12,1,1.81775e-10,0,0,1
0.259999,-0.00149199,0.00798145,0,0.00805307,0.732973,0.0114356,-0.0176944,0.00649983,-0.999822,0.00585784,0.25,0.2,0,flat,0,2.0436e-13,1.14398e-11,1,1.69991e-10,0,0,1
0.279999,-0.00162273,0.0103384,0,0.00863259,0.733111,0.0114617,-0.0171148,0.00591542,-0.999836,0.0060258,0.25,0.2,0,flat,0,3.30887e-13,6.77383e-11,1,2.49527e-10,0,0,1
0.299999,-0.0016991,0.0125874,0,0.00921702,0.73328,0.0115549,-0.0165304,0.00534166,-0.999849,0.00617177,0.25,0.2,0,flat,0,6.5816e-13,6.02903e-10,1,6.43384e-10,0,0,1
0.319999,-0.0017886,0.0156833,0,0.0101963,0.733501,0.0120844,-0.0155512,0.00486383,-0.999867,0.00660828,0.25,0.2,0,flat,0,1.55934e-12,6.57295e-09,1,2.4702e-09,0,0,1
0.339998,-0.00188927,0.0189503,0,0.0114944,0.733657,0.0131792,-0.0142531,0.00482839,-0.999887,0.00729053,0.25,0.2,0,flat,0,3.54326e-12,5.14477e-08,1,1.04927e-08,0,0,1
0.359998,-0.00207679,0.0223502,0,0.0134122,0.733651,0.0154448,-0.0123352,0.00603442,-0.999906,0.00806844,0.25,0.2,0,flat,0,7.4434e-12,2.84436e-07,1,3.84302e-08,0,0,1
0.379998,-0.00231163,0.0266938,0,0.0160381,0.733212,0.0199184,-0.00970932,0.0101881,-0.999901,0.00959324,0.25,0.2,0,flat,0,1.75726e-11,1.55839e-06,0.999998,1.03767e-07,0,0,1
0.399998,-0.00253962,0.0318925,0,0.0187006,0.732244,0.0247758,-0.00704681,0.0146278,-0.999868,0.0136952,0.25,0.2,0,flat,0,5.94187e-11,1.03907e-05,0.999989,2.67945e-07,0,0,1
0.419998,-0.00216027,0.0361521,0,0.0171564,0.732648,0.018497,-0.00859099,0.00528304,-0.999949,0.0151565,0.25,0.2,0,flat,0,4.56366e-10,0.000382356,0.999617,7.8395e-07,0,0,1
0.439998,-0.00120875,0.0408637,0,0.0132055,0.733374,0.0138324,-0.0125419,0.00248088,-0.999918,0.0133974,0.25,0.2,0,flat,0,1.95908e-10,8.54879e-05,0.999914,5.06335e-07,0,0,1
0.459998,-0.000503669,0.045246,0,0.0101355,0.734018,0.0130382,-0.0156119,0.00658061,-0.999856,0.0128802,0.25,0.2,0,flat,0,9.04382e-10,0.000118408,0.999881,4.89218e-07,0,0,1
0.479998,0.000347275,0.050348,0,0.00753939,0.734665,0.0154988,-0.018208,0.0119161,-0.999763,0.0126818,0.25,0.2,0,flat,0,3.68301e-09,0.000165149,0.999834,4.94834e-07,0,0,1
0.499998,0.00137397,0.0545034,0,0.00460006,0.73501,0.0166269,-0.0211474,0.0143585,-0.999673,0.0132969,0.25,0.2,0,flat,0,3.75177e-09,0.000100288,0.999899,5.42515e-07,0,0,1
0.519998,0.00256,0.0582603,0,0.00175904,0.735187,0.0169464,-0.0239884,0.0152344,-0.999596,0.0129264,0.25,0.2,0,flat,0,4.13802e-09,0.000115511,0.999884,4.82835e-07,0,0,1
0.539998,0.00388819,0.0616214,0,-0.00149493,0.735312,0.0180336,-0.0272424,0.0163508,-0.999495,0.0122185,0.25,0.2,0,flat,0,4.64909e-09,0.000119604,0.99988,4.38458e-07,0,0,1
0.559998,0.00520745,0.0642253,0,-0.00364167,0.73536,0.0189082,-0.0293891,0.0169332,-0.999425,0.0125404,0.25,0.2,0,flat,0,4.90569e-09,0.000148007,0.999852,3.35691e-07,0,0,1
0.579998,0.00682778,0.0666109,0,-0.00526581,0.735337,0.0189931,-0.0310132,0.016626,-0.999381,0.0130401,0.25,0.2,0,flat,0,4.19187e-09,0.000163664,0.999836,2.09075e-07,0,0,1
0.599998,0.0089078,0.0686048,0,-0.00569624,0.73527,0.0184033,-0.0314437,0.0158741,-0.999379,0.0136158,0.25,0.2,0,flat,0,2.73582e-09,0.000115443,0.999884,1.22051e-07,0,0,1
0.619998,0.0109043,0.069772,0,-0.00512509,0.735199,0.0177,-0.0308725,0.0153177,-0.999406,0.0140479,0.25,0.2,0,flat,0,1.18057e-09,4.64671e-05,0.999953,6.21033e-08,0,0,1
0.639998,0.0137993,0.0706544,0,-0.00390366,0.735042,0.0168477,-0.0296511,0.0147669,-0.999451,0.0140349,0.25,0.2,0,flat,0,4.47323e-10,1.41963e-05,0.999986,3.31524e-08,0,0,1
0.659998,0.0165666,0.0708766,0,-0.00190422,0.734735,0.0147135,-0.0276516,0.0129721,-0.999533,0.0129892,0.25,0.2,0,flat,0,1.49564e-10,3.49859e-06,0.999997,1.85559e-08,0,0,1
0.679998,0.0205357,0.0704521,0,0.000466125,0.733995,0.0103119,-0.0252813,0.00867965,-0.999643,0.0119655,0.25,0.2,0,flat,0,5.24783e-11,1.03656e-06,0.999999,1.37128e-08,0,0,1
0.699998,0.0246077,0.0694015,0,0.0025507,0.732754,0.00444846,-0.0231967,0.002038,-0.999729,0.0124868,0.25,0.2,0,flat,0,3.18856e-11,8.1841e-07,0.999999,2.07595e-08,0,0,1
0.719998,0.0289526,0.068909,0,0.00326733,0.732036,0.00663237,-0.0224801,0.00415243,-0.999739,0.0149929,0.25,0.2,0,flat,0,1.69086e-10,5.27251e-06,0.999995,1.28809e-07,0,0,1
0.739998,0.0332896,0.0684767,0,0.00353673,0.73165,0.0109945,-0.0222107,0.00879211,-0.999715,0.0174145,0.25,0.2,0,flat,0,5.44067e-10,2.03633e-05,0.999979,1.91983e-07,0,0,1
0.759998,0.0373822,0.0680074,0,0.00414101,0.731606,0.00914798,-0.0216064,0.00653313,-0.999745,0.016639,0.25,0.2,0,flat,0,3.60201e-10,1.18873e-05,0.999988,1.14019e-07,0,0,1
0.779998,0.0417076,0.0680711,0,0.00233174,0.731839,0.00329364,-0.0234157,0.000716267,-0.999726,0.0143672,0.25,0.2,0,flat,0,1.89056e-10,3.24071e-06,0.999997,4.88087e-08,0,0,1
0.799998,0.0458685,0.0686379,0,0.000893254,0.732101,0.00260671,-0.0248542,-0.00409167,-0.999683,0.013498,0.25,0.2,0,flat,0,1.69847e-10,2.30222e-06,0.999998,2.80906e-08,0,0,1
0.819998,0.0497007,0.069626,0,0.0012826,0.732282,0.00553506,-0.0244648,-0.00700949,-0.999676,0.0130841,0.25,0.2,0,flat,0,2.45475e-10,2.71704e-06,0.999997,1.75669e-08,0,0,1
