t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733603,0,-0.0282305,-0.00259758,-0.999598,0,0,-0.3,0,flat,0,8.62528e-15,1.7555e-14,1,1.36791e-09,0,0,1
0.0399988,-6.55279e-06,-2.93154e-06,0,1.39941e-05,0.733605,0,-0.0282165,-0.00259962,-0.999598,-2.20947e-05,0,-0.3,0,flat,0,8.74038e-15,1.77562e-14,1,1.34295e-09,0,0,1
0.0599988,-1.2463e-05,-1.05934e-05,0,2.98973e-05,0.733608,0,-0.0282006,-0.00260561,-0.999599,-4.59012e-05,0,-0.3,0,flat,0,8.69306e-15,1.76353e-14,1,1.3091e-09,0,0,1
0.0799987,-1.78795e-05,-2.65795e-05,0,4.83692e-05,0.73361,0,-0.0281821,-0.0026165,-0.999599,-7.32001e-05,0,-0.3,0,flat,0,8.4109e-15,1.70267e-14,1,1.2618e-09,0,0,1
0.0999987,-2.2931e-05,-5.34634e-05,0,6.92606e-05,0.733614,0,-0.0281612,-0.00263282,-0.9996,-0.00010388,0,-0.3,0,flat,0,7.94701e-15,1.60822e-14,1,1.20504e-09,0,0,1
0.119999,-2.77665e-05,-9.34698e-05,0,9.06643e-05,0.733617,0,-0.0281398,-0.00265266,-0.9996,-0.000136817,0,-0.3,0,flat,0,7.36817e-15,1.4964e-14,1,1.14422e-09,0,0,1
0.139999,-3.30899e-05,-0.000148976,0,0.000120169,0.733622,0,-0.0281103,-0.00268239,-0.999601,-0.000185773,0,-0.3,0,flat,0,6.72902e-15,1.37838e-14,1,1.08353e-09,0,0,1
0.159999,-3.95179e-05,-0.00022206,0,0.000166804,0.733628,0,-0.0280637,-0.00272873,-0.999602,-0.000251045,0,-0.3,0,flat,0,6.07036e-15,1.26193e-14,1,1.02638e-09,0,0,1
0.179999,-4.58024e-05,-0.000316148,0,0.000219237,0.733635,0,-0.0280113,-0.00277601,-0.999604,-0.000309009,0,-0.3,0,flat,0,5.42187e-15,1.15268e-14,1,9.74196e-10,0,0,1
0.199999,-5.01834e-05,-0.000421571,0,0.000290975,0.733643,0,-0.0279395,-0.00283637,-0.999606,-0.000378011,0,-0.3,0,flat,0,4.79956e-15,1.05258e-14,1,9.26783e-10,0,0,1
0.219999,-5.34747e-05,-0.000580432,0,0.000384761,0.733654,0.000488281,-0.0278457,-0.00291158,-0.999608,-0.000460396,0,-0.3,0,flat,0,4.21839e-15,9.61856e-15,1,8.84842e-10,0,0,1
0.239999,-0.000350213,-0.000669164,0,0.00173879,0.733631,0.00176052,-0.0264917,-0.00231939,-0.999646,0.000704525,0,-0.3,0,flat,0,4.14985e-15,8.75583e-15,1,8.98783e-10,0,0,1
0.259999,-0.00118882,-4.57382e-05,0,0.00502236,0.733412,0.00630054,-0.0232081,0.00122328,-0.99973,0.00290613,0,-0.3,0,flat,0,2.11806e-14,1.16748e-13,1,1.06434e-09,0,0,1
0.279999,-0.00175411,0.000956227,0,0.00601882,0.733301,0.00839364,-0.0222117,0.00325378,-0.999748,0.00326629,0,-0.3,0,flat,0,2.44631e-14,4.71222e-13,1,5.93029e-09,0,0,1
0.299999,-0.00230767,0.00197606,0,0.00590619,0.733321,0.00873467,-0.0223243,0.00384688,-0.999743,0.00337424,0,-0.3,0,flat,0,1.36984e-14,6.81476e-13,1,1.7504e-08,0,0,1
0.319999,-0.00310794,0.00298096,0,0.006087,0.733392,0.00914798,-0.0221435,0.00423529,-0.999746,0.00415553,0,-0.3,0,flat,0,1.70474e-14,1.38371e-12,1,3.32179e-08,0,0,1
0.339998,-0.00413116,0.00406001,0,0.00676066,0.733368,0.01072,-0.0214698,0.00572413,-0.999753,0.00521924,0,-0.3,0,flat,0,2.64526e-14,2.54313e-12,1,5.6952e-08,0,0,1
0.359998,-0.00531692,0.00537053,0,0.00808099,0.733009,0.0145751,-0.0201495,0.00953325,-0.999752,0.00599174,0,-0.3,0,flat,0,2.89995e-14,2.69577e-12,1,7.65897e-08,0,0,1
0.379998,-0.0065673,0.00641535,0,0.00929489,0.732832,0.0141434,-0.0189356,0.00806169,-0.999788,0.0080432,0,-0.3,0,flat,0,1.69847e-14,8.96329e-13,1,4.63703e-08,0,0,1
0.399998,-0.00745969,0.0071639,0,0.00840429,0.733285,0.00944295,-0.0198262,0.00169338,-0.999802,0.00895193,0,-0.3,0,flat,0,5.48853e-15,5.38654e-13,1,1.19304e-08,0,0,1
0.419998,-0.00835183,0.00837113,0,0.00719245,0.733977,0.00809725,-0.021038,0.00111497,-0.999778,0.00900114,0,-0.3,0,flat,0,1.06956e-15,8.95245e-14,1,4.72142e-09,0,0,1
0.439998,-0.00933884,0.00991649,0,0.00646904,0.734792,0.0108746,-0.0217615,0.00615017,-0.999744,0.00890174,0,-0.3,0,flat,0,5.67646e-16,2.27786e-14,1,2.44695e-09,0,0,1
0.459998,-0.0103266,0.0114638,0,0.00533789,0.735563,0.0160949,-0.0228926,0.0125853,-0.999659,0.00903267,0,-0.3,0,flat,0,9.51266e-16,2.82405e-14,1,3.0697e-09,0,0,1
0.479998,-0.0111461,0.0126398,0,0.00295751,0.736172,0.0207221,-0.025273,0.0179109,-0.99952,0.0110173,0,-0.3,0,flat,0,1.09282e-15,3.95977e-14,1,3.86429e-09,0,0,1
0.499998,-0.0119951,0.0133363,0,0.000254212,0.73657,0.0236885,-0.0279763,0.0210887,-0.999386,0.0120381,0,-0.3,0,flat,0,1.12654e-15,5.51628e-14,1,4.61024e-09,0,0,1
0.519998,-0.012771,0.0135077,0,-0.00224984,0.736818,0.0255084,-0.0304803,0.0228089,-0.999275,0.0115978,0,-0.3,0,flat,0,1.1422e-15,7.04779e-14,1,6.08597e-09,0,0,1
0.539998,-0.0136814,0.0130754,0,-0.00543344,0.73703,0.026894,-0.0336639,0.0237404,-0.999151,0.00887526,0,-0.3,0,flat,0,1.49087e-15,9.07318e-14,1,7.92086e-09,0,0,1
0.559998,-0.0143613,0.0121289,0,-0.00842375,0.737138,0.0271938,-0.0366542,0.0232528,-0.999057,0.00442069,0,-0.3,0,flat,0,2.00976e-15,1.07671e-13,1,1.22271e-08,0,0,1
0.579998,-0.0150385,0.0101311,0,-0.011424,0.737152,0.0274012,-0.0396545,0.0223,-0.998965,0.00174063,0,-0.3,0,flat,0,2.85141e-15,1.31278e-13,1,1.57303e-08,0,0,1
0.599998,-0.0155157,0.00755231,0,-0.0137897,0.737013,0.0270487,-0.0420202,0.0206616,-0.998903,0.000242608,0,-0.3,0,flat,0,3.75058e-15,1.38289e-13,1,1.4073e-08,0,0,1
0.619998,-0.0158684,0.00434476,0,-0.0147716,0.736728,0.0252925,-0.0430021,0.0179206,-0.998914,-0.00214608,0,-0.3,0,flat,0,3.70904e-15,1.15123e-13,1,1.09697e-08,0,0,1
0.639998,-0.0160282,0.000513574,0,-0.0142076,0.736321,0.0213512,-0.0424381,0.0133325,-0.99901,-0.00554701,0,-0.3,0,flat,0,3.00363e-15,9.28271e-14,1,8.51218e-09,0,0,1
0.659998,-0.0158431,-0.0039229,0,-0.0121246,0.73584,0.0165694,-0.0403551,0.0086907,-0.999148,-0.00818884,0,-0.3,0,flat,0,2.87344e-15,1.08933e-13,1,8.54483e-09,0,0,1
0.679998,-0.0153308,-0.00844864,0,-0.00912681,0.735325,0.0109293,-0.0373573,0.00341325,-0.999296,-0.0110099,0,-0.3,0,flat,0,4.43365e-15,2.5187e-13,1,1.55521e-08,0,0,1
0.699998,-0.0142382,-0.0147091,0,-0.00480887,0.73447,0.00556727,-0.0330394,-0.0054092,-0.999439,-0.0138179,0,-0.3,0,flat,0,1.49887e-14,1.22145e-12,1,4.59153e-08,0,0,1
0.719998,-0.0129734,-0.020671,0,-0.000391588,0.733645,0.0116166,-0.0286221,-0.0142049,-0.999489,-0.0161405,0,-0.3,0,flat,0,7.28415e-14,8.53634e-12,1,1.97168e-07,0,0,1
0.739998,-0.0116714,-0.0254207,0,0.00362797,0.733787,0.0106251,-0.0246025,-0.0125869,-0.999618,-0.0165053,0,-0.3,0,flat,0,3.98338e-14,5.72446e-12,1,3.5375e-07,0,0,1
