t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733603,0,-0.0282544,-0.00224841,-0.999598,0,0.25,0.2,0,flat,0,8.63878e-15,1.75966e-14,1,1.37866e-09,0,0,1
0.0399988,-2.97278e-06,-1.63254e-06,0,1.66632e-05,0.733605,0,-0.0282377,-0.00224979,-0.999599,-1.99061e-05,0.25,0.2,0,flat,0,1.09742e-14,2.04141e-14,1,1.06957e-09,0,0,1
0.0599988,-2.75671e-06,-1.44886e-06,0,2.80421e-05,0.733606,0,-0.0282263,-0.00224892,-0.999599,-3.40492e-05,0.25,0.2,0,flat,0,1.35085e-14,2.17039e-14,1,7.53687e-10,0,0,1
0.0799987,4.90621e-06,3.81836e-06,0,3.99835e-05,0.733604,0,-0.0282144,-0.00224523,-0.999599,-4.57019e-05,0.25,0.2,0,flat,0,1.64826e-14,2.23885e-14,1,5.08297e-10,0,0,1
0.0999987,2.71667e-05,1.93226e-05,0,5.47953e-05,0.7336,0,-0.0281996,-0.00223683,-0.9996,-5.21466e-05,0.25,0.2,0,flat,0,2.01556e-14,2.33778e-14,1,3.37832e-10,0,0,1
0.119999,7.37626e-05,5.30551e-05,0,7.86502e-05,0.733592,0,-0.0281757,-0.00221996,-0.999601,-5.59166e-05,0.25,0.2,0,flat,0,2.47397e-14,2.53264e-14,1,2.24556e-10,0,0,1
0.139999,0.000140063,0.000102603,0,0.000107136,0.733581,0,-0.0281472,-0.00219282,-0.999601,-5.74458e-05,0.25,0.2,0,flat,0,3.02797e-14,2.88631e-14,1,1.51214e-10,0,0,1
0.159999,0.000223316,0.000165554,0,0.000136981,0.733567,0,-0.0281174,-0.00215498,-0.999602,-5.58868e-05,0.25,0.2,0,flat,0,3.7095e-14,3.54077e-14,1,1.04903e-10,0,0,1
0.179999,4.95091e-06,0.000374187,0,0.00168471,0.733498,0.00198341,-0.0265697,-0.00122547,-0.999646,0.00172631,0.25,0.2,0,flat,0,6.47358e-14,4.42173e-14,1,7.07916e-11,0,0,1
0.199999,-0.000801094,0.00150888,0,0.00579057,0.733234,0.00760373,-0.0224638,0.00268107,-0.999744,0.00469106,0.25,0.2,0,flat,0,5.35794e-13,1.33894e-12,1,7.76877e-11,0,0,1
0.219999,-0.00118141,0.003346,0,0.00774169,0.733097,0.0105236,-0.0205127,0.00487942,-0.999778,0.00529984,0.25,0.2,0,flat,0,4.24174e-13,2.36844e-12,1,2.06189e-10,0,0,1
0.239999,-0.00133636,0.00544032,0,0.00837032,0.733117,0.0110216,-0.019884,0.00492202,-0.99979,0.0056089,0.25,0.2,0,flat,0,2.30884e-13,4.20442e-12,1,2.81576e-10,0,0,1
0.259999,-0.00150069,0.00767249,0,0.0090321,0.733211,0.0112146,-0.0192223,0.00440272,-0.999806,0.00611739,0.25,0.2,0,flat,0,2.64337e-13,1.78034e-11,1,2.79631e-10,0,0,1
0.279999,-0.00163363,0.0100262,0,0.00975667,0.733369,0.0113414,-0.0184977,0.00353248,-0.999823,0.0064044,0.25,0.2,0,flat,0,4.44688e-13,9.89933e-11,1,3.79881e-10,0,0,1
0.299999,-0.00170495,0.0122781,0,0.0104257,0.733554,0.0115239,-0.0178287,0.00265001,-0.999838,0.00651366,0.25,0.2,0,flat,0,8.17711e-13,6.65724e-10,1,7.9766e-10,0,0,1
0.319999,-0.00177474,0.015066,0,0.0113716,0.733772,0.0121091,-0.0168828,0.00190517,-0.999856,0.00687321,0.25,0.2,0,flat,0,1.75375e-12,6.0409e-09,1,2.59069e-09,0,0,1
0.339998,-0.00188318,0.0182622,0,0.0129873,0.73395,0.0135669,-0.015267,0.00168393,-0.999882,0.00787421,0.25,0.2,0,flat,0,4.1937e-12,5.26246e-08,1,1.01202e-08,0,0,1
0.359998,-0.00206422,0.0223463,0,0.0151489,0.733954,0.0159909,-0.0131055,0.00287205,-0.99991,0.0086759,0.25,0.2,0,flat,0,8.09817e-12,2.72465e-07,1,3.41583e-08,0,0,1
0.379998,-0.00233461,0.0270706,0,0.0183722,0.733385,0.0210673,-0.00988217,0.00806102,-0.999919,0.0109932,0.25,0.2,0,flat,0,1.68977e-11,1.1621e-06,0.999999,8.80494e-08,0,0,1
0.399998,-0.00255299,0.031247,0,0.0208556,0.732514,0.0256157,-0.00739877,0.0126234,-0.999893,0.0148297,0.25,0.2,0,flat,0,6.93391e-11,8.57307e-06,0.999991,1.99708e-07,0,0,1
0.419998,-0.00206384,0.0357753,0,0.0190699,0.732902,0.0197229,-0.00918444,0.00277677,-0.999954,0.0158723,0.25,0.2,0,flat,0,4.11556e-10,0.00022498,0.999775,4.62038e-07,0,0,1
0.439998,-0.00113058,0.0398156,0,0.0151131,0.73351,0.015313,-0.0131413,0.000212098,-0.999914,0.0148806,0.25,0.2,0,flat,0,1.60336e-10,4.98201e-05,0.99995,3.01991e-07,0,0,1
0.459998,-0.00033951,0.0443769,0,0.0125618,0.734102,0.0138022,-0.0156926,0.00347065,-0.999871,0.0150433,0.25,0.2,0,flat,0,5.36924e-10,5.82377e-05,0.999941,2.45357e-07,0,0,1
0.479998,0.000405012,0.0487677,0,0.0107614,0.734576,0.0145588,-0.017493,0.007558,-0.999818,0.014588,0.25,0.2,0,flat,0,2.18052e-09,7.36144e-05,0.999926,2.91673e-07,0,0,1
0.499998,0.00139618,0.0527868,0,0.00816718,0.734884,0.0147822,-0.0200872,0.0100779,-0.999747,0.0142814,0.25,0.2,0,flat,0,3.00485e-09,6.13531e-05,0.999938,3.36486e-07,0,0,1
0.519998,0.00263944,0.0564236,0,0.0047975,0.735074,0.0148386,-0.0234569,0.0117909,-0.999655,0.0141293,0.25,0.2,0,flat,0,3.53149e-09,6.91095e-05,0.999931,3.40879e-07,0,0,1
0.539998,0.0039912,0.0596784,0,0.00167958,0.735192,0.0155372,-0.0265748,0.0131995,-0.99956,0.0140109,0.25,0.2,0,flat,0,3.83732e-09,7.8071e-05,0.999922,3.22129e-07,0,0,1
0.559998,0.0054611,0.0624822,0,-0.000535462,0.735248,0.016312,-0.0287898,0.0140521,-0.999487,0.014288,0.25,0.2,0,flat,0,4.28079e-09,0.000112606,0.999887,2.94192e-07,0,0,1
