t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733598,0.000345267,-0.0285727,-0.00266719,-0.999588,0,0,0,0,flat,0,8.58513e-15,1.74899e-14,1,1.35795e-09,0,0,1
0.0399988,-1.73971e-06,-2.09693e-06,0,1.82744e-05,0.7336,0,-0.0285544,-0.00266848,-0.999589,-2.29627e-05,0,0,0,flat,0,8.63713e-15,1.75335e-14,1,1.36788e-09,0,0,1
0.0599988,-2.59653e-06,-3.96592e-06,0,3.82941e-05,0.733602,0,-0.0285344,-0.0026698,-0.999589,-4.82965e-05,0,0,0,flat,0,8.68809e-15,1.75771e-14,1,1.37722e-09,0,0,1
0.0799987,-2.96347e-06,-5.65813e-06,0,5.62463e-05,0.733604,0.000345267,-0.0285165,-0.0026709,-0.99959,-7.14064e-05,0,0,0,flat,0,8.73574e-15,1.76172e-14,1,1.38604e-09,0,0,1
0.0999987,-3.22051e-06,-7.22311e-06,0,7.19205e-05,0.733606,0,-0.0285008,-0.00267182,-0.99959,-9.21655e-05,0,0,0,flat,0,8.78152e-15,1.76573e-14,1,1.39456e-09,0,0,1
0.119999,-3.44403e-06,-8.70129e-06,0,8.8729e-05,0.733607,0,-0.028484,-0.00267276,-0.999591,-0.000115206,0,0,0,flat,0,8.82568e-15,1.76951e-14,1,1.40245e-09,0,0,1
0.139999,-3.64333e-06,-1.01048e-05,0,0.000104919,0.733609,0.000345267,-0.0284678,-0.00267366,-0.999591,-0.000138314,0,0,0,flat,0,8.86743e-15,1.77293e-14,1,1.4097e-09,0,0,1
0.159999,-3.82587e-06,-1.14765e-05,0,0.000120513,0.73361,0,-0.0284522,-0.00267448,-0.999592,-0.000161385,0,0,0,flat,0,8.90665e-15,1.7761e-14,1,1.41672e-09,0,0,1
0.179999,-3.98792e-06,-1.27893e-05,0,0.000135547,0.733612,0,-0.0284372,-0.0026753,-0.999592,-0.000184545,0,0,0,flat,0,8.94448e-15,1.77924e-14,1,1.42345e-09,0,0,1
0.199999,-4.13135e-06,-1.40372e-05,0,0.000150036,0.733613,0,-0.0284227,-0.00267609,-0.999592,-0.000207787,0,0,0,flat,0,8.98103e-15,1.78231e-14,1,1.42992e-09,0,0,1
0.219999,-4.24497e-06,-1.51066e-05,0,0.000163997,0.733614,0.000345267,-0.0284087,-0.00267685,-0.999593,-0.000231115,0,0,0,flat,0,9.01649e-15,1.78535e-14,1,1.43616e-09,0,0,1
0.239999,-4.36604e-06,-1.63519e-05,0,0.00017746,0.733615,0,-0.0283953,-0.00267757,-0.999593,-0.000254523,0,0,0,flat,0,9.05067e-15,1.78824e-14,1,1.44213e-09,0,0,1
0.259999,-4.45917e-06,-1.74316e-05,0,0.000190454,0.733616,0.000345267,-0.0283823,-0.00267825,-0.999594,-0.000277998,0,0,0,flat,0,9.08356e-15,1.79096e-14,1,1.44781e-09,0,0,1
0.279999,-4.53554e-06,-1.84637e-05,0,0.000202991,0.733617,0.000345267,-0.0283697,-0.00267888,-0.999594,-0.000301553,0,0,0,flat,0,9.11515e-15,1.79342e-14,1,1.45318e-09,0,0,1
0.299999,-4.59701e-06,-1.94515e-05,0,0.00021507,0.733618,0,-0.0283577,-0.0026795,-0.999594,-0.000325182,0,0,0,flat,0,9.14535e-15,1.79563e-14,1,1.45824e-09,0,0,1
0.319999,-4.64171e-06,-2.04013e-05,0,0.000225574,0.733619,0,-0.0283471,-0.00268002,-0.999595,-0.000346512,0,0,0,flat,0,9.17379e-15,1.79748e-14,1,1.46288e-09,0,0,1
0.339998,-4.67151e-06,-2.13175e-05,0,0.00023796,0.73362,0.000345267,-0.0283348,-0.00268063,-0.999595,-0.00037265,0,0,0,flat,0,9.20106e-15,1.79921e-14,1,1.4673e-09,0,0,1
0.359998,-4.69014e-06,-2.22042e-05,0,0.000249892,0.733621,0.000345267,-0.0283228,-0.00268119,-0.999595,-0.000398865,0,0,0,flat,0,9.2264e-15,1.8007e-14,1,1.4713e-09,0,0,1
0.379998,-4.69387e-06,-2.30605e-05,0,0.000259317,0.733622,0,-0.0283134,-0.00268163,-0.999596,-0.000420369,0,0,0,flat,0,9.25082e-15,1.80209e-14,1,1.47523e-09,0,0,1
0.399998,-4.68455e-06,-2.38896e-05,0,0.000269435,0.733623,0.000345267,-0.0283033,-0.0026821,-0.999596,-0.000444319,0,0,0,flat,0,9.27485e-15,1.80343e-14,1,1.47913e-09,0,0,1
0.419998,-4.6622e-06,-2.46958e-05,0,0.000279218,0.733623,0.000345267,-0.0282935,-0.00268253,-0.999596,-0.000468325,0,0,0,flat,0,9.2977e-15,1.80455e-14,1,1.48267e-09,0,0,1
0.439998,-4.62867e-06,-2.54789e-05,0,0.00028868,0.733624,0.000345267,-0.028284,-0.00268293,-0.999596,-0.000492385,0,0,0,flat,0,9.31929e-15,1.80547e-14,1,1.48601e-09,0,0,1
0.459998,-4.58211e-06,-2.62388e-05,0,0.000297815,0.733625,0.000345267,-0.0282749,-0.00268332,-0.999597,-0.0005165,0,0,0,flat,0,9.33975e-15,1.80622e-14,1,1.48918e-09,0,0,1
0.479998,-4.5225e-06,-2.69777e-05,0,0.00030664,0.733625,0.000345267,-0.0282661,-0.00268369,-0.999597,-0.000540672,0,0,0,flat,0,9.35937e-15,1.80685e-14,1,1.49218e-09,0,0,1
0.499998,-4.45172e-06,-2.76979e-05,0,0.000315161,0.733626,0.000345267,-0.0282576,-0.00268405,-0.999597,-0.000564899,0,0,0,flat,0,9.37799e-15,1.80734e-14,1,1.495e-09,0,0,1
0.519998,-4.36977e-06,-2.84019e-05,0,0.000323398,0.733626,0.000345267,-0.0282493,-0.00268439,-0.999597,-0.000589173,0,0,0,flat,0,9.39578e-15,1.80773e-14,1,1.49768e-09,0,0,1
0.539998,-4.2785e-06,-2.90918e-05,0,0.000331365,0.733627,0.000345267,-0.0282414,-0.00268471,-0.999598,-0.000613494,0,0,0,flat,0,9.41279e-15,1.80801e-14,1,1.50023e-09,0,0,1
0.559998,-4.17605e-06,-2.97677e-05,0,0.000339072,0.733627,0.000345267,-0.0282336,-0.00268501,-0.999598,-0.000637855,0,0,0,flat,0,9.42889e-15,1.80816e-14,1,1.50262e-09,0,0,1
0.579998,-4.06243e-06,-3.04295e-05,0,0.000346523,0.733628,0.000345267,-0.0282262,-0.00268529,-0.999598,-0.000662263,0,0,0,flat,0,9.44433e-15,1.80824e-14,1,1.50491e-09,0,0,1
0.599998,-3.95253e-06,-3.10149e-05,0,0.000353727,0.733628,0.000345267,-0.028219,-0.00268555,-0.999598,-0.000686709,0,0,0,flat,0,9.45901e-15,1.80821e-14,1,1.50709e-09,0,0,1
0.619998,-3.80725e-06,-3.17181e-05,0,0.000360707,0.733629,0.000488281,-0.028212,-0.00268579,-0.999598,-0.000711186,0,0,0,flat,0,9.47298e-15,1.80808e-14,1,1.50913e-09,0,0,1
0.639998,-3.66569e-06,-3.2347e-05,0,0.000366826,0.733629,0.000488281,-0.0282059,-0.00268598,-0.999599,-0.000733238,0,0,0,flat,0,9.48643e-15,1.80788e-14,1,1.51111e-09,0,0,1
0.659998,-3.51667e-06,-3.29659e-05,0,0.000374118,0.733629,0.000345267,-0.0281986,-0.00268619,-0.999599,-0.000760229,0,0,0,flat,0,9.49943e-15,1.80762e-14,1,1.51302e-09,0,0,1
0.679998,-3.35835e-06,-3.35759e-05,0,0.000379933,0.73363,0.000345267,-0.0281928,-0.00268635,-0.999599,-0.000782341,0,0,0,flat,0,9.51122e-15,1.80718e-14,1,1.51468e-09,0,0,1
0.699998,-3.19257e-06,-3.41765e-05,0,0.000386849,0.73363,0.000345267,-0.0281859,-0.00268647,-0.999599,-0.000809319,0,0,0,flat,0,9.52316e-15,1.80682e-14,1,1.51648e-09,0,0,1
0.719998,-3.01749e-06,-3.47569e-05,0,0.000392953,0.73363,0.000345267,-0.0281798,-0.00268653,-0.999599,-0.000833794,0,0,0,flat,0,9.53403e-15,1.80626e-14,1,1.51797e-09,0,0,1
0.739998,-2.81818e-06,-3.53575e-05,0,0.000398921,0.73363,0.000345267,-0.0281738,-0.00268663,-0.999599,-0.000858296,0,0,0,flat,0,9.54473e-15,1.80568e-14,1,1.51952e-09,0,0,1
0.759998,-2.64682e-06,-3.58116e-05,0,0.000404732,0.733631,0.000488281,-0.028168,-0.0026867,-0.9996,-0.000882765,0,0,0,flat,0,9.55449e-15,1.80496e-14,1,1.52096e-09,0,0,1
0.779998,-2.45124e-06,-3.6273e-05,0,0.000410423,0.733631,0.000488281,-0.0281623,-0.0026868,-0.9996,-0.000907257,0,0,0,flat,0,9.56346e-15,1.80412e-14,1,1.52229e-09,0,0,1
0.799998,-2.24821e-06,-3.66875e-05,0,0.000415429,0.733631,0.000488281,-0.0281573,-0.00268688,-0.9996,-0.000929298,0,0,0,flat,0,9.57233e-15,1.8033e-14,1,1.52361e-09,0,0,1
0.819998,-2.03773e-06,-3.707e-05,0,0.000421407,0.733631,0.000488281,-0.0281513,-0.00268696,-0.9996,-0.000956221,0,0,0,flat,0,9.58084e-15,1.80245e-14,1,1.52491e-09,0,0,1
0.839998,-1.82353e-06,-3.74444e-05,0,0.000426201,0.733632,0.000488281,-0.0281465,-0.00268704,-0.9996,-0.000978246,0,0,0,flat,0,9.58856e-15,1.8015e-14,1,1.52599e-09,0,0,1
0.859998,-1.60187e-06,-3.7816e-05,0,0.000431931,0.733632,0.000488281,-0.0281408,-0.00268715,-0.9996,-0.00100518,0,0,0,flat,0,9.59654e-15,1.80067e-14,1,1.52729e-09,0,0,1
0.879998,-1.37091e-06,-3.81865e-05,0,0.00043701,0.733632,0.000345267,-0.0281357,-0.00268727,-0.999601,-0.00102969,0,0,0,flat,0,9.60349e-15,1.79969e-14,1,1.52836e-09,0,0,1
0.899998,-1.15857e-06,-3.85198e-05,0,0.000441965,0.733632,0.000488281,-0.0281308,-0.00268738,-0.999601,-0.00105421,0,0,0,flat,0,9.61108e-15,1.79886e-14,1,1.52959e-09,0,0,1
0.919998,-8.92207e-07,-3.89268e-05,0,0.000446806,0.733632,0.000488281,-0.0281259,-0.00268747,-0.999601,-0.00107874,0,0,0,flat,0,9.61875e-15,1.79805e-14,1,1.53078e-09,0,0,1
0.939998,-6.42613e-07,-3.92965e-05,0,0.000451999,0.733633,0.000345267,-0.0281207,-0.00268756,-0.999601,-0.00110571,0,0,0,flat,0,9.62627e-15,1.79721e-14,1,1.53194e-09,0,0,1
