t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733602,0,-0.0282386,-0.00245682,-0.999598,0,-0.3,0,0,flat,0,8.62067e-15,1.75862e-14,1,1.36902e-09,0,0,1
0.0399988,-6.55837e-06,-1.9842e-06,0,1.46441e-05,0.733605,0,-0.028224,-0.00245772,-0.999599,-2.07443e-05,-0.3,0,0,flat,0,6.81569e-15,1.51211e-14,1,1.82138e-09,0,0,1
0.0599988,-1.83284e-05,-4.51291e-06,0,2.77907e-05,0.733609,0,-0.0282109,-0.0024579,-0.999599,-4.17866e-05,-0.3,0,0,flat,0,5.67293e-15,1.45721e-14,1,2.6171e-09,0,0,1
0.0799987,-4.17829e-05,-8.65899e-06,0,3.51369e-05,0.733614,0,-0.0282035,-0.0024572,-0.999599,-6.36745e-05,-0.3,0,0,flat,0,5.00984e-15,1.54016e-14,1,3.88367e-09,0,0,1
0.0999987,-8.17347e-05,-1.51979e-05,0,3.14377e-05,0.733621,0,-0.0282072,-0.00245608,-0.999599,-8.64137e-05,-0.3,0,0,flat,0,4.65768e-15,1.73593e-14,1,5.72628e-09,0,0,1
0.119999,-0.000141529,-2.46139e-05,0,1.2815e-05,0.73363,0,-0.0282258,-0.00245466,-0.999599,-0.00010976,-0.3,0,0,flat,0,4.49612e-15,2.03186e-14,1,8.07522e-09,0,0,1
0.139999,-0.000224873,-3.74038e-05,0,-2.3583e-05,0.733642,0,-0.0282622,-0.0024537,-0.999598,-0.000134282,-0.3,0,0,flat,0,4.49875e-15,2.45048e-14,1,1.08597e-08,0,0,1
0.159999,-0.000336599,-5.42549e-05,0,-8.22153e-05,0.733655,0,-0.0283209,-0.00245371,-0.999596,-0.000157317,-0.3,0,0,flat,0,4.6479e-15,3.02604e-14,1,1.39783e-08,0,0,1
0.179999,-0.000465268,-7.32877e-05,0,-0.000186605,0.733668,0,-0.0284253,-0.00245477,-0.999593,-0.000183571,-0.3,0,0,flat,0,4.92266e-15,3.79602e-14,1,1.73195e-08,0,0,1
0.199999,-0.000664158,-0.000101956,0,-0.000358123,0.733686,0.000345267,-0.0285968,-0.00245748,-0.999588,-0.000212764,-0.3,0,0,flat,0,5.30545e-15,4.81035e-14,1,2.07667e-08,0,0,1
0.219999,-0.000865567,-0.000129986,0,-0.000570545,0.733703,0.00059802,-0.0288092,-0.00246321,-0.999582,-0.00023748,-0.3,0,0,flat,0,5.75889e-15,6.11604e-14,1,2.41599e-08,0,0,1
0.239999,-0.00128119,-0.000143526,0,-0.000207232,0.733717,0,-0.0284459,-0.00231917,-0.999593,0.000297885,-0.3,0,0,flat,0,7.3137e-15,8.17009e-14,1,3.0946e-08,0,0,1
