t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733603,0,-0.0282408,-0.00230969,-0.999599,0,0.3,0,0,flat,0,8.646e-15,1.75946e-14,1,1.37447e-09,0,0,1
0.0399988,-4.03821e-06,-1.92085e-06,0,1.56164e-05,0.733605,0,-0.0282252,-0.0023112,-0.999599,-1.92355e-05,0.3,0,0,flat,0,1.10633e-14,2.05846e-14,1,1.03797e-09,0,0,1
0.0599988,-4.37349e-06,-3.04631e-06,0,3.1054e-05,0.733606,0,-0.0282098,-0.00231335,-0.999599,-3.84413e-05,0.3,0,0,flat,0,1.34819e-14,2.16439e-14,1,7.02383e-10,0,0,1
0.0799987,2.42516e-06,-3.38328e-06,0,4.89391e-05,0.733605,0,-0.0281919,-0.00231667,-0.9996,-5.76153e-05,0.3,0,0,flat,0,1.58374e-14,2.13295e-14,1,4.434e-10,0,0,1
0.0999987,2.25585e-05,-3.46594e-06,0,7.34124e-05,0.733603,0,-0.0281674,-0.00232078,-0.999601,-7.58693e-05,0.3,0,0,flat,0,1.81559e-14,2.0546e-14,1,2.67209e-10,0,0,1
0.119999,6.16051e-05,-3.39923e-06,0,0.000110611,0.733599,0,-0.0281302,-0.00232622,-0.999602,-9.24729e-05,0.3,0,0,flat,0,2.03938e-14,1.9832e-14,1,1.55162e-10,0,0,1
0.139999,0.000126831,-3.20032e-06,0,0.000175042,0.733592,0,-0.0280658,-0.00233296,-0.999603,-0.00010754,0.3,0,0,flat,0,2.23994e-14,1.94562e-14,1,8.73673e-11,0,0,1
0.159999,0.000223238,-2.87305e-06,0,0.000278372,0.733584,0,-0.0279625,-0.00234123,-0.999606,-0.000121726,0.3,0,0,flat,0,2.41576e-14,1.99838e-14,1,4.88724e-11,0,0,1
0.179999,0.000357239,-2.11892e-06,0,0.000430202,0.733574,0.000345267,-0.0278106,-0.00235114,-0.99961,-0.000135269,0.3,0,0,flat,0,2.56459e-14,2.19343e-14,1,2.7722e-11,0,0,1
0.199999,0.000534229,-4.26946e-07,0,0.000639772,0.733562,0.00059802,-0.0276011,-0.00236267,-0.999616,-0.000148578,0.3,0,0,flat,0,2.6921e-14,2.61034e-14,1,1.61714e-11,0,0,1
0.219999,0.000759505,2.50487e-06,0,0.000914639,0.733548,0.000845728,-0.0273262,-0.00237574,-0.999624,-0.000162197,0.3,0,0,flat,0,2.80702e-14,3.33217e-14,1,9.75452e-12,0,0,1
0.239999,0.000818443,5.35731e-05,0,0.0021995,0.73352,0.00221079,-0.0260413,-0.00208807,-0.999659,0.000905091,0.3,0,0,flat,0,2.25072e-14,3.41035e-14,1,4.69094e-12,0,0,1
0.259999,0.000282448,0.000847543,0,0.00605143,0.733356,0.00673051,-0.0221894,0.00065601,-0.999754,0.00374159,0.3,0,0,flat,0,3.39754e-13,1.30842e-12,1,6.03393e-12,0,0,1
0.279999,0.0001592,0.00216146,0,0.00764274,0.733284,0.00894371,-0.0205981,0.00233444,-0.999785,0.00403809,0.3,0,0,flat,0,3.88654e-13,2.25628e-12,1,1.6646e-11,0,0,1
0.299999,0.00015467,0.00351991,0,0.00823099,0.733318,0.00969214,-0.0200098,0.00281155,-0.999796,0.00440233,0.3,0,0,flat,0,1.18198e-13,3.09953e-12,1,1.94077e-11,0,0,1
0.319999,9.05804e-06,0.00483205,0,0.00914188,0.733414,0.0105857,-0.0190989,0.00301852,-0.999813,0.00637503,0.3,0,0,flat,0,1.23894e-13,2.52806e-11,1,2.35113e-11,0,0,1
0.339998,-0.000225134,0.00627454,0,0.0103058,0.73346,0.0120696,-0.017935,0.00397282,-0.999831,0.00819861,0.3,0,0,flat,0,3.10987e-13,4.04209e-10,1,5.39e-11,0,0,1
0.359998,-0.000641311,0.00820533,0,0.0122805,0.733271,0.0153053,-0.0159604,0.00682641,-0.999849,0.00982796,0.3,0,0,flat,0,8.71984e-13,5.93996e-09,1,1.4863e-10,0,0,1
0.379998,-0.000977293,0.0101067,0,0.0144393,0.732843,0.0196926,-0.0138015,0.0110791,-0.999843,0.0116753,0.3,0,0,flat,0,2.36015e-12,6.30509e-08,1,2.96107e-10,0,0,1
0.399998,-0.00108617,0.0118041,0,0.0150992,0.73296,0.0172843,-0.0131416,0.00609975,-0.999895,0.0142396,0.3,0,0,flat,0,2.49478e-12,2.61914e-07,1,2.67112e-10,0,0,1
0.419998,-0.00073529,0.0135464,0,0.0137153,0.733446,0.0140631,-0.0145256,0.000804364,-0.999894,0.0150413,0.3,0,0,flat,0,3.5719e-12,5.14029e-07,1,2.34984e-10,0,0,1
0.439998,-0.000359775,0.0156708,0,0.0128213,0.733975,0.0132468,-0.0154196,0.00101946,-0.999881,0.015822,0.3,0,0,flat,0,4.61924e-12,1.9922e-07,1,1.89749e-10,0,0,1
0.459998,0.000134595,0.0181344,0,0.0117888,0.734523,0.0145301,-0.016452,0.00618122,-0.999846,0.0160708,0.3,0,0,flat,0,3.58801e-11,2.24421e-07,1,3.69502e-10,0,0,1
0.479998,0.00079501,0.0207789,0,0.010365,0.735044,0.0175478,-0.0178758,0.0118497,-0.99977,0.0163433,0.3,0,0,flat,0,1.20557e-10,2.17629e-07,1,6.53498e-10,0,0,1
