t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733599,0,-0.0284477,-0.00249586,-0.999592,0,0.4,0,0,flat,0,8.62074e-15,1.75706e-14,1,1.36506e-09,0,0,1
0.0399988,-2.52016e-06,-2.01848e-06,0,1.91331e-05,0.733602,0,-0.0284286,-0.00249761,-0.999593,-2.36481e-05,0.4,0,0,flat,0,1.10261e-14,2.05477e-14,1,1.03088e-09,0,0,1
0.0599988,-1.57021e-06,-2.79219e-06,0,3.61018e-05,0.733602,0,-0.0284116,-0.00250001,-0.999593,-4.54765e-05,0.4,0,0,flat,0,1.3433e-14,2.16009e-14,1,6.97669e-10,0,0,1
0.0799987,6.73346e-06,-3.07658e-06,0,5.39888e-05,0.733602,0,-0.0283937,-0.0025027,-0.999594,-6.46003e-05,0.4,0,0,flat,0,1.57813e-14,2.12872e-14,1,4.40533e-10,0,0,1
0.0999987,2.83029e-05,-3.15346e-06,0,8.02185e-05,0.7336,0,-0.0283675,-0.00250668,-0.999594,-8.4823e-05,0.4,0,0,flat,0,1.80962e-14,2.05143e-14,1,2.65555e-10,0,0,1
0.119999,6.93165e-05,-3.08662e-06,0,0.000120634,0.733595,0,-0.0283271,-0.00251188,-0.999596,-0.000103213,0.4,0,0,flat,0,2.03135e-14,1.97852e-14,1,1.54193e-10,0,0,1
0.139999,0.000136377,-2.88125e-06,0,0.000188665,0.733589,0,-0.028259,-0.00251869,-0.999597,-0.000120295,0.4,0,0,flat,0,2.23181e-14,1.94235e-14,1,8.68314e-11,0,0,1
0.159999,0.00022451,-2.5694e-06,0,0.000283483,0.733582,0,-0.0281642,-0.00252624,-0.9996,-0.000134798,0.4,0,0,flat,0,2.40553e-14,1.99382e-14,1,4.85818e-11,0,0,1
0.179999,0.000390911,-1.43921e-06,0,0.000453882,0.73357,0.000345267,-0.0279938,-0.00253739,-0.999605,-0.000151867,0.4,0,0,flat,0,2.55425e-14,2.19064e-14,1,2.75644e-11,0,0,1
0.199999,0.000578269,6.88291e-07,0,0.000671187,0.733557,0.00059802,-0.0277765,-0.00254921,-0.999611,-0.000167191,0.4,0,0,flat,0,2.68014e-14,2.60459e-14,1,1.60782e-11,0,0,1
0.219999,0.000815112,4.15024e-06,0,0.000987105,0.733543,0.000913491,-0.0274606,-0.00256403,-0.99962,-0.00018461,0.4,0,0,flat,0,2.79534e-14,3.32814e-14,1,9.70315e-12,0,0,1
0.239999,0.000884347,5.53541e-05,0,0.00229884,0.733514,0.00231612,-0.0261488,-0.00226933,-0.999655,0.000891836,0.4,0,0,flat,0,2.23993e-14,3.40562e-14,1,4.6679e-12,0,0,1
0.259999,0.000428354,0.000744705,0,0.00574293,0.733358,0.00634767,-0.0227048,0.000217211,-0.999742,0.00342124,0.4,0,0,flat,0,3.50928e-13,1.3676e-12,1,6.16251e-12,0,0,1
0.279999,0.000227081,0.00216145,0,0.00786574,0.73326,0.00926452,-0.020582,0.00238478,-0.999785,0.00414076,0.4,0,0,flat,0,4.87141e-13,3.29199e-12,1,1.92663e-11,0,0,1
0.299999,0.000214914,0.00335852,0,0.00847745,0.733305,0.00998298,-0.0199702,0.00277297,-0.999797,0.00448509,0.4,0,0,flat,0,1.34111e-13,3.45922e-12,1,2.10607e-11,0,0,1
0.319999,6.75097e-05,0.004796,0,0.00947265,0.733424,0.0109129,-0.018975,0.00291372,-0.999816,0.00628473,0.4,0,0,flat,0,1.24852e-13,2.42658e-11,1,2.33519e-11,0,0,1
0.339998,-0.000167415,0.00622376,0,0.0107157,0.733462,0.0124871,-0.0177319,0.00390649,-0.999835,0.00808498,0.4,0,0,flat,0,2.88833e-13,3.63778e-10,1,5.18872e-11,0,0,1
0.359998,-0.000489693,0.00774627,0,0.01249,0.733301,0.0154062,-0.0159577,0.00652399,-0.999851,0.00968411,0.4,0,0,flat,0,8.46711e-13,5.56297e-09,1,1.44873e-10,0,0,1
0.379998,-0.000957761,0.00990424,0,0.0149626,0.73285,0.0198704,-0.0134851,0.0105779,-0.999853,0.0126486,0.4,0,0,flat,0,1.80958e-12,4.72424e-08,1,2.67216e-10,0,0,1
0.399998,-0.00106126,0.0114164,0,0.0157543,0.733014,0.0178676,-0.0126934,0.00593813,-0.999902,0.0150599,0.4,0,0,flat,0,3.1005e-12,4.12462e-07,1,2.54185e-10,0,0,1
0.419998,-0.000711249,0.0133922,0,0.0144445,0.733542,0.0148466,-0.0140032,0.000939929,-0.999902,0.0149725,0.4,0,0,flat,0,3.53363e-12,4.56744e-07,1,2.14117e-10,0,0,1
0.439998,-0.000304902,0.0155344,0,0.0132579,0.734046,0.0138539,-0.0151898,0.00152304,-0.999883,0.0158354,0.4,0,0,flat,0,4.96689e-12,1.81399e-07,1,1.87594e-10,0,0,1
0.459998,0.000171335,0.0179663,0,0.012135,0.734557,0.0151605,-0.0163127,0.00658982,-0.999845,0.0161017,0.4,0,0,flat,0,3.88415e-11,2.02932e-07,1,3.51457e-10,0,0,1
0.479998,0.000839815,0.0202948,0,0.0102018,0.735007,0.0176258,-0.0182458,0.0118811,-0.999763,0.0169005,0.4,0,0,flat,0,9.74498e-11,1.87622e-07,1,5.5325e-10,0,0,1
0.499998,0.00181269,0.0222794,0,0.00716365,0.735344,0.0197229,-0.021284,0.0158765,-0.999647,0.0182585,0.4,0,0,flat,0,1.01661e-10,2.02618e-07,1,7.63932e-10,0,0,1
0.519998,0.00303863,0.0238439,0,0.00368953,0.735608,0.0220138,-0.0247582,0.0192042,-0.999509,0.0196488,0.4,0,0,flat,0,1.40834e-10,4.07985e-07,1,1.27399e-09,0,0,1
0.539998,0.004229,0.024879,0,0.00109546,0.735802,0.0240531,-0.0273522,0.0215307,-0.999394,0.0194371,0.4,0,0,flat,0,2.65365e-10,9.94099e-07,0.999999,2.07513e-09,0,0,1
0.559998,0.00588166,0.0255416,0,-0.00100373,0.736013,0.026006,-0.0294514,0.0234908,-0.99929,0.0185552,0.4,0,0,flat,0,5.34216e-10,2.31552e-06,0.999998,3.28464e-09,0,0,1
0.579998,0.00749042,0.0255082,0,-0.00227696,0.736106,0.026894,-0.0307247,0.0242986,-0.999232,0.0186343,0.4,0,0,flat,0,8.08393e-10,4.05236e-06,0.999996,3.61646e-09,0,0,1
