sample,t_s,cmd_age_ms,qd_L_hip_pitch,q_L_hip_pitch,dq_L_hip_pitch,tau_L_hip_pitch,qd_L_hip_roll,q_L_hip_roll,dq_L_hip_roll,tau_L_hip_roll,qd_L_hip_yaw,q_L_hip_yaw,dq_L_hip_yaw,tau_L_hip_yaw,qd_L_knee,q_L_knee,dq_L_knee,tau_L_knee,qd_L_ank_pitch,q_L_ank_pitch,dq_L_ank_pitch,tau_L_ank_pitch,qd_L_ank_roll,q_L_ank_roll,dq_L_ank_roll,tau_L_ank_roll,qd_R_hip_pitch,q_R_hip_pitch,dq_R_hip_pitch,tau_R_hip_pitch,qd_R_hip_roll,q_R_hip_roll,dq_R_hip_roll,tau_R_hip_roll,qd_R_hip_yaw,q_R_hip_yaw,dq_R_hip_yaw,tau_R_hip_yaw,qd_R_knee,q_R_knee,dq_R_knee,tau_R_knee,qd_R_ank_pitch,q_R_ank_pitch,dq_R_ank_pitch,tau_R_ank_pitch,qd_R_ank_roll,q_R_ank_roll,dq_R_ank_roll,tau_R_ank_roll,qd_waist_roll,q_waist_roll,dq_waist_roll,tau_waist_roll,qd_waist_yaw,q_waist_yaw,dq_waist_yaw,tau_waist_yaw,qd_L_sh_pitch,q_L_sh_pitch,dq_L_sh_pitch,tau_L_sh_pitch,qd_L_sh_roll,q_L_sh_roll,dq_L_sh_roll,tau_L_sh_roll,qd_L_sh_yaw,q_L_sh_yaw,dq_L_sh_yaw,tau_L_sh_yaw,qd_L_elbow,q_L_elbow,dq_L_elbow,tau_L_elbow,qd_L_wrist,q_L_wrist,dq_L_wrist,tau_L_wrist,qd_R_sh_pitch,q_R_sh_pitch,dq_R_sh_pitch,tau_R_sh_pitch,qd_R_sh_roll,q_R_sh_roll,dq_R_sh_roll,tau_R_sh_roll,qd_R_sh_yaw,q_R_sh_yaw,dq_R_sh_yaw,tau_R_sh_yaw,qd_R_elbow,q_R_elbow,dq_R_elbow,tau_R_elbow,qd_R_wrist,q_R_wrist,dq_R_wrist,tau_R_wrist
0,0.000000,0.886,-0.11963,-0.11565,0.0553,-0.259,0.07405,0.00091,0.0001,7.162,-0.04301,-0.02651,-0.0010,-1.506,0.28808,0.30998,-0.0089,-1.806,0.02928,-0.20615,0.0466,9.644,-0.06930,-0.00945,-0.0096,-2.448,-0.12181,-0.11503,0.0493,-0.864,-0.06288,0.00179,-0.0112,-6.597,0.04106,0.03189,-0.0118,1.005,0.29163,0.30864,-0.0022,-1.783,-0.00458,-0.20538,0.0451,8.081,0.06143,0.00939,-0.0067,2.043,0.00647,0.00317,0.0759,0.532,0.00311,0.00004,-0.0067,0.193,0.37596,0.34484,-0.0425,1.204,0.19451,0.17217,-0.0017,0.906,0.00698,-0.00014,0.0002,0.160,0.86268,0.86611,0.0037,-0.117,0.00375,0.00540,-0.0040,-0.039,0.38579,0.35150,0.0497,1.278,-0.19429,-0.17227,0.0034,-0.779,-0.01530,-0.00017,-0.0056,-0.261,0.86266,0.87605,-0.0018,-0.287,-0.00723,-0.00997,0.0050,0.048
1,0.001038,1.924,-0.11963,-0.11565,0.0553,-0.259,0.07405,0.00091,0.0001,7.162,-0.04301,-0.02651,-0.0010,-1.506,0.28808,0.30998,-0.0089,-1.806,0.02928,-0.20615,0.0466,9.644,-0.06930,-0.00945,-0.0096,-2.448,-0.12181,-0.11503,0.0493,-0.864,-0.06288,0.00179,-0.0112,-6.597,0.04106,0.03189,-0.0118,1.005,0.29163,0.30864,-0.0022,-1.783,-0.00458,-0.20538,0.0451,8.081,0.06143,0.00939,-0.0067,2.043,0.00647,0.00317,0.0759,0.532,0.00311,0.00004,-0.0067,0.193,0.37596,0.34484,-0.0425,1.204,0.19451,0.17217,-0.0017,0.906,0.00698,-0.00014,0.0002,0.160,0.86268,0.86611,0.0037,-0.117,0.00375,0.00540,-0.0040,-0.039,0.38579,0.35150,0.0497,1.278,-0.19429,-0.17227,0.0034,-0.779,-0.01530,-0.00017,-0.0056,-0.261,0.86266,0.87605,-0.0018,-0.287,-0.00723,-0.00997,0.0050,0.048
2,0.002617,3.503,-0.11963,-0.11565,0.0553,-0.259,0.07405,0.00091,0.0001,7.162,-0.04301,-0.02651,-0.0010,-1.506,0.28808,0.30998,-0.0089,-1.806,0.02928,-0.20615,0.0466,9.644,-0.06930,-0.00945,-0.0096,-2.448,-0.12181,-0.11503,0.0493,-0.864,-0.06288,0.00179,-0.0112,-6.597,0.04106,0.03189,-0.0118,1.005,0.29163,0.30864,-0.0022,-1.783,-0.00458,-0.20538,0.0451,8.081,0.06143,0.00939,-0.0067,2.043,0.00647,0.00317,0.0759,0.532,0.00311,0.00004,-0.0067,0.193,0.37596,0.34484,-0.0425,1.204,0.19451,0.17217,-0.0017,0.906,0.00698,-0.00014,0.0002,0.160,0.86268,0.86611,0.0037,-0.117,0.00375,0.00540,-0.0040,-0.039,0.38579,0.35150,0.0497,1.278,-0.19429,-0.17227,0.0034,-0.779,-0.01530,-0.00017,-0.0056,-0.261,0.86266,0.87605,-0.0018,-0.287,-0.00723,-0.00997,0.0050,0.048
3,0.002684,3.570,-0.11963,-0.11554,0.0533,-0.509,0.07405,0.00091,0.0001,7.314,-0.04301,-0.02652,-0.0015,-1.647,0.28808,0.30996,-0.0082,-2.168,0.02928,-0.20605,0.0469,9.301,-0.06930,-0.00947,-0.0092,-2.370,-0.12181,-0.11493,0.0474,-0.777,-0.06288,0.00177,-0.0110,-6.444,0.04106,0.03187,-0.0114,0.940,0.29163,0.30864,-0.0014,-1.696,-0.00458,-0.20529,0.0452,7.919,0.06143,0.00937,-0.0070,2.098,0.00647,0.00333,0.0762,0.178,0.00311,0.00003,-0.0059,0.321,0.37596,0.34477,-0.0388,1.330,0.19451,0.17217,-0.0014,0.897,0.00698,-0.00014,0.0003,0.142,0.86268,0.86612,0.0037,-0.072,0.00375,0.00539,-0.0040,-0.029,0.38579,0.35161,0.0503,1.272,-0.19429,-0.17227,0.0034,-0.888,-0.01530,-0.00018,-0.0057,-0.297,0.86266,0.87604,-0.0018,-0.266,-0.00723,-0.00996,0.0049,0.050
4,0.003835,4.721,-0.11963,-0.11554,0.0533,-0.509,0.07405,0.00091,0.0001,7.314,-0.04301,-0.02652,-0.0015,-1.647,0.28808,0.30996,-0.0082,-2.168,0.02928,-0.20605,0.0469,9.301,-0.06930,-0.00947,-0.0092,-2.370,-0.12181,-0.11493,0.0474,-0.777,-0.06288,0.00177,-0.0110,-6.444,0.04106,0.03187,-0.0114,0.940,0.29163,0.30864,-0.0014,-1.696,-0.00458,-0.20529,0.0452,7.919,0.06143,0.00937,-0.0070,2.098,0.00647,0.00333,0.0762,0.178,0.00311,0.00003,-0.0059,0.321,0.37596,0.34477,-0.0388,1.330,0.19451,0.17217,-0.0014,0.897,0.00698,-0.00014,0.0003,0.142,0.86268,0.86612,0.0037,-0.072,0.00375,0.00539,-0.0040,-0.029,0.38579,0.35161,0.0503,1.272,-0.19429,-0.17227,0.0034,-0.888,-0.01530,-0.00018,-0.0057,-0.297,0.86266,0.87604,-0.0018,-0.266,-0.00723,-0.00996,0.0049,0.050
5,0.005057,5.943,-0.11963,-0.11544,0.0522,-0.516,0.07405,0.00091,0.0001,7.314,-0.04301,-0.02652,-0.0029,-1.646,0.28808,0.30995,-0.0086,-2.168,0.02928,-0.20596,0.0465,9.296,-0.06930,-0.00949,-0.0078,-2.370,-0.12181,-0.11484,0.0455,-0.782,-0.06288,0.00175,-0.0107,-6.443,0.04106,0.03185,-0.0113,0.941,0.29163,0.30864,-0.0002,-1.698,-0.00458,-0.20520,0.0441,7.916,0.06143,0.00936,-0.0064,2.099,0.00647,0.00348,0.0754,0.162,0.00311,0.00002,-0.0051,0.320,0.37596,0.34470,-0.0329,1.325,0.19451,0.17217,-0.0010,0.897,0.00698,-0.00014,0.0003,0.142,0.86268,0.86613,0.0038,-0.073,0.00375,0.00538,-0.0038,-0.029,0.38579,0.35171,0.0509,1.267,-0.19429,-0.17226,0.0031,-0.888,-0.01530,-0.00019,-0.0059,-0.297,0.86266,0.87604,-0.0015,-0.266,-0.00723,-0.00995,0.0049,0.050
6,0.006178,7.064,-0.11963,-0.11533,0.0510,-0.516,0.07405,0.00091,0.0002,7.314,-0.04301,-0.02653,-0.0039,-1.646,0.28808,0.30993,-0.0089,-2.168,0.02928,-0.20587,0.0465,9.296,-0.06930,-0.00950,-0.0066,-2.370,-0.12181,-0.11475,0.0436,-0.782,-0.06288,0.00173,-0.0104,-6.443,0.04106,0.03183,-0.0111,0.941,0.29163,0.30864,0.0009,-1.698,-0.00458,-0.20512,0.0434,7.916,0.06143,0.00935,-0.0061,2.099,0.00647,0.00362,0.0745,0.162,0.00311,0.00001,-0.0044,0.320,0.37596,0.34465,-0.0271,1.325,0.19451,0.17217,-0.0006,0.897,0.00698,-0.00014,0.0003,0.142,0.86268,0.86614,0.0038,-0.073,0.00375,0.00538,-0.0036,-0.029,0.38579,0.35181,0.0513,1.267,-0.19429,-0.17225,0.0029,-0.888,-0.01530,-0.00021,-0.0061,-0.297,0.86266,0.87604,-0.0013,-0.266,-0.00723,-0.00994,0.0049,0.050
7,0.007364,8.250,-0.11963,-0.11533,0.0510,-0.524,0.07405,0.00091,0.0002,7.314,-0.04301,-0.02653,-0.0039,-1.643,0.28808,0.30993,-0.0089,-2.165,0.02928,-0.20587,0.0465,9.293,-0.06930,-0.00950,-0.0066,-2.373,-0.12181,-0.11475,0.0436,-0.788,-0.06288,0.00173,-0.0104,-6.441,0.04106,0.03183,-0.0111,0.943,0.29163,0.30864,0.0009,-1.701,-0.00458,-0.20512,0.0434,7.915,0.06143,0.00935,-0.0061,2.099,0.00647,0.00362,0.0745,0.149,0.00311,0.00001,-0.0044,0.320,0.37596,0.34465,-0.0271,1.316,0.19451,0.17217,-0.0006,0.896,0.00698,-0.00014,0.0003,0.142,0.86268,0.86614,0.0038,-0.073,0.00375,0.00538,-0.0036,-0.029,0.38579,0.35181,0.0513,1.262,-0.19429,-0.17225,0.0029,-0.888,-0.01530,-0.00021,-0.0061,-0.296,0.86266,0.87604,-0.0013,-0.266,-0.00723,-0.00994,0.0049,0.049
8,0.009964,10.850,-0.11963,-0.11524,0.0494,-0.532,0.07405,0.00091,0.0003,7.314,-0.04301,-0.02654,-0.0049,-1.640,0.28808,0.30991,-0.0090,-2.162,0.02928,-0.20577,0.0467,9.290,-0.06930,-0.00951,-0.0058,-2.375,-0.12181,-0.11467,0.0415,-0.792,-0.06288,0.00171,-0.0101,-6.440,0.04106,0.03180,-0.0108,0.945,0.29163,0.30864,0.0018,-1.703,-0.00458,-0.20503,0.0429,7.913,0.06143,0.00934,-0.0060,2.098,0.00647,0.00377,0.0735,0.136,0.00311,0.00000,-0.0037,0.319,0.37596,0.34460,-0.0219,1.307,0.19451,0.17217,-0.0004,0.895,0.00698,-0.00014,0.0003,0.142,0.86268,0.86614,0.0040,-0.073,0.00375,0.00537,-0.0034,-0.029,0.38579,0.35191,0.0515,1.257,-0.19429,-0.17225,0.0027,-0.887,-0.01530,-0.00022,-0.0063,-0.296,0.86266,0.87603,-0.0011,-0.266,-0.00723,-0.00993,0.0049,0.049
9,0.011074,11.960,-0.11963,-0.11514,0.0475,-0.538,0.07405,0.00091,0.0004,7.314,-0.04301,-0.02655,-0.0057,-1.637,0.28808,0.30989,-0.0089,-2.160,0.02928,-0.20568,0.0471,9.286,-0.06930,-0.00952,-0.0051,-2.377,-0.12181,-0.11459,0.0393,-0.797,-0.06288,0.00169,-0.0098,-6.438,0.04106,0.03178,-0.0105,0.947,0.29163,0.30865,0.0026,-1.706,-0.00458,-0.20495,0.0428,7.911,0.06143,0.00932,-0.0059,2.098,0.00647,0.00392,0.0726,0.123,0.00311,-0.00000,-0.0030,0.319,0.37596,0.34457,-0.0177,1.298,0.19451,0.17217,-0.0001,0.895,0.00698,-0.00014,0.0003,0.142,0.86268,0.86615,0.0043,-0.073,0.00375,0.00536,-0.0033,-0.029,0.38579,0.35202,0.0516,1.252,-0.19429,-0.17224,0.0026,-0.887,-0.01530,-0.00023,-0.0064,-0.295,0.86266,0.87603,-0.0009,-0.266,-0.00723,-0.00992,0.0049,0.049
