t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732346,0,-0.0147906,-0.00110133,-0.99989,0,0,0,0,DISABLED,0
0.0399961,3.01702e-06,-3.76627e-06,0,2.79024e-06,0.732345,0,-0.0147878,-0.00109927,-0.99989,-1.37594e-05,0,0,0,DISABLED,0
0.0599961,5.98654e-06,-7.50925e-06,0,5.28526e-06,0.732345,0,-0.0147853,-0.00109742,-0.99989,-2.63304e-05,0,0,0,DISABLED,0
0.0799961,8.62731e-06,-1.08602e-05,0,7.73929e-06,0.732344,0,-0.0147829,-0.00109556,-0.99989,-3.89516e-05,0,0,0,DISABLED,0
0.0999961,1.09519e-05,-1.38259e-05,0,9.43989e-06,0.732344,0,-0.0147812,-0.00109426,-0.99989,-4.78216e-05,0,0,0,DISABLED,0
0.119996,1.43899e-05,-1.82539e-05,0,1.18408e-05,0.732343,0,-0.0147788,-0.00109241,-0.99989,-6.06198e-05,0,0,0,DISABLED,0
0.139996,1.74739e-05,-2.23233e-05,0,1.46981e-05,0.732342,0,-0.0147759,-0.0010902,-0.99989,-7.58935e-05,0,0,0,DISABLED,0
0.159996,2.02339e-05,-2.60309e-05,0,1.72714e-05,0.732342,0,-0.0147733,-0.00108817,-0.99989,-8.98931e-05,0,0,0,DISABLED,0
0.179996,2.29748e-05,-2.97339e-05,0,1.95652e-05,0.732341,0,-0.014771,-0.0010863,-0.99989,-0.000102682,0,0,0,DISABLED,0
0.199996,2.57073e-05,-3.34228e-05,0,2.18321e-05,0.732341,0,-0.0147688,-0.00108443,-0.99989,-0.000115545,0,0,0,DISABLED,0
0.219996,2.84212e-05,-3.7102e-05,0,2.40915e-05,0.73234,0,-0.0147665,-0.00108255,-0.99989,-0.000128454,0,0,0,DISABLED,0
0.239996,3.11062e-05,-4.07784e-05,0,2.63331e-05,0.732339,0,-0.0147643,-0.00108068,-0.99989,-0.000141405,0,0,0,DISABLED,0
0.259996,3.37586e-05,-4.44562e-05,0,2.8545e-05,0.732339,0,-0.0147621,-0.00107882,-0.99989,-0.000154395,0,0,0,DISABLED,0
0.279996,3.63817e-05,-4.81359e-05,0,3.07271e-05,0.732338,0,-0.0147599,-0.00107696,-0.999891,-0.000167409,0,0,0,DISABLED,0
