t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732346,0,-0.0147921,-0.0010821,-0.99989,0,0,0,0,DISABLED,0
0.0399961,2.40467e-06,-3.01283e-06,0,2.03121e-06,0.732345,0,-0.01479,-0.00108065,-0.99989,-9.95025e-06,0,0,0,DISABLED,0
0.0599961,5.95674e-06,-7.50879e-06,0,5.0338e-06,0.732345,0,-0.014787,-0.00107847,-0.99989,-2.49166e-05,0,0,0,DISABLED,0
0.0799961,8.86619e-06,-1.12392e-05,0,7.49528e-06,0.732344,0,-0.0147846,-0.00107666,-0.99989,-3.74466e-05,0,0,0,DISABLED,0
0.0999961,1.14534e-05,-1.45887e-05,0,9.68017e-06,0.732344,0,-0.0147824,-0.00107503,-0.99989,-4.87342e-05,0,0,0,DISABLED,0
0.119996,1.42986e-05,-1.83014e-05,0,1.20811e-05,0.732343,0,-0.01478,-0.0010732,-0.99989,-6.1322e-05,0,0,0,DISABLED,0
0.139996,1.73906e-05,-2.23783e-05,0,1.46953e-05,0.732342,0,-0.0147774,-0.00107119,-0.99989,-7.52117e-05,0,0,0,DISABLED,0
0.159996,2.01636e-05,-2.60845e-05,0,1.70441e-05,0.732342,0,-0.014775,-0.00106936,-0.99989,-8.78721e-05,0,0,0,DISABLED,0
0.179996,2.29101e-05,-2.97851e-05,0,1.93557e-05,0.732341,0,-0.0147727,-0.00106753,-0.99989,-0.000100624,0,0,0,DISABLED,0
0.199996,2.56314e-05,-3.34866e-05,0,2.16439e-05,0.732341,0,-0.0147704,-0.00106569,-0.99989,-0.000113357,0,0,0,DISABLED,0
0.219996,2.83266e-05,-3.71863e-05,0,2.39089e-05,0.73234,0,-0.0147682,-0.00106386,-0.99989,-0.000126142,0,0,0,DISABLED,0
0.239996,3.07271e-05,-4.05125e-05,0,2.61441e-05,0.73234,0,-0.0147659,-0.00106204,-0.99989,-0.000139004,0,0,0,DISABLED,0
0.259996,3.36287e-05,-4.45824e-05,0,2.83569e-05,0.732339,0,-0.0147637,-0.00106021,-0.99989,-0.000151863,0,0,0,DISABLED,0
0.279996,3.62373e-05,-4.8283e-05,0,3.0539e-05,0.732338,0,-0.0147615,-0.00105839,-0.999891,-0.000164742,0,0,0,DISABLED,0
0.299996,3.88203e-05,-5.19836e-05,0,3.2695e-05,0.732338,0,-0.0147594,-0.00105656,-0.999891,-0.000177657,0,0,0,DISABLED,0
0.319996,4.13787e-05,-5.56833e-05,0,3.48249e-05,0.732337,0,-0.0147572,-0.00105474,-0.999891,-0.000190606,0,0,0,DISABLED,0
0.339996,4.39133e-05,-5.93788e-05,0,3.69241e-05,0.732337,0,-0.0147551,-0.00105292,-0.999891,-0.000203604,0,0,0,DISABLED,0
0.359996,4.6174e-05,-6.27018e-05,0,3.87905e-05,0.732336,0,-0.0147533,-0.00105128,-0.999891,-0.000215344,0,0,0,DISABLED,0
0.379996,4.89089e-05,-6.67665e-05,0,4.1049e-05,0.732336,0,-0.014751,-0.00104927,-0.999891,-0.000229662,0,0,0,DISABLED,0
0.399996,5.13694e-05,-7.04592e-05,0,4.30746e-05,0.732335,0,-0.014749,-0.00104745,-0.999891,-0.000242721,0,0,0,DISABLED,0
0.419996,5.3809e-05,-7.41514e-05,0,4.50741e-05,0.732334,0,-0.014747,-0.00104563,-0.999891,-0.00025578,0,0,0,DISABLED,0
0.439996,5.59893e-05,-7.74711e-05,0,4.70486e-05,0.732334,0,-0.014745,-0.0010438,-0.999891,-0.000268865,0,0,0,DISABLED,0
0.459996,5.86347e-05,-8.15229e-05,0,4.90015e-05,0.732333,0,-0.0147431,-0.00104197,-0.999891,-0.000281969,0,0,0,DISABLED,0
