t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147675,-0.00132972,-0.99989,0,0,0,0,DISABLED,0
0.0399961,2.80328e-06,-3.241e-06,0,2.49967e-06,0.732342,0,-0.014765,-0.00132737,-0.99989,-1.39344e-05,0,0,0,DISABLED,0
0.0599961,5.8678e-06,-6.80704e-06,0,4.97326e-06,0.732342,0,-0.0147625,-0.00132508,-0.99989,-2.79546e-05,0,0,0,DISABLED,0
0.0799961,9.17912e-06,-1.07074e-05,0,7.66106e-06,0.732341,0,-0.0147598,-0.0013226,-0.99989,-4.33866e-05,0,0,0,DISABLED,0
0.0999961,1.21449e-05,-1.42278e-05,0,1.00555e-05,0.732341,0,-0.0147574,-0.00132036,-0.99989,-5.75539e-05,0,0,0,DISABLED,0
0.119996,1.50762e-05,-1.77287e-05,0,1.24145e-05,0.73234,0,-0.0147551,-0.00131812,-0.99989,-7.17863e-05,0,0,0,DISABLED,0
0.139996,1.79727e-05,-2.12188e-05,0,1.47503e-05,0.732339,0,-0.0147528,-0.00131587,-0.99989,-8.60468e-05,0,0,0,DISABLED,0
0.159996,2.08332e-05,-2.47015e-05,0,1.68327e-05,0.732339,0,-0.0147507,-0.00131385,-0.99989,-9.89139e-05,0,0,0,DISABLED,0
0.179996,2.36542e-05,-2.81809e-05,0,1.9352e-05,0.732338,0,-0.0147482,-0.00131139,-0.99989,-0.000114679,0,0,0,DISABLED,0
0.199996,2.61613e-05,-3.13092e-05,0,2.16058e-05,0.732338,0,-0.0147459,-0.00130916,-0.99989,-0.000129072,0,0,0,DISABLED,0
0.219996,2.919e-05,-3.51327e-05,0,2.38335e-05,0.732337,0,-0.0147437,-0.00130692,-0.99989,-0.000143476,0,0,0,DISABLED,0
0.239996,3.13725e-05,-3.79109e-05,0,2.55946e-05,0.732337,0,-0.0147419,-0.00130513,-0.999891,-0.000155022,0,0,0,DISABLED,0
0.259996,3.46112e-05,-4.20748e-05,0,2.82116e-05,0.732336,0,-0.0147393,-0.00130244,-0.999891,-0.000172377,0,0,0,DISABLED,0
0.279996,3.70075e-05,-4.51994e-05,0,3.01553e-05,0.732335,0,-0.0147373,-0.00130043,-0.999891,-0.000185404,0,0,0,DISABLED,0
0.299996,3.99072e-05,-4.90132e-05,0,3.2492e-05,0.732335,0,-0.014735,-0.00129798,-0.999891,-0.000201404,0,0,0,DISABLED,0
0.319996,4.25191e-05,-5.24782e-05,0,3.45875e-05,0.732334,0,-0.0147329,-0.00129574,-0.999891,-0.000215959,0,0,0,DISABLED,0
0.339996,4.48548e-05,-5.5592e-05,0,3.64566e-05,0.732334,0,-0.014731,-0.00129372,-0.999891,-0.000229081,0,0,0,DISABLED,0
0.359996,4.76837e-05,-5.939e-05,0,3.87188e-05,0.732333,0,-0.0147288,-0.00129126,-0.999891,-0.000245182,0,0,0,DISABLED,0
