t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147722,-0.00118647,-0.99989,0,0,0,0,DISABLED,0
0.0399961,2.94251e-06,-3.63681e-06,0,2.38512e-06,0.732342,0,-0.0147698,-0.00118447,-0.99989,-1.32602e-05,0,0,0,DISABLED,0
0.0599961,5.84405e-06,-7.26292e-06,0,4.50667e-06,0.732342,0,-0.0147677,-0.00118268,-0.99989,-2.52388e-05,0,0,0,DISABLED,0
0.0799961,8.70507e-06,-1.089e-05,0,7.07526e-06,0.732341,0,-0.0147651,-0.00118047,-0.99989,-3.98494e-05,0,0,0,DISABLED,0
0.0999961,1.15279e-05,-1.45128e-05,0,9.37656e-06,0.732341,0,-0.0147628,-0.00117847,-0.99989,-5.32065e-05,0,0,0,DISABLED,0
0.119996,1.43182e-05,-1.81315e-05,0,1.16471e-05,0.73234,0,-0.0147605,-0.00117647,-0.99989,-6.66212e-05,0,0,0,DISABLED,0
0.139996,1.70795e-05,-2.17459e-05,0,1.38888e-05,0.732339,0,-0.0147583,-0.00117447,-0.99989,-8.00733e-05,0,0,0,DISABLED,0
0.159996,1.92691e-05,-2.46349e-05,0,1.56648e-05,0.732339,0,-0.0147565,-0.00117286,-0.99989,-9.08691e-05,0,0,0,DISABLED,0
0.179996,2.25166e-05,-2.89734e-05,0,1.83061e-05,0.732338,0,-0.0147539,-0.00117045,-0.99989,-0.000107035,0,0,0,DISABLED,0
0.199996,2.51862e-05,-3.25902e-05,0,2.04816e-05,0.732338,0,-0.0147517,-0.00116845,-0.999891,-0.00012056,0,0,0,DISABLED,0
0.219996,2.78302e-05,-3.62028e-05,0,2.26218e-05,0.732337,0,-0.0147495,-0.00116646,-0.999891,-0.000134135,0,0,0,DISABLED,0
0.239996,3.0193e-05,-3.94485e-05,0,2.43122e-05,0.732337,0,-0.0147478,-0.00116486,-0.999891,-0.000145029,0,0,0,DISABLED,0
0.259996,3.27975e-05,-4.30504e-05,0,2.68277e-05,0.732336,0,-0.0147453,-0.00116245,-0.999891,-0.0001614,0,0,0,DISABLED,0
0.279996,3.56236e-05,-4.70146e-05,0,2.89036e-05,0.732335,0,-0.0147433,-0.00116046,-0.999891,-0.000175055,0,0,0,DISABLED,0
0.299996,3.81675e-05,-5.06169e-05,0,3.07448e-05,0.732335,0,-0.0147414,-0.00115866,-0.999891,-0.000187369,0,0,0,DISABLED,0
0.319996,4.04399e-05,-5.38542e-05,0,3.2763e-05,0.732334,0,-0.0147394,-0.00115666,-0.999891,-0.000201084,0,0,0,DISABLED,0
0.339996,4.31943e-05,-5.78063e-05,0,3.49591e-05,0.732334,0,-0.0147372,-0.00115445,-0.999891,-0.000216205,0,0,0,DISABLED,0
0.359996,4.56711e-05,-6.13988e-05,0,3.69353e-05,0.732333,0,-0.0147352,-0.00115246,-0.999891,-0.000229962,0,0,0,DISABLED,0
0.379996,4.78844e-05,-6.46282e-05,0,3.8689e-05,0.732333,0,-0.0147335,-0.00115065,-0.999891,-0.000242369,0,0,0,DISABLED,0
