time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-6.04485e-06,-1.87949e-06,0.73389,-0.00302236,-0.000939747,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.299732,-0.133949,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.299558,-0.221115,nan,nan,nan
0.006,-1.94821e-05,-7.80556e-06,0.733824,-0.00671862,-0.00296304,-0.00111069,0.083693,0.000570782,-0.121809,1,176.478,0.29953,-0.101274,0.000854,-0.121809,nan,-0.00105147,-0.0836667,0.000603596,-0.105466,1,149.067,0.299111,-0.223233,0.000854,-0.105466,nan
0.008,-3.89779e-05,-1.68601e-05,0.733748,-0.00974789,-0.00452727,-0.00119612,0.0837442,0.000407118,-0.0817737,1,117.688,0.299435,-0.0472712,nan,nan,nan,-0.00110017,-0.0836863,0.000458603,-0.0724518,1,100.025,0.298713,-0.199071,nan,nan,nan
0.01,-6.44173e-05,-2.83533e-05,0.733665,-0.0127197,-0.00574661,-0.00125418,0.0838326,0.000292072,-0.0575117,1,127.612,0.299381,-0.0270092,nan,nan,nan,-0.00113488,-0.0837409,0.000352224,-0.0531756,1,107.803,0.298319,-0.197184,nan,nan,nan
0.012,-9.60857e-05,-4.42728e-05,0.733582,-0.0158342,-0.00795974,-0.00129619,0.0839449,0.000208508,-0.0417733,1,165.545,0.299389,0.00399236,nan,nan,nan,-0.0011624,-0.0838189,0.000270586,-0.0408051,1,114.166,0.297874,-0.222307,nan,nan,nan
0.014,-0.000133715,-6.10094e-05,0.733506,-0.0188144,-0.0083683,-0.00132894,0.0840526,0.000149626,-0.0294261,1,169.843,0.299397,0.00412617,nan,nan,nan,-0.00118662,-0.0839137,0.000204826,-0.0328556,1,156.121,0.297435,-0.219644,nan,nan,nan
0.016,-0.000177241,-7.85819e-05,0.733438,-0.0217631,-0.00878626,-0.00135523,0.0841541,0.000107054,-0.0212642,1,172.704,0.299397,-9.76859e-05,nan,nan,nan,-0.00120975,-0.0840025,0.000155128,-0.02482,1,159.53,0.296976,-0.229543,nan,nan,nan
0.018,-0.000226237,-9.6901e-05,0.733378,-0.0244983,-0.00915955,-0.00137735,0.0842491,7.51985e-05,-0.0159021,1,174.78,0.29937,-0.0136353,nan,nan,nan,-0.00123184,-0.084085,0.000116323,-0.019371,1,161.506,0.296482,-0.247014,nan,nan,nan
0.02,-0.000280259,-0.000115831,0.733327,-0.0270108,-0.00946487,-0.00139673,0.0843379,5.02175e-05,-0.0124629,1,176.177,0.299303,-0.0336038,nan,nan,nan,-0.0012531,-0.0841619,8.49825e-05,-0.0156377,1,162.315,0.295945,-0.268238,nan,nan,nan
0.022,-0.000339029,-0.000135235,0.733285,-0.0293848,-0.00970189,-0.00141425,0.0844211,2.95731e-05,-0.0102947,1,176.979,0.299189,-0.0568851,nan,nan,nan,-0.00127364,-0.0842338,5.88462e-05,-0.0130354,1,162.288,0.295366,-0.289613,nan,nan,nan
0.024,-0.000400779,-0.000155915,0.733248,-0.0308754,-0.0103401,-0.00143034,0.0844995,1.16385e-05,-0.0089408,1,173.295,0.299108,-0.0405909,nan,nan,nan,-0.00129353,-0.0843013,3.6477e-05,-0.0111523,1,152.257,0.294866,-0.250056,nan,nan,nan
0.026,-0.000465475,-0.00017804,0.733217,-0.0323479,-0.0110626,-0.0014468,0.0845774,-3.29914e-06,-0.00744476,1,173.038,0.299055,-0.0261187,nan,nan,nan,-0.00131399,-0.084367,1.87855e-05,-0.00881998,1,151.074,0.294439,-0.213697,nan,nan,nan
0.028,-0.000533079,-0.000201809,0.733192,-0.0338021,-0.0118846,-0.00146338,0.0846551,-1.60857e-05,-0.00637166,1,172.834,0.29903,-0.0129048,nan,nan,nan,-0.00133456,-0.0844312,4.82825e-06,-0.00695864,1,149.862,0.294079,-0.179862,nan,nan,nan
0.03,-0.000601997,-0.000226871,0.733171,-0.034459,-0.012531,-0.00147994,0.0847326,-2.71824e-05,-0.00552904,1,171.388,0.299011,-0.0092719,nan,nan,nan,-0.00135495,-0.0844941,-6.03684e-06,-0.00541743,1,147.671,0.29378,-0.14925,nan,nan,nan
0.032,-0.000671607,-0.000253028,0.733154,-0.034805,-0.0130783,-0.00149629,0.0848084,-3.70483e-05,-0.00491592,1,170.172,0.298996,-0.00737112,nan,nan,nan,-0.00137499,-0.0845553,-1.44943e-05,-0.00421746,1,146.295,0.293535,-0.122679,nan,nan,nan
0.034,-0.000741334,-0.000280183,0.733141,-0.0348634,-0.0135776,-0.00151227,0.0848821,-4.58849e-05,-0.00440337,1,169.058,0.298983,-0.00640973,nan,nan,nan,-0.00139453,-0.0846148,-2.09605e-05,-0.00322478,1,144.511,0.293334,-0.100357,nan,nan,nan
0.036,-0.000811194,-0.000305643,0.733134,-0.0349301,-0.0127299,-0.00152776,0.0849534,-5.38801e-05,-0.0039845,1,166.881,0.298962,-0.0104948,nan,nan,nan,-0.00141404,-0.0846735,-2.58014e-05,-0.00241441,1,168.422,0.293221,-0.0565581,nan,nan,nan
0.038,-0.00088039,-0.000330574,0.733133,-0.034598,-0.0124658,-0.00154284,0.0850231,-6.07217e-05,-0.00340892,1,165.489,0.298929,-0.0166253,nan,nan,nan,-0.00142998,-0.0847182,-2.529e-05,0.000259144,1,158.882,0.293166,-0.0275197,nan,nan,nan
0.04,-0.000948771,-0.000356892,0.733139,-0.0341905,-0.0131591,-0.00155739,0.0850907,-6.65539e-05,-0.00290532,1,187.438,0.29892,-0.00461159,nan,nan,nan,-0.00144287,-0.084753,-2.12477e-05,0.0020237,1,150.764,0.293149,-0.00843481,nan,nan,nan
0.042,-0.00101587,-0.000384652,0.733149,-0.0335515,-0.0138799,-0.00156927,0.0851423,-6.78131e-05,-0.00062153,1,180.028,0.298925,0.00258526,nan,nan,nan,-0.00145274,-0.0847791,-1.4664e-05,0.00329391,1,144.771,0.293152,0.00152002,nan,nan,nan
0.044,-0.00107967,-0.000412937,0.733161,-0.0318963,-0.0141423,-0.00157848,0.0851799,-6.57814e-05,0.00102227,1,162.704,0.298959,0.0167498,nan,nan,nan,-0.0014604,-0.0847995,-6.38631e-06,0.00414077,1,139.785,0.293178,0.013054,nan,nan,nan
0.046,-0.00114,-0.000441581,0.733174,-0.0301645,-0.0143219,-0.00158585,0.0852085,-6.18735e-05,0.00195903,1,157.593,0.299015,0.0281397,nan,nan,nan,-0.00146695,-0.0848168,2.5492e-06,0.00446926,1,136.325,0.29322,0.0206902,nan,nan,nan
0.048,-0.00119689,-0.000470448,0.733186,-0.0284455,-0.0144336,-0.00159192,0.0852313,-5.68947e-05,0.00249367,1,153.968,0.299088,0.0366778,nan,nan,nan,-0.00147268,-0.084832,1.17133e-05,0.00458325,1,134.23,0.293272,0.0263555,nan,nan,nan
0.05,-0.00125027,-0.000499386,0.733196,-0.0266912,-0.0144689,-0.00159713,0.0852505,-5.13393e-05,0.0027813,1,151.385,0.299173,0.0423313,nan,nan,nan,-0.0014778,-0.084846,2.08022e-05,0.00454542,1,133.003,0.293333,0.0304991,nan,nan,nan
0.052,-0.00130039,-0.000528237,0.733206,-0.0250607,-0.0144259,-0.00160173,0.0852673,-4.55151e-05,0.00291512,1,149.467,0.299266,0.0463123,nan,nan,nan,-0.00148246,-0.0848591,2.96151e-05,0.00440728,1,132.025,0.293404,0.0350461,nan,nan,nan
0.054,-0.00134772,-0.000556905,0.733214,-0.0236629,-0.0143338,-0.00160588,0.0852826,-3.97003e-05,0.00291005,1,148.207,0.299366,0.0499898,nan,nan,nan,-0.00148675,-0.0848718,3.80443e-05,0.00421531,1,131.034,0.293487,0.0414724,nan,nan,nan
0.056,-0.00139224,-0.000585645,0.73322,-0.0222595,-0.0143699,-0.00160973,0.0852969,-3.40965e-05,0.00280418,1,148.201,0.299474,0.0540622,nan,nan,nan,-0.00149071,-0.0848842,4.60447e-05,0.00400096,1,129.015,0.293573,0.0432508,nan,nan,nan
0.058,-0.00143429,-0.000614295,0.733224,-0.021025,-0.0143249,-0.00161334,0.0853105,-2.88487e-05,0.00262594,1,147.527,0.29959,0.0582263,nan,nan,nan,-0.00149485,-0.0848982,5.34597e-05,0.0037082,1,129.254,0.293664,0.045556,nan,nan,nan
0.06,-0.00147433,-0.000642732,0.733226,-0.0200242,-0.0142187,-0.00161673,0.0853237,-2.39842e-05,0.00243416,1,147.019,0.299717,0.0635757,nan,nan,nan,-0.00149915,-0.0849134,6.03152e-05,0.0034285,1,129.34,0.293762,0.0491113,nan,nan,nan
0.062,-0.00151277,-0.000670877,0.733227,-0.0192189,-0.0140726,-0.00161992,0.0853366,-1.95018e-05,0.00224295,1,146.765,0.299857,0.0698198,nan,nan,nan,-0.00150355,-0.0849294,6.66453e-05,0.0031659,1,129.265,0.29387,0.0538245,nan,nan,nan
0.064,-0.00154909,-0.00069804,0.733225,-0.0181578,-0.0135813,-0.00162293,0.0853493,-1.53954e-05,0.00205497,1,141.936,0.300009,0.0759779,nan,nan,nan,-0.00150802,-0.084946,7.24816e-05,0.00291919,1,130.828,0.293979,0.0544084,nan,nan,nan
0.066,-0.00158348,-0.000724101,0.733222,-0.017196,-0.0130306,-0.0016257,0.0853618,-1.21062e-05,0.00164637,1,142.195,0.300174,0.0825921,nan,nan,nan,-0.00151295,-0.0849633,7.77054e-05,0.00261305,1,131.43,0.294091,0.0560449,nan,nan,nan
0.068,-0.00161602,-0.000749033,0.733216,-0.0162683,-0.0124659,-0.00162828,0.0853741,-9.526e-06,0.0012919,1,142.784,0.30035,0.0881655,nan,nan,nan,-0.00151822,-0.084981,8.23801e-05,0.00233867,1,131.852,0.294208,0.0585248,nan,nan,nan
