t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0.000345267,-0.0147725,-0.00118609,-0.99989,0,0,0,0,DISABLED,0
0.0399961,3.81097e-06,-4.7381e-06,0,3.09478e-06,0.732342,0.000345267,-0.0147694,-0.0011835,-0.99989,-1.71829e-05,0,0,0,DISABLED,0
0.0599961,6.68317e-06,-8.38237e-06,0,5.43986e-06,0.732342,0.000345267,-0.014767,-0.00118151,-0.99989,-3.0404e-05,0,0,0,DISABLED,0
0.0799961,9.24058e-06,-1.16578e-05,0,7.2876e-06,0.732341,0.000345267,-0.0147652,-0.00117992,-0.99989,-4.10136e-05,0,0,0,DISABLED,0
0.0999961,1.26185e-05,-1.60136e-05,0,1.00229e-05,0.732341,0.000345267,-0.0147625,-0.00117751,-0.99989,-5.69969e-05,0,0,0,DISABLED,0
0.119996,1.54022e-05,-1.96365e-05,0,1.22832e-05,0.73234,0,-0.0147602,-0.00117551,-0.99989,-7.03577e-05,0,0,0,DISABLED,0
0.139996,1.78819e-05,-2.28947e-05,0,1.47438e-05,0.732339,0.000345267,-0.0147577,-0.0011733,-0.99989,-8.50968e-05,0,0,0,DISABLED,0
0.159996,1.95228e-05,-2.50656e-05,0,1.58511e-05,0.732339,0,-0.0147566,-0.0011723,-0.99989,-9.18079e-05,0,0,0,DISABLED,0
0.179996,2.35904e-05,-3.04789e-05,0,1.91303e-05,0.732338,0,-0.0147534,-0.00116929,-0.999891,-0.000112073,0,0,0,DISABLED,0
0.199996,2.57241e-05,-3.33688e-05,0,2.10768e-05,0.732338,0.000345267,-0.0147514,-0.0011675,-0.999891,-0.000124255,0,0,0,DISABLED,0
0.219996,2.88952e-05,-3.77065e-05,0,2.32104e-05,0.732337,0,-0.0147493,-0.0011655,-0.999891,-0.000137793,0,0,0,DISABLED,0
0.239996,3.15174e-05,-4.13139e-05,0,2.53161e-05,0.732337,0.000345267,-0.0147472,-0.0011635,-0.999891,-0.000151375,0,0,0,DISABLED,0
0.259996,3.43826e-05,-4.52735e-05,0,2.78139e-05,0.732336,0.000345267,-0.0147447,-0.00116108,-0.999891,-0.000167742,0,0,0,DISABLED,0
0.279996,3.67044e-05,-4.85112e-05,0,2.94661e-05,0.732335,0.000345267,-0.014743,-0.00115948,-0.999891,-0.000178689,0,0,0,DISABLED,0
