t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147742,-0.00113611,-0.99989,0,0.8,0,0,DISABLED,0
0.0399961,1.52844e-05,-3.12878e-06,0,5.13904e-06,0.73234,0.000345267,-0.0147691,-0.00113561,-0.99989,-1.63633e-05,0.8,0,0,DISABLED,0
0.0599961,9.37809e-05,-5.66309e-05,0,-1.13416e-05,0.732321,0,-0.0147856,-0.00118954,-0.99989,-5.57341e-05,0.8,0,0,DISABLED,0
0.0799961,0.000192479,-0.000221286,0,0.000186393,0.732276,0.00059802,-0.0145879,-0.00163676,-0.999892,-0.000443978,0.8,0,0,DISABLED,0
0.0999961,0.000375502,-0.000567914,0,0.000782353,0.732202,0.00179406,-0.0139919,-0.00274049,-0.999898,-0.000687318,0.8,0,0,DISABLED,0
0.119996,0.00081388,-0.000861224,0,0.00134109,0.732112,0.00269662,-0.0134332,-0.00348082,-0.999904,-0.000941252,0.8,0,0,DISABLED,0
0.139996,0.00138962,-0.000867398,0,0.00128673,0.731979,0.00234172,-0.0134875,-0.00308009,-0.999904,-0.00158514,0.8,0,0,DISABLED,0
0.159996,0.00311678,-0.0003529,0,5.63459e-05,0.731391,0.00138107,-0.0147179,0.00021392,-0.999892,-0.00358845,0.8,0,0,DISABLED,0
0.179996,0.00479786,0.000505239,0,-0.000833166,0.730752,0.00487059,-0.0156074,0.0036604,-0.999871,-0.00452824,0.8,0,0,DISABLED,0
0.199996,0.00603452,0.00120675,0,-0.000665391,0.730495,0.00523624,-0.0154396,0.00405397,-0.999873,-0.00440032,0.8,0,0,DISABLED,0
0.219996,0.00898848,0.00292932,0,-0.000586355,0.73076,0.00269662,-0.0153606,0.00150265,-0.999881,-0.00602534,0.8,0,0,DISABLED,0
0.239996,0.011943,0.00469449,0,-0.000268255,0.731412,0.00109183,-0.0150425,-0.00217096,-0.999884,-0.00900638,0.8,0,0,DISABLED,0
0.259996,0.0153332,0.00670513,0,0.00103675,0.732094,0.00461936,-0.0137375,-0.00564357,-0.99989,-0.0114784,0.8,0,0,DISABLED,0
0.279996,0.0191599,0.0088766,0,0.00339516,0.732591,0.00854146,-0.0113791,-0.00897382,-0.999895,-0.0138336,0.8,0,0,DISABLED,0
0.299996,0.0238422,0.0114076,0,0.00675648,0.732722,0.0114773,-0.00801777,-0.0104145,-0.999914,-0.0138873,0.8,0,0,DISABLED,0
0.319996,0.0281051,0.0135899,0,0.0103228,0.732494,0.0142651,-0.00445143,-0.0109829,-0.99993,-0.0137978,0.8,0,0,DISABLED,0
0.339996,0.0333001,0.0162226,0,0.0146797,0.731871,0.0176764,-9.45201e-05,-0.0109812,-0.99994,-0.0138637,0.8,0,0,DISABLED,0
0.359996,0.0391131,0.0191414,0,0.0191568,0.730924,0.0215097,0.00438254,-0.0109185,-0.999931,-0.0134669,0.8,0,0,DISABLED,0
0.379996,0.0454352,0.0224614,0,0.0229387,0.729487,0.0245316,0.00816442,-0.00982948,-0.999918,-0.0121629,0.8,0,0,DISABLED,0
0.399996,0.0522687,0.026236,0,0.0253077,0.727302,0.0261956,0.0105334,-0.0078892,-0.999913,-0.0102036,0.8,0,0,DISABLED,0
0.419996,0.059679,0.0294898,0,0.024443,0.725503,0.0294663,0.00966873,-0.0175899,-0.999799,-0.00864564,0.8,0,0,DISABLED,0
0.439996,0.0673871,0.0329588,0,0.0217808,0.724497,0.031606,0.00700656,-0.0240373,-0.999687,-0.00689353,0.8,0,0,DISABLED,0
0.459996,0.0755837,0.0363413,0,0.0171681,0.724337,0.0261455,0.00239388,-0.0208517,-0.99978,-0.0044088,0.8,0,0,DISABLED,0
0.479996,0.0845485,0.0388998,0,0.0104831,0.72469,0.0157392,-0.00429116,-0.012873,-0.999908,-0.000241425,0.8,0,0,DISABLED,0
0.499996,0.0936379,0.0407288,0,0.0062181,0.725238,0.00806775,-0.00855614,-0.00626719,-0.999944,0.000644306,0.8,0,0,DISABLED,0
