time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-6.80146e-06,-3.53877e-06,0.733798,-0.00340054,-0.00176939,-0.000976898,0.0837003,0.000736402,-0.0391991,1,123.024,0.299974,-0.0129478,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,105.652,0.299866,-0.067069,0.000854,-0.0391991,nan
0.008,-2.06207e-05,-1.06453e-05,0.733707,-0.0069096,-0.00355328,-0.00098029,0.0837538,0.000660486,-0.0379561,1,121.55,0.299914,-0.0301845,nan,nan,nan,-0.000976458,-0.0837342,0.000660497,-0.0379496,1,104.102,0.299592,-0.13673,nan,nan,nan
0.01,-4.12487e-05,-2.06691e-05,0.73361,-0.010314,-0.00501186,-0.000985607,0.0838567,0.000584195,-0.038138,1,124.192,0.29979,-0.0616888,nan,nan,nan,-0.000977314,-0.083802,0.000583657,-0.038408,1,105.747,0.299177,-0.207437,nan,nan,nan
0.012,-6.8384e-05,-3.28272e-05,0.733511,-0.0135676,-0.0060791,-0.000990022,0.0839964,0.000505555,-0.0393035,1,135.643,0.299624,-0.0833702,nan,nan,nan,-0.000978998,-0.083898,0.000504004,-0.0398033,1,116.867,0.298663,-0.257075,nan,nan,nan
0.014,-0.000101841,-4.65576e-05,0.733409,-0.0167284,-0.00686517,-0.0009992,0.0841568,0.000427224,-0.0391429,1,136.816,0.29939,-0.116659,nan,nan,nan,-0.000985861,-0.084011,0.000424316,-0.0398124,1,117.604,0.298051,-0.306386,nan,nan,nan
0.016,-0.000141365,-6.17348e-05,0.733304,-0.0197621,-0.00758859,-0.00101141,0.084332,0.000347334,-0.0399159,1,138.332,0.299078,-0.156082,nan,nan,nan,-0.000996206,-0.084137,0.000342726,-0.040756,1,118.287,0.297344,-0.353456,nan,nan,nan
0.018,-0.000187048,-7.83075e-05,0.733198,-0.0228414,-0.00828634,-0.00102556,0.0845168,0.000264876,-0.0411938,1,139.587,0.298685,-0.196443,nan,nan,nan,-0.00101188,-0.0842752,0.000257837,-0.0423986,1,119.299,0.296544,-0.399682,nan,nan,nan
0.02,-0.000238942,-9.63244e-05,0.73309,-0.0259473,-0.0090085,-0.00104088,0.0847067,0.000179326,-0.0427346,1,139.641,0.298211,-0.237314,nan,nan,nan,-0.00103153,-0.0844216,0.000169242,-0.0442449,1,119.233,0.295648,-0.448388,nan,nan,nan
0.022,-0.000297177,-0.000114674,0.732999,-0.0291172,-0.00917457,-0.00105695,0.0849014,9.02603e-05,-0.044486,1,209.621,0.297826,-0.192512,nan,nan,nan,-0.00105433,-0.0845756,7.6529e-05,-0.0462952,1,192.916,0.294824,-0.411862,nan,nan,nan
0.024,-0.000363277,-0.00012381,0.732936,-0.0330503,-0.00456814,-0.00108011,0.085069,1.40655e-05,-0.038063,1,204.749,0.297493,-0.166295,nan,nan,nan,-0.00108409,-0.0847071,-1.56796e-06,-0.0390004,1,276.465,0.294225,-0.299569,nan,nan,nan
0.026,-0.000436553,-0.000137905,0.732903,-0.0366379,-0.00704778,-0.00110517,0.0852147,-5.24397e-05,-0.0332225,1,276.132,0.297478,-0.00748384,nan,nan,nan,-0.00110654,-0.0847934,-5.28323e-05,-0.0256074,1,228.673,0.293873,-0.17568,nan,nan,nan
0.028,-0.000514381,-0.00015592,0.732891,-0.038914,-0.00900714,-0.00112336,0.085308,-9.31393e-05,-0.0203348,1,235.134,0.297673,0.0976916,nan,nan,nan,-0.00112285,-0.0848493,-8.30209e-05,-0.0150835,1,199.851,0.293708,-0.0824548,nan,nan,nan
0.03,-0.000593632,-0.000176078,0.732892,-0.0396257,-0.010079,-0.00113662,0.0853688,-0.000116001,-0.0114178,1,209.703,0.297978,0.152419,nan,nan,nan,-0.00113497,-0.0848863,-9.8734e-05,-0.00785105,1,178.556,0.293673,-0.0176523,nan,nan,nan
0.032,-0.000672252,-0.000197613,0.732903,-0.0393098,-0.0107678,-0.00114634,0.0854092,-0.000126976,-0.00547423,1,192.33,0.298331,0.176492,nan,nan,nan,-0.00114414,-0.0849116,-0.000104523,-0.00289046,1,163.679,0.293721,0.0240453,nan,nan,nan
0.034,-0.000748773,-0.000220498,0.732919,-0.0382603,-0.0114423,-0.00115364,0.0854369,-0.000130056,-0.00152601,1,180.116,0.298695,0.182003,nan,nan,nan,-0.00115123,-0.0849299,-0.000103497,0.000517469,1,153.613,0.293815,0.0469141,nan,nan,nan
0.036,-0.000822285,-0.000244714,0.732939,-0.0367559,-0.012108,-0.00115926,0.0854568,-0.000127946,0.00106853,1,171.61,0.299047,0.175683,nan,nan,nan,-0.0011568,-0.0849439,-9.77817e-05,0.00286162,1,146.622,0.29393,0.0573521,nan,nan,nan
0.038,-0.000892264,-0.00027024,0.732961,-0.0349899,-0.012763,-0.00116371,0.0854718,-0.00012247,0.00275088,1,165.809,0.299371,0.161977,nan,nan,nan,-0.00116131,-0.0849554,-8.88496e-05,0.00447013,1,141.488,0.294049,0.0598997,nan,nan,nan
0.04,-0.00095846,-0.000297035,0.732985,-0.0330978,-0.0133974,-0.00116735,0.085484,-0.000114834,0.00382958,1,161.662,0.299658,0.143714,nan,nan,nan,-0.00116506,-0.0849656,-7.7777e-05,0.00554001,1,137.627,0.294165,0.0576821,nan,nan,nan
0.042,-0.00102081,-0.000324995,0.733009,-0.0311753,-0.0139801,-0.00117044,0.0854945,-0.000105881,0.00448633,1,158.673,0.299904,0.123066,nan,nan,nan,-0.00116828,-0.0849751,-6.5366e-05,0.00620886,1,134.59,0.29427,0.0526185,nan,nan,nan
0.044,-0.00107961,-0.000353997,0.733032,-0.0293981,-0.014501,-0.00117313,0.0855041,-9.62305e-05,0.00483332,1,156.611,0.300109,0.102478,nan,nan,nan,-0.00117111,-0.0849844,-5.21925e-05,0.0065897,1,132.157,0.294363,0.0463134,nan,nan,nan
0.046,-0.00113511,-0.000383889,0.733056,-0.0277494,-0.014946,-0.00117556,0.0855132,-8.63453e-05,0.00494943,1,155.131,0.300274,0.0827156,nan,nan,nan,-0.00117367,-0.0849936,-3.86784e-05,0.00675959,1,130.371,0.294442,0.0395418,nan,nan,nan
0.048,-0.00118685,-0.000413563,0.733077,-0.0258723,-0.0148369,-0.0011778,0.0855221,-7.65426e-05,0.00490699,1,144.797,0.300433,0.0790758,nan,nan,nan,-0.00117603,-0.0850029,-2.51216e-05,0.00678065,1,131.197,0.294519,0.0384302,nan,nan,nan
0.05,-0.00123541,-0.000442896,0.733095,-0.0242801,-0.0146664,-0.00118016,0.085531,-6.69788e-05,0.00478669,1,144.066,0.300588,0.0775189,nan,nan,nan,-0.00117866,-0.0850126,-1.20028e-05,0.00656136,1,129.901,0.2946,0.0405184,nan,nan,nan
0.052,-0.00128121,-0.000471825,0.733111,-0.0229009,-0.0144648,-0.0011826,0.0855402,-5.78262e-05,0.00458036,1,143.758,0.30074,0.0763415,nan,nan,nan,-0.00118145,-0.0850227,5.75878e-07,0.00629104,1,129.146,0.29469,0.0449517,nan,nan,nan
0.054,-0.00132437,-0.000500302,0.733125,-0.0215769,-0.0142387,-0.00118507,0.0855495,-4.92228e-05,0.00430519,1,143.506,0.30089,0.0745964,nan,nan,nan,-0.00118431,-0.0850331,1.25865e-05,0.00600693,1,129.271,0.294788,0.0492751,nan,nan,nan
0.056,-0.00136505,-0.000528373,0.733136,-0.0203414,-0.0140353,-0.00118753,0.0855588,-4.12332e-05,0.00399783,1,143.039,0.301037,0.0738737,nan,nan,nan,-0.00118723,-0.0850438,2.40113e-05,0.00571403,1,129.087,0.294891,0.0516579,nan,nan,nan
0.058,-0.00140371,-0.000555979,0.733145,-0.0193287,-0.013803,-0.00119,0.0855685,-3.3905e-05,0.00366674,1,142.593,0.301188,0.0753987,nan,nan,nan,-0.00119032,-0.0850554,3.46396e-05,0.00531568,1,129.822,0.295001,0.0547019,nan,nan,nan
0.06,-0.00144075,-0.000583074,0.733151,-0.0185237,-0.0135477,-0.00119247,0.0855783,-2.71572e-05,0.00337633,1,141.719,0.301345,0.0784106,nan,nan,nan,-0.00119354,-0.0850676,4.4511e-05,0.0049372,1,130.708,0.295118,0.0585947,nan,nan,nan
0.062,-0.00147649,-0.00060959,0.733156,-0.0178668,-0.0132576,-0.00119501,0.0855888,-2.09739e-05,0.00309389,1,141.982,0.301508,0.0813691,nan,nan,nan,-0.00119685,-0.0850804,5.36711e-05,0.00458167,1,131.267,0.295244,0.0627272,nan,nan,nan
0.064,-0.0015109,-0.000635485,0.733158,-0.0172066,-0.0129476,-0.00119736,0.0855997,-1.52865e-05,0.00284591,1,141.637,0.301671,0.0816512,nan,nan,nan,-0.00120023,-0.0850936,6.21983e-05,0.00426528,1,131.928,0.295377,0.0665359,nan,nan,nan
0.066,-0.00154304,-0.000660281,0.733158,-0.016069,-0.0123979,-0.00119973,0.0856119,-1.0202e-05,0.00254428,1,137.734,0.301829,0.07912,nan,nan,nan,-0.00120365,-0.0851072,7.01286e-05,0.00396702,1,129.722,0.295491,0.057161,nan,nan,nan
0.068,-0.00157309,-0.000683853,0.733155,-0.0150275,-0.0117864,-0.00120195,0.0856241,-6.50236e-06,0.0018516,1,139.169,0.301983,0.0771355,nan,nan,nan,-0.00120784,-0.0851227,7.66665e-05,0.00327069,1,131.209,0.295591,0.0499372,nan,nan,nan
0.07,-0.00160135,-0.00070614,0.733151,-0.0141287,-0.0111434,-0.00120407,0.0856363,-3.90906e-06,0.00129821,1,140.492,0.302135,0.0758928,nan,nan,nan,-0.0012126,-0.0851395,8.20292e-05,0.00268301,1,132.192,0.295682,0.045502,nan,nan,nan
0.072,-0.0016279,-0.000726956,0.733144,-0.0132766,-0.0104079,-0.00120614,0.0856483,-2.18997e-06,0.000860953,1,140.128,0.302281,0.0729479,nan,nan,nan,-0.00121776,-0.0851573,8.64394e-05,0.00220684,1,133.255,0.295769,0.0435754,nan,nan,nan
0.074,-0.00165299,-0.000746367,0.733136,-0.0125438,-0.00970553,-0.00120872,0.0856631,-1.38169e-06,0.000405423,1,141.498,0.302424,0.0712652,nan,nan,nan,-0.00122315,-0.0851756,9.00681e-05,0.00181616,1,133.842,0.295855,0.0431668,nan,nan,nan
0.076,-0.0016767,-0.000764505,0.733127,-0.0118526,-0.00906871,-0.00121166,0.0856796,-1.23439e-06,7.4863e-05,1,142.394,0.302565,0.0706894,nan,nan,nan,-0.00122869,-0.0851941,9.30746e-05,0.00150518,1,134.308,0.295942,0.0433898,nan,nan,nan
0.078,-0.00169928,-0.000781419,0.733117,-0.0112908,-0.0084574,-0.00121485,0.0856973,-1.56716e-06,-0.000165186,1,143.347,0.302706,0.0702748,nan,nan,nan,-0.00123434,-0.0852128,9.5575e-05,0.00125224,1,134.707,0.296032,0.0448942,nan,nan,nan
0.08,-0.00172087,-0.000797205,0.733105,-0.0107952,-0.00789276,-0.00121818,0.0857156,-2.22228e-06,-0.000326353,1,143.928,0.302846,0.0701233,nan,nan,nan,-0.00124,-0.0852314,9.76576e-05,0.00104344,1,135.012,0.296126,0.0469604,nan,nan,nan
0.082,-0.00174158,-0.000811958,0.733093,-0.0103574,-0.00737665,-0.00122157,0.0857343,-3.10455e-06,-0.000439892,1,144.338,0.302986,0.0702115,nan,nan,nan,-0.00124562,-0.08525,9.93931e-05,0.00086997,1,135.289,0.296224,0.0493527,nan,nan,nan
0.084,-0.00176153,-0.00082577,0.73308,-0.00997323,-0.00690582,-0.00122499,0.085753,-4.14651e-06,-0.000519686,1,144.655,0.303127,0.070528,nan,nan,nan,-0.00125118,-0.0852683,0.000100838,0.000724929,1,135.526,0.296328,0.0519355,nan,nan,nan
0.086,-0.00178096,-0.000839165,0.733066,-0.00971593,-0.00669758,-0.0012284,0.0857718,-5.29709e-06,-0.000573926,1,147.286,0.303255,0.0637982,nan,nan,nan,-0.00125666,-0.0852865,0.00010204,0.00060344,1,133.264,0.296436,0.0537433,nan,nan,nan
0.088,-0.00180025,-0.000852443,0.733052,-0.00964329,-0.00663876,-0.00123175,0.0857909,-7.10253e-06,-0.000901519,1,151.994,0.303382,0.0634502,nan,nan,nan,-0.00126223,-0.0853045,0.000103267,0.000615936,1,132.881,0.296546,0.0550603,nan,nan,nan
0.09,-0.00181955,-0.000865596,0.733039,-0.00965072,-0.00657685,-0.00123451,0.0858071,-8.76728e-06,-0.000831269,1,151.807,0.303508,0.0629735,nan,nan,nan,-0.00126789,-0.0853224,0.000104652,0.000695202,1,132.929,0.296659,0.0565604,nan,nan,nan
0.092,-0.001839,-0.000878658,0.733026,-0.00972348,-0.00653093,-0.00123686,0.0858214,-1.03098e-05,-0.000770231,1,151.738,0.303632,0.0623493,nan,nan,nan,-0.00127357,-0.0853403,0.000106102,0.000727603,1,132.836,0.296775,0.0579936,nan,nan,nan
