t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147717,-0.0011888,-0.99989,0,0.4,0,0,DISABLED,0
0.0399961,1.08527e-05,-3.65777e-06,0,4.1537e-06,0.732341,0,-0.0147675,-0.00118767,-0.99989,-1.5432e-05,0.4,0,0,DISABLED,0
0.0599961,3.50163e-05,-5.45569e-06,0,1.41691e-05,0.732337,0,-0.0147575,-0.00118725,-0.99989,-3.11621e-05,0.4,0,0,DISABLED,0
0.0799961,9.88799e-05,-2.64365e-05,0,2.97036e-05,0.732323,0,-0.014742,-0.00121228,-0.999891,-6.36335e-05,0.4,0,0,DISABLED,0
0.0999961,0.000203551,-0.000186917,0,0.000206153,0.732269,0.000488281,-0.0145655,-0.00170427,-0.999892,-0.000179879,0.4,0,0,DISABLED,0
0.119996,0.000330048,-0.000347204,0,0.000469011,0.732208,0.00119604,-0.0143026,-0.00230719,-0.999895,-0.000260029,0.4,0,0,DISABLED,0
0.139996,0.000657972,-0.000270821,0,0.000684602,0.732081,0.0010358,-0.0140871,-0.00198323,-0.999899,-0.000702919,0.4,0,0,DISABLED,0
0.159996,0.001246,0.000258549,0,0.000304896,0.731782,0.00161945,-0.0144668,0.000425766,-0.999895,-0.001696,0.4,0,0,DISABLED,0
0.179996,0.0021212,0.001271,0,-0.000939279,0.731272,0.00642235,-0.0157109,0.00516821,-0.999863,-0.00269005,0.4,0,0,DISABLED,0
0.199996,0.00316564,0.00260762,0,-0.00208585,0.730812,0.0104782,-0.0168575,0.00908285,-0.999817,-0.00220623,0.4,0,0,DISABLED,0
0.219996,0.00450014,0.00403163,0,-0.00311812,0.730864,0.0114096,-0.0178898,0.00978569,-0.999792,-0.00209548,0.4,0,0,DISABLED,0
0.239996,0.00629519,0.00554577,0,-0.00445973,0.731437,0.00974122,-0.0192314,0.00747058,-0.999787,-0.00411082,0.4,0,0,DISABLED,0
0.259996,0.00847226,0.00712373,0,-0.00517949,0.732237,0.0071346,-0.0199512,0.00371739,-0.999794,-0.00646101,0.4,0,0,DISABLED,0
0.279996,0.010889,0.00876606,0,-0.00496917,0.732925,0.00515594,-0.0197408,0.000164346,-0.999805,-0.0079232,0.4,0,0,DISABLED,0
0.299996,0.0134821,0.0105323,0,-0.00353119,0.733272,0.0038602,-0.0183029,-0.00275961,-0.999829,-0.00910791,0.4,0,0,DISABLED,0
0.319996,0.0162541,0.012468,0,-0.00151922,0.733197,0.00274047,-0.0162909,-0.00346394,-0.999861,-0.00995754,0.4,0,0,DISABLED,0
