t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147734,-0.0011655,-0.99989,0,0.4,0,0,DISABLED,0
0.0399961,8.77073e-06,-3.02261e-06,0,3.675e-06,0.732341,0,-0.0147698,-0.00116427,-0.99989,-1.49123e-05,0.4,0,0,DISABLED,0
0.0599961,4.63384e-05,-5.26849e-06,0,1.66772e-05,0.732335,0,-0.0147568,-0.00116377,-0.99989,-3.5014e-05,0.4,0,0,DISABLED,0
0.0799961,0.000112571,-4.03002e-05,0,2.8681e-05,0.732318,0,-0.0147448,-0.0012224,-0.999891,-7.90711e-05,0.4,0,0,DISABLED,0
0.0999961,0.000166443,-0.000111616,0,0.000205582,0.732294,0.000488281,-0.0145679,-0.00167639,-0.999892,-0.000179898,0.4,0,0,DISABLED,0
0.119996,0.00033606,-0.000374564,0,0.000504849,0.732203,0.00124488,-0.0142686,-0.00235122,-0.999895,-0.000269271,0.4,0,0,DISABLED,0
0.139996,0.000639841,-0.000301717,0,0.000669072,0.732081,0.000913491,-0.0141044,-0.00182775,-0.999899,-0.0007746,0.4,0,0,DISABLED,0
0.159996,0.00129701,0.000261805,0,0.000115717,0.731755,0.00210018,-0.0146577,0.00094559,-0.999892,-0.00193557,0.4,0,0,DISABLED,0
0.179996,0.00218817,0.00126153,0,-0.00103193,0.731243,0.00649617,-0.0158054,0.00525458,-0.999861,-0.00276089,0.4,0,0,DISABLED,0
0.199996,0.0028701,0.00215769,0,-0.00166717,0.73091,0.00953716,-0.0164406,0.00822641,-0.999831,-0.0022135,0.4,0,0,DISABLED,0
0.219996,0.00445147,0.00385611,0,-0.00284509,0.730905,0.0109347,-0.0176185,0.00938965,-0.999801,-0.00247546,0.4,0,0,DISABLED,0
0.239996,0.00623955,0.00541903,0,-0.00454552,0.731475,0.00930304,-0.019319,0.00694781,-0.999789,-0.00491438,0.4,0,0,DISABLED,0
0.259996,0.00796654,0.00672493,0,-0.00534044,0.732133,0.00732424,-0.0201139,0.00384829,-0.99979,-0.00702077,0.4,0,0,DISABLED,0
0.279996,0.0108513,0.00872215,0,-0.00519228,0.733035,0.00520198,-0.0199657,-0.00116792,-0.9998,-0.00921799,0.4,0,0,DISABLED,0
0.299996,0.0137352,0.01069,0,-0.00382795,0.733442,0.00478416,-0.0186014,-0.00403612,-0.999819,-0.0107522,0.4,0,0,DISABLED,0
0.319996,0.016252,0.0124061,0,-0.00168829,0.733373,0.00409982,-0.0164617,-0.00490514,-0.999852,-0.0115119,0.4,0,0,DISABLED,0
0.339996,0.0192146,0.0145143,0,0.000817885,0.732879,0.00300997,-0.0139556,-0.00405499,-0.999894,-0.0113812,0.4,0,0,DISABLED,0
0.359996,0.0223543,0.0169703,0,0.00318739,0.731991,0.00331169,-0.0115861,-0.00206276,-0.999931,-0.0106414,0.4,0,0,DISABLED,0
0.379996,0.0253125,0.0196055,0,0.00462062,0.730708,0.00506261,-0.0101528,0.000913721,-0.999948,-0.00991725,0.4,0,0,DISABLED,0
0.399996,0.0291377,0.0226453,0,0.00420459,0.729126,0.00420036,-0.0105689,-0.00115209,-0.999943,-0.00858549,0.4,0,0,DISABLED,0
0.419996,0.0329439,0.0251072,0,0.00113865,0.728502,0.00727524,-0.0136348,-0.00835081,-0.999872,-0.00829892,0.4,0,0,DISABLED,0
0.439996,0.0368759,0.0278402,0,-0.0035648,0.728528,0.00996505,-0.0183382,-0.0104713,-0.999777,-0.00527327,0.4,0,0,DISABLED,0
0.459996,0.041721,0.0304487,0,-0.00984902,0.72891,0.0116832,-0.0246225,-0.00745973,-0.999669,-0.00162704,0.4,0,0,DISABLED,0
0.479996,0.0458354,0.0321018,0,-0.015015,0.729257,0.0152741,-0.0297885,-0.0039653,-0.999548,-0.000324337,0.4,0,0,DISABLED,0
0.499996,0.0503792,0.0334519,0,-0.0171315,0.729478,0.0171631,-0.031905,-0.00216055,-0.999489,0.00074381,0.4,0,0,DISABLED,0
0.519996,0.0549531,0.03446,0,-0.0167894,0.729649,0.0168971,-0.0315629,-0.00304807,-0.999497,0.000322822,0.4,0,0,DISABLED,0
0.539996,0.0602455,0.0352641,0,-0.0152414,0.73006,0.0156595,-0.0300149,-0.00474907,-0.999538,0.000274271,0.4,0,0,DISABLED,0
0.559996,0.0643025,0.0356241,0,-0.013903,0.730558,0.0145506,-0.0286765,-0.00546476,-0.999574,0.000116114,0.4,0,0,DISABLED,0
0.579996,0.0701876,0.0357916,0,-0.0120064,0.731414,0.0126531,-0.0267798,-0.0051701,-0.999628,0.000776256,0.4,0,0,DISABLED,0
0.599996,0.0758181,0.0357052,0,-0.0102217,0.732139,0.0105406,-0.0249951,-0.00374415,-0.999681,0.0015803,0.4,0,0,DISABLED,0
0.619996,0.0816508,0.0355123,0,-0.00836214,0.732617,0.00836518,-0.0231356,-0.00136793,-0.999731,0.00110823,0.4,0,0,DISABLED,0
0.639996,0.0876339,0.0351343,0,-0.00644493,0.732749,0.0071346,-0.0212184,0.00188809,-0.999773,0.00122296,0.4,0,0,DISABLED,0
