t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732801,0.000345267,-0.0200335,-0.00311659,-0.999794,0,0,0,0,DISABLED,0
0.0399961,3.19537e-06,-4.61005e-08,0,9.49949e-08,0.7328,0.000345267,-0.0200334,-0.00311724,-0.999794,2.2637e-06,0,0,0,DISABLED,0
0.0599961,6.37397e-06,-9.17353e-08,0,2.01166e-07,0.7328,0.000345267,-0.0200333,-0.00311796,-0.999794,4.82728e-06,0,0,0,DISABLED,0
0.0799961,8.90531e-06,-1.28523e-07,0,3.1665e-07,0.732799,0.000345267,-0.0200332,-0.00311867,-0.999794,7.44499e-06,0,0,0,DISABLED,0
0.0999961,1.23717e-05,-1.77883e-07,0,4.58211e-07,0.732798,0.000345267,-0.0200331,-0.00311945,-0.999794,1.03804e-05,0,0,0,DISABLED,0
0.119996,1.58222e-05,-2.27708e-07,0,5.79283e-07,0.732798,0.000345267,-0.020033,-0.00312009,-0.999794,1.28243e-05,0,0,0,DISABLED,0
0.139996,1.89636e-05,-2.64496e-07,0,6.74278e-07,0.732797,0.000345267,-0.0200329,-0.00312053,-0.999794,1.54058e-05,0,0,0,DISABLED,0
0.159996,2.21478e-05,-2.86382e-07,0,7.93487e-07,0.732797,0,-0.0200327,-0.00311997,-0.999794,1.74318e-05,0,0,0,DISABLED,0
0.179996,2.53106e-05,-3.05939e-07,0,1.16602e-06,0.732796,0,-0.0200324,-0.0031194,-0.999794,1.87408e-05,0,0,0,DISABLED,0
0.199996,2.81176e-05,-3.23169e-07,0,1.74902e-06,0.732796,0,-0.0200318,-0.00311884,-0.999794,1.96195e-05,0,0,0,DISABLED,0
0.219996,3.14964e-05,-3.46918e-07,0,2.41771e-06,0.732796,0,-0.0200311,-0.00311846,-0.999794,2.01749e-05,0,0,0,DISABLED,0
0.239996,3.45241e-05,-3.71132e-07,0,3.04729e-06,0.732795,0.000345267,-0.0200305,-0.0031182,-0.999794,2.04145e-05,0,0,0,DISABLED,0
0.259996,3.75276e-05,-3.98606e-07,0,3.84636e-06,0.732795,0,-0.0200297,-0.00311795,-0.999795,2.04822e-05,0,0,0,DISABLED,0
0.279996,4.0221e-05,-4.24683e-07,0,4.60073e-06,0.732794,0,-0.0200289,-0.00311773,-0.999795,2.02951e-05,0,0,0,DISABLED,0
0.299996,4.32106e-05,-4.55417e-07,0,5.30481e-06,0.732794,0,-0.0200282,-0.00311754,-0.999795,1.99454e-05,0,0,0,DISABLED,0
0.319996,4.62094e-05,-4.87547e-07,0,6.12251e-06,0.732793,0.000345267,-0.0200274,-0.00311732,-0.999795,1.9397e-05,0,0,0,DISABLED,0
0.339996,4.92251e-05,-5.20609e-07,0,6.98678e-06,0.732793,0,-0.0200266,-0.0031171,-0.999795,1.86701e-05,0,0,0,DISABLED,0
0.359996,5.13503e-05,-5.44358e-07,0,7.62939e-06,0.732793,0,-0.0200259,-0.00311693,-0.999795,1.80887e-05,0,0,0,DISABLED,0
0.379996,5.53345e-05,-5.88596e-07,0,9.00403e-06,0.732792,0.000345267,-0.0200245,-0.0031166,-0.999795,1.67801e-05,0,0,0,DISABLED,0
0.399996,5.84321e-05,-6.22589e-07,0,9.9577e-06,0.732792,0,-0.0200236,-0.0031164,-0.999795,1.58357e-05,0,0,0,DISABLED,0
0.419996,6.1553e-05,-6.56117e-07,0,1.11815e-05,0.732791,0,-0.0200224,-0.00311617,-0.999795,1.45715e-05,0,0,0,DISABLED,0
0.439996,6.50007e-05,-6.92438e-07,0,1.23456e-05,0.732791,0,-0.0200212,-0.00311598,-0.999795,1.33351e-05,0,0,0,DISABLED,0
0.459996,6.81439e-05,-7.24569e-07,0,1.35619e-05,0.73279,0,-0.02002,-0.00311579,-0.999795,1.20141e-05,0,0,0,DISABLED,0
0.479996,7.12974e-05,-7.56234e-07,0,1.48285e-05,0.73279,0.000345267,-0.0200187,-0.00311562,-0.999795,1.06244e-05,0,0,0,DISABLED,0
0.499996,7.4463e-05,-7.86968e-07,0,1.61417e-05,0.732789,0,-0.0200174,-0.00311546,-0.999795,9.16014e-06,0,0,0,DISABLED,0
0.519996,7.73231e-05,-8.14442e-07,0,1.75014e-05,0.732789,0.000345267,-0.020016,-0.00311531,-0.999795,7.6195e-06,0,0,0,DISABLED,0
0.539996,8.05138e-05,-8.43778e-07,0,1.87661e-05,0.732788,0,-0.0200148,-0.00311518,-0.999795,6.16699e-06,0,0,0,DISABLED,0
0.559996,8.4037e-05,-8.75909e-07,0,2.03606e-05,0.732788,0.000345267,-0.0200132,-0.00311502,-0.999795,4.30783e-06,0,0,0,DISABLED,0
0.579996,8.72528e-05,-9.03849e-07,0,2.18581e-05,0.732787,0,-0.0200117,-0.00311488,-0.999795,2.54705e-06,0,0,0,DISABLED,0
0.599996,8.98317e-05,-9.25735e-07,0,2.30838e-05,0.732787,0,-0.0200105,-0.00311477,-0.999795,1.0808e-06,0,0,0,DISABLED,0
0.619996,9.33828e-05,-9.55071e-07,0,2.49743e-05,0.732786,0,-0.0200086,-0.00311459,-0.999795,-1.20478e-06,0,0,0,DISABLED,0
0.639996,9.69404e-05,-9.83477e-07,0,2.64309e-05,0.732786,0.000345267,-0.0200071,-0.00311446,-0.999795,-2.98512e-06,0,0,0,DISABLED,0
0.659996,9.95304e-05,-1.00397e-06,0,2.79155e-05,0.732786,0,-0.0200056,-0.00311433,-0.999795,-4.82111e-06,0,0,0,DISABLED,0
0.679996,0.000103417,-1.0333e-06,0,2.97688e-05,0.732785,0,-0.0200038,-0.00311416,-0.999795,-7.14383e-06,0,0,0,DISABLED,0
0.699996,0.000106009,-1.05193e-06,0,3.14899e-05,0.732785,0,-0.020002,-0.00311401,-0.999795,-9.32184e-06,0,0,0,DISABLED,0
0.719995,0.000109573,-1.07754e-06,0,3.32445e-05,0.732784,0,-0.0200003,-0.00311386,-0.999795,-1.15611e-05,0,0,0,DISABLED,0
0.739995,0.000113133,-1.10175e-06,0,3.50233e-05,0.732784,0.000345267,-0.0199985,-0.00311372,-0.999795,-1.38619e-05,0,0,0,DISABLED,0
0.759995,0.000116041,-1.12131e-06,0,3.70089e-05,0.732783,0,-0.0199965,-0.00311356,-0.999795,-1.64604e-05,0,0,0,DISABLED,0
0.779995,0.000119588,-1.14366e-06,0,3.86573e-05,0.732783,0,-0.0199949,-0.00311342,-0.999795,-1.86334e-05,0,0,0,DISABLED,0
0.799995,0.000122806,-1.16369e-06,0,4.05144e-05,0.732782,0,-0.019993,-0.00311328,-0.999795,-2.10989e-05,0,0,0,DISABLED,0
0.819995,0.000126019,-1.18278e-06,0,4.23938e-05,0.732782,0,-0.0199911,-0.00311313,-0.999795,-2.36203e-05,0,0,0,DISABLED,0
0.839995,0.000129228,-1.20141e-06,0,4.4493e-05,0.732781,0,-0.019989,-0.00311296,-0.999795,-2.64565e-05,0,0,0,DISABLED,0
0.859995,0.000131793,-1.21538e-06,0,4.60371e-05,0.732781,0,-0.0199875,-0.00311284,-0.999795,-2.85599e-05,0,0,0,DISABLED,0
0.879995,0.000135315,-1.234e-06,0,4.81792e-05,0.732781,0,-0.0199854,-0.00311268,-0.999795,-3.15019e-05,0,0,0,DISABLED,0
0.899995,0.000138512,-1.2503e-06,0,5.01554e-05,0.73278,0,-0.0199834,-0.00311251,-0.999795,-3.42387e-05,0,0,0,DISABLED,0
0.919995,0.000141387,-1.26427e-06,0,5.19529e-05,0.73278,0,-0.0199816,-0.00311237,-0.999795,-3.67451e-05,0,0,0,DISABLED,0
0.939995,0.000145213,-1.28197e-06,0,5.4175e-05,0.732779,0,-0.0199794,-0.00311218,-0.999796,-3.98624e-05,0,0,0,DISABLED,0
0.959995,0.000147759,-1.29314e-06,0,5.60079e-05,0.732779,0.000345267,-0.0199775,-0.00311204,-0.999796,-4.24533e-05,0,0,0,DISABLED,0
0.979995,0.000151252,-1.30758e-06,0,5.84796e-05,0.732778,0.000345267,-0.0199751,-0.00311183,-0.999796,-4.59725e-05,0,0,0,DISABLED,0
0.999995,0.000154737,-1.32155e-06,0,6.03478e-05,0.732778,0,-0.0199732,-0.00311168,-0.999796,-4.86569e-05,0,0,0,DISABLED,0
1.02,0.000157894,-1.33319e-06,0,6.26463e-05,0.732777,0,-0.0199709,-0.00311148,-0.999796,-5.19876e-05,0,0,0,DISABLED,0
1.04,0.000160095,-1.34064e-06,0,6.41178e-05,0.732777,0,-0.0199694,-0.00311136,-0.999796,-5.41335e-05,0,0,0,DISABLED,0
1.06,0.00016386,-1.35321e-06,0,6.66603e-05,0.732777,0,-0.0199669,-0.00311114,-0.999796,-5.78556e-05,0,0,0,DISABLED,0
1.08,0.000166991,-1.36252e-06,0,6.90166e-05,0.732776,0,-0.0199645,-0.00311093,-0.999796,-6.13244e-05,0,0,0,DISABLED,0
1.1,0.000170118,-1.37091e-06,0,7.07414e-05,0.732776,0,-0.0199628,-0.00311078,-0.999796,-6.38822e-05,0,0,0,DISABLED,0
1.12,0.000173235,-1.37929e-06,0,7.312e-05,0.732775,0.000345267,-0.0199604,-0.00311058,-0.999796,-6.74403e-05,0,0,0,DISABLED,0
1.14,0.000176344,-1.38627e-06,0,7.48616e-05,0.732775,0,-0.0199587,-0.00311042,-0.999796,-7.00622e-05,0,0,0,DISABLED,0
1.16,0.000179445,-1.39279e-06,0,7.74972e-05,0.732774,0,-0.019956,-0.00311018,-0.999796,-7.40398e-05,0,0,0,DISABLED,0
1.18,0.000182852,-1.39885e-06,0,7.97119e-05,0.732774,0,-0.0199538,-0.00310997,-0.999796,-7.74012e-05,0,0,0,DISABLED,0
1.2,0.00018594,-1.4035e-06,0,8.19322e-05,0.732774,0.000345267,-0.0199516,-0.00310976,-0.999796,-8.08071e-05,0,0,0,DISABLED,0
1.22,0.000189017,-1.40769e-06,0,8.41636e-05,0.732773,0,-0.0199494,-0.00310955,-0.999796,-8.42515e-05,0,0,0,DISABLED,0
1.24,0.000191774,-1.41095e-06,0,8.64044e-05,0.732773,0,-0.0199471,-0.00310934,-0.999796,-8.77313e-05,0,0,0,DISABLED,0
1.25999,0.000195133,-1.41375e-06,0,8.86563e-05,0.732772,0,-0.0199449,-0.00310912,-0.999796,-9.12448e-05,0,0,0,DISABLED,0
1.27999,0.000197872,-1.41514e-06,0,9.11467e-05,0.732772,0.000345267,-0.0199424,-0.00310888,-0.999796,-9.51508e-05,0,0,0,DISABLED,0
1.29999,0.000201209,-1.41654e-06,0,9.34135e-05,0.732772,0,-0.0199401,-0.00310866,-0.999796,-9.87389e-05,0,0,0,DISABLED,0
1.31999,0.000203627,-1.41701e-06,0,9.56878e-05,0.732771,0,-0.0199379,-0.00310843,-0.999796,-0.000102362,0,0,0,DISABLED,0
1.33999,0.000207243,-1.41561e-06,0,9.79546e-05,0.732771,0,-0.0199356,-0.00310821,-0.999796,-0.000105877,0,0,0,DISABLED,0
1.35999,0.000209952,-1.40769e-06,0,0.000100113,0.73277,0.000345267,-0.0199334,-0.00310796,-0.999796,-0.000108478,0,0,0,DISABLED,0
1.37999,0.000213262,-1.3914e-06,0,0.000102224,0.73277,0,-0.0199313,-0.00310771,-0.999797,-0.000110658,0,0,0,DISABLED,0
1.39999,0.000216265,-1.37137e-06,0,0.000104319,0.73277,0,-0.0199292,-0.0031075,-0.999797,-0.000112493,0,0,0,DISABLED,0
1.41999,0.000218962,-1.34902e-06,0,0.000105994,0.732769,0.000345267,-0.0199275,-0.00310734,-0.999797,-0.000113755,0,0,0,DISABLED,0
1.43999,0.000222255,-1.31968e-06,0,0.000108525,0.732769,0.000345267,-0.019925,-0.00310713,-0.999797,-0.000115561,0,0,0,DISABLED,0
1.45999,0.000224952,-1.29407e-06,0,0.000110658,0.732769,0,-0.0199229,-0.00310699,-0.999797,-0.000117013,0,0,0,DISABLED,0
1.47999,0.000228248,-1.26148e-06,0,0.000112811,0.732768,0,-0.0199207,-0.00310686,-0.999797,-0.00011842,0,0,0,DISABLED,0
1.49999,0.00023124,-1.23167e-06,0,0.000114763,0.732768,0.000345267,-0.0199188,-0.00310676,-0.999797,-0.000119644,0,0,0,DISABLED,0
1.51999,0.000233931,-1.20467e-06,0,0.00011716,0.732767,0.000345267,-0.0199164,-0.00310663,-0.999797,-0.000121084,0,0,0,DISABLED,0
1.53999,0.00023722,-1.17067e-06,0,0.000119356,0.732767,0,-0.0199142,-0.0031065,-0.999797,-0.000122339,0,0,0,DISABLED,0
1.55999,0.000239911,-1.14273e-06,0,0.000121338,0.732767,0,-0.0199122,-0.00310639,-0.999797,-0.000123427,0,0,0,DISABLED,0
1.57999,0.000242898,-1.11153e-06,0,0.000123547,0.732766,0.000345267,-0.01991,-0.00310625,-0.999797,-0.000124595,0,0,0,DISABLED,0
1.59999,0.000246185,-1.07661e-06,0,0.000125764,0.732766,0,-0.0199078,-0.00310611,-0.999797,-0.000125719,0,0,0,DISABLED,0
1.61999,0.000249174,-1.04448e-06,0,0.000128211,0.732766,0,-0.0199053,-0.00310593,-0.999797,-0.000126909,0,0,0,DISABLED,0
1.63999,0.000251265,-1.02213e-06,0,0.000129772,0.732765,0,-0.0199038,-0.00310582,-0.999797,-0.000127641,0,0,0,DISABLED,0
