time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-1.80981e-05,-8.29902e-07,0.7338,-0.00904887,-0.000414952,-0.000976898,0.0837003,0.000736402,-0.0391991,1,123.08,0.300101,0.0504417,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,114.624,0.300144,0.0721792,0.000854,-0.0391991,nan
0.008,-5.4433e-05,-2.45847e-06,0.733712,-0.0181675,-0.000814282,-0.000978952,0.0837369,0.000664001,-0.036198,1,121.557,0.300294,0.0966738,nan,nan,nan,-0.000978611,-0.083733,0.000665201,-0.0355985,1,113.033,0.300424,0.139737,nan,nan,nan
0.01,-0.000106743,-4.79501e-06,0.733621,-0.0261552,-0.00116827,-0.000983165,0.0838089,0.000594312,-0.034835,1,123.952,0.300532,0.118889,nan,nan,nan,-0.000981707,-0.0837966,0.00059792,-0.0336326,1,115.544,0.300786,0.181284,nan,nan,nan
0.012,-0.000172591,-7.85716e-06,0.733528,-0.032924,-0.00153108,-0.00098806,0.0839093,0.000524868,-0.0347038,1,135.592,0.300807,0.137392,nan,nan,nan,-0.000984778,-0.0838837,0.000531903,-0.0329936,1,125.2,0.301212,0.212687,nan,nan,nan
0.014,-0.000249836,-1.15536e-05,0.733434,-0.0386224,-0.0018482,-0.000997506,0.084026,0.000457287,-0.0337668,1,136.825,0.301076,0.134772,nan,nan,nan,-0.000990777,-0.0839837,0.000468158,-0.0318524,1,126.673,0.301656,0.222181,nan,nan,nan
0.016,-0.000336413,-1.55181e-05,0.733339,-0.0432886,-0.00198226,-0.00100971,0.0841547,0.000389361,-0.0339359,1,137.502,0.301307,0.115512,nan,nan,nan,-0.000998405,-0.0840922,0.00040459,-0.0317605,1,128.242,0.302086,0.215047,nan,nan,nan
0.018,-0.00043107,-1.97562e-05,0.733244,-0.0473282,-0.00211905,-0.00102588,0.0842946,0.000319264,-0.0350203,1,138.454,0.30149,0.0911837,nan,nan,nan,-0.00100696,-0.0842051,0.000339914,-0.0323121,1,129.555,0.302477,0.195284,nan,nan,nan
0.02,-0.00053285,-2.43251e-05,0.733149,-0.0508901,-0.00228445,-0.00104466,0.0844415,0.000246474,-0.0363652,1,139.338,0.301622,0.0660376,nan,nan,nan,-0.00101601,-0.0843195,0.000273299,-0.0332801,1,130.599,0.302809,0.166366,nan,nan,nan
0.022,-0.000640795,-2.91969e-05,0.733053,-0.0539723,-0.00243589,-0.00106527,0.0845912,0.000170928,-0.0377422,1,140.327,0.301692,0.0350739,nan,nan,nan,-0.00102524,-0.0844328,0.000204201,-0.0345206,1,131.425,0.303074,0.132482,nan,nan,nan
0.024,-0.000754859,-4.03095e-05,0.732966,-0.0570321,-0.00555631,-0.00108718,0.0847404,9.25193e-05,-0.0391709,1,207.195,0.301827,0.0675702,nan,nan,nan,-0.00103443,-0.0845429,0.000132332,-0.0359053,1,130.948,0.303281,0.103411,nan,nan,nan
0.026,-0.000872353,-5.55662e-05,0.732901,-0.0587471,-0.00762837,-0.0011104,0.0848638,2.56399e-05,-0.0334131,1,252.591,0.302196,0.184366,nan,nan,nan,-0.00104586,-0.0846521,5.84908e-05,-0.0368894,1,200.074,0.303596,0.157442,nan,nan,nan
0.028,-0.000992577,-7.03149e-05,0.732861,-0.0601118,-0.00737434,-0.00112955,0.0849504,-2.07057e-05,-0.0231493,1,237.453,0.302746,0.275026,nan,nan,nan,-0.00105978,-0.0847437,-3.93599e-07,-0.0294138,1,227.157,0.304074,0.238942,nan,nan,nan
0.03,-0.0011127,-8.43736e-05,0.73284,-0.0600621,-0.00702936,-0.00114325,0.0850075,-4.93744e-05,-0.0143066,1,212.19,0.303385,0.319512,nan,nan,nan,-0.00107121,-0.0848075,-3.92509e-05,-0.0194002,1,210.818,0.304656,0.291155,nan,nan,nan
0.032,-0.00122934,-9.82377e-05,0.732831,-0.0583207,-0.00693205,-0.0011528,0.0850455,-6.57696e-05,-0.0081664,1,196.219,0.30404,0.327496,nan,nan,nan,-0.00107936,-0.0848496,-6.25143e-05,-0.0116012,1,191.645,0.305265,0.304126,nan,nan,nan
0.034,-0.00134197,-0.000112082,0.732832,-0.0563127,-0.00692212,-0.00115942,0.0850715,-7.37695e-05,-0.00396865,1,183.297,0.304684,0.322085,nan,nan,nan,-0.00108505,-0.0848779,-7.49792e-05,-0.00620246,1,176.67,0.305867,0.301122,nan,nan,nan
0.036,-0.00144977,-0.000126058,0.732841,-0.0539003,-0.00698826,-0.001164,0.0850899,-7.60352e-05,-0.00110277,1,174.77,0.305294,0.305054,nan,nan,nan,-0.00108899,-0.0848977,-7.9916e-05,-0.00243981,1,167.006,0.306437,0.285313,nan,nan,nan
0.038,-0.00155238,-0.000140281,0.732854,-0.051308,-0.00711119,-0.00116718,0.0851038,-7.43436e-05,0.000873315,1,168.812,0.305855,0.280566,nan,nan,nan,-0.0010917,-0.0849124,-7.94795e-05,0.000244158,1,159.871,0.306959,0.26095,nan,nan,nan
0.04,-0.00164991,-0.000154813,0.732871,-0.048762,-0.00726607,-0.00116938,0.0851148,-6.99105e-05,0.0022409,1,164.179,0.306359,0.251704,nan,nan,nan,-0.00109352,-0.084924,-7.52092e-05,0.00215774,1,154.778,0.307424,0.232205,nan,nan,nan
0.042,-0.00174265,-0.000169727,0.732892,-0.046373,-0.00745698,-0.0011709,0.0851241,-6.36254e-05,0.00316343,1,160.48,0.3068,0.220525,nan,nan,nan,-0.00109467,-0.0849338,-6.82028e-05,0.00352245,1,151.615,0.307829,0.202549,nan,nan,nan
0.044,-0.00183089,-0.000185079,0.732915,-0.0441161,-0.00767621,-0.00117193,0.0851325,-5.61385e-05,0.00376105,1,157.642,0.307177,0.188412,nan,nan,nan,-0.00109538,-0.0849429,-5.91436e-05,0.00454577,1,149.235,0.308175,0.173241,nan,nan,nan
0.046,-0.00191343,-0.000198056,0.732938,-0.0412741,-0.0064882,-0.0011726,0.0851403,-4.7928e-05,0.00411983,1,150.673,0.307496,0.15978,nan,nan,nan,-0.00109584,-0.0849518,-4.85135e-05,0.00532851,1,147.071,0.308467,0.145594,nan,nan,nan
0.048,-0.00199055,-0.000208668,0.732962,-0.0385575,-0.00530616,-0.00117318,0.0851479,-3.94683e-05,0.00424139,1,149.229,0.307761,0.132421,nan,nan,nan,-0.00109652,-0.0849609,-3.66262e-05,0.00595464,1,145.958,0.308706,0.119577,nan,nan,nan
0.05,-0.00206263,-0.000217249,0.732986,-0.0360417,-0.00429045,-0.00117369,0.0851553,-3.09662e-05,0.00426001,1,148.233,0.307976,0.107508,nan,nan,nan,-0.00109744,-0.0849706,-2.37055e-05,0.0064694,1,144.663,0.308897,0.0957014,nan,nan,nan
0.052,-0.00213023,-0.000224141,0.733011,-0.0338009,-0.00344611,-0.0011742,0.0851628,-2.24909e-05,0.00424454,1,147.253,0.308148,0.0861622,nan,nan,nan,-0.00109862,-0.084981,-1.00525e-05,0.00683398,1,143.236,0.30905,0.0762737,nan,nan,nan
0.054,-0.00219418,-0.000229649,0.733034,-0.0319727,-0.00275412,-0.00117474,0.0851705,-1.40571e-05,0.00422226,1,146.44,0.308287,0.0691561,nan,nan,nan,-0.00110009,-0.0849921,4.12507e-06,0.00709506,1,142.095,0.309171,0.0606905,nan,nan,nan
0.056,-0.00225494,-0.000234036,0.733058,-0.030382,-0.00219308,-0.00117534,0.0851785,-5.66397e-06,0.00420084,1,145.675,0.308398,0.0555455,nan,nan,nan,-0.00110182,-0.0850041,1.86254e-05,0.00725555,1,141.081,0.309267,0.0481017,nan,nan,nan
0.058,-0.00231291,-0.000237636,0.73308,-0.0289836,-0.00180041,-0.00117602,0.0851869,2.70356e-06,0.00418725,1,144.956,0.308487,0.0446573,nan,nan,nan,-0.0011038,-0.0850168,3.3305e-05,0.00734452,1,139.547,0.309343,0.0377898,nan,nan,nan
0.06,-0.00236857,-0.000240579,0.733102,-0.0278293,-0.0014711,-0.0011768,0.0851956,1.10452e-05,0.00417372,1,144.35,0.308559,0.03597,nan,nan,nan,-0.00110624,-0.085031,4.78926e-05,0.00729787,1,139.029,0.309402,0.0298328,nan,nan,nan
0.062,-0.00242265,-0.000242909,0.733122,-0.0270421,-0.00116543,-0.00117766,0.0852048,1.93476e-05,0.00415369,1,143.405,0.308618,0.029484,nan,nan,nan,-0.00110901,-0.0850463,6.23051e-05,0.00720985,1,138.649,0.309451,0.0240845,nan,nan,nan
0.064,-0.00247573,-0.000245164,0.733141,-0.0265391,-0.00112706,-0.0011787,0.085215,2.74741e-05,0.00406545,1,142.886,0.308668,0.0251444,nan,nan,nan,-0.00111198,-0.0850625,7.64738e-05,0.00708761,1,134.333,0.30949,0.0195601,nan,nan,nan
0.066,-0.00252903,-0.000247418,0.733158,-0.0266472,-0.00112701,-0.00117984,0.0852259,3.5461e-05,0.0039954,1,136.326,0.308708,0.0198417,nan,nan,nan,-0.00111667,-0.085085,8.95202e-05,0.006526,1,128.446,0.309522,0.0160045,nan,nan,nan
0.068,-0.00258282,-0.00024963,0.733171,-0.0268985,-0.00110611,-0.00118069,0.0852355,4.23376e-05,0.00344009,1,137.177,0.30874,0.0161065,nan,nan,nan,-0.00112212,-0.0851111,0.000100672,0.00557835,1,129.737,0.309548,0.0132635,nan,nan,nan
0.07,-0.00263735,-0.000251724,0.733182,-0.0272637,-0.00104713,-0.00118129,0.0852442,4.81448e-05,0.00290529,1,137.948,0.308767,0.0135478,nan,nan,nan,-0.00112809,-0.0851394,0.000110129,0.00473095,1,130.832,0.309571,0.011122,nan,nan,nan
0.072,-0.00269278,-0.00025366,0.733191,-0.0277163,-0.000968183,-0.00118172,0.0852522,5.28964e-05,0.00237743,1,139.029,0.308791,0.0119622,nan,nan,nan,-0.0011344,-0.0851691,0.000118027,0.00395102,1,131.646,0.309589,0.00943683,nan,nan,nan
0.074,-0.00274922,-0.000255418,0.733198,-0.0282191,-0.000878855,-0.00118204,0.0852597,5.66532e-05,0.00187991,1,139.903,0.308815,0.0117942,nan,nan,nan,-0.00114091,-0.0851996,0.000124508,0.00324266,1,132.391,0.309606,0.00810261,nan,nan,nan
0.076,-0.00280667,-0.000257007,0.733204,-0.0287262,-0.000794165,-0.0011823,0.0852668,5.95365e-05,0.00144312,1,140.725,0.30884,0.0125929,nan,nan,nan,-0.00114749,-0.0852304,0.000129712,0.00260362,1,132.922,0.30962,0.00701011,nan,nan,nan
0.078,-0.0028651,-0.000258458,0.733208,-0.0292107,-0.000725852,-0.00118253,0.0852736,6.1704e-05,0.00108517,1,141.644,0.308869,0.0143669,nan,nan,nan,-0.00115406,-0.0852611,0.000133804,0.00204768,1,133.442,0.309632,0.00611266,nan,nan,nan
0.08,-0.00292447,-0.00025981,0.733211,-0.029687,-0.0006757,-0.00118276,0.0852802,6.33149e-05,0.000806832,1,142.382,0.308902,0.0168925,nan,nan,nan,-0.00116053,-0.0852915,0.000136925,0.00156253,1,133.904,0.309643,0.00539363,nan,nan,nan
0.082,-0.00298479,-0.00026109,0.733213,-0.0301579,-0.000640385,-0.00118301,0.0852867,6.44983e-05,0.000593153,1,142.976,0.308942,0.0199331,nan,nan,nan,-0.00116686,-0.0853215,0.000139201,0.00113972,1,134.322,0.309652,0.00483507,nan,nan,nan
0.084,-0.00304603,-0.000262355,0.733214,-0.0306238,-0.000632071,-0.00118327,0.085293,6.53573e-05,0.000430944,1,143.438,0.308989,0.0232662,nan,nan,nan,-0.00117299,-0.0853507,0.000140742,0.000771724,1,134.708,0.309661,0.00441949,nan,nan,nan
0.086,-0.00310668,-0.000264326,0.733213,-0.0303237,-0.000985791,-0.00118354,0.0852993,6.59734e-05,0.000309569,1,145.967,0.309026,0.0185618,nan,nan,nan,-0.0011789,-0.0853793,0.000141641,0.000451443,1,126.784,0.309622,-0.0193526,nan,nan,nan
0.088,-0.00316678,-0.000266923,0.733211,-0.0300498,-0.0012984,-0.00118401,0.0853056,6.60862e-05,5.78684e-05,1,146.98,0.309056,0.0149236,nan,nan,nan,-0.00118366,-0.0854051,0.000140357,-0.000640416,1,128.01,0.309541,-0.0409125,nan,nan,nan
0.09,-0.00322662,-0.000270059,0.733207,-0.0299195,-0.00156798,-0.00118467,0.0853119,6.58078e-05,-0.000137737,1,147.928,0.309081,0.0123999,nan,nan,nan,-0.00118748,-0.0854284,0.000137211,-0.00157162,1,129.011,0.309426,-0.057376,nan,nan,nan
0.092,-0.00328647,-0.000273656,0.733203,-0.0299226,-0.00179859,-0.00118545,0.0853184,6.52341e-05,-0.000285463,1,148.586,0.309102,0.0107105,nan,nan,nan,-0.00119065,-0.0854496,0.000132605,-0.00230119,1,129.983,0.309288,-0.0690276,nan,nan,nan
