t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732804,0,-0.0200489,-0.0031843,-0.999794,0,0,0,0,DISABLED,0
0.0399961,3.25032e-06,-1.86265e-08,0,6.14673e-08,0.732803,0,-0.0200488,-0.00318489,-0.999794,1.60281e-06,0,0,0,DISABLED,0
0.0599961,6.81169e-06,-3.77186e-08,0,1.39698e-07,0.732802,0,-0.0200487,-0.00318554,-0.999794,3.47709e-06,0,0,0,DISABLED,0
0.0799961,9.71556e-06,-5.21541e-08,0,2.12342e-07,0.732802,0,-0.0200487,-0.00318609,-0.999794,5.09946e-06,0,0,0,DISABLED,0
0.0999961,1.32527e-05,-6.89179e-08,0,3.05474e-07,0.732801,0,-0.0200486,-0.00318676,-0.999794,7.17561e-06,0,0,0,DISABLED,0
0.119996,1.61352e-05,-8.19564e-08,0,3.89293e-07,0.732801,0,-0.0200485,-0.0031873,-0.999794,8.93301e-06,0,0,0,DISABLED,0
0.139996,1.9324e-05,-9.63919e-08,0,4.89876e-07,0.7328,0,-0.0200484,-0.00318791,-0.999794,1.09405e-05,0,0,0,DISABLED,0
0.159996,2.25008e-05,-1.09896e-07,0,6.0536e-07,0.732799,0,-0.0200483,-0.0031885,-0.999794,1.30001e-05,0,0,0,DISABLED,0
0.179996,2.56673e-05,-1.234e-07,0,7.30157e-07,0.732799,0,-0.0200481,-0.00318908,-0.999794,1.51065e-05,0,0,0,DISABLED,0
0.199996,2.91374e-05,-1.38301e-07,0,8.77306e-07,0.732798,0,-0.020048,-0.00318971,-0.999794,1.74826e-05,0,0,0,DISABLED,0
0.219996,3.22768e-05,-1.5134e-07,0,1.01328e-06,0.732797,0,-0.0200479,-0.00319029,-0.999794,1.96921e-05,0,0,0,DISABLED,0
0.239996,3.50876e-05,-1.62981e-07,0,1.13808e-06,0.732797,0,-0.0200477,-0.00319082,-0.999794,2.17229e-05,0,0,0,DISABLED,0
0.259996,3.82094e-05,-1.69966e-07,0,1.24425e-06,0.732796,0,-0.0200476,-0.00319114,-0.999794,2.385e-05,0,0,0,DISABLED,0
0.279996,4.17e-05,-1.59256e-07,0,1.36532e-06,0.732796,0,-0.0200475,-0.0031905,-0.999794,2.53483e-05,0,0,0,DISABLED,0
0.299996,4.4547e-05,-1.4808e-07,0,1.65962e-06,0.732795,0,-0.0200472,-0.00318987,-0.999794,2.59383e-05,0,0,0,DISABLED,0
0.319996,4.79836e-05,-1.37836e-07,0,2.21841e-06,0.732795,0,-0.0200467,-0.00318917,-0.999794,2.61283e-05,0,0,0,DISABLED,0
0.339996,5.0758e-05,-1.31316e-07,0,2.77534e-06,0.732795,0,-0.0200461,-0.00318862,-0.999794,2.5911e-05,0,0,0,DISABLED,0
0.359996,5.4108e-05,-1.28057e-07,0,3.44031e-06,0.732794,0,-0.0200454,-0.00318811,-0.999794,2.53702e-05,0,0,0,DISABLED,0
