time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,1.69623e-07,3.49575e-10,0.73362,5.30572e-05,1.07215e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.7239,0.300225,0.0733654,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.7239,0.300225,0.073366,nan,nan,nan
0.01,-1.80085e-05,-8.43098e-07,0.733469,-0.00908905,-0.000421724,-0.000971439,0.0837014,0.000548772,-0.0500983,1,125.992,0.300436,0.105442,nan,nan,nan,-0.000971439,-0.0837014,0.000548772,-0.0500985,1,117.737,0.30048,0.127511,nan,nan,nan
0.012,-5.45727e-05,-2.7464e-06,0.733318,-0.0182821,-0.000951649,-0.000969641,0.0837366,0.000448355,-0.0501898,1,141.983,0.30073,0.147398,nan,nan,nan,-0.000969097,-0.083732,0.000449665,-0.0495353,1,131.69,0.300854,0.187081,nan,nan,nan
0.014,-0.000107319,-5.58067e-06,0.733168,-0.0263733,-0.00141714,-0.000972916,0.083801,0.000350849,-0.0487287,1,143.35,0.301068,0.168891,nan,nan,nan,-0.000970395,-0.0837875,0.000354346,-0.0476363,1,133.483,0.301304,0.225277,nan,nan,nan
0.016,-0.000173725,-9.22438e-06,0.733021,-0.0332026,-0.00182186,-0.00097972,0.0838887,0.000254522,-0.0481336,1,145.096,0.301408,0.169946,nan,nan,nan,-0.000974222,-0.0838621,0.000261159,-0.0465656,1,135.201,0.301788,0.241897,nan,nan,nan
0.018,-0.000253845,-1.36724e-05,0.732875,-0.0400601,-0.00222401,-0.000989053,0.083994,0.00015822,-0.0481175,1,145.222,0.301749,0.170668,nan,nan,nan,-0.000979774,-0.0839505,0.000168867,-0.0461147,1,135.261,0.302304,0.258124,nan,nan,nan
0.02,-0.000344705,-2.46457e-05,0.732741,-0.04543,-0.00548664,-0.00100072,0.0841155,6.16153e-05,-0.0482645,1,219.86,0.302218,0.234135,nan,nan,nan,-0.000986842,-0.0840519,7.7032e-05,-0.045882,1,140.788,0.302791,0.243203,nan,nan,nan
0.022,-0.000446671,-4.37023e-05,0.732639,-0.050983,-0.00952833,-0.00101632,0.0842218,-1.91601e-05,-0.0403538,1,293.049,0.302949,0.365812,nan,nan,nan,-0.000992748,-0.0841547,-1.32069e-05,-0.0450802,1,207.485,0.30338,0.294499,nan,nan,nan
0.024,-0.000558172,-5.95113e-05,0.732574,-0.0557504,-0.00790447,-0.00102863,0.0842931,-7.15815e-05,-0.0261752,1,260.131,0.30383,0.44042,nan,nan,nan,-0.00100052,-0.0842407,-8.69658e-05,-0.0368386,1,280.328,0.304219,0.419724,nan,nan,nan
0.026,-0.000675528,-7.33766e-05,0.732535,-0.0586783,-0.00693266,-0.00103727,0.0843395,-0.000102921,-0.015627,1,232.904,0.30477,0.469693,nan,nan,nan,-0.00100659,-0.0842958,-0.000131321,-0.0221319,1,238.096,0.305179,0.480079,nan,nan,nan
0.028,-0.000795444,-8.61831e-05,0.732516,-0.059958,-0.00640326,-0.00104327,0.0843704,-0.000119885,-0.0084341,1,211.912,0.305694,0.462141,nan,nan,nan,-0.00101109,-0.0843317,-0.000155644,-0.0121098,1,211.417,0.306168,0.49437,nan,nan,nan
0.03,-0.000912213,-9.78304e-05,0.73251,-0.0583843,-0.00582363,-0.00104736,0.0843915,-0.000127105,-0.00356145,1,191.159,0.306619,0.462784,nan,nan,nan,-0.00101432,-0.0843557,-0.000166503,-0.00537547,1,190.135,0.307152,0.49174,nan,nan,nan
0.032,-0.00102429,-0.000108643,0.732513,-0.0560371,-0.00540643,-0.00105042,0.0844071,-0.000127432,-0.000115177,1,180.483,0.307514,0.447205,nan,nan,nan,-0.00101677,-0.0843728,-0.000167673,-0.000532071,1,177.375,0.30809,0.469366,nan,nan,nan
0.034,-0.00113077,-0.000119056,0.732522,-0.0532404,-0.00520636,-0.00105274,0.0844194,-0.000123106,0.00220882,1,173.22,0.308352,0.419078,nan,nan,nan,-0.0010186,-0.084386,-0.00016211,0.00283008,1,168.332,0.308959,0.434072,nan,nan,nan
0.036,-0.00123118,-0.000129283,0.732538,-0.0502065,-0.00511365,-0.00105451,0.0844298,-0.000115642,0.00377281,1,167.778,0.309117,0.382767,nan,nan,nan,-0.00101992,-0.0843971,-0.000151911,0.00514212,1,162.666,0.309742,0.391958,nan,nan,nan
0.038,-0.00132547,-0.000139406,0.732557,-0.0471452,-0.00506117,-0.00105588,0.0844391,-0.000106126,0.00479388,1,163.83,0.309802,0.342136,nan,nan,nan,-0.00102082,-0.0844073,-0.000138361,0.00681168,1,158.889,0.310437,0.347356,nan,nan,nan
0.04,-0.00141388,-0.000149534,0.732581,-0.0442038,-0.00506425,-0.00105695,0.084448,-9.5297e-05,0.0054446,1,161.102,0.310402,0.300174,nan,nan,nan,-0.00102154,-0.0844175,-0.00012224,0.00809064,1,155.777,0.311042,0.302372,nan,nan,nan
0.042,-0.00149707,-0.000159867,0.732607,-0.0415946,-0.00516624,-0.00105781,0.0844569,-8.35952e-05,0.00587578,1,159.019,0.31092,0.259201,nan,nan,nan,-0.00102227,-0.0844284,-0.000104148,0.00907115,1,153.052,0.311559,0.258714,nan,nan,nan
0.044,-0.00157547,-0.000170606,0.732637,-0.0392035,-0.00536962,-0.0010586,0.0844661,-7.12626e-05,0.00618669,1,157.249,0.31136,0.219615,nan,nan,nan,-0.0010231,-0.0844404,-8.45783e-05,0.00980491,1,150.843,0.311993,0.216773,nan,nan,nan
0.046,-0.00164944,-0.000181899,0.732668,-0.0369841,-0.00564681,-0.00105942,0.0844759,-5.84838e-05,0.00640602,1,155.671,0.311723,0.181645,nan,nan,nan,-0.00102408,-0.0844537,-6.39409e-05,0.0103351,1,148.936,0.312346,0.176781,nan,nan,nan
0.048,-0.0017181,-0.000191994,0.7327,-0.0343301,-0.00504754,-0.00106031,0.0844863,-4.54185e-05,0.00654607,1,146.129,0.312012,0.144362,nan,nan,nan,-0.00102522,-0.0844682,-4.25693e-05,0.010699,1,146.359,0.312628,0.140656,nan,nan,nan
0.05,-0.00178214,-0.000200939,0.732732,-0.0320181,-0.00447232,-0.00106132,0.0844968,-3.25082e-05,0.00646549,1,144.623,0.31224,0.114021,nan,nan,nan,-0.00102685,-0.0844834,-2.12592e-05,0.0106657,1,145.241,0.312851,0.111388,nan,nan,nan
0.052,-0.00184224,-0.000208958,0.732763,-0.0300509,-0.00400953,-0.00106252,0.0845077,-1.97661e-05,0.00637912,1,143.511,0.312419,0.0895823,nan,nan,nan,-0.00102896,-0.0844994,-5.97259e-08,0.0106087,1,144.036,0.313026,0.0876519,nan,nan,nan
0.054,-0.00189898,-0.000216389,0.732794,-0.0283682,-0.00371521,-0.00106389,0.0845191,-7.20436e-06,0.00628731,1,142.351,0.312559,0.0698966,nan,nan,nan,-0.00103152,-0.0845163,2.08771e-05,0.010476,1,142.012,0.313162,0.0681933,nan,nan,nan
0.056,-0.0019526,-0.000223189,0.732824,-0.026812,-0.00340019,-0.00106549,0.084531,5.127e-06,0.00617095,1,141.976,0.312663,0.0521699,nan,nan,nan,-0.00103473,-0.0845353,4.12122e-05,0.010174,1,142.019,0.313263,0.0502569,nan,nan,nan
0.058,-0.00200395,-0.000229457,0.732853,-0.0256748,-0.00313411,-0.00106729,0.0845436,1.72102e-05,0.00604594,1,140.205,0.31274,0.0383614,nan,nan,nan,-0.00103847,-0.0845558,6.09776e-05,0.00988825,1,141.103,0.313336,0.0363849,nan,nan,nan
0.06,-0.00205332,-0.000235369,0.73288,-0.0246824,-0.00295565,-0.00106948,0.0845576,2.8815e-05,0.00580607,1,139.955,0.312793,0.0268471,nan,nan,nan,-0.00104256,-0.0845775,8.00195e-05,0.00952578,1,135.482,0.313378,0.0214338,nan,nan,nan
0.062,-0.00210126,-0.000240861,0.732905,-0.0239738,-0.0027464,-0.00107198,0.0845727,3.98979e-05,0.0055445,1,139.791,0.312829,0.0175133,nan,nan,nan,-0.00104874,-0.0846077,9.73618e-05,0.00867508,1,135.92,0.313401,0.0111607,nan,nan,nan
0.064,-0.00214829,-0.000246028,0.732928,-0.0235116,-0.00258319,-0.00107469,0.0845885,5.04478e-05,0.00527759,1,135.306,0.312846,0.00867493,nan,nan,nan,-0.00105671,-0.0846447,0.000113285,0.00796486,1,136.413,0.31341,0.00468513,nan,nan,nan
0.066,-0.00219485,-0.000250904,0.732949,-0.0232798,-0.00243838,-0.00107897,0.0846108,5.98173e-05,0.00468701,1,135.825,0.312852,0.00285875,nan,nan,nan,-0.00106643,-0.0846868,0.000127799,0.00725987,1,136.858,0.313411,0.000293346,nan,nan,nan
0.068,-0.00224183,-0.000255598,0.732967,-0.0234921,-0.00234664,-0.00108459,0.0846383,6.81786e-05,0.00418269,1,131.871,0.312835,-0.00805281,nan,nan,nan,-0.00107734,-0.0847322,0.000141081,0.0066434,1,129.787,0.3134,-0.00530825,nan,nan,nan
0.07,-0.00228944,-0.000260105,0.732982,-0.0238058,-0.0022534,-0.00109047,0.0846659,7.47548e-05,0.00329008,1,133.222,0.3128,-0.0176741,nan,nan,nan,-0.00108847,-0.084778,0.000152211,0.00556751,1,131.163,0.313382,-0.0092261,nan,nan,nan
0.072,-0.00233782,-0.000264384,0.732994,-0.0241915,-0.00213952,-0.0010964,0.084693,7.97079e-05,0.00247843,1,134.148,0.312749,-0.0255647,nan,nan,nan,-0.00109961,-0.0848235,0.000161375,0.00458374,1,132.229,0.313357,-0.012303,nan,nan,nan
0.074,-0.00238699,-0.000268367,0.733004,-0.0245815,-0.0019917,-0.00110234,0.0847197,8.30933e-05,0.00169446,1,135.157,0.312684,-0.0325782,nan,nan,nan,-0.00111062,-0.0848682,0.000168676,0.00365291,1,133.035,0.313327,-0.0149717,nan,nan,nan
0.076,-0.00243712,-0.000272039,0.733011,-0.0250654,-0.00183616,-0.00110828,0.084746,8.49901e-05,0.000950137,1,135.778,0.312609,-0.037276,nan,nan,nan,-0.00112153,-0.0849124,0.000174253,0.0027901,1,133.928,0.313293,-0.0171202,nan,nan,nan
0.078,-0.00248822,-0.000275403,0.733017,-0.0255533,-0.00168197,-0.00111417,0.0847718,8.55375e-05,0.000275307,1,136.626,0.312528,-0.0406,nan,nan,nan,-0.00113211,-0.0849555,0.00017824,0.00199507,1,134.736,0.313255,-0.0188733,nan,nan,nan
0.08,-0.00254023,-0.000278515,0.733021,-0.0260026,-0.00155607,-0.00111997,0.0847971,8.48835e-05,-0.00032546,1,137.676,0.312441,-0.0433713,nan,nan,nan,-0.0011423,-0.0849974,0.000180795,0.00127903,1,135.097,0.313214,-0.0204314,nan,nan,nan
0.082,-0.00259321,-0.000281437,0.733024,-0.0264878,-0.00146065,-0.0011257,0.0848218,8.31799e-05,-0.00085037,1,138.528,0.312353,-0.0440178,nan,nan,nan,-0.00115212,-0.0850381,0.00018203,0.00061928,1,136.099,0.313172,-0.0211669,nan,nan,nan
0.084,-0.00264718,-0.000284259,0.733025,-0.0269865,-0.0014109,-0.00113142,0.0848459,8.06798e-05,-0.00124862,1,139.282,0.312266,-0.0434097,nan,nan,nan,-0.00116144,-0.0850772,0.000182181,7.65855e-05,1,136.765,0.313129,-0.0214684,nan,nan,nan
0.086,-0.00270217,-0.00028705,0.733025,-0.0274949,-0.00139564,-0.00113707,0.0848693,7.75599e-05,-0.00155858,1,139.954,0.312183,-0.0418086,nan,nan,nan,-0.00117024,-0.0851148,0.000181422,-0.000378431,1,137.287,0.313086,-0.0213576,nan,nan,nan
0.088,-0.00275821,-0.00029017,0.733026,-0.0280219,-0.00156013,-0.00114259,0.084892,7.39676e-05,-0.00179475,1,154.058,0.312121,-0.0310315,nan,nan,nan,-0.00117853,-0.0851508,0.000179895,-0.000762084,1,134.793,0.313038,-0.0239174,nan,nan,nan
0.09,-0.00281292,-0.000293705,0.733026,-0.0273546,-0.00176767,-0.00114713,0.08491,7.13585e-05,-0.0013033,1,151.144,0.31207,-0.0255776,nan,nan,nan,-0.00118634,-0.0851854,0.000178313,-0.000789639,1,127.939,0.312916,-0.0611588,nan,nan,nan
0.092,-0.00286627,-0.000297577,0.733025,-0.0266765,-0.00193568,-0.00115107,0.0849246,6.93466e-05,-0.00100482,1,150.361,0.312027,-0.0214278,nan,nan,nan,-0.00119291,-0.0852169,0.000174509,-0.00190069,1,129.431,0.312726,-0.0950052,nan,nan,nan
