t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732803,0,-0.0200387,-0.00313155,-0.999794,0,0.4,0,0,DISABLED,0
0.0399961,1.94917e-05,5.4948e-08,0,-7.92742e-06,0.732799,0,-0.0200466,-0.00313687,-0.999794,2.89653e-06,0.4,0,0,DISABLED,0
0.0599961,0.00013012,1.13575e-06,0,-0.000139186,0.732781,0,-0.0201779,-0.00314744,-0.999791,1.04926e-05,0.4,0,0,DISABLED,0
0.0799961,0.000433292,-1.49459e-05,0,-0.000909301,0.732761,0.000845728,-0.020948,-0.00323411,-0.999775,1.14131e-05,0.4,0,0,DISABLED,0
0.0999961,0.00112766,-6.08931e-05,0,-0.00236277,0.732744,0.00236703,-0.0224015,-0.00334015,-0.999743,-1.37651e-05,0.4,0,0,DISABLED,0
0.119996,0.00181127,3.72189e-05,0,-0.00279208,0.73276,0.00278363,-0.0228308,-0.0030926,-0.999735,-1.81892e-05,0.4,0,0,DISABLED,0
0.139996,0.00276153,0.000713998,0,-0.00181804,0.732822,0.00417188,-0.0218568,0.00062792,-0.999761,-0.000300457,0.4,0,0,DISABLED,0
0.159996,0.00396245,0.00173818,0,-0.00113352,0.732852,0.00715962,-0.0211722,0.0039421,-0.999768,-0.00143393,0.4,0,0,DISABLED,0
0.179996,0.00524159,0.00266321,0,-0.00172809,0.732934,0.00693979,-0.0217668,0.00358884,-0.999757,-0.00259994,0.4,0,0,DISABLED,0
0.199996,0.00760343,0.0044457,0,-0.00290485,0.733077,0.00527028,-0.0229436,0.00126607,-0.999736,-0.00360273,0.4,0,0,DISABLED,0
0.219996,0.00943966,0.00609247,0,-0.00324937,0.733096,0.00415757,-0.0232881,-0.000555454,-0.999729,-0.00346151,0.4,0,0,DISABLED,0
0.239996,0.0119425,0.00843476,0,-0.00342209,0.733091,0.00350408,-0.0234608,-0.00237115,-0.999722,-0.00327819,0.4,0,0,DISABLED,0
0.259996,0.0144586,0.0107919,0,-0.00319733,0.733099,0.00336525,-0.023236,-0.00420705,-0.999721,-0.00236862,0.4,0,0,DISABLED,0
0.279996,0.0172566,0.0133227,0,-0.00277138,0.733103,0.0038292,-0.0228101,-0.00578408,-0.999723,-0.00147484,0.4,0,0,DISABLED,0
0.299996,0.0203538,0.0160234,0,-0.00190703,0.733072,0.00503901,-0.0219457,-0.00779817,-0.999729,-0.0010217,0.4,0,0,DISABLED,0
0.319996,0.0237902,0.0189155,0,-0.000948614,0.732978,0.00601004,-0.0209873,-0.00907461,-0.999739,-0.00071426,0.4,0,0,DISABLED,0
0.339996,0.0271117,0.0217226,0,0.000355294,0.732786,0.00639444,-0.0196834,-0.00951429,-0.999761,-0.000731465,0.4,0,0,DISABLED,0
0.359996,0.0313376,0.0254985,0,0.00304228,0.732291,0.00606925,-0.0169964,-0.00839029,-0.99982,-0.000680652,0.4,0,0,DISABLED,0
0.379996,0.0351875,0.0287178,0,0.0046277,0.731516,0.00587969,-0.015411,-0.00675366,-0.999858,-9.7882e-06,0.4,0,0,DISABLED,0
0.399996,0.0396761,0.0321582,0,0.00566035,0.730309,0.00824316,-0.0143784,-0.00912298,-0.999855,0.00207876,0.4,0,0,DISABLED,0
0.419996,0.0429551,0.0341058,0,0.00551204,0.730037,0.0136064,-0.0145267,-0.0155729,-0.999773,0.00183866,0.4,0,0,DISABLED,0
0.439996,0.0495346,0.0385185,0,0.0051216,0.730379,0.0132108,-0.0149171,-0.0153134,-0.999771,0.00505123,0.4,0,0,DISABLED,0
0.459996,0.0552054,0.0411753,0,0.000716807,0.730978,0.00195313,-0.0193219,-0.00496472,-0.999801,0.0131642,0.4,0,0,DISABLED,0
0.479996,0.0607547,0.0433899,0,-0.00296763,0.731442,0.00588982,-0.0230063,0.00195694,-0.999733,0.0170453,0.4,0,0,DISABLED,0
0.499996,0.065322,0.0452648,0,-0.00290938,0.731715,0.00810461,-0.0229481,0.00443769,-0.999727,0.0189573,0.4,0,0,DISABLED,0
0.519996,0.0703191,0.0472657,0,-0.00174617,0.731964,0.0100721,-0.0217849,0.00678725,-0.99974,0.0207144,0.4,0,0,DISABLED,0
0.539996,0.075591,0.0489184,0,-0.00138329,0.732179,0.0124249,-0.021422,0.00921685,-0.999728,0.0222432,0.4,0,0,DISABLED,0
0.559996,0.0812002,0.0501107,0,-0.00187655,0.732324,0.0154062,-0.0219153,0.0121607,-0.999686,0.0241671,0.4,0,0,DISABLED,0
0.579996,0.087657,0.0509805,0,-0.00225385,0.732338,0.0177034,-0.0222926,0.0144287,-0.999647,0.0250109,0.4,0,0,DISABLED,0
0.599996,0.0931126,0.0513522,0,-0.00207455,0.732197,0.0193537,-0.0221133,0.0161106,-0.999626,0.0254833,0.4,0,0,DISABLED,0
0.619996,0.100012,0.0514021,0,-0.00112799,0.731845,0.0201416,-0.0211667,0.0169752,-0.999632,0.0261089,0.4,0,0,DISABLED,0
0.639996,0.106456,0.0510911,0,0.00091986,0.731328,0.0205459,-0.0191189,0.0173949,-0.999666,0.0275879,0.4,0,0,DISABLED,0
0.659996,0.113255,0.0507783,0,0.00286303,0.730716,0.0214181,-0.0171757,0.0180944,-0.999689,0.0270384,0.4,0,0,DISABLED,0
0.679996,0.119424,0.0505084,0,0.0046624,0.730048,0.0215844,-0.0153763,0.0179442,-0.999721,0.0257177,0.4,0,0,DISABLED,0
0.699996,0.126288,0.0499218,0,0.00578572,0.729105,0.0183936,-0.014253,0.0143306,-0.999796,0.0244025,0.4,0,0,DISABLED,0
0.719995,0.133911,0.0495949,0,0.00405154,0.729056,0.020627,-0.0159872,0.0170952,-0.999726,0.0209513,0.4,0,0,DISABLED,0
0.739995,0.140028,0.0490438,0,0.00160658,0.729687,0.0216946,-0.0184321,0.0185038,-0.999659,0.0159486,0.4,0,0,DISABLED,0
0.759995,0.145486,0.0481755,0,-0.000803731,0.730167,0.0200318,-0.0208424,0.0168833,-0.99964,0.0121163,0.4,0,0,DISABLED,0
0.779995,0.154108,0.0467521,0,-0.00451973,0.730991,0.0142609,-0.0245584,0.0103916,-0.999644,0.00636438,0.4,0,0,DISABLED,0
0.799995,0.161215,0.0459525,0,-0.00513503,0.731387,0.0100366,-0.0251737,0.00548948,-0.999668,0.00333975,0.4,0,0,DISABLED,0
0.819995,0.168435,0.0457567,0,-0.00508634,0.731414,0.00849949,-0.025125,0.00367629,-0.999678,0.0023182,0.4,0,0,DISABLED,0
0.839995,0.175931,0.0460569,0,-0.00562473,0.731295,0.00741321,-0.0256634,0.0016968,-0.999669,0.000618416,0.4,0,0,DISABLED,0
0.859995,0.184327,0.0466826,0,-0.00631314,0.731178,0.00646859,-0.0263519,-0.00173444,-0.999651,-0.000638522,0.4,0,0,DISABLED,0
0.879995,0.191928,0.0473758,0,-0.00611402,0.731105,0.00657823,-0.0261527,-0.00554821,-0.999643,-0.000610149,0.4,0,0,DISABLED,0
0.899995,0.198694,0.0481494,0,-0.00488695,0.731074,0.00734861,-0.0249257,-0.0086192,-0.999652,0.000484619,0.4,0,0,DISABLED,0
0.919995,0.206124,0.0492875,0,-0.00222305,0.731039,0.00877552,-0.0222618,-0.0116202,-0.999685,0.000905069,0.4,0,0,DISABLED,0
