t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732802,0,-0.0200395,-0.00314217,-0.999794,0,0.4,0,0,DISABLED,0
0.0399961,1.68663e-05,4.14439e-08,0,-6.44475e-06,0.732799,0,-0.020046,-0.00314689,-0.999794,3.14205e-06,0.4,0,0,DISABLED,0
0.0599961,9.96143e-05,1.04634e-06,0,-0.000139698,0.732785,0,-0.0201792,-0.00315771,-0.999791,1.02703e-05,0.4,0,0,DISABLED,0
0.0799961,0.000448495,-2.06591e-05,0,-0.000978427,0.732758,0.000976562,-0.021018,-0.00325816,-0.999774,1.17543e-05,0.4,0,0,DISABLED,0
0.0999961,0.00108585,-6.1919e-05,0,-0.00231873,0.732744,0.00231612,-0.0223583,-0.00333938,-0.999744,-1.71717e-05,0.4,0,0,DISABLED,0
0.119996,0.00184321,6.55665e-05,0,-0.00270201,0.732765,0.00274047,-0.0227415,-0.00277661,-0.999738,-5.08509e-05,0.4,0,0,DISABLED,0
0.139996,0.0027353,0.000721554,0,-0.00200091,0.732817,0.00440808,-0.0220404,0.000775884,-0.999757,-0.000104198,0.4,0,0,DISABLED,0
0.159996,0.00394853,0.00175125,0,-0.00152655,0.732834,0.00741321,-0.0215661,0.00411559,-0.999759,-0.0014257,0.4,0,0,DISABLED,0
0.179996,0.0056011,0.0029603,0,-0.0022209,0.732929,0.00728343,-0.0222604,0.00379155,-0.999745,-0.00282559,0.4,0,0,DISABLED,0
0.199996,0.00752398,0.00449617,0,-0.00322847,0.733028,0.0057464,-0.023268,0.00161693,-0.999728,-0.00353005,0.4,0,0,DISABLED,0
0.219996,0.00959315,0.00637698,0,-0.00378743,0.733049,0.00460644,-0.023827,-0.000524254,-0.999716,-0.00366053,0.4,0,0,DISABLED,0
0.239996,0.0118537,0.0085351,0,-0.00394152,0.733048,0.00401164,-0.023981,-0.00235137,-0.99971,-0.00339034,0.4,0,0,DISABLED,0
0.259996,0.0143499,0.0109008,0,-0.00376924,0.733069,0.0038602,-0.0238088,-0.00398135,-0.999709,-0.00271253,0.4,0,0,DISABLED,0
0.279996,0.0171335,0.0134553,0,-0.00329238,0.733084,0.00442158,-0.0233319,-0.00608306,-0.999709,-0.00197823,0.4,0,0,DISABLED,0
0.299996,0.0202123,0.0161831,0,-0.00252504,0.733059,0.0053711,-0.0225646,-0.00787163,-0.999714,-0.00148288,0.4,0,0,DISABLED,0
0.319996,0.0239764,0.0194123,0,-0.00192748,0.732953,0.0059201,-0.021967,-0.00874034,-0.999721,-0.00132635,0.4,0,0,DISABLED,0
0.339996,0.0269388,0.0219299,0,-3.06256e-05,0.73279,0.00657823,-0.0200701,-0.0097201,-0.999751,-0.00119988,0.4,0,0,DISABLED,0
0.359996,0.0312542,0.0256326,0,0.00195434,0.732297,0.00620522,-0.0180852,-0.00903642,-0.999796,-0.000851926,0.4,0,0,DISABLED,0
0.379996,0.0354479,0.0292267,0,0.00397816,0.731288,0.0050153,-0.0160614,-0.00618947,-0.999852,0.000941039,0.4,0,0,DISABLED,0
0.399996,0.0399541,0.0325103,0,0.00462053,0.730241,0.00845025,-0.015419,-0.010214,-0.999829,0.00206035,0.4,0,0,DISABLED,0
0.419996,0.044515,0.0354612,0,0.00461865,0.730077,0.0160653,-0.0154209,-0.0185271,-0.999709,0.00185313,0.4,0,0,DISABLED,0
0.439996,0.0492196,0.0387227,0,0.0040004,0.730376,0.0131111,-0.0160391,-0.015625,-0.999749,0.00511954,0.4,0,0,DISABLED,0
0.459996,0.0545032,0.0415085,0,0.000922006,0.730887,0.00460644,-0.0191175,-0.00765736,-0.999788,0.00999113,0.4,0,0,DISABLED,0
0.479996,0.0598597,0.0437065,0,-0.00173227,0.731287,0.00189111,-0.0217718,-0.00234668,-0.99976,0.0140221,0.4,0,0,DISABLED,0
0.499996,0.06493,0.0455994,0,-0.00211466,0.731521,0.00417188,-0.0221542,0.000455636,-0.999754,0.0168173,0.4,0,0,DISABLED,0
0.519996,0.0699241,0.0472567,0,-0.00155586,0.731695,0.00602984,-0.0215954,0.00268625,-0.999763,0.0181308,0.4,0,0,DISABLED,0
0.539996,0.0751891,0.0484963,0,-0.00165383,0.731858,0.0086455,-0.0216934,0.00534644,-0.99975,0.0194464,0.4,0,0,DISABLED,0
0.559996,0.0807715,0.0492617,0,-0.00230821,0.731961,0.0115343,-0.0223477,0.00815806,-0.999717,0.0205007,0.4,0,0,DISABLED,0
0.579996,0.0865666,0.0496194,0,-0.00262831,0.731937,0.0139011,-0.0226678,0.0105074,-0.999688,0.0211312,0.4,0,0,DISABLED,0
0.599996,0.0925535,0.0495961,0,-0.00228561,0.731753,0.015125,-0.0223251,0.0118072,-0.999681,0.0214098,0.4,0,0,DISABLED,0
0.619996,0.0981241,0.0493042,0,-0.00131569,0.731468,0.0156061,-0.0213552,0.0124094,-0.999695,0.0215531,0.4,0,0,DISABLED,0
0.639996,0.103865,0.0488103,0,0.000505108,0.731091,0.016374,-0.0195344,0.0132235,-0.999722,0.0220616,0.4,0,0,DISABLED,0
0.659996,0.110566,0.0482862,0,0.00192608,0.730622,0.0174388,-0.0181134,0.0141892,-0.999735,0.0210923,0.4,0,0,DISABLED,0
0.679996,0.118553,0.047521,0,0.00512386,0.729775,0.0175987,-0.0149157,0.0136938,-0.999795,0.0204469,0.4,0,0,DISABLED,0
0.699996,0.125291,0.0465423,0,0.00667324,0.728816,0.0154603,-0.0133663,0.0108029,-0.999852,0.0196025,0.4,0,0,DISABLED,0
0.719995,0.130087,0.0460448,0,0.00581414,0.728719,0.0169148,-0.0142254,0.0127422,-0.999818,0.0176593,0.4,0,0,DISABLED,0
0.739995,0.138912,0.0449388,0,0.00197072,0.729603,0.01914,-0.0180688,0.015895,-0.99971,0.00821637,0.4,0,0,DISABLED,0
0.759995,0.145898,0.0435895,0,-0.00236561,0.73023,0.0161983,-0.0224051,0.012881,-0.999666,0.00070277,0.4,0,0,DISABLED,0
0.779995,0.151536,0.0423422,0,-0.00512378,0.730761,0.01253,-0.0251633,0.0082868,-0.999649,-0.0020115,0.4,0,0,DISABLED,0
0.799995,0.158493,0.0410779,0,-0.00580225,0.731174,0.0092129,-0.0258418,0.00400813,-0.999658,-0.00450086,0.4,0,0,DISABLED,0
0.819995,0.166967,0.0404103,0,-0.00565625,0.73121,0.00747726,-0.0256958,0.00174838,-0.999668,-0.00671606,0.4,0,0,DISABLED,0
0.839995,0.174293,0.0404628,0,-0.00601043,0.731072,0.00676584,-0.02605,-2.97071e-05,-0.999661,-0.00798161,0.4,0,0,DISABLED,0
0.859995,0.181753,0.0408226,0,-0.00650435,0.730949,0.0065145,-0.0265439,-0.00285271,-0.999644,-0.0081673,0.4,0,0,DISABLED,0
0.879995,0.18921,0.0413823,0,-0.00633703,0.730874,0.00704211,-0.0263766,-0.00619905,-0.999633,-0.00773299,0.4,0,0,DISABLED,0
0.899995,0.196639,0.0422082,0,-0.00508885,0.730807,0.0079786,-0.0251284,-0.0092838,-0.999641,-0.00779083,0.4,0,0,DISABLED,0
0.919995,0.203993,0.0433489,0,-0.00249632,0.730722,0.00860404,-0.0225358,-0.0113717,-0.999681,-0.0073782,0.4,0,0,DISABLED,0
0.939995,0.211302,0.044833,0,0.00128517,0.730558,0.00975956,-0.0187544,-0.0128178,-0.999742,-0.00766987,0.4,0,0,DISABLED,0
0.959995,0.218584,0.0465861,0,0.00579866,0.730214,0.0120498,-0.0142409,-0.013708,-0.999805,-0.00841585,0.4,0,0,DISABLED,0
0.979995,0.225791,0.048593,0,0.0103512,0.72965,0.0141097,-0.00968833,-0.0127258,-0.999872,-0.00898291,0.4,0,0,DISABLED,0
0.999995,0.232987,0.0509396,0,0.0135085,0.728738,0.0142568,-0.00653103,-0.0076925,-0.999949,-0.00751291,0.4,0,0,DISABLED,0
1.02,0.240453,0.0527725,0,0.0128574,0.728413,0.015348,-0.00718213,-0.0115206,-0.999908,-0.00584229,0.4,0,0,DISABLED,0
1.04,0.248034,0.0546143,0,0.00996501,0.728965,0.0166448,-0.0100745,-0.0164782,-0.999813,-0.00312833,0.4,0,0,DISABLED,0
1.06,0.254751,0.0565953,0,0.00733526,0.729406,0.012212,-0.0127043,-0.0129078,-0.999836,0.000578316,0.4,0,0,DISABLED,0
1.08,0.262956,0.0588071,0,0.00417171,0.729929,0.00417188,-0.0158678,-0.00322362,-0.999869,0.00515682,0.4,0,0,DISABLED,0
1.1,0.270112,0.06025,0,0.00335108,0.730185,0.00506261,-0.0166884,0.000636618,-0.999861,0.00809437,0.4,0,0,DISABLED,0
1.12,0.277172,0.0614315,0,0.00358148,0.730282,0.00642235,-0.016458,0.00217898,-0.999862,0.0113677,0.4,0,0,DISABLED,0
1.14,0.284323,0.0623994,0,0.00369222,0.730308,0.00817053,-0.0163473,0.00414388,-0.999858,0.0146699,0.4,0,0,DISABLED,0
1.16,0.291511,0.0630091,0,0.00366613,0.730337,0.0101194,-0.0163734,0.00629348,-0.999846,0.0152623,0.4,0,0,DISABLED,0
1.18,0.298708,0.0631905,0,0.00381383,0.730335,0.0119655,-0.0162257,0.00819938,-0.999835,0.0153054,0.4,0,0,DISABLED,0
1.2,0.30582,0.0629367,0,0.00468449,0.730259,0.0134522,-0.015355,0.00946842,-0.999837,0.0143468,0.4,0,0,DISABLED,0
1.22,0.312849,0.0622153,0,0.00636586,0.730077,0.0148185,-0.0136737,0.0102408,-0.999854,0.0139312,0.4,0,0,DISABLED,0
1.24,0.319825,0.0611253,0,0.00847531,0.729776,0.0166877,-0.0115642,0.0112322,-0.99987,0.0140826,0.4,0,0,DISABLED,0
1.25999,0.326653,0.0596747,0,0.0110624,0.72936,0.0183254,-0.00897714,0.0114654,-0.999894,0.0153158,0.4,0,0,DISABLED,0
1.27999,0.333597,0.0579269,0,0.012229,0.729132,0.0172532,-0.00781056,0.00902748,-0.999929,0.0160992,0.4,0,0,DISABLED,0
1.29999,0.340679,0.0560115,0,0.0112472,0.728936,0.0128911,-0.0087923,0.00315197,-0.999956,0.0147396,0.4,0,0,DISABLED,0
1.31999,0.347925,0.0547206,0,0.00747725,0.729466,0.0103235,-0.0125623,0.00397611,-0.999913,0.011478,0.4,0,0,DISABLED,0
