time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,-1.80971e-05,-8.12197e-07,0.733651,-0.00908033,-0.000406166,-0.000974783,0.0837007,0.000648996,-0.0436995,1,121.04,0.300246,0.0841379,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,112.681,0.30029,0.106005,nan,nan,nan
0.01,-5.4573e-05,-2.4638e-06,0.73353,-0.0182379,-0.000825802,-0.000974936,0.0837369,0.00056361,-0.0426841,1,126.622,0.300481,0.11762,nan,nan,nan,-0.000974408,-0.0837326,0.000564883,-0.042048,1,118.168,0.300612,0.161015,nan,nan,nan
0.012,-0.00010711,-5.01821e-06,0.733409,-0.0262683,-0.0012772,-0.000976479,0.0838068,0.00047883,-0.0423729,1,138.826,0.30078,0.14912,nan,nan,nan,-0.000974748,-0.0837936,0.000482575,-0.0411386,1,128.461,0.301027,0.207515,nan,nan,nan
0.014,-0.000173315,-8.35181e-06,0.733288,-0.0331027,-0.0016668,-0.000983018,0.0838995,0.000396614,-0.0410848,1,140.109,0.301095,0.157732,nan,nan,nan,-0.000978493,-0.0838736,0.000403413,-0.0395606,1,130.08,0.301488,0.230516,nan,nan,nan
0.016,-0.000250928,-1.23624e-05,0.733167,-0.0388065,-0.00200528,-0.000992701,0.0840098,0.000314833,-0.0408627,1,141.795,0.30139,0.147437,nan,nan,nan,-0.000984328,-0.0839672,0.000325403,-0.0389802,1,131.763,0.301956,0.233758,nan,nan,nan
0.018,-0.000338071,-1.69791e-05,0.733047,-0.0435715,-0.00230837,-0.00100449,0.0841324,0.000232229,-0.0412713,1,143.227,0.301637,0.123284,nan,nan,nan,-0.000991488,-0.0840698,0.000247274,-0.0390365,1,133.154,0.302399,0.221784,nan,nan,nan
0.02,-0.000433371,-2.19114e-05,0.732929,-0.0476501,-0.00246615,-0.00101771,0.0842629,0.000148009,-0.0420765,1,143.309,0.301831,0.0973176,nan,nan,nan,-0.000999448,-0.0841775,0.000168151,-0.0395314,1,134.274,0.302798,0.199202,nan,nan,nan
0.022,-0.000537179,-2.74466e-05,0.732828,-0.0519036,-0.0027676,-0.00103467,0.0844014,6.139e-05,-0.0432747,1,212.469,0.302112,0.140375,nan,nan,nan,-0.0010078,-0.0842869,8.74371e-05,-0.0403254,1,192.843,0.303271,0.236507,nan,nan,nan
0.024,-0.000650189,-4.16893e-05,0.732754,-0.056505,-0.00712135,-0.00105533,0.0845208,-1.19045e-05,-0.0366182,1,280.18,0.302625,0.256397,nan,nan,nan,-0.00101787,-0.0843786,1.90158e-05,-0.0341799,1,188.639,0.303785,0.257161,nan,nan,nan
0.026,-0.00077056,-5.52413e-05,0.73271,-0.0601855,-0.00677603,-0.00107103,0.0846004,-5.96258e-05,-0.0238332,1,252.114,0.303276,0.325824,nan,nan,nan,-0.00102779,-0.0844557,-3.90974e-05,-0.0290239,1,242.419,0.304447,0.331217,nan,nan,nan
0.028,-0.000891641,-6.80524e-05,0.732685,-0.0605409,-0.00640552,-0.0010819,0.0846522,-8.82716e-05,-0.0142901,1,217.618,0.30403,0.376893,nan,nan,nan,-0.00103514,-0.084506,-7.54912e-05,-0.0181604,1,212.76,0.305213,0.382891,nan,nan,nan
0.03,-0.00101077,-8.04014e-05,0.732675,-0.0595637,-0.00617453,-0.00108972,0.0846869,-0.000103607,-0.00762991,1,198.766,0.304823,0.396288,nan,nan,nan,-0.00104056,-0.0845394,-9.61192e-05,-0.0102737,1,192.506,0.306015,0.400892,nan,nan,nan
0.032,-0.00112616,-9.25826e-05,0.732675,-0.057694,-0.00609059,-0.00109535,0.0847108,-0.000109844,-0.00307864,1,185.94,0.305608,0.392788,nan,nan,nan,-0.00104456,-0.0845624,-0.000105806,-0.0048022,1,178.402,0.306804,0.394569,nan,nan,nan
0.034,-0.00123666,-0.000104819,0.732682,-0.0552521,-0.006118,-0.00109939,0.0847282,-0.000109892,1.49842e-05,1,177.3,0.306357,0.37439,nan,nan,nan,-0.00104747,-0.0845791,-0.00010793,-0.00102188,1,168.797,0.307549,0.372648,nan,nan,nan
0.036,-0.00134163,-0.000117258,0.732695,-0.052483,-0.00621961,-0.00110231,0.0847417,-0.000105654,0.00215463,1,170.89,0.30705,0.346266,nan,nan,nan,-0.00104956,-0.0845921,-0.000104716,0.00164269,1,161.679,0.308231,0.340871,nan,nan,nan
0.038,-0.00144092,-0.000130008,0.732712,-0.0496485,-0.00637502,-0.00110443,0.0847528,-9.85035e-05,0.00360722,1,165.67,0.307673,0.311875,nan,nan,nan,-0.00105102,-0.084603,-9.77649e-05,0.00350704,1,157.576,0.308841,0.30517,nan,nan,nan
0.04,-0.00153467,-0.000143136,0.732733,-0.0468754,-0.00656421,-0.00110596,0.0847626,-8.9416e-05,0.00457097,1,162.065,0.308223,0.274561,nan,nan,nan,-0.00105203,-0.084613,-8.80378e-05,0.00489019,1,154.574,0.309378,0.268378,nan,nan,nan
0.042,-0.00162337,-0.000156698,0.732758,-0.0443474,-0.00678065,-0.00110706,0.0847717,-7.90247e-05,0.00521844,1,159.564,0.308697,0.237192,nan,nan,nan,-0.00105281,-0.0846229,-7.61712e-05,0.00595548,1,152.016,0.309842,0.232118,nan,nan,nan
0.044,-0.00170737,-0.000170735,0.732784,-0.0420024,-0.00701855,-0.00110788,0.0847807,-6.77323e-05,0.00566504,1,157.722,0.309099,0.200943,nan,nan,nan,-0.00105355,-0.0846333,-6.26303e-05,0.00678878,1,149.775,0.310236,0.196765,nan,nan,nan
0.046,-0.00178701,-0.000185271,0.732813,-0.0398192,-0.00726816,-0.00110858,0.0847899,-5.58237e-05,0.00596974,1,156.158,0.309431,0.166261,nan,nan,nan,-0.00105433,-0.0846444,-4.77941e-05,0.00743309,1,147.816,0.310561,0.162654,nan,nan,nan
0.048,-0.0018613,-0.000197714,0.732842,-0.0371428,-0.00622165,-0.00110926,0.0847995,-4.35224e-05,0.00616324,1,148.493,0.309701,0.134632,nan,nan,nan,-0.00105524,-0.0846564,-3.19776e-05,0.00792048,1,144.773,0.310823,0.131013,nan,nan,nan
0.05,-0.00193074,-0.000208082,0.732871,-0.0347197,-0.00518403,-0.00111004,0.0848092,-3.14144e-05,0.0060637,1,147.192,0.309915,0.107338,nan,nan,nan,-0.00105656,-0.0846691,-1.55858e-05,0.00820592,1,143.726,0.311032,0.104401,nan,nan,nan
0.052,-0.00199597,-0.000216685,0.7329,-0.0326163,-0.00430141,-0.00111095,0.0848191,-1.95755e-05,0.00592706,1,146.176,0.310086,0.085339,nan,nan,nan,-0.00105832,-0.0846825,1.28989e-06,0.00844626,1,142.404,0.311198,0.0827826,nan,nan,nan
0.054,-0.00205754,-0.000223974,0.732928,-0.0307866,-0.00364429,-0.001112,0.0848294,-7.98457e-06,0.00580142,1,145.212,0.310221,0.0676761,nan,nan,nan,-0.00106051,-0.0846968,1.84443e-05,0.00858444,1,140.308,0.311328,0.0650442,nan,nan,nan
0.056,-0.00211623,-0.000230173,0.732955,-0.0293417,-0.00309981,-0.00111321,0.0848402,3.35991e-06,0.00567705,1,144.561,0.310329,0.0536348,nan,nan,nan,-0.00106334,-0.084713,3.54999e-05,0.00853396,1,139.616,0.311429,0.0508468,nan,nan,nan
0.058,-0.00217243,-0.000235467,0.732981,-0.0281004,-0.00264701,-0.00111455,0.0848515,1.44429e-05,0.00554549,1,143.937,0.310413,0.042379,nan,nan,nan,-0.00106667,-0.0847307,5.23218e-05,0.00841635,1,139.012,0.311508,0.0393617,nan,nan,nan
0.06,-0.00222642,-0.000240364,0.733006,-0.0269947,-0.00244842,-0.00111602,0.0848632,2.5262e-05,0.00541291,1,142.506,0.31048,0.0331884,nan,nan,nan,-0.00107037,-0.0847494,6.885e-05,0.00826886,1,133.833,0.311565,0.028328,nan,nan,nan
0.062,-0.0022788,-0.000244825,0.733028,-0.0261901,-0.00223021,-0.00111778,0.0848761,3.57093e-05,0.0052265,1,142.368,0.310532,0.0259714,nan,nan,nan,-0.00107601,-0.084776,8.41104e-05,0.0076341,1,134.111,0.311607,0.0213064,nan,nan,nan
0.064,-0.00233009,-0.000248829,0.733049,-0.0256477,-0.00200214,-0.00111976,0.0848899,4.57424e-05,0.00501897,1,142.228,0.310572,0.0203129,nan,nan,nan,-0.00108327,-0.0848088,9.83249e-05,0.00711063,1,134.709,0.31164,0.0163279,nan,nan,nan
0.066,-0.00238081,-0.000252171,0.733069,-0.0253568,-0.00167083,-0.0011219,0.0849042,5.53451e-05,0.00480355,1,138.569,0.310605,0.0161727,nan,nan,nan,-0.00109169,-0.0848459,0.000111652,0.00666664,1,134.922,0.311665,0.0124533,nan,nan,nan
0.068,-0.00243204,-0.000255238,0.733084,-0.0256147,-0.00153376,-0.0011253,0.084924,6.39009e-05,0.00427979,1,133.056,0.310625,0.0101723,nan,nan,nan,-0.00110124,-0.0848861,0.000124069,0.00621111,1,128.844,0.311682,0.00855081,nan,nan,nan
0.07,-0.00248404,-0.000258091,0.733097,-0.0260044,-0.00142646,-0.00112904,0.0849445,7.07627e-05,0.00343271,1,134.329,0.310637,0.00585246,nan,nan,nan,-0.00111093,-0.0849265,0.000134593,0.00526465,1,130.225,0.311693,0.00567532,nan,nan,nan
0.072,-0.00253704,-0.000260727,0.733107,-0.0264951,-0.00131781,-0.00113294,0.0849653,7.61355e-05,0.00268808,1,135.229,0.310643,0.00296388,nan,nan,nan,-0.00112054,-0.0849665,0.000143336,0.00437377,1,131.286,0.311701,0.00356308,nan,nan,nan
0.074,-0.00259115,-0.000263139,0.733115,-0.0270585,-0.00120626,-0.00113692,0.0849861,8.01038e-05,0.00198578,1,135.936,0.310645,0.00113919,nan,nan,nan,-0.00112996,-0.0850058,0.000150358,0.00351321,1,132.129,0.311704,0.00191701,nan,nan,nan
0.076,-0.00264649,-0.000265329,0.733121,-0.0276694,-0.00109493,-0.00114094,0.0850067,8.27717e-05,0.00133547,1,136.725,0.310645,-0.000109493,nan,nan,nan,-0.00113914,-0.0850444,0.000155758,0.00270225,1,133.033,0.311706,0.000656251,nan,nan,nan
0.078,-0.00270299,-0.000267335,0.733125,-0.0282519,-0.00100286,-0.00114493,0.0850272,8.424e-05,0.00073557,1,137.51,0.310643,-0.00107634,nan,nan,nan,-0.00114802,-0.0850819,0.000159649,0.0019473,1,133.881,0.311705,-0.000341195,nan,nan,nan
0.08,-0.00276056,-0.000269207,0.733127,-0.0287837,-0.000935955,-0.00114888,0.0850474,8.46281e-05,0.000195443,1,138.445,0.310639,-0.00178821,nan,nan,nan,-0.00115656,-0.0851184,0.000162176,0.00126539,1,134.273,0.311703,-0.00115682,nan,nan,nan
0.082,-0.00281915,-0.000270989,0.733128,-0.0292954,-0.00089093,-0.00115278,0.0850673,8.40627e-05,-0.000281379,1,139.347,0.310634,-0.00227145,nan,nan,nan,-0.00116479,-0.0851539,0.000163445,0.000636246,1,135.284,0.311699,-0.00177001,nan,nan,nan
0.084,-0.0028787,-0.000272738,0.733127,-0.0297719,-0.000874611,-0.00115659,0.0850867,8.2721e-05,-0.000669557,1,140.175,0.310629,-0.002546,nan,nan,nan,-0.00117261,-0.0851882,0.000163685,0.000121233,1,135.532,0.311695,-0.00226762,nan,nan,nan
0.086,-0.00293913,-0.000274469,0.733126,-0.0302188,-0.000865617,-0.00116036,0.0851057,8.07134e-05,-0.00100252,1,140.838,0.310624,-0.00269297,nan,nan,nan,-0.00118007,-0.0852213,0.000162984,-0.00034927,1,136.06,0.311689,-0.00262311,nan,nan,nan
0.088,-0.00300041,-0.000276187,0.733123,-0.0306381,-0.000859224,-0.00116408,0.0851243,7.81542e-05,-0.00127828,1,141.411,0.310618,-0.0027391,nan,nan,nan,-0.0011872,-0.0852534,0.000161488,-0.000746179,1,136.594,0.311684,-0.00285304,nan,nan,nan
0.09,-0.00306035,-0.000278648,0.73312,-0.029971,-0.00123033,-0.00116775,0.0851424,7.51481e-05,-0.00150173,1,152.401,0.310614,-0.00242202,nan,nan,nan,-0.00119403,-0.0852845,0.000159342,-0.00107188,1,128.594,0.311615,-0.0345529,nan,nan,nan
0.092,-0.00311904,-0.000281621,0.733116,-0.0293413,-0.00148648,-0.00117091,0.0851569,7.27293e-05,-0.00120812,1,151.619,0.310609,-0.00236945,nan,nan,nan,-0.0011996,-0.0853125,0.000155316,-0.00201152,1,129.841,0.311489,-0.0628643,nan,nan,nan
