t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732801,0,-0.0200307,-0.00310299,-0.999795,0,0.4,0,0,DISABLED,0
0.0399961,2.36668e-05,6.47269e-08,0,-7.67969e-06,0.732796,0,-0.0200384,-0.0031076,-0.999794,3.20142e-06,0.4,0,0,DISABLED,0
0.0599961,0.000105539,9.11299e-07,0,-0.000168471,0.732783,0.000345267,-0.0201992,-0.00311861,-0.999791,1.20926e-05,0.4,0,0,DISABLED,0
0.0799961,0.000389101,-1.08751e-05,0,-0.000770437,0.732757,0.00077204,-0.0208011,-0.00318242,-0.999779,1.62115e-05,0.4,0,0,DISABLED,0
0.0999961,0.00104097,-7.30692e-05,0,-0.00228633,0.732732,0.00229024,-0.022317,-0.00333781,-0.999745,-4.5991e-06,0.4,0,0,DISABLED,0
0.119996,0.00179707,4.93587e-05,0,-0.00265416,0.732753,0.00267443,-0.0226848,-0.00275024,-0.999739,-2.53917e-05,0.4,0,0,DISABLED,0
0.139996,0.00268086,0.000699647,0,-0.00209537,0.732807,0.00392148,-0.0221261,0.000199946,-0.999755,-0.00010302,0.4,0,0,DISABLED,0
0.159996,0.00387823,0.00174814,0,-0.0015779,0.732825,0.00732424,-0.0216086,0.00404845,-0.999758,-0.00151237,0.4,0,0,DISABLED,0
0.179996,0.00571208,0.00313496,0,-0.00206916,0.732928,0.00750114,-0.0220998,0.00410275,-0.999747,-0.00273078,0.4,0,0,DISABLED,0
0.199996,0.00746296,0.00455351,0,-0.00354781,0.733018,0.00571519,-0.0235785,0.00137507,-0.999721,-0.00396149,0.4,0,0,DISABLED,0
0.219996,0.00955439,0.00644949,0,-0.00410483,0.733042,0.0048214,-0.0241355,-0.000577759,-0.999709,-0.00400678,0.4,0,0,DISABLED,0
0.239996,0.0117885,0.00861464,0,-0.0041735,0.733042,0.00424271,-0.0242042,-0.00242678,-0.999704,-0.00362249,0.4,0,0,DISABLED,0
0.259996,0.0142624,0.0109897,0,-0.00392672,0.73307,0.00409982,-0.0239574,-0.00426703,-0.999704,-0.00291858,0.4,0,0,DISABLED,0
0.279996,0.0170212,0.0135509,0,-0.00344642,0.733094,0.00459348,-0.0234771,-0.00612142,-0.999706,-0.00214265,0.4,0,0,DISABLED,0
0.299996,0.0200728,0.0162766,0,-0.00264965,0.733079,0.00547006,-0.0226803,-0.00787976,-0.999712,-0.00151537,0.4,0,0,DISABLED,0
0.319996,0.0238158,0.0195058,0,-0.00167515,0.732984,0.00637577,-0.0217058,-0.00925112,-0.999722,-0.00120552,0.4,0,0,DISABLED,0
0.339996,0.0271394,0.0223621,0,-0.000243913,0.732796,0.00665032,-0.0202746,-0.00974831,-0.999747,-0.00116457,0.4,0,0,DISABLED,0
0.359996,0.0306801,0.0253767,0,0.00101745,0.732405,0.00645937,-0.0190132,-0.00947856,-0.999774,-0.00107629,0.4,0,0,DISABLED,0
0.379996,0.0356094,0.0296643,0,0.00338096,0.731198,0.00502717,-0.0166497,-0.00681899,-0.999838,0.000885287,0.4,0,0,DISABLED,0
0.399996,0.0396592,0.032559,0,0.00456555,0.730308,0.00825761,-0.0154651,-0.00998365,-0.999831,0.00264703,0.4,0,0,DISABLED,0
0.419996,0.0441793,0.0355238,0,0.00473119,0.730163,0.0156937,-0.0152995,-0.0180666,-0.99972,0.00262865,0.4,0,0,DISABLED,0
0.439996,0.0488599,0.0388778,0,0.00427575,0.730507,0.0133097,-0.0157549,-0.0157076,-0.999753,0.00667336,0.4,0,0,DISABLED,0
0.459996,0.0540076,0.0419275,0,0.0017668,0.731046,0.00487059,-0.0182639,-0.00764801,-0.999804,0.0105424,0.4,0,0,DISABLED,0
0.479996,0.0593343,0.044372,0,-0.000904543,0.731505,0.00179406,-0.0209352,-0.0015196,-0.99978,0.0145754,0.4,0,0,DISABLED,0
0.499996,0.0644046,0.0464257,0,-0.00151288,0.731789,0.00503901,-0.0215436,0.00169963,-0.999766,0.0175344,0.4,0,0,DISABLED,0
0.519996,0.0693611,0.0482318,0,-0.0010186,0.731995,0.00744531,-0.0210493,0.00427464,-0.999769,0.0192305,0.4,0,0,DISABLED,0
0.539996,0.0745267,0.049627,0,-0.000993783,0.732159,0.0100958,-0.0210245,0.00693983,-0.999755,0.0203634,0.4,0,0,DISABLED,0
0.559996,0.0800007,0.0505155,0,-0.00157464,0.732245,0.0127516,-0.0216053,0.0095502,-0.999721,0.021395,0.4,0,0,DISABLED,0
0.579996,0.0851336,0.050943,0,-0.00200546,0.732218,0.0148305,-0.0220361,0.0115916,-0.99969,0.0220026,0.4,0,0,DISABLED,0
0.599996,0.0922548,0.0509561,0,-0.00197987,0.731926,0.016472,-0.0220106,0.0132477,-0.99967,0.0237014,0.4,0,0,DISABLED,0
0.619996,0.0984824,0.0506505,0,-0.00154675,0.73152,0.0166734,-0.0215774,0.0134993,-0.999676,0.0235991,0.4,0,0,DISABLED,0
0.639996,0.104249,0.0502098,0,-0.000118442,0.731079,0.0168583,-0.0201491,0.0137547,-0.999702,0.0233045,0.4,0,0,DISABLED,0
0.659996,0.111509,0.0495507,0,0.00193824,0.730443,0.0177067,-0.0180924,0.014496,-0.999731,0.0232367,0.4,0,0,DISABLED,0
0.679996,0.117581,0.0489816,0,0.00408141,0.729776,0.0179807,-0.0159493,0.0144087,-0.999769,0.0223214,0.4,0,0,DISABLED,0
0.699996,0.124948,0.0479894,0,0.00619923,0.728662,0.016017,-0.0138315,0.0116656,-0.999836,0.0213373,0.4,0,0,DISABLED,0
0.719995,0.131036,0.0474666,0,0.00557974,0.728596,0.0185999,-0.014451,0.0146391,-0.999788,0.0181093,0.4,0,0,DISABLED,0
0.739995,0.137036,0.0467225,0,0.00358975,0.729209,0.0203916,-0.0164409,0.016969,-0.999721,0.012707,0.4,0,0,DISABLED,0
0.759995,0.144614,0.0452409,0,-0.000554679,0.729906,0.0173874,-0.0205854,0.0142747,-0.999686,0.00576198,0.4,0,0,DISABLED,0
0.779995,0.151756,0.0437962,0,-0.00397553,0.730597,0.0124632,-0.0240062,0.00870242,-0.999674,0.0021717,0.4,0,0,DISABLED,0
0.799995,0.158799,0.0427745,0,-0.00498998,0.730966,0.00871417,-0.0250207,0.0040331,-0.999679,-5.05456e-05,0.4,0,0,DISABLED,0
0.819995,0.165947,0.0423645,0,-0.00511648,0.730998,0.00675702,-0.0251472,0.00129712,-0.999683,-0.00175553,0.4,0,0,DISABLED,0
0.839995,0.173286,0.0424325,0,-0.00534491,0.730894,0.0057464,-0.0253756,-0.00100009,-0.999677,-0.00276355,0.4,0,0,DISABLED,0
0.859995,0.180739,0.0427856,0,-0.00554734,0.73079,0.00563114,-0.025578,-0.00402764,-0.999665,-0.0029074,0.4,0,0,DISABLED,0
0.879995,0.188184,0.0433177,0,-0.00511567,0.730747,0.00663237,-0.0251464,-0.00731212,-0.999657,-0.00173132,0.4,0,0,DISABLED,0
0.899995,0.195594,0.0441193,0,-0.00353669,0.730718,0.00827203,-0.0235674,-0.0105711,-0.999666,-0.00170257,0.4,0,0,DISABLED,0
0.919995,0.202936,0.045234,0,-0.000674482,0.730648,0.00979613,-0.0207052,-0.0128774,-0.999703,-0.00154244,0.4,0,0,DISABLED,0
0.939995,0.210239,0.04668,0,0.00327485,0.730475,0.0117544,-0.0167558,-0.0143928,-0.999756,-0.00196108,0.4,0,0,DISABLED,0
0.959995,0.216062,0.0480352,0,0.0069057,0.730212,0.0138367,-0.013125,-0.0150912,-0.9998,-0.00263957,0.4,0,0,DISABLED,0
0.979995,0.224736,0.0504026,0,0.0120853,0.72961,0.0158862,-0.00794535,-0.0134102,-0.999879,-0.00318327,0.4,0,0,DISABLED,0
0.999995,0.23194,0.0527662,0,0.0148827,0.728771,0.0155563,-0.00514797,-0.0076149,-0.999958,-0.0014278,0.4,0,0,DISABLED,0
1.02,0.239456,0.0546193,0,0.0138391,0.728498,0.015811,-0.00619158,-0.0107452,-0.999923,3.25824e-05,0.4,0,0,DISABLED,0
1.04,0.246904,0.0564711,0,0.0113934,0.729023,0.0170061,-0.00863729,-0.0157265,-0.999839,0.00143459,0.4,0,0,DISABLED,0
1.06,0.254375,0.0585676,0,0.00822631,0.729495,0.0117797,-0.0118044,-0.0115275,-0.999864,0.00636471,0.4,0,0,DISABLED,0
1.08,0.261717,0.0604553,0,0.00563256,0.729923,0.0057464,-0.0143981,-0.00421449,-0.999887,0.00962189,0.4,0,0,DISABLED,0
1.1,0.268835,0.0619058,0,0.00478373,0.730151,0.00550266,-0.015247,-0.000396661,-0.999884,0.0130207,0.4,0,0,DISABLED,0
1.12,0.276602,0.063255,0,0.00480711,0.730236,0.00665032,-0.0152236,0.00148367,-0.999883,0.0162019,0.4,0,0,DISABLED,0
1.14,0.281588,0.0639437,0,0.00476912,0.730262,0.00754866,-0.0152616,0.00274928,-0.99988,0.0177584,0.4,0,0,DISABLED,0
1.16,0.290966,0.0646675,0,0.00439545,0.730284,0.0101547,-0.0156352,0.00604645,-0.999859,0.020074,0.4,0,0,DISABLED,0
1.18,0.296741,0.0647409,0,0.00432471,0.730247,0.0117645,-0.015706,0.00783909,-0.999846,0.0201473,0.4,0,0,DISABLED,0
1.2,0.304567,0.0643448,0,0.00520477,0.730109,0.0131157,-0.0148259,0.00893672,-0.99985,0.0191762,0.4,0,0,DISABLED,0
1.22,0.310206,0.0636855,0,0.00646173,0.729934,0.0141561,-0.013569,0.00949114,-0.999863,0.0189132,0.4,0,0,DISABLED,0
1.24,0.318543,0.0621716,0,0.00930205,0.729519,0.0165262,-0.0107286,0.0105529,-0.999887,0.0200965,0.4,0,0,DISABLED,0
1.25999,0.325513,0.0605717,0,0.0114112,0.729158,0.0179109,-0.00861948,0.0107005,-0.999906,0.0212256,0.4,0,0,DISABLED,0
1.27999,0.332512,0.0587018,0,0.0125744,0.728966,0.016791,-0.00745628,0.00802205,-0.99994,0.0217313,0.4,0,0,DISABLED,0
1.29999,0.339685,0.0567181,0,0.0114982,0.728852,0.0128355,-0.00853254,0.0025992,-0.99996,0.0201223,0.4,0,0,DISABLED,0
1.31999,0.346958,0.0552708,0,0.0081377,0.729476,0.0102598,-0.011893,0.00313877,-0.999924,0.0165455,0.4,0,0,DISABLED,0
1.33999,0.353892,0.0537435,0,0.00561635,0.730484,0.00871417,-0.0144143,0.00355313,-0.99989,0.0110075,0.4,0,0,DISABLED,0
1.35999,0.36083,0.0517316,0,0.00387102,0.731284,0.00535999,-0.0161597,0.000597011,-0.999869,0.00794873,0.4,0,0,DISABLED,0
1.37999,0.36792,0.0497131,0,0.00308863,0.731846,0.00312653,-0.0169421,-0.00358719,-0.99985,0.00638485,0.4,0,0,DISABLED,0
1.39999,0.375066,0.0481528,0,0.00319845,0.731955,0.0048214,-0.0168322,-0.00671089,-0.999836,0.00558959,0.4,0,0,DISABLED,0
