t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732802,0,-0.0200408,-0.00315128,-0.999794,0,0.4,0,0,DISABLED,0
0.0399961,1.94348e-05,7.40401e-08,0,-7.81193e-06,0.732798,0,-0.0200486,-0.00315654,-0.999794,2.8793e-06,0.4,0,0,DISABLED,0
0.0599961,0.000121908,1.27638e-06,0,-0.000168808,0.732781,0,-0.0202096,-0.00316842,-0.999791,1.13748e-05,0.4,0,0,DISABLED,0
0.0799961,0.000457162,-2.07429e-05,0,-0.000968447,0.732757,0.000976562,-0.0210092,-0.00326691,-0.999774,1.14847e-05,0.4,0,0,DISABLED,0
0.0999961,0.00109976,-6.15278e-05,0,-0.0023138,0.732743,0.00234172,-0.0223546,-0.00334696,-0.999744,-2.20699e-05,0.4,0,0,DISABLED,0
0.119996,0.00185974,6.48508e-05,0,-0.0026902,0.732764,0.00271864,-0.022731,-0.00279158,-0.999738,-5.96732e-05,0.4,0,0,DISABLED,0
0.139996,0.00275004,0.000700876,0,-0.00196807,0.732815,0.00422864,-0.0220088,0.000586591,-0.999758,-0.000219135,0.4,0,0,DISABLED,0
0.159996,0.00395639,0.0017099,0,-0.00146168,0.732841,0.00715129,-0.0215025,0.00385164,-0.999761,-0.00133353,0.4,0,0,DISABLED,0
0.179996,0.00562248,0.00291733,0,-0.00220455,0.732947,0.00701667,-0.0222453,0.00350996,-0.999746,-0.00285075,0.4,0,0,DISABLED,0
0.199996,0.00715174,0.00411632,0,-0.00304781,0.733037,0.0058492,-0.0230886,0.00183158,-0.999732,-0.00344209,0.4,0,0,DISABLED,0
0.219996,0.00962219,0.00634127,0,-0.00378253,0.733066,0.00451496,-0.0238233,-0.000690264,-0.999716,-0.00374037,0.4,0,0,DISABLED,0
0.239996,0.0119037,0.00850809,0,-0.00400358,0.733056,0.00407064,-0.0240443,-0.00247142,-0.999708,-0.00361781,0.4,0,0,DISABLED,0
0.259996,0.0144071,0.010874,0,-0.00380247,0.733068,0.00396682,-0.0238432,-0.0042727,-0.999707,-0.00286496,0.4,0,0,DISABLED,0
0.279996,0.0171823,0.0134192,0,-0.00330392,0.733082,0.00446184,-0.0233447,-0.00614679,-0.999709,-0.00207656,0.4,0,0,DISABLED,0
0.299996,0.0202563,0.0161314,0,-0.00252268,0.733063,0.0054263,-0.0225635,-0.0079529,-0.999714,-0.001559,0.4,0,0,DISABLED,0
0.319996,0.0236717,0.0190241,0,-0.00158627,0.732981,0.00630999,-0.021627,-0.00925699,-0.999723,-0.00112802,0.4,0,0,DISABLED,0
0.339996,0.0273382,0.0221594,0,-4.83599e-05,0.732767,0.00655099,-0.0200891,-0.00970422,-0.999751,-0.00109426,0.4,0,0,DISABLED,0
0.359996,0.0313225,0.0254479,0,0.001569,0.732302,0.00620522,-0.0184718,-0.00915865,-0.999787,-0.000517332,0.4,0,0,DISABLED,0
0.379996,0.0354495,0.0289939,0,0.00365671,0.731247,0.00469614,-0.0163841,-0.00610527,-0.999847,0.00151712,0.4,0,0,DISABLED,0
0.399996,0.0399118,0.0322435,0,0.0041697,0.730219,0.00849949,-0.0158711,-0.0105576,-0.999818,0.00226995,0.4,0,0,DISABLED,0
0.419996,0.0431334,0.0342578,0,0.00382685,0.730049,0.0150302,-0.0162139,-0.0176871,-0.999712,0.0016406,0.4,0,0,DISABLED,0
0.439996,0.0486539,0.0382292,0,0.00333495,0.730335,0.0135009,-0.0167058,-0.0162318,-0.999729,0.00542277,0.4,0,0,DISABLED,0
0.459996,0.0545071,0.0413357,0,4.05814e-05,0.730976,0.00373464,-0.0200002,-0.00688982,-0.999776,0.0107163,0.4,0,0,DISABLED,0
0.479996,0.0599284,0.0434816,0,-0.00322985,0.731462,0.00467069,-0.0232706,0.000215655,-0.999729,0.0155324,0.4,0,0,DISABLED,0
0.499996,0.0649874,0.0453358,0,-0.00334044,0.731757,0.0071346,-0.0233812,0.0031567,-0.999722,0.0186047,0.4,0,0,DISABLED,0
0.519996,0.0699337,0.0470345,0,-0.00249069,0.731972,0.00847842,-0.0225315,0.00495351,-0.999734,0.0198797,0.4,0,0,DISABLED,0
0.539996,0.0751707,0.0483667,0,-0.00217171,0.732158,0.0113729,-0.0222125,0.00801023,-0.999721,0.0215821,0.4,0,0,DISABLED,0
0.559996,0.0807512,0.0492567,0,-0.00283933,0.732279,0.0142442,-0.0228801,0.0108074,-0.99968,0.0229383,0.4,0,0,DISABLED,0
0.579996,0.0865643,0.0497486,0,-0.00336034,0.732263,0.0170202,-0.0234011,0.0135343,-0.999635,0.0245674,0.4,0,0,DISABLED,0
0.599996,0.09255,0.0499104,0,-0.00320587,0.732093,0.0183059,-0.0232466,0.0148678,-0.999619,0.0244207,0.4,0,0,DISABLED,0
0.619996,0.0987312,0.0497664,0,-0.00215418,0.7318,0.0188956,-0.022195,0.0156194,-0.999632,0.0242825,0.4,0,0,DISABLED,0
0.639996,0.105134,0.0494287,0,-0.000373589,0.7314,0.0195803,-0.0204144,0.0164246,-0.999657,0.0240891,0.4,0,0,DISABLED,0
0.659996,0.111747,0.0490359,0,0.00171415,0.730894,0.0204762,-0.0183266,0.0172513,-0.999683,0.0234242,0.4,0,0,DISABLED,0
0.679996,0.118417,0.0485374,0,0.00400778,0.730182,0.0203096,-0.016033,0.0167597,-0.999731,0.0224469,0.4,0,0,DISABLED,0
0.699996,0.125125,0.0476731,0,0.00523129,0.729199,0.0171284,-0.0148095,0.0131614,-0.999804,0.0217123,0.4,0,0,DISABLED,0
0.719995,0.131934,0.0471262,0,0.00339797,0.729084,0.0194152,-0.0166428,0.0159658,-0.999734,0.0188532,0.4,0,0,DISABLED,0
0.739995,0.138584,0.0462933,0,0.000519836,0.729666,0.0211633,-0.0195209,0.0180038,-0.999647,0.0138454,0.4,0,0,DISABLED,0
0.759995,0.145391,0.045049,0,-0.00301033,0.730244,0.0190213,-0.0230511,0.0156278,-0.999612,0.009037,0.4,0,0,DISABLED,0
0.779995,0.152444,0.0438108,0,-0.00595669,0.730877,0.0150895,-0.0259975,0.010708,-0.999605,0.00550136,0.4,0,0,DISABLED,0
0.799995,0.159484,0.0429886,0,-0.00698147,0.731204,0.012114,-0.0270222,0.00673839,-0.999612,0.00348792,0.4,0,0,DISABLED,0
0.819995,0.166678,0.0427317,0,-0.00743596,0.731212,0.0105632,-0.0274767,0.00434439,-0.999613,0.00199519,0.4,0,0,DISABLED,0
0.839995,0.174118,0.0429955,0,-0.00808128,0.731035,0.00969829,-0.0281221,0.00220225,-0.999602,-0.000676145,0.4,0,0,DISABLED,0
0.859995,0.17936,0.043322,0,-0.00839674,0.730913,0.0092452,-0.0284375,0.000711457,-0.999595,-0.000329167,0.4,0,0,DISABLED,0
0.879995,0.188373,0.0440625,0,-0.00827364,0.730825,0.00827924,-0.0283144,-0.00317896,-0.999594,0.000178968,0.4,0,0,DISABLED,0
0.899995,0.196667,0.0450477,0,-0.00744447,0.730786,0.00793365,-0.0274852,-0.00587791,-0.999605,-0.000402771,0.4,0,0,DISABLED,0
0.919995,0.204188,0.0462301,0,-0.00473636,0.730728,0.00756444,-0.0247771,-0.00903566,-0.999652,-0.000841651,0.4,0,0,DISABLED,0
0.939995,0.211685,0.0477061,0,-0.000667851,0.730591,0.00822144,-0.0207086,-0.0113394,-0.999721,-0.00160297,0.4,0,0,DISABLED,0
0.959995,0.219159,0.0494328,0,0.00400715,0.730285,0.0103581,-0.0160336,-0.0127051,-0.999791,-0.002198,0.4,0,0,DISABLED,0
0.979995,0.226531,0.0513932,0,0.00859631,0.72973,0.012549,-0.0114445,-0.0122895,-0.999859,-0.00248292,0.4,0,0,DISABLED,0
0.999995,0.233886,0.0536929,0,0.0129389,0.728782,0.0135801,-0.00710185,-0.00726607,-0.999948,-0.000596185,0.4,0,0,DISABLED,0
1.02,0.241573,0.0555304,0,0.0128981,0.728393,0.0153208,-0.00714268,-0.0114147,-0.999909,0.000764868,0.4,0,0,DISABLED,0
1.04,0.248559,0.0571702,0,0.0111772,0.72885,0.0174763,-0.00886356,-0.0165871,-0.999823,0.00357078,0.4,0,0,DISABLED,0
1.06,0.257014,0.0596637,0,0.00871995,0.729379,0.0125822,-0.0113208,-0.0122178,-0.999861,0.00847769,0.4,0,0,DISABLED,0
1.08,0.263936,0.0615138,0,0.0064967,0.729789,0.00680974,-0.0135441,-0.00516679,-0.999895,0.0115538,0.4,0,0,DISABLED,0
1.1,0.27361,0.0634969,0,0.00555211,0.730075,0.00578774,-0.0144887,-0.00154099,-0.999894,0.0146082,0.4,0,0,DISABLED,0
1.12,0.278707,0.0644027,0,0.00606049,0.730089,0.00734861,-0.0139803,0.000999989,-0.999902,0.0208324,0.4,0,0,DISABLED,0
1.14,0.286722,0.0656058,0,0.00664875,0.730059,0.0084432,-0.013392,0.00204707,-0.999908,0.0227358,0.4,0,0,DISABLED,0
1.16,0.294102,0.0662931,0,0.00674354,0.73006,0.00979613,-0.0132972,0.00394609,-0.999904,0.0237813,0.4,0,0,DISABLED,0
1.18,0.301449,0.0665545,0,0.0070455,0.730042,0.0113886,-0.0129953,0.0057878,-0.999899,0.023829,0.4,0,0,DISABLED,0
1.2,0.308661,0.0664021,0,0.00824152,0.729938,0.0130838,-0.0117993,0.00700995,-0.999906,0.0234024,0.4,0,0,DISABLED,0
1.22,0.315755,0.0658588,0,0.0102466,0.72971,0.0149387,-0.00979414,0.00771528,-0.999922,0.0231521,0.4,0,0,DISABLED,0
1.24,0.322069,0.0650918,0,0.0123235,0.729441,0.0168229,-0.0077173,0.00829605,-0.999936,0.0234481,0.4,0,0,DISABLED,0
1.25999,0.329731,0.0638324,0,0.0145193,0.729219,0.0183059,-0.00552149,0.00799332,-0.999953,0.0242987,0.4,0,0,DISABLED,0
1.27999,0.336812,0.0624049,0,0.0149503,0.729217,0.0173874,-0.00509049,0.00572161,-0.999971,0.0241511,0.4,0,0,DISABLED,0
1.29999,0.342609,0.061023,0,0.0136135,0.729165,0.0145219,-0.00642726,0.00189791,-0.999978,0.0235864,0.4,0,0,DISABLED,0
1.31999,0.351789,0.0593072,0,0.00715167,0.729445,0.00824316,-0.0128891,0.000939972,-0.999916,0.0195714,0.4,0,0,DISABLED,0
1.33999,0.358798,0.0578837,0,0.00394881,0.730141,0.00758804,-0.016092,0.00331695,-0.999865,0.0161438,0.4,0,0,DISABLED,0
1.35999,0.365601,0.056056,0,0.00262576,0.730795,0.005839,-0.017415,0.00206482,-0.999846,0.0127509,0.4,0,0,DISABLED,0
1.37999,0.372547,0.0542146,0,0.00235868,0.731354,0.00358812,-0.0176821,-0.000424126,-0.999844,0.0109962,0.4,0,0,DISABLED,0
1.39999,0.379622,0.0528158,0,0.00277034,0.73149,0.002868,-0.0172704,-0.00239567,-0.999848,0.00951235,0.4,0,0,DISABLED,0
1.41999,0.38616,0.0520586,0,0.00276662,0.73133,0.00276214,-0.0172742,-0.00339911,-0.999845,0.0090432,0.4,0,0,DISABLED,0
1.43999,0.394408,0.0516191,0,0.0019023,0.731088,0.00316443,-0.0181385,-0.00568512,-0.999819,0.00824561,0.4,0,0,DISABLED,0
1.45999,0.398972,0.0515627,0,0.00108267,0.730984,0.00573601,-0.0189581,-0.00877885,-0.999782,0.00810399,0.4,0,0,DISABLED,0
1.47999,0.409584,0.0518266,0,0.00104533,0.730804,0.0091675,-0.0189954,-0.0122566,-0.999744,0.00807851,0.4,0,0,DISABLED,0
1.49999,0.417078,0.05236,0,0.00223683,0.730673,0.0121827,-0.0178039,-0.0151247,-0.999727,0.00844445,0.4,0,0,DISABLED,0
1.51999,0.423738,0.053148,0,0.00479837,0.730513,0.0149427,-0.0152424,-0.0173026,-0.999734,0.00832485,0.4,0,0,DISABLED,0
1.53999,0.43181,0.0545273,0,0.00837267,0.73018,0.0176865,-0.0116681,-0.018732,-0.999756,0.0076604,0.4,0,0,DISABLED,0
1.55999,0.439106,0.0561678,0,0.0123408,0.729746,0.0198794,-0.00769995,-0.0187374,-0.999795,0.00678192,0.4,0,0,DISABLED,0
1.57999,0.446431,0.0581541,0,0.0153696,0.72933,0.0199752,-0.00467113,-0.0159082,-0.999863,0.00674406,0.4,0,0,DISABLED,0
1.59999,0.453818,0.0604079,0,0.0164944,0.728748,0.0179176,-0.00354638,-0.0101397,-0.999942,0.00784511,0.4,0,0,DISABLED,0
1.61999,0.461425,0.0621235,0,0.0145038,0.728659,0.0166161,-0.00553698,-0.011258,-0.999921,0.00977342,0.4,0,0,DISABLED,0
1.63999,0.468266,0.0635387,0,0.0112158,0.729288,0.0164213,-0.00882496,-0.0151483,-0.999846,0.01234,0.4,0,0,DISABLED,0
1.65999,0.476335,0.0656373,0,0.00860682,0.729881,0.0116064,-0.011434,-0.0109354,-0.999875,0.0159282,0.4,0,0,DISABLED,0
1.67999,0.483449,0.0673544,0,0.00723,0.730299,0.00752494,-0.0128108,-0.00521945,-0.999904,0.0177505,0.4,0,0,DISABLED,0
1.69999,0.49042,0.0686512,0,0.00675641,0.730533,0.00735672,-0.0132844,-0.000245886,-0.999912,0.0213093,0.4,0,0,DISABLED,0
1.71999,0.497396,0.0697434,0,0.00695756,0.730607,0.0085554,-0.0130832,0.00181676,-0.999913,0.0245407,0.4,0,0,DISABLED,0
1.73999,0.504449,0.070599,0,0.00686797,0.730617,0.00979005,-0.0131728,0.00381799,-0.999906,0.0263997,0.4,0,0,DISABLED,0
1.75999,0.511546,0.0710279,0,0.0065624,0.730606,0.0112093,-0.0134784,0.00592797,-0.999892,0.0274873,0.4,0,0,DISABLED,0
