t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.73286,0,-0.0156704,-0.000480249,-0.999877,0,0,0,0,DISABLED,0
0.0399961,-9.31323e-08,-1.234e-07,0,-3.60608e-06,0.73286,0,-0.015674,-0.000479755,-0.999877,3.08268e-06,0,0,0,DISABLED,0
0.0599961,-2.08616e-07,-2.73809e-07,0,-8.00192e-06,0.73286,0,-0.0156784,-0.000479174,-0.999877,6.84417e-06,0,0,0,DISABLED,0
0.0799961,-3.15718e-07,-4.10248e-07,0,-1.19805e-05,0.73286,0,-0.0156824,-0.000478627,-0.999877,1.02391e-05,0,0,0,DISABLED,0
0.0999961,-4.03263e-07,-5.19678e-07,0,-1.59368e-05,0.73286,0,-0.0156863,-0.000478083,-0.999877,1.36103e-05,0,0,0,DISABLED,0
0.119996,-5.25266e-07,-6.69155e-07,0,-1.98837e-05,0.73286,0,-0.0156903,-0.000477546,-0.999877,1.69579e-05,0,0,0,DISABLED,0
0.139996,-6.50063e-07,-8.18633e-07,0,-2.38176e-05,0.73286,0,-0.0156942,-0.000477015,-0.999877,2.0286e-05,0,0,0,DISABLED,0
0.159996,-7.5344e-07,-9.40636e-07,0,-2.73455e-05,0.73286,0,-0.0156977,-0.00047654,-0.999877,2.32683e-05,0,0,0,DISABLED,0
0.179996,-8.81962e-07,-1.08918e-06,0,-3.16445e-05,0.73286,0,-0.015702,-0.000475974,-0.999877,2.69108e-05,0,0,0,DISABLED,0
0.199996,-9.76957e-07,-1.19675e-06,0,-3.47588e-05,0.73286,0,-0.0157052,-0.000475561,-0.999877,2.95475e-05,0,0,0,DISABLED,0
0.219996,-1.12131e-06,-1.35787e-06,0,-3.94192e-05,0.73286,0,-0.0157098,-0.000474948,-0.999876,3.34809e-05,0,0,0,DISABLED,0
0.239996,-1.23121e-06,-1.47847e-06,0,-4.29004e-05,0.73286,0,-0.0157133,-0.000474494,-0.999876,3.64212e-05,0,0,0,DISABLED,0
0.259996,-1.36811e-06,-1.62655e-06,0,-4.7138e-05,0.73286,0,-0.0157175,-0.000473949,-0.999876,3.9996e-05,0,0,0,DISABLED,0
0.279996,-1.49477e-06,-1.76067e-06,0,-5.0975e-05,0.73286,0,-0.0157214,-0.00047346,-0.999876,4.32294e-05,0,0,0,DISABLED,0
0.299996,-1.62236e-06,-1.89478e-06,0,-5.47953e-05,0.73286,0,-0.0157252,-0.000472977,-0.999876,4.64455e-05,0,0,0,DISABLED,0
0.319996,-1.7006e-06,-1.97534e-06,0,-5.70789e-05,0.73286,0,-0.0157275,-0.000472683,-0.999876,4.83649e-05,0,0,0,DISABLED,0
0.339996,-1.88407e-06,-2.1616e-06,0,-6.23986e-05,0.73286,0,-0.0157328,-0.00047202,-0.999876,5.28455e-05,0,0,0,DISABLED,0
0.359996,-2.01818e-06,-2.29431e-06,0,-6.61816e-05,0.73286,0,-0.0157366,-0.000471545,-0.999876,5.60537e-05,0,0,0,DISABLED,0
0.379996,-2.15415e-06,-2.42749e-06,0,-6.95642e-05,0.73286,0,-0.01574,-0.000471125,-0.999876,5.89259e-05,0,0,0,DISABLED,0
0.399996,-2.29105e-06,-2.56067e-06,0,-7.33137e-05,0.73286,0,-0.0157437,-0.000470669,-0.999876,6.20934e-05,0,0,0,DISABLED,0
0.419996,-2.43075e-06,-2.69385e-06,0,-7.7419e-05,0.73286,0,-0.0157478,-0.000470167,-0.999876,6.55553e-05,0,0,0,DISABLED,0
0.439996,-2.57138e-06,-2.8261e-06,0,-8.11387e-05,0.73286,0,-0.0157515,-0.000469716,-0.999876,6.87075e-05,0,0,0,DISABLED,0
0.459996,-2.71481e-06,-2.95835e-06,0,-8.48379e-05,0.73286,0,-0.0157552,-0.000469273,-0.999876,7.18541e-05,0,0,0,DISABLED,0
0.479996,-2.86009e-06,-3.09059e-06,0,-8.85259e-05,0.73286,0,-0.0157589,-0.000468835,-0.999876,7.49888e-05,0,0,0,DISABLED,0
0.499996,-3.00631e-06,-3.22238e-06,0,-9.21991e-05,0.73286,0,-0.0157626,-0.0004684,-0.999876,7.81164e-05,0,0,0,DISABLED,0
0.519996,-3.15439e-06,-3.35369e-06,0,-9.54922e-05,0.73286,0,-0.0157659,-0.000468009,-0.999876,8.09284e-05,0,0,0,DISABLED,0
0.539996,-3.30526e-06,-3.48501e-06,0,-9.94988e-05,0.73286,0,-0.0157699,-0.000467537,-0.999876,8.43616e-05,0,0,0,DISABLED,0
0.559996,-3.44217e-06,-3.60282e-06,0,-0.000102768,0.73286,0,-0.0157732,-0.000467154,-0.999875,8.71663e-05,0,0,0,DISABLED,0
0.579996,-3.61074e-06,-3.74671e-06,0,-0.000106744,0.73286,0,-0.0157771,-0.000466693,-0.999875,9.0587e-05,0,0,0,DISABLED,0
0.599996,-3.76627e-06,-3.8771e-06,0,-0.000110349,0.73286,0,-0.0157808,-0.00046628,-0.999875,9.36874e-05,0,0,0,DISABLED,0
0.619996,-3.92366e-06,-4.00795e-06,0,-0.000113934,0.73286,0,-0.0157843,-0.000465872,-0.999875,9.6777e-05,0,0,0,DISABLED,0
0.639996,-4.06709e-06,-4.12529e-06,0,-0.000117507,0.73286,0.000345267,-0.0157879,-0.000465469,-0.999875,9.98582e-05,0,0,0,DISABLED,0
0.659996,-4.24404e-06,-4.26872e-06,0,-0.000121066,0.73286,0.000345267,-0.0157915,-0.000465069,-0.999875,0.000102933,0,0,0,DISABLED,0
0.679996,-4.39025e-06,-4.3856e-06,0,-0.000124259,0.73286,0.000345267,-0.0157947,-0.000464711,-0.999875,0.000105697,0,0,0,DISABLED,0
0.699996,-4.5551e-06,-4.51505e-06,0,-0.000128144,0.73286,0.000345267,-0.0157985,-0.000464278,-0.999875,0.000109073,0,0,0,DISABLED,0
0.719995,-4.70411e-06,-4.63147e-06,0,-0.000130612,0.73286,0,-0.015801,-0.000464005,-0.999875,0.000111222,0,0,0,DISABLED,0
0.739995,-4.88851e-06,-4.77303e-06,0,-0.000135174,0.73286,0.000345267,-0.0158056,-0.000463519,-0.999875,0.000115218,0,0,0,DISABLED,0
0.759995,-5.07478e-06,-4.91459e-06,0,-0.000138672,0.73286,0,-0.0158091,-0.000463134,-0.999875,0.000118283,0,0,0,DISABLED,0
0.779995,-5.24614e-06,-5.04404e-06,0,-0.000142148,0.73286,0,-0.0158125,-0.000462756,-0.999875,0.00012133,0,0,0,DISABLED,0
0.799995,-5.41937e-06,-5.17303e-06,0,-0.000145612,0.73286,0,-0.015816,-0.000462386,-0.999875,0.000124361,0,0,0,DISABLED,0
0.819995,-5.59445e-06,-5.30202e-06,0,-0.000149066,0.73286,0,-0.0158195,-0.000462028,-0.999875,0.000127392,0,0,0,DISABLED,0
0.839995,-5.75278e-06,-5.4175e-06,0,-0.000152163,0.73286,0,-0.0158226,-0.000461698,-0.999875,0.000130117,0,0,0,DISABLED,0
0.859995,-5.94836e-06,-5.55767e-06,0,-0.000155933,0.73286,0,-0.0158263,-0.000461294,-0.999875,0.000133436,0,0,0,DISABLED,0
0.879995,-6.12903e-06,-5.68526e-06,0,-0.000159351,0.73286,0.000345267,-0.0158298,-0.000460939,-0.999875,0.00013645,0,0,0,DISABLED,0
0.899995,-6.31064e-06,-5.81238e-06,0,-0.000162754,0.73286,0.000345267,-0.0158332,-0.000460591,-0.999875,0.000139452,0,0,0,DISABLED,0
0.919995,-6.43823e-06,-5.90133e-06,0,-0.000165131,0.73286,0,-0.0158355,-0.000460351,-0.999875,0.000141545,0,0,0,DISABLED,0
0.939995,-6.67758e-06,-6.06617e-06,0,-0.000169538,0.73286,0.000345267,-0.0158399,-0.000459912,-0.999874,0.000145416,0,0,0,DISABLED,0
0.959995,-6.86478e-06,-6.1919e-06,0,-0.000173248,0.73286,0.000345267,-0.0158437,-0.000459539,-0.999874,0.00014869,0,0,0,DISABLED,0
0.979995,-7.03335e-06,-6.30552e-06,0,-0.000175936,0.73286,0,-0.0158463,-0.000459278,-0.999874,0.000151064,0,0,0,DISABLED,0
0.999995,-7.24196e-06,-6.44475e-06,0,-0.000179619,0.73286,0,-0.01585,-0.000458927,-0.999874,0.000154302,0,0,0,DISABLED,0
1.02,-7.37607e-06,-6.53276e-06,0,-0.000181956,0.73286,0.000345267,-0.0158524,-0.000458701,-0.999874,0.000156349,0,0,0,DISABLED,0
1.04,-7.60704e-06,-6.68271e-06,0,-0.000185957,0.73286,0.000345267,-0.0158564,-0.000458309,-0.999874,0.000159852,0,0,0,DISABLED,0
1.06,-7.80169e-06,-6.80657e-06,0,-0.000189608,0.73286,0.000345267,-0.01586,-0.000457954,-0.999874,0.000163064,0,0,0,DISABLED,0
1.08,-8.01776e-06,-6.94394e-06,0,-0.000192586,0.73286,0.000345267,-0.015863,-0.000457672,-0.999874,0.000165675,0,0,0,DISABLED,0
1.1,-8.19564e-06,-7.0557e-06,0,-0.000196207,0.73286,0.000345267,-0.0158666,-0.00045733,-0.999874,0.000168831,0,0,0,DISABLED,0
1.12,-8.4145e-06,-7.19214e-06,0,-0.000199497,0.732859,0.000345267,-0.0158699,-0.000457029,-0.999874,0.000171688,0,0,0,DISABLED,0
1.14,-8.61567e-06,-7.316e-06,0,-0.000202445,0.732859,0,-0.0158728,-0.000456757,-0.999874,0.000174255,0,0,0,DISABLED,0
1.16,-8.81776e-06,-7.43894e-06,0,-0.000206042,0.732859,0,-0.0158764,-0.000456425,-0.999874,0.000177389,0,0,0,DISABLED,0
1.18,-9.02265e-06,-7.56141e-06,0,-0.0002093,0.732859,0,-0.0158797,-0.000456124,-0.999874,0.000180232,0,0,0,DISABLED,0
1.2,-9.22848e-06,-7.68388e-06,0,-0.000212548,0.732859,0.000345267,-0.015883,-0.000455826,-0.999874,0.000183066,0,0,0,DISABLED,0
1.22,-9.43523e-06,-7.80588e-06,0,-0.000215789,0.732859,0.000345267,-0.0158862,-0.000455531,-0.999874,0.000185888,0,0,0,DISABLED,0
1.24,-9.64478e-06,-7.92742e-06,0,-0.000219017,0.732859,0.000345267,-0.0158894,-0.000455241,-0.999874,0.000188699,0,0,0,DISABLED,0
1.25999,-9.83384e-06,-8.03638e-06,0,-0.000221919,0.732859,0.000345267,-0.0158923,-0.000454975,-0.999874,0.000191213,0,0,0,DISABLED,0
1.27999,-1.00667e-05,-8.1691e-06,0,-0.000225456,0.732859,0,-0.0158959,-0.000454659,-0.999874,0.000194281,0,0,0,DISABLED,0
1.29999,-1.02809e-05,-8.2897e-06,0,-0.000228662,0.732859,0,-0.0158991,-0.000454377,-0.999874,0.000197071,0,0,0,DISABLED,0
1.31999,-1.0496e-05,-8.40984e-06,0,-0.00023186,0.732859,0.000345267,-0.0159023,-0.000454099,-0.999873,0.000199849,0,0,0,DISABLED,0
1.33999,-1.07121e-05,-8.52998e-06,0,-0.000235047,0.732859,0.000345267,-0.0159054,-0.000453826,-0.999873,0.000202615,0,0,0,DISABLED,0
1.35999,-1.09086e-05,-8.63755e-06,0,-0.000237914,0.732859,0.000345267,-0.0159083,-0.000453582,-0.999873,0.000205094,0,0,0,DISABLED,0
1.37999,-1.11507e-05,-8.7684e-06,0,-0.000241404,0.732859,0.000345267,-0.0159118,-0.000453286,-0.999873,0.000208117,0,0,0,DISABLED,0
1.39999,-1.13714e-05,-8.88715e-06,0,-0.000244252,0.732859,0,-0.0159147,-0.00045304,-0.999873,0.000210579,0,0,0,DISABLED,0
1.41999,-1.15493e-05,-8.98167e-06,0,-0.000247097,0.732859,0.000345267,-0.0159175,-0.000452804,-0.999873,0.00021304,0,0,0,DISABLED,0
1.43999,-1.18185e-05,-9.12324e-06,0,-0.000250882,0.732859,0.000345267,-0.0159213,-0.000452494,-0.999873,0.000216312,0,0,0,DISABLED,0
1.45999,-1.19535e-05,-9.19355e-06,0,-0.00025277,0.732859,0.000345267,-0.0159232,-0.00045234,-0.999873,0.000217946,0,0,0,DISABLED,0
1.47999,-1.22711e-05,-9.35793e-06,0,-0.000256853,0.732859,0.000345267,-0.0159273,-0.000452009,-0.999873,0.000221462,0,0,0,DISABLED,0
1.49999,-1.25002e-05,-9.47434e-06,0,-0.000260299,0.732859,0.000345267,-0.0159307,-0.000451734,-0.999873,0.000224436,0,0,0,DISABLED,0
1.51999,-1.27302e-05,-9.59169e-06,0,-0.000263425,0.732859,0.000345267,-0.0159338,-0.000451493,-0.999873,0.000227112,0,0,0,DISABLED,0
1.53999,-1.29379e-05,-9.69693e-06,0,-0.000266256,0.732859,0.000345267,-0.0159367,-0.000451306,-0.999873,0.000229365,0,0,0,DISABLED,0
1.55999,-1.3194e-05,-9.82638e-06,0,-0.000269715,0.732859,0.000345267,-0.0159401,-0.00045106,-0.999873,0.000232021,0,0,0,DISABLED,0
1.57999,-1.3357e-05,-9.90881e-06,0,-0.000271603,0.732859,0.000345267,-0.015942,-0.000450905,-0.999873,0.000233422,0,0,0,DISABLED,0
1.59999,-1.36634e-05,-1.00639e-05,0,-0.000276005,0.732859,0.000345267,-0.0159464,-0.000450526,-0.999873,0.000236571,0,0,0,DISABLED,0
1.61999,-1.39009e-05,-1.0184e-05,0,-0.00027914,0.732859,0.000345267,-0.0159495,-0.000450219,-0.999873,0.000238781,0,0,0,DISABLED,0
1.63999,-1.41403e-05,-1.0306e-05,0,-0.000282263,0.732859,0.000345267,-0.0159527,-0.000449903,-0.999873,0.000240956,0,0,0,DISABLED,0
1.65999,-1.43796e-05,-1.04285e-05,0,-0.000285082,0.732859,0.000345267,-0.0159555,-0.00044968,-0.999873,0.000242916,0,0,0,DISABLED,0
1.67999,-1.45966e-05,-1.05393e-05,0,-0.000288215,0.732859,0.000345267,-0.0159586,-0.000449494,-0.999873,0.000245151,0,0,0,DISABLED,0
1.69999,-1.48155e-05,-1.06497e-05,0,-0.000291009,0.732859,0.000345267,-0.0159614,-0.00044931,-0.999873,0.000247216,0,0,0,DISABLED,0
1.71999,-1.51088e-05,-1.07973e-05,0,-0.000294702,0.732859,0.000345267,-0.0159651,-0.000449082,-0.999872,0.000250068,0,0,0,DISABLED,0
1.73999,-1.53556e-05,-1.09212e-05,0,-0.000297751,0.732859,0.000345267,-0.0159682,-0.000448906,-0.999872,0.000252531,0,0,0,DISABLED,0
1.75999,-1.56043e-05,-1.10455e-05,0,-0.000300767,0.732859,0.000345267,-0.0159712,-0.000448695,-0.999872,0.000255028,0,0,0,DISABLED,0
1.77999,-1.58548e-05,-1.11698e-05,0,-0.000303453,0.732859,0.000345267,-0.0159739,-0.000448477,-0.999872,0.000257288,0,0,0,DISABLED,0
1.79999,-1.61063e-05,-1.12937e-05,0,-0.000306724,0.73286,0.000345267,-0.0159771,-0.000448192,-0.999872,0.000260063,0,0,0,DISABLED,0
1.81999,-1.63345e-05,-1.1405e-05,0,-0.000309387,0.73286,0.000345267,-0.0159798,-0.000447948,-0.999872,0.000262345,0,0,0,DISABLED,0
1.83999,-1.66148e-05,-1.15405e-05,0,-0.000312628,0.73286,0.000345267,-0.015983,-0.000447649,-0.999872,0.000265145,0,0,0,DISABLED,0
1.85999,-1.68718e-05,-1.16634e-05,0,-0.000315564,0.73286,0.000488281,-0.015986,-0.000447377,-0.999872,0.000267697,0,0,0,DISABLED,0
1.87999,-1.70777e-05,-1.17621e-05,0,-0.000318198,0.73286,0.000345267,-0.0159886,-0.000447132,-0.999872,0.000269995,0,0,0,DISABLED,0
1.89999,-1.73626e-05,-1.18976e-05,0,-0.000321403,0.73286,0.000345267,-0.0159918,-0.000446836,-0.999872,0.000272816,0,0,0,DISABLED,0
1.91999,-1.76486e-05,-1.20327e-05,0,-0.000324307,0.73286,0.000345267,-0.0159947,-0.000446567,-0.999872,0.000275393,0,0,0,DISABLED,0
1.93999,-1.78842e-05,-1.21435e-05,0,-0.000326909,0.73286,0.000488281,-0.0159973,-0.000446321,-0.999872,0.000277712,0,0,0,DISABLED,0
1.95999,-1.81738e-05,-1.22786e-05,0,-0.000329791,0.73286,0.000345267,-0.0160002,-0.00044605,-0.999872,0.000280291,0,0,0,DISABLED,0
1.97999,-1.84383e-05,-1.2401e-05,0,-0.000332953,0.73286,0.000345267,-0.0160034,-0.000445752,-0.999872,0.000283139,0,0,0,DISABLED,0
1.99999,-1.87047e-05,-1.25235e-05,0,-0.000335529,0.73286,0.000345267,-0.0160059,-0.000445509,-0.999872,0.000285476,0,0,0,DISABLED,0
2.01999,-1.8972e-05,-1.2646e-05,0,-0.000338664,0.73286,0.000488281,-0.0160091,-0.000445221,-0.999872,0.000288343,0,0,0,DISABLED,0
2.03999,-1.92411e-05,-1.27684e-05,0,-0.00034151,0.73286,0.000345267,-0.0160119,-0.000444959,-0.999872,0.000290949,0,0,0,DISABLED,0
2.05999,-1.95112e-05,-1.28914e-05,0,-0.000344345,0.73286,0.000345267,-0.0160147,-0.000444699,-0.999872,0.00029356,0,0,0,DISABLED,0
2.07999,-1.97552e-05,-1.30017e-05,0,-0.000347171,0.73286,0.000345267,-0.0160176,-0.000444443,-0.999872,0.000296175,0,0,0,DISABLED,0
2.09999,-2.00551e-05,-1.31358e-05,0,-0.000349989,0.73286,0.000488281,-0.0160204,-0.000444192,-0.999872,0.000298797,0,0,0,DISABLED,0
