t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732862,0.000345267,-0.0157014,-0.000416735,-0.999877,0,0,0,0,DISABLED,0
0.0399961,-5.7742e-08,-1.87661e-07,0,-4.35859e-06,0.732862,0.000345267,-0.0157057,-0.000416287,-0.999877,5.22146e-06,0,0,0,DISABLED,0
0.0599961,-1.07102e-07,-3.4133e-07,0,-7.91065e-06,0.732862,0.000345267,-0.0157093,-0.000415919,-0.999876,9.51404e-06,0,0,0,DISABLED,0
0.0799961,-1.62981e-07,-5.11762e-07,0,-1.18446e-05,0.732862,0.000345267,-0.0157132,-0.000415521,-0.999876,1.43097e-05,0,0,0,DISABLED,0
0.0999961,-2.26311e-07,-6.98026e-07,0,-1.6192e-05,0.732862,0.000345267,-0.0157176,-0.000415113,-0.999876,1.93585e-05,0,0,0,DISABLED,0
0.119996,-2.80328e-07,-8.51229e-07,0,-2.01464e-05,0.732862,0.000345267,-0.0157215,-0.000414733,-0.999876,2.37918e-05,0,0,0,DISABLED,0
0.139996,-3.41795e-07,-1.02306e-06,0,-2.3704e-05,0.732862,0.000345267,-0.0157251,-0.000414366,-0.999876,2.76403e-05,0,0,0,DISABLED,0
0.159996,-3.7998e-07,-1.12737e-06,0,-2.60752e-05,0.732862,0.000345267,-0.0157275,-0.000414112,-0.999876,3.0166e-05,0,0,0,DISABLED,0
0.179996,-4.77768e-07,-1.38907e-06,0,-3.20077e-05,0.732862,0.000345267,-0.0157334,-0.000413384,-0.999876,3.62906e-05,0,0,0,DISABLED,0
0.199996,-5.39236e-07,-1.54786e-06,0,-3.55504e-05,0.732862,0.000345267,-0.0157369,-0.000412927,-0.999876,3.99278e-05,0,0,0,DISABLED,0
0.219996,-6.10016e-07,-1.72667e-06,0,-3.94657e-05,0.732862,0.000345267,-0.0157409,-0.000412413,-0.999876,4.39348e-05,0,0,0,DISABLED,0
0.239996,-6.9011e-07,-1.92411e-06,0,-4.37573e-05,0.732862,0,-0.0157451,-0.000411855,-0.999876,4.83034e-05,0,0,0,DISABLED,0
0.259996,-7.64616e-07,-2.10339e-06,0,-4.76465e-05,0.732862,0,-0.015749,-0.000411337,-0.999876,5.22361e-05,0,0,0,DISABLED,0
0.279996,-8.34465e-07,-2.26451e-06,0,-5.11296e-05,0.732862,0.000345267,-0.0157525,-0.000410868,-0.999876,5.57577e-05,0,0,0,DISABLED,0
0.299996,-9.12696e-07,-2.44286e-06,0,-5.49927e-05,0.732862,0,-0.0157564,-0.00041036,-0.999876,5.96618e-05,0,0,0,DISABLED,0
0.319996,-9.93721e-07,-2.62074e-06,0,-5.8841e-05,0.732862,0,-0.0157602,-0.000409845,-0.999876,6.35391e-05,0,0,0,DISABLED,0
0.339996,-1.07661e-06,-2.79816e-06,0,-6.26743e-05,0.732862,0,-0.0157641,-0.000409335,-0.999876,6.74002e-05,0,0,0,DISABLED,0
0.359996,-1.16136e-06,-2.97558e-06,0,-6.64983e-05,0.732862,0,-0.0157679,-0.00040884,-0.999876,7.12468e-05,0,0,0,DISABLED,0
0.379996,-1.23959e-06,-3.1353e-06,0,-6.99237e-05,0.732861,0.000345267,-0.0157713,-0.000408393,-0.999876,7.46787e-05,0,0,0,DISABLED,0
0.399996,-1.33738e-06,-3.32994e-06,0,-7.4096e-05,0.732861,0,-0.0157755,-0.000407855,-0.999875,7.88454e-05,0,0,0,DISABLED,0
0.419996,-1.42772e-06,-3.50643e-06,0,-7.78772e-05,0.732861,0,-0.0157793,-0.000407379,-0.999875,8.26234e-05,0,0,0,DISABLED,0
0.439996,-1.52085e-06,-3.68338e-06,0,-8.1636e-05,0.732861,0.000345267,-0.015783,-0.000406907,-0.999875,8.63726e-05,0,0,0,DISABLED,0
0.459996,-1.61584e-06,-3.85987e-06,0,-8.53837e-05,0.732861,0.000345267,-0.0157868,-0.000406445,-0.999875,9.00961e-05,0,0,0,DISABLED,0
0.479996,-1.72202e-06,-4.05405e-06,0,-8.87457e-05,0.732861,0.000345267,-0.0157901,-0.000406037,-0.999875,9.34291e-05,0,0,0,DISABLED,0
0.499996,-1.81142e-06,-4.21191e-06,0,-9.28417e-05,0.732861,0.000345267,-0.0157942,-0.000405545,-0.999875,9.74829e-05,0,0,0,DISABLED,0
0.519996,-1.91107e-06,-4.38746e-06,0,-9.69227e-05,0.732861,0,-0.0157983,-0.000405068,-0.999875,0.000101536,0,0,0,DISABLED,0
0.539996,-2.0247e-06,-4.58071e-06,0,-0.000100609,0.732861,0.000345267,-0.015802,-0.000404637,-0.999875,0.000105196,0,0,0,DISABLED,0
0.559996,-2.11876e-06,-4.73857e-06,0,-0.000103915,0.732861,0.000345267,-0.0158053,-0.000404257,-0.999875,0.000108466,0,0,0,DISABLED,0
0.579996,-2.22493e-06,-4.91366e-06,0,-0.000107577,0.732861,0.000345267,-0.015809,-0.000403841,-0.999875,0.000112086,0,0,0,DISABLED,0
0.599996,-2.33296e-06,-5.08828e-06,0,-0.000111228,0.732861,0.000345267,-0.0158126,-0.000403428,-0.999875,0.000115702,0,0,0,DISABLED,0
0.619996,-2.44286e-06,-5.26244e-06,0,-0.000114862,0.732861,0.000345267,-0.0158163,-0.00040302,-0.999875,0.000119313,0,0,0,DISABLED,0
0.639996,-2.55462e-06,-5.43613e-06,0,-0.000118485,0.732861,0.000345267,-0.0158199,-0.000402626,-0.999875,0.000122921,0,0,0,DISABLED,0
0.659996,-2.66824e-06,-5.61029e-06,0,-0.000122091,0.732861,0.000345267,-0.0158235,-0.000402233,-0.999875,0.000126505,0,0,0,DISABLED,0
0.679996,-2.78372e-06,-5.78398e-06,0,-0.000125686,0.732861,0.000345267,-0.0158271,-0.000401847,-0.999875,0.000130073,0,0,0,DISABLED,0
0.699996,-2.902e-06,-5.95767e-06,0,-0.000129264,0.732861,0.000345267,-0.0158307,-0.000401467,-0.999875,0.00013363,0,0,0,DISABLED,0
