time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-1.07332e-05,1.94864e-06,0.733889,-0.00536655,0.000974318,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.299865,-0.0673779,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.299715,-0.142315,nan,nan,nan
0.006,-3.32847e-05,2.57094e-06,0.73382,-0.0112757,0.000311153,-0.00110706,0.0836455,0.000589574,-0.11243,1,163.254,0.299874,0.00422531,0.000854,-0.11243,nan,-0.00105992,-0.0836721,0.0006059,-0.104324,1,145.073,0.299509,-0.103328,0.000854,-0.104324,nan
0.008,-6.51764e-05,2.96677e-06,0.733739,-0.0159459,0.000197912,-0.00119411,0.0836545,0.000439857,-0.0747985,1,108.599,0.300042,0.0843788,nan,nan,nan,-0.00111178,-0.0836926,0.000460956,-0.0724381,1,98.0061,0.29941,-0.0494815,nan,nan,nan
0.01,-0.000105365,3.28425e-06,0.73365,-0.0200941,0.000158739,-0.00125634,0.0837052,0.000335134,-0.0523434,1,118.52,0.300298,0.127964,nan,nan,nan,-0.00114618,-0.0837434,0.000352739,-0.0541038,1,105.918,0.299354,-0.0279021,nan,nan,nan
0.012,-0.000153938,2.25629e-06,0.73356,-0.0242866,-0.000513975,-0.00130447,0.0837838,0.00025923,-0.0379361,1,156.007,0.30065,0.175627,nan,nan,nan,-0.00117037,-0.0838135,0.000267463,-0.0426336,1,111.981,0.299304,-0.0249064,nan,nan,nan
0.014,-0.000209954,2.24291e-06,0.733474,-0.028008,-6.69084e-06,-0.00134407,0.0838646,0.000206072,-0.0265579,1,161.119,0.301032,0.190994,nan,nan,nan,-0.00118843,-0.0838959,0.0001966,-0.0354176,1,152.689,0.299284,-0.0100881,nan,nan,nan
0.016,-0.000273375,3.15522e-06,0.733394,-0.0317105,0.000456153,-0.00137769,0.0839445,0.000167966,-0.0190267,1,160.016,0.301436,0.202297,nan,nan,nan,-0.00120365,-0.0839708,0.000140078,-0.0282412,1,151.631,0.299281,-0.00161785,nan,nan,nan
0.018,-0.000342899,4.90786e-06,0.73332,-0.0347622,0.000876319,-0.00140757,0.0840227,0.000139373,-0.0142664,1,169.893,0.301813,0.188253,nan,nan,nan,-0.00121654,-0.0840392,9.24663e-05,-0.0237816,1,157.9,0.299275,-0.00286565,nan,nan,nan
0.02,-0.000417536,7.41778e-06,0.733255,-0.0373182,0.00125496,-0.00143473,0.0840979,0.000116919,-0.0111968,1,172.396,0.302142,0.164433,nan,nan,nan,-0.00122719,-0.0841003,5.11643e-05,-0.0206251,1,159.827,0.29925,-0.0127114,nan,nan,nan
0.022,-0.000496539,1.05919e-05,0.733198,-0.0395016,0.00158707,-0.00145993,0.0841697,9.83039e-05,-0.00927909,1,173.625,0.302413,0.135893,nan,nan,nan,-0.00123596,-0.0841546,1.41823e-05,-0.0184647,1,161.02,0.299195,-0.0272473,nan,nan,nan
0.024,-0.000575101,1.29549e-05,0.733148,-0.0392813,0.00118149,-0.00148365,0.0842383,8.20977e-05,-0.00807708,1,177.639,0.302636,0.111301,nan,nan,nan,-0.00124321,-0.0842031,-1.96597e-05,-0.0168951,1,159.335,0.299152,-0.0212886,nan,nan,nan
0.026,-0.000652816,1.48086e-05,0.733107,-0.0388571,0.000926826,-0.00150571,0.0843024,6.80628e-05,-0.00699539,1,174.77,0.302812,0.088103,nan,nan,nan,-0.00124972,-0.0842444,-4.95765e-05,-0.0149353,1,172.462,0.29914,-0.0064248,nan,nan,nan
0.028,-0.000729495,1.57943e-05,0.733073,-0.0383398,0.000492887,-0.0015263,0.0843624,5.60852e-05,-0.00597034,1,172.85,0.30295,0.0690171,nan,nan,nan,-0.00125565,-0.0842771,-7.34337e-05,-0.011909,1,169.383,0.299145,0.00276557,nan,nan,nan
0.03,-0.000804904,1.56312e-05,0.733047,-0.0377043,-8.15475e-05,-0.0015456,0.0844188,4.58092e-05,-0.00512265,1,170.751,0.303057,0.0533153,nan,nan,nan,-0.00126098,-0.0843037,-9.24532e-05,-0.0094933,1,166.607,0.299159,0.00694932,nan,nan,nan
0.032,-0.000878725,1.41179e-05,0.733028,-0.0369104,-0.000756657,-0.00156372,0.084472,3.7001e-05,-0.00439135,1,168.899,0.303132,0.0376755,nan,nan,nan,-0.00126575,-0.0843262,-0.000107593,-0.00755615,1,163.808,0.299173,0.00711367,nan,nan,nan
0.034,-0.000950881,1.32593e-05,0.733017,-0.0360783,-0.000429304,-0.00158076,0.0845224,2.9459e-05,-0.00376038,1,166.807,0.303174,0.0210625,nan,nan,nan,-0.00126998,-0.0843459,-0.000119574,-0.00597845,1,178.463,0.299232,0.0292546,nan,nan,nan
0.036,-0.00102111,1.2572e-05,0.733012,-0.0351151,-0.000343667,-0.00159706,0.0845707,2.29483e-05,-0.00324634,1,165.002,0.303183,0.00439321,nan,nan,nan,-0.00127324,-0.0843602,-0.000125422,-0.00291466,1,172.041,0.299322,0.0450695,nan,nan,nan
0.038,-0.00108903,1.1283e-05,0.733013,-0.0339599,-0.000644499,-0.00161259,0.0846171,1.73864e-05,-0.0027731,1,162.46,0.303158,-0.0123987,nan,nan,nan,-0.00127563,-0.0843705,-0.000126255,-0.000408226,1,164.936,0.299428,0.0527952,nan,nan,nan
0.04,-0.00115454,7.37776e-06,0.733021,-0.0327523,-0.00195261,-0.00162737,0.0846616,1.27724e-05,-0.00230018,1,180.193,0.30314,-0.00915489,nan,nan,nan,-0.0012774,-0.0843778,-0.000123509,0.00138014,1,154.917,0.29952,0.0461255,nan,nan,nan
0.042,-0.00121758,1.26155e-06,0.733033,-0.0315214,-0.00305811,-0.00163906,0.0846946,1.19731e-05,-0.000394324,1,170.667,0.303124,-0.00796298,nan,nan,nan,-0.00127864,-0.0843832,-0.000118388,0.00256669,1,149.818,0.299595,0.0373744,nan,nan,nan
0.044,-0.00127612,-6.60175e-06,0.733047,-0.0292712,-0.00393165,-0.00164828,0.0847196,1.37967e-05,0.00091621,1,160.055,0.30311,-0.00678715,nan,nan,nan,-0.00127949,-0.0843875,-0.000111902,0.00324853,1,144.458,0.299658,0.0317631,nan,nan,nan
0.046,-0.00133026,-1.6047e-05,0.733062,-0.0270705,-0.00472263,-0.00165586,0.0847394,1.73136e-05,0.0017619,1,155.384,0.303098,-0.00626248,nan,nan,nan,-0.00128031,-0.0843911,-0.000104707,0.00360208,1,141.118,0.29971,0.0261232,nan,nan,nan
0.048,-0.00138051,-2.69342e-05,0.733077,-0.025124,-0.0054436,-0.00166227,0.0847557,2.1863e-05,0.0022774,1,152.116,0.303086,-0.00592172,nan,nan,nan,-0.00128109,-0.0843943,-9.72464e-05,0.00373354,1,138.57,0.299753,0.0213948,nan,nan,nan
0.05,-0.00142734,-3.91315e-05,0.733091,-0.023415,-0.00609867,-0.00166781,0.0847698,2.69754e-05,0.00255836,1,149.718,0.303075,-0.00565653,nan,nan,nan,-0.00128184,-0.0843973,-8.9812e-05,0.0037199,1,136.782,0.299788,0.0175367,nan,nan,nan
0.052,-0.00147107,-5.25409e-05,0.733104,-0.0218627,-0.00670469,-0.00167272,0.0847824,3.23171e-05,0.00267259,1,147.897,0.303064,-0.0054632,nan,nan,nan,-0.00128256,-0.0844001,-8.25936e-05,0.00361135,1,135.591,0.299817,0.0144328,nan,nan,nan
0.054,-0.00151214,-6.7093e-05,0.733117,-0.0205356,-0.00727601,-0.00167716,0.0847939,3.76579e-05,0.00267176,1,146.639,0.303053,-0.00519258,nan,nan,nan,-0.00128324,-0.084403,-7.57173e-05,0.00343979,1,135.093,0.299841,0.0121408,nan,nan,nan
0.056,-0.00155073,-8.27264e-05,0.733128,-0.019297,-0.00781674,-0.00168124,0.0848049,4.28356e-05,0.00258997,1,145.6,0.303044,-0.0049693,nan,nan,nan,-0.0012839,-0.0844058,-6.92631e-05,0.00322842,1,134.697,0.299862,0.0103924,nan,nan,nan
0.058,-0.00158729,-9.94536e-05,0.733138,-0.0182817,-0.00836357,-0.00168506,0.0848154,4.77502e-05,0.00245822,1,144.942,0.303036,-0.00399866,nan,nan,nan,-0.00128454,-0.0844086,-6.32669e-05,0.00299917,1,134.616,0.29988,0.00918865,nan,nan,nan
0.06,-0.0016223,-0.000117208,0.733147,-0.0175037,-0.00887696,-0.00168862,0.0848255,5.23364e-05,0.00229393,1,144.525,0.303031,-0.00252733,nan,nan,nan,-0.00128515,-0.0844114,-5.77428e-05,0.00276289,1,134.618,0.299898,0.00899135,nan,nan,nan
0.062,-0.00165609,-0.000135904,0.733154,-0.0168959,-0.00934849,-0.00169195,0.0848355,5.65554e-05,0.00211026,1,144.48,0.303028,-0.0010029,nan,nan,nan,-0.00128574,-0.0844143,-5.26861e-05,0.00252912,1,134.207,0.299919,0.010405,nan,nan,nan
