t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732859,0,-0.0155034,-0.000482873,-0.99988,0,0,0,0,DISABLED,0
0.0399961,-1.77883e-07,-1.33179e-07,0,-4.58397e-06,0.732859,0,-0.015508,-0.000482272,-0.99988,3.71458e-06,0,0,0,DISABLED,0
0.0599961,-3.25032e-07,-2.41678e-07,0,-8.73487e-06,0.732859,0,-0.0155122,-0.000481718,-0.99988,7.07596e-06,0,0,0,DISABLED,0
0.0799961,-4.90807e-07,-3.6275e-07,0,-1.24574e-05,0.732859,0,-0.0155159,-0.000481218,-0.999879,1.00847e-05,0,0,0,DISABLED,0
0.0999961,-6.59376e-07,-4.83356e-07,0,-1.6585e-05,0.732859,0,-0.01552,-0.000480664,-0.999879,1.3413e-05,0,0,0,DISABLED,0
0.119996,-8.28877e-07,-6.03497e-07,0,-2.07024e-05,0.732859,0,-0.0155241,-0.000480109,-0.999879,1.67305e-05,0,0,0,DISABLED,0
0.139996,-1.01794e-06,-7.34814e-07,0,-2.52137e-05,0.732858,0,-0.0155287,-0.000479501,-0.999879,2.03708e-05,0,0,0,DISABLED,0
0.159996,-1.1744e-06,-8.42847e-07,0,-2.88915e-05,0.732858,0,-0.0155323,-0.000479008,-0.999879,2.33309e-05,0,0,0,DISABLED,0
0.179996,-1.34949e-06,-9.62988e-07,0,-3.2966e-05,0.732858,0,-0.0155364,-0.000478467,-0.999879,2.65988e-05,0,0,0,DISABLED,0
0.199996,-1.52737e-06,-1.0822e-06,0,-3.70303e-05,0.732858,0,-0.0155405,-0.000477928,-0.999879,2.98516e-05,0,0,0,DISABLED,0
0.219996,-1.70618e-06,-1.20141e-06,0,-4.06764e-05,0.732858,0,-0.0155441,-0.000477443,-0.999879,3.27684e-05,0,0,0,DISABLED,0
0.239996,-1.90549e-06,-1.33179e-06,0,-4.51179e-05,0.732858,0,-0.0155486,-0.00047686,-0.999879,3.63237e-05,0,0,0,DISABLED,0
0.259996,-2.07033e-06,-1.43843e-06,0,-4.9145e-05,0.732858,0,-0.0155526,-0.000476336,-0.999879,3.95435e-05,0,0,0,DISABLED,0
0.279996,-2.25473e-06,-1.55717e-06,0,-5.35585e-05,0.732858,0,-0.015557,-0.00047577,-0.999879,4.30659e-05,0,0,0,DISABLED,0
0.299996,-2.441e-06,-1.67638e-06,0,-5.71562e-05,0.732858,0,-0.0155606,-0.000475311,-0.999879,4.59303e-05,0,0,0,DISABLED,0
