time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,-1.13011e-05,-5.59457e-07,0.733648,-0.00568231,-0.000279796,-0.000974783,0.0837007,0.000648996,-0.0436995,1,112.785,0.300189,0.055712,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,101.034,0.300135,0.0283312,nan,nan,nan
0.01,-3.41882e-05,-1.70777e-06,0.73352,-0.0114436,-0.000574157,-0.000976033,0.0837369,0.000562006,-0.0434852,1,118.354,0.300313,0.0617313,nan,nan,nan,-0.000972803,-0.0837352,0.000559716,-0.0446317,1,106.583,0.300147,0.00642533,nan,nan,nan
0.012,-6.74519e-05,-3.05002e-06,0.733389,-0.0166318,-0.000671126,-0.0009804,0.0838076,0.00047424,-0.0438628,1,131.431,0.300457,0.0721716,nan,nan,nan,-0.000970146,-0.0838008,0.000467114,-0.0462868,1,117.157,0.300129,-0.00916474,nan,nan,nan
0.014,-0.000109971,-4.11518e-06,0.733254,-0.0212595,-0.000532581,-0.000991447,0.0839031,0.000388274,-0.0429554,1,132.636,0.300587,0.0647616,nan,nan,nan,-0.000970619,-0.0838861,0.000373513,-0.0467821,1,118.94,0.300061,-0.0339476,nan,nan,nan
0.016,-0.000160747,-4.65829e-06,0.733118,-0.0253881,-0.000271553,-0.00100694,0.0840183,0.000301704,-0.0432528,1,133.449,0.300689,0.051086,nan,nan,nan,-0.000973355,-0.0839859,0.000277565,-0.0479503,1,120.723,0.29993,-0.0655912,nan,nan,nan
0.018,-0.000219164,-4.61317e-06,0.732979,-0.0292087,2.25621e-05,-0.00102859,0.0841516,0.000213032,-0.0443014,1,134.724,0.300756,0.0337833,nan,nan,nan,-0.000977693,-0.0840953,0.00017836,-0.0495738,1,122.235,0.299726,-0.102185,nan,nan,nan
0.02,-0.000284898,-1.07059e-05,0.732848,-0.0328671,-0.00304634,-0.00105485,0.0842979,0.000121782,-0.0455885,1,209.612,0.300931,0.0873199,nan,nan,nan,-0.000983133,-0.0842105,7.53875e-05,-0.0514526,1,123.061,0.299433,-0.146552,nan,nan,nan
0.022,-0.000359318,-3.31127e-07,0.73275,-0.0372098,0.00518736,-0.00108625,0.0844256,4.51677e-05,-0.0382803,1,205.382,0.301159,0.114133,nan,nan,nan,-0.000989182,-0.08433,-3.12604e-05,-0.0532831,1,310.821,0.299479,0.0231671,nan,nan,nan
0.024,-0.000443156,9.27449e-06,0.73269,-0.0419191,0.00480281,-0.00112099,0.0845418,-2.09082e-05,-0.0330158,1,282.908,0.301607,0.223969,nan,nan,nan,-0.000995591,-0.0844074,-0.000100677,-0.0346895,1,274.163,0.299755,0.137843,nan,nan,nan
0.026,-0.000532585,1.78269e-05,0.732659,-0.0447142,0.00427619,-0.0011459,0.0846174,-6.18775e-05,-0.020466,1,242.891,0.302167,0.279798,nan,nan,nan,-0.00100056,-0.0844565,-0.000142063,-0.0206778,1,239.64,0.300144,0.194442,nan,nan,nan
0.028,-0.000620882,2.355e-05,0.732646,-0.0441485,0.00286154,-0.00116346,0.0846665,-8.52982e-05,-0.0116895,1,217.196,0.302762,0.29742,nan,nan,nan,-0.00100421,-0.0844881,-0.000164484,-0.0111937,1,201.908,0.300613,0.234767,nan,nan,nan
0.03,-0.000705664,2.66245e-05,0.732645,-0.0423913,0.00153729,-0.0011761,0.0846991,-9.67895e-05,-0.00572423,1,199.872,0.303338,0.287989,nan,nan,nan,-0.00100691,-0.0845086,-0.000174106,-0.00479267,1,181.195,0.301101,0.243856,nan,nan,nan
0.032,-0.000785773,2.73555e-05,0.732654,-0.0400543,0.000365475,-0.00118523,0.0847215,-0.000100276,-0.00172283,1,186.978,0.303865,0.263497,nan,nan,nan,-0.00100885,-0.0845222,-0.000175293,-0.000575255,1,167.09,0.301565,0.23206,nan,nan,nan
0.034,-0.000860656,2.60099e-05,0.732669,-0.0374415,-0.000672803,-0.00119191,0.0847374,-9.84397e-05,0.000935828,1,177.761,0.304326,0.23076,nan,nan,nan,-0.00101018,-0.0845316,-0.000171075,0.00212509,1,157.013,0.30198,0.207581,nan,nan,nan
0.036,-0.000930153,2.28251e-05,0.732688,-0.0347485,-0.00159238,-0.00119691,0.0847493,-9.31345e-05,0.00266748,1,171.581,0.304716,0.19464,nan,nan,nan,-0.00101102,-0.0845384,-0.000163535,0.00378408,1,149.71,0.302332,0.176067,nan,nan,nan
0.038,-0.000994359,1.78161e-05,0.732711,-0.0321032,-0.00250451,-0.00120078,0.0847588,-8.54903e-05,0.003834,1,166.817,0.30503,0.157333,nan,nan,nan,-0.00101148,-0.0845436,-0.000154094,0.00473194,1,144.865,0.302616,0.142088,nan,nan,nan
0.04,-0.00105391,1.09856e-05,0.732735,-0.0297765,-0.00341523,-0.00120389,0.084767,-7.62347e-05,0.00463707,1,162.665,0.30528,0.124857,nan,nan,nan,-0.00101165,-0.0845478,-0.000143702,0.00520462,1,140.205,0.302842,0.112619,nan,nan,nan
0.042,-0.00110953,2.40555e-06,0.732761,-0.0278085,-0.00429005,-0.00120652,0.0847745,-6.5853e-05,0.00519807,1,159.062,0.305476,0.0982895,nan,nan,nan,-0.00101163,-0.0845515,-0.000132969,0.00537307,1,136.753,0.303019,0.0884945,nan,nan,nan
0.044,-0.00116183,-7.80527e-06,0.732787,-0.0261479,-0.00510541,-0.00120889,0.0847816,-5.47196e-05,0.0055726,1,156.209,0.30563,0.0765916,nan,nan,nan,-0.00101149,-0.0845549,-0.000122299,0.00534084,1,134.267,0.303156,0.0688324,nan,nan,nan
0.046,-0.00121117,-1.94991e-05,0.732812,-0.0246739,-0.00584691,-0.00121111,0.0847887,-4.3172e-05,0.00577865,1,154.305,0.305744,0.0570056,nan,nan,nan,-0.00101127,-0.0845581,-0.000111952,0.00517783,1,132.792,0.303259,0.0514721,nan,nan,nan
0.048,-0.00125628,-3.1854e-05,0.732836,-0.0225553,-0.00617747,-0.00121325,0.0847957,-3.15279e-05,0.00582616,1,146.747,0.305832,0.04436,nan,nan,nan,-0.001011,-0.0845613,-0.000102092,0.0049335,1,130.674,0.303334,0.0372235,nan,nan,nan
0.05,-0.00129781,-4.47225e-05,0.732858,-0.0207632,-0.00643425,-0.00121544,0.0848029,-2.06254e-05,0.00545442,1,145.794,0.305901,0.034251,nan,nan,nan,-0.00101094,-0.0845645,-9.29013e-05,0.00459779,1,130.144,0.303384,0.0250995,nan,nan,nan
0.052,-0.00133649,-5.81449e-05,0.732878,-0.0193425,-0.00671118,-0.00121764,0.08481,-1.05924e-05,0.00501891,1,145.54,0.305954,0.0263212,nan,nan,nan,-0.00101102,-0.0845676,-8.44113e-05,0.00424699,1,129.937,0.303416,0.0159156,nan,nan,nan
0.054,-0.00137281,-7.21748e-05,0.732897,-0.0181571,-0.00701493,-0.00121984,0.0848172,-1.39934e-06,0.00459846,1,145.48,0.305994,0.0200893,nan,nan,nan,-0.00101118,-0.0845707,-7.66209e-05,0.00389673,1,129.868,0.303434,0.00916898,nan,nan,nan
0.056,-0.001407,-8.68326e-05,0.732913,-0.0170974,-0.0073289,-0.00122204,0.0848245,7.02826e-06,0.00421536,1,145.321,0.306024,0.0149917,nan,nan,nan,-0.00101139,-0.0845738,-6.95084e-05,0.00355743,1,129.867,0.303443,0.00428595,nan,nan,nan
0.058,-0.0014396,-0.000102128,0.732928,-0.0162975,-0.00764753,-0.00122425,0.0848318,1.47117e-05,0.00384298,1,144.947,0.306047,0.011413,nan,nan,nan,-0.00101165,-0.0845769,-6.30431e-05,0.00323365,1,129.944,0.303447,0.00213271,nan,nan,nan
0.06,-0.00147104,-0.000118096,0.732941,-0.01572,-0.00798406,-0.00122652,0.0848394,2.16396e-05,0.003465,1,145.097,0.306065,0.00903421,nan,nan,nan,-0.00101194,-0.08458,-5.71802e-05,0.00293223,1,130.385,0.303449,0.000962299,nan,nan,nan
0.062,-0.00150169,-0.000134762,0.732953,-0.0153249,-0.00833335,-0.00122879,0.0848472,2.78733e-05,0.00311778,1,145.244,0.30608,0.00754213,nan,nan,nan,-0.00101224,-0.0845831,-5.18822e-05,0.00264974,1,130.87,0.30345,0.000497606,nan,nan,nan
0.064,-0.00153185,-0.000152145,0.732964,-0.0150802,-0.00869115,-0.00123103,0.0848551,3.34702e-05,0.00279932,1,145.369,0.306093,0.00669521,nan,nan,nan,-0.00101253,-0.0845862,-4.71086e-05,0.00238742,1,131.376,0.303451,0.000544278,nan,nan,nan
0.066,-0.00156177,-0.000170252,0.732973,-0.0149589,-0.00905359,-0.00123324,0.084863,3.84803e-05,0.00250579,1,145.474,0.306106,0.00630066,nan,nan,nan,-0.00101281,-0.0845893,-4.28182e-05,0.00214574,1,131.887,0.303453,0.000956765,nan,nan,nan
0.068,-0.00159048,-0.000188857,0.73298,-0.0143574,-0.00930232,-0.00123539,0.084871,4.29472e-05,0.00223423,1,138.134,0.306117,0.00546316,nan,nan,nan,-0.00101307,-0.0845924,-3.89703e-05,0.00192452,1,134.023,0.303454,0.000839594,nan,nan,nan
0.07,-0.00161805,-0.000208012,0.732985,-0.0137854,-0.00957747,-0.00123799,0.0848802,4.65159e-05,0.00178503,1,139.118,0.306126,0.00493624,nan,nan,nan,-0.00101355,-0.0845954,-3.57388e-05,0.00161623,1,134.889,0.303456,0.000846898,nan,nan,nan
0.072,-0.00164457,-0.000227747,0.732989,-0.0132577,-0.00986789,-0.00124091,0.0848902,4.93226e-05,0.00140398,1,139.906,0.306136,0.00460816,nan,nan,nan,-0.00101417,-0.0845983,-3.30136e-05,0.00136304,1,135.649,0.303458,0.000974749,nan,nan,nan
0.074,-0.00167012,-0.000248088,0.732992,-0.0127745,-0.0101704,-0.00124404,0.0849008,5.14905e-05,0.00108458,1,140.536,0.306145,0.00443225,nan,nan,nan,-0.00101487,-0.0846011,-3.07072e-05,0.00115363,1,136.258,0.30346,0.0011893,nan,nan,nan
0.076,-0.00169478,-0.000269081,0.732994,-0.0123334,-0.0104963,-0.0012473,0.0849116,5.31228e-05,0.000816817,1,141.04,0.306153,0.00438697,nan,nan,nan,-0.00101563,-0.0846039,-2.87496e-05,0.000979218,1,136.591,0.303463,0.00140715,nan,nan,nan
0.078,-0.00171866,-0.00029073,0.732995,-0.0119358,-0.0108249,-0.00125063,0.0849227,5.43062e-05,0.0005924,1,141.45,0.306162,0.00443574,nan,nan,nan,-0.00101646,-0.0846069,-2.71227e-05,0.000813866,1,137.067,0.303467,0.00169115,nan,nan,nan
0.08,-0.00174182,-0.000313043,0.732994,-0.0115807,-0.0111563,-0.001254,0.0849338,5.51128e-05,0.000404037,1,141.788,0.306171,0.00456423,nan,nan,nan,-0.00101733,-0.08461,-2.57626e-05,0.000680499,1,137.46,0.303471,0.00201063,nan,nan,nan
0.082,-0.00176435,-0.000336024,0.732993,-0.0112684,-0.0114903,-0.00125738,0.084945,5.56027e-05,0.000245706,1,142.063,0.306181,0.0047576,nan,nan,nan,-0.00101822,-0.0846132,-2.46153e-05,0.000574094,1,137.782,0.303475,0.00235309,nan,nan,nan
0.084,-0.00178635,-0.000359675,0.732992,-0.0109993,-0.011826,-0.00126074,0.0849561,5.58257e-05,0.000112349,1,142.286,0.306191,0.00500287,nan,nan,nan,-0.00101913,-0.0846165,-2.36391e-05,0.000488579,1,138.049,0.303481,0.00271199,nan,nan,nan
0.086,-0.0018079,-0.000383999,0.732989,-0.0107758,-0.012162,-0.00126409,0.0849673,5.58234e-05,-2.67196e-07,1,142.455,0.306202,0.00538768,nan,nan,nan,-0.00102004,-0.0846197,-2.28019e-05,0.000419143,1,138.276,0.303487,0.00308438,nan,nan,nan
0.088,-0.00182943,-0.000408987,0.732986,-0.010761,-0.0124937,-0.00126741,0.0849784,5.56311e-05,-9.51444e-05,1,141.151,0.306212,0.00515071,nan,nan,nan,-0.00102095,-0.084623,-2.20786e-05,0.000362213,1,140.556,0.30349,0.00158342,nan,nan,nan
0.09,-0.00185099,-0.000434617,0.732983,-0.0107805,-0.0128151,-0.00127053,0.0849891,5.52947e-05,-0.000167218,1,141.423,0.306222,0.00510632,nan,nan,nan,-0.00102189,-0.0846262,-2.15454e-05,0.000267189,1,140.869,0.303491,0.00048444,nan,nan,nan
0.092,-0.00187264,-0.000460855,0.73298,-0.0108255,-0.0131192,-0.00127352,0.0849996,5.48422e-05,-0.000225271,1,141.617,0.306232,0.00518101,nan,nan,nan,-0.00102286,-0.0846293,-2.11549e-05,0.000195871,1,141.1,0.303491,-0.000293795,nan,nan,nan
