time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,-1.13011e-05,-5.59499e-07,0.733648,-0.00568231,-0.000279817,-0.000974783,0.0837007,0.000648996,-0.0436995,1,112.785,0.300189,0.0557111,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,101.034,0.300135,0.0283304,nan,nan,nan
0.01,-3.41883e-05,-1.7079e-06,0.73352,-0.0114436,-0.000574198,-0.000976033,0.0837369,0.000562005,-0.0434852,1,118.354,0.300313,0.0617294,nan,nan,nan,-0.000972803,-0.0837352,0.000559715,-0.0446318,1,106.582,0.300147,0.00642375,nan,nan,nan
0.012,-6.74519e-05,-3.05029e-06,0.733389,-0.0166318,-0.000671195,-0.0009804,0.0838076,0.00047424,-0.0438629,1,131.431,0.300457,0.072169,nan,nan,nan,-0.000970146,-0.0838008,0.000467114,-0.0462869,1,117.156,0.300129,-0.00916697,nan,nan,nan
0.014,-0.000109971,-4.11556e-06,0.733254,-0.0212595,-0.000532638,-0.000991447,0.0839031,0.000388274,-0.0429555,1,132.635,0.300587,0.0647583,nan,nan,nan,-0.000970619,-0.0838861,0.000373512,-0.0467823,1,118.94,0.300061,-0.0339503,nan,nan,nan
0.016,-0.000160747,-4.65884e-06,0.733118,-0.0253881,-0.000271638,-0.00100694,0.0840183,0.000301703,-0.043253,1,133.449,0.300689,0.0510832,nan,nan,nan,-0.000973355,-0.0839859,0.000277564,-0.0479505,1,120.723,0.29993,-0.0655943,nan,nan,nan
0.018,-0.000219165,-4.61392e-06,0.732979,-0.0292088,2.24611e-05,-0.00102859,0.0841516,0.000213031,-0.0443016,1,134.724,0.300756,0.0337799,nan,nan,nan,-0.000977693,-0.0840953,0.000178359,-0.049574,1,122.235,0.299726,-0.102188,nan,nan,nan
0.02,-0.000284899,-1.07069e-05,0.732848,-0.0328672,-0.00304647,-0.00105485,0.0842979,0.00012178,-0.0455887,1,209.613,0.300931,0.0873165,nan,nan,nan,-0.000983132,-0.0842105,7.53854e-05,-0.0514529,1,123.06,0.299433,-0.146556,nan,nan,nan
0.022,-0.000359319,-3.3227e-07,0.73275,-0.0372099,0.00518729,-0.00108625,0.0844256,4.51652e-05,-0.0382806,1,205.383,0.301159,0.114129,nan,nan,nan,-0.000989181,-0.08433,-3.12631e-05,-0.0532834,1,310.822,0.299479,0.0231645,nan,nan,nan
0.024,-0.000443158,9.27316e-06,0.73269,-0.0419193,0.00480272,-0.00112099,0.0845418,-2.09112e-05,-0.033016,1,282.909,0.301607,0.223967,nan,nan,nan,-0.00099559,-0.0844074,-0.00010068,-0.0346897,1,274.164,0.299755,0.137842,nan,nan,nan
0.026,-0.000532586,1.78253e-05,0.732659,-0.0447144,0.00427609,-0.0011459,0.0846174,-6.18807e-05,-0.0204661,1,242.892,0.302167,0.279797,nan,nan,nan,-0.00100055,-0.0844565,-0.000142067,-0.0206778,1,239.641,0.300143,0.194441,nan,nan,nan
0.028,-0.00062107,2.37959e-05,0.732646,-0.0442419,0.00298528,-0.00116346,0.0846665,-8.53014e-05,-0.0116896,1,214.967,0.302768,0.300392,nan,nan,nan,-0.00100421,-0.0844881,-0.000164487,-0.0111937,1,203.801,0.300611,0.233576,nan,nan,nan
0.03,-0.000706268,2.72248e-05,0.732645,-0.042599,0.00171446,-0.00117609,0.0846991,-9.6795e-05,-0.00572502,1,196.839,0.303354,0.293065,nan,nan,nan,-0.0010069,-0.0845085,-0.000174121,-0.00479875,1,184.054,0.301097,0.243143,nan,nan,nan
0.032,-0.000786986,2.83203e-05,0.732654,-0.040359,0.000547726,-0.00118521,0.0847214,-0.000100252,-0.00170763,1,184.015,0.303895,0.270371,nan,nan,nan,-0.00100883,-0.0845222,-0.000175339,-0.000590565,1,169.968,0.30156,0.231724,nan,nan,nan
0.034,-0.000862634,2.73629e-05,0.732669,-0.0378238,-0.000478701,-0.00119188,0.0847373,-9.83702e-05,0.000959397,1,174.83,0.304373,0.239011,nan,nan,nan,-0.00101015,-0.0845316,-0.000171165,0.00210371,1,159.946,0.301975,0.207486,nan,nan,nan
0.036,-0.000933016,2.46284e-05,0.732688,-0.0351913,-0.00136725,-0.00119686,0.0847492,-9.30077e-05,0.00269691,1,168.614,0.30478,0.203815,nan,nan,nan,-0.00101099,-0.0845383,-0.000163678,0.00375769,1,152.592,0.302327,0.17594,nan,nan,nan
0.038,-0.000998203,2.03596e-05,0.732711,-0.0325934,-0.00213438,-0.0012007,0.0847587,-8.53631e-05,0.00383505,1,164.158,0.305115,0.16763,nan,nan,nan,-0.00101144,-0.0845434,-0.000154298,0.00470171,1,147.323,0.302609,0.141114,nan,nan,nan
0.04,-0.00105874,1.4508e-05,0.732736,-0.0302684,-0.00292584,-0.00120378,0.0847669,-7.623e-05,0.00457657,1,161.202,0.305383,0.133736,nan,nan,nan,-0.0010116,-0.0845476,-0.000143967,0.00517426,1,141.652,0.302832,0.111397,nan,nan,nan
0.042,-0.00111534,7.11016e-06,0.732761,-0.0282982,-0.0036989,-0.00120634,0.0847742,-6.61773e-05,0.00503415,1,157.776,0.305595,0.10598,nan,nan,nan,-0.00101157,-0.0845513,-0.000133268,0.00535681,1,138.119,0.303006,0.0870553,nan,nan,nan
0.044,-0.00116855,-1.69419e-06,0.732787,-0.0266086,-0.00440217,-0.00120862,0.0847812,-5.5531e-05,0.00532943,1,154.81,0.305761,0.0832549,nan,nan,nan,-0.00101141,-0.0845546,-0.000122608,0.00533559,1,136.123,0.303139,0.0661396,nan,nan,nan
0.046,-0.00121696,-1.1642e-05,0.732812,-0.024204,-0.0049739,-0.00121075,0.084788,-4.45517e-05,0.0054948,1,145.18,0.305892,0.0652378,nan,nan,nan,-0.00101117,-0.0845578,-0.000112271,0.00517276,1,135.012,0.303241,0.0511053,nan,nan,nan
0.048,-0.00126132,-2.259e-05,0.732835,-0.0221785,-0.005474,-0.00121292,0.0847947,-3.40727e-05,0.00524341,1,143.717,0.305993,0.0506672,nan,nan,nan,-0.00101111,-0.084561,-0.000102492,0.0048933,1,134.054,0.303318,0.038677,nan,nan,nan
0.05,-0.00130228,-3.45171e-05,0.732856,-0.0204819,-0.00596356,-0.00121511,0.0848014,-2.42916e-05,0.00489352,1,143.109,0.306071,0.0390419,nan,nan,nan,-0.00101117,-0.0845642,-9.33507e-05,0.00457311,1,133.561,0.303375,0.0283737,nan,nan,nan
0.052,-0.00134033,-4.74167e-05,0.732875,-0.0190235,-0.00644981,-0.00121731,0.084808,-1.52075e-05,0.00454434,1,142.812,0.306131,0.0297982,nan,nan,nan,-0.0010113,-0.0845673,-8.4883e-05,0.00423589,1,133.309,0.303415,0.0200661,nan,nan,nan
0.054,-0.00137598,-6.13001e-05,0.732893,-0.0178238,-0.0069417,-0.00121953,0.0848147,-6.79213e-06,0.00420952,1,142.718,0.306176,0.0225375,nan,nan,nan,-0.00101148,-0.0845704,-7.70927e-05,0.00389674,1,133.197,0.303443,0.0139472,nan,nan,nan
0.056,-0.0014095,-7.61717e-05,0.732909,-0.0167634,-0.00743577,-0.00122175,0.0848214,9.65648e-07,0.00388036,1,142.578,0.306209,0.0167627,nan,nan,nan,-0.00101168,-0.0845736,-6.99627e-05,0.00356624,1,133.181,0.303462,0.00933245,nan,nan,nan
0.058,-0.00144126,-9.20567e-05,0.732924,-0.0158803,-0.0079425,-0.00122397,0.0848281,8.08899e-06,0.00356288,1,141.859,0.306234,0.0123629,nan,nan,nan,-0.00101191,-0.0845768,-6.34633e-05,0.00325071,1,133.638,0.303474,0.00620569,nan,nan,nan
0.06,-0.00147169,-0.000108944,0.732936,-0.0152152,-0.00844348,-0.00122627,0.0848351,1.45214e-05,0.00321721,1,141.913,0.306253,0.009284,nan,nan,nan,-0.00101216,-0.08458,-5.75684e-05,0.00294828,1,134.064,0.303482,0.00419788,nan,nan,nan
0.062,-0.00150126,-0.000126778,0.732948,-0.0147827,-0.0089174,-0.00122859,0.0848423,2.0309e-05,0.00289471,1,142,0.306267,0.00730177,nan,nan,nan,-0.00101242,-0.0845832,-5.22402e-05,0.00266482,1,134.538,0.303489,0.00314084,nan,nan,nan
0.064,-0.00153028,-0.000145537,0.732958,-0.01451,-0.00937913,-0.00123089,0.0848497,2.54929e-05,0.00259277,1,142.092,0.306279,0.00606842,nan,nan,nan,-0.00101266,-0.0845864,-4.74327e-05,0.00240434,1,135.019,0.303494,0.00269916,nan,nan,nan
0.066,-0.001559,-0.000165191,0.732967,-0.0143592,-0.00982711,-0.00123316,0.0848572,3.012e-05,0.0023143,1,142.191,0.30629,0.00530238,nan,nan,nan,-0.00101288,-0.0845896,-4.31042e-05,0.00216484,1,135.482,0.3035,0.00273551,nan,nan,nan
0.068,-0.00158759,-0.000185705,0.732974,-0.014298,-0.0102568,-0.00123539,0.0848647,3.42337e-05,0.0020576,1,142.302,0.3063,0.00476014,nan,nan,nan,-0.00101309,-0.0845928,-3.92126e-05,0.00194633,1,135.868,0.303506,0.00315813,nan,nan,nan
0.07,-0.00161615,-0.000207041,0.732981,-0.0142781,-0.0106682,-0.00123758,0.0848722,3.78703e-05,0.00181902,1,141.007,0.306308,0.00407589,nan,nan,nan,-0.00101328,-0.0845961,-3.57219e-05,0.00174591,1,136.801,0.303515,0.00446534,nan,nan,nan
0.072,-0.0016435,-0.000228896,0.732986,-0.0136757,-0.0109273,-0.00124017,0.084881,4.09607e-05,0.00154591,1,136.216,0.306314,0.00330103,nan,nan,nan,-0.00101347,-0.0845993,-3.26072e-05,0.00155784,1,137.631,0.303523,0.00392044,nan,nan,nan
0.074,-0.00166969,-0.000251311,0.73299,-0.0130943,-0.0112077,-0.00124313,0.0848907,4.33425e-05,0.00119163,1,137.014,0.30632,0.00275927,nan,nan,nan,-0.00101388,-0.0846025,-3.00149e-05,0.00129665,1,138.162,0.30353,0.00348674,nan,nan,nan
0.076,-0.00169472,-0.00027433,0.732992,-0.0125164,-0.0115097,-0.00124634,0.084901,4.5118e-05,0.000888432,1,137.684,0.306325,0.00238636,nan,nan,nan,-0.00101448,-0.0846058,-2.79068e-05,0.00105453,1,138.746,0.303536,0.00319177,nan,nan,nan
0.078,-0.00171878,-0.000297958,0.732993,-0.0120294,-0.0118137,-0.00124974,0.0849116,4.63751e-05,0.000629312,1,138.277,0.306329,0.00227522,nan,nan,nan,-0.0010152,-0.0846092,-2.61955e-05,0.000856075,1,139.432,0.303542,0.00310086,nan,nan,nan
0.08,-0.00174196,-0.000322217,0.732993,-0.0115909,-0.0121296,-0.00125322,0.0849225,4.72017e-05,0.000414043,1,138.738,0.306334,0.00232379,nan,nan,nan,-0.00101598,-0.0846126,-2.47891e-05,0.000703658,1,139.882,0.303548,0.00310978,nan,nan,nan
0.082,-0.00176436,-0.00034713,0.732992,-0.011199,-0.0124565,-0.00125675,0.0849334,4.76661e-05,0.000233065,1,139.114,0.306339,0.00249262,nan,nan,nan,-0.00101681,-0.0846161,-2.3622e-05,0.000584047,1,140.232,0.303555,0.00318925,nan,nan,nan
0.084,-0.00178607,-0.000372714,0.73299,-0.0108535,-0.0127921,-0.0012603,0.0849444,4.78262e-05,8.09559e-05,1,139.422,0.306344,0.0027543,nan,nan,nan,-0.00101765,-0.0846196,-2.26447e-05,0.000489124,1,140.515,0.303561,0.00332346,nan,nan,nan
0.086,-0.00180718,-0.000398982,0.732988,-0.0105544,-0.013134,-0.00126385,0.0849554,4.77302e-05,-4.70454e-05,1,139.677,0.306351,0.00308739,nan,nan,nan,-0.00101851,-0.0846231,-2.18188e-05,0.000413485,1,140.746,0.303568,0.00350139,nan,nan,nan
0.088,-0.00182816,-0.000425549,0.732985,-0.0104899,-0.0132833,-0.00126738,0.0849664,4.74181e-05,-0.000154962,1,140.419,0.306357,0.00333707,nan,nan,nan,-0.00101937,-0.0846265,-2.11142e-05,0.000352889,1,141.15,0.303572,0.00189103,nan,nan,nan
0.09,-0.00184908,-0.000452401,0.732982,-0.0104626,-0.0134261,-0.00127074,0.0849771,4.69761e-05,-0.00021993,1,140.716,0.306365,0.00371648,nan,nan,nan,-0.00102026,-0.0846299,-2.05821e-05,0.000266616,1,141.426,0.303574,0.000683176,nan,nan,nan
0.092,-0.00187001,-0.000479518,0.732978,-0.010463,-0.0135586,-0.00127396,0.0849874,4.64312e-05,-0.000271358,1,140.895,0.306373,0.00414308,nan,nan,nan,-0.00102118,-0.0846332,-2.01812e-05,0.000201054,1,141.64,0.303573,-0.000191095,nan,nan,nan
