t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732859,0.000345267,-0.0155428,-0.000475517,-0.999879,0,0,0,0,DISABLED,0
0.0399961,-1.43424e-07,-1.28523e-07,0,-4.13973e-06,0.732859,0.000345267,-0.015547,-0.000474983,-0.999879,3.4828e-06,0,0,0,DISABLED,0
0.0599961,-2.87779e-07,-2.57511e-07,0,-8.26642e-06,0.732859,0.000345267,-0.0155511,-0.000474441,-0.999879,6.94708e-06,0,0,0,DISABLED,0
0.0799961,-4.35859e-07,-3.86499e-07,0,-1.23801e-05,0.732859,0.000345267,-0.0155552,-0.000473896,-0.999879,1.039e-05,0,0,0,DISABLED,0
0.0999961,-5.99772e-07,-5.2806e-07,0,-1.64825e-05,0.732859,0.000345267,-0.0155593,-0.000473353,-0.999879,1.38163e-05,0,0,0,DISABLED,0
0.119996,-7.36676e-07,-6.4401e-07,0,-2.05711e-05,0.732859,0.000345267,-0.0155634,-0.000472813,-0.999879,1.72254e-05,0,0,0,DISABLED,0
0.139996,-8.89413e-07,-7.72532e-07,0,-2.46484e-05,0.732859,0.000345267,-0.0155675,-0.000472284,-0.999879,2.06243e-05,0,0,0,DISABLED,0
0.159996,-1.04494e-06,-9.01055e-07,0,-2.87089e-05,0.732859,0.000345267,-0.0155715,-0.000471749,-0.999879,2.39998e-05,0,0,0,DISABLED,0
0.179996,-1.17067e-06,-1.00303e-06,0,-3.1949e-05,0.732859,0.000345267,-0.0155748,-0.000471323,-0.999879,2.66833e-05,0,0,0,DISABLED,0
0.199996,-1.36066e-06,-1.15624e-06,0,-3.67947e-05,0.732859,0.000345267,-0.0155796,-0.000470687,-0.999879,3.06902e-05,0,0,0,DISABLED,0
0.219996,-1.53761e-06,-1.2964e-06,0,-4.08199e-05,0.732859,0.000345267,-0.0155836,-0.000470168,-0.999878,3.40309e-05,0,0,0,DISABLED,0
0.239996,-1.68476e-06,-1.41142e-06,0,-4.48246e-05,0.732859,0.000345267,-0.0155876,-0.00046965,-0.999878,3.73481e-05,0,0,0,DISABLED,0
0.259996,-1.86544e-06,-1.55158e-06,0,-4.92167e-05,0.732859,0,-0.015592,-0.000469093,-0.999878,4.09667e-05,0,0,0,DISABLED,0
0.279996,-2.03215e-06,-1.67871e-06,0,-5.31962e-05,0.732859,0,-0.015596,-0.000468592,-0.999878,4.42374e-05,0,0,0,DISABLED,0
0.299996,-2.18395e-06,-1.79326e-06,0,-5.67641e-05,0.732859,0,-0.0155996,-0.000468143,-0.999878,4.71699e-05,0,0,0,DISABLED,0
0.319996,-2.35438e-06,-1.91992e-06,0,-6.07176e-05,0.732859,0,-0.0156035,-0.000467649,-0.999878,5.04218e-05,0,0,0,DISABLED,0
0.339996,-2.52668e-06,-2.04565e-06,0,-6.46617e-05,0.732859,0,-0.0156075,-0.000467163,-0.999878,5.36783e-05,0,0,0,DISABLED,0
0.359996,-2.5956e-06,-2.09594e-06,0,-6.62357e-05,0.732859,0.000345267,-0.0156091,-0.000466972,-0.999878,5.49837e-05,0,0,0,DISABLED,0
0.379996,-2.87499e-06,-2.29571e-06,0,-7.25156e-05,0.732859,0,-0.0156153,-0.000466185,-0.999878,6.01681e-05,0,0,0,DISABLED,0
0.399996,-3.03425e-06,-2.40793e-06,0,-7.60341e-05,0.732859,0,-0.0156189,-0.000465747,-0.999878,6.30885e-05,0,0,0,DISABLED,0
0.419996,-3.23169e-06,-2.54624e-06,0,-8.06963e-05,0.732859,0.000345267,-0.0156235,-0.000465183,-0.999878,6.69528e-05,0,0,0,DISABLED,0
0.439996,-3.41237e-06,-2.6729e-06,0,-8.45678e-05,0.732859,0.000345267,-0.0156274,-0.000464731,-0.999878,7.01317e-05,0,0,0,DISABLED,0
0.459996,-3.57721e-06,-2.78698e-06,0,-8.76542e-05,0.732859,0,-0.0156305,-0.000464371,-0.999878,7.26532e-05,0,0,0,DISABLED,0
0.479996,-3.78024e-06,-2.92482e-06,0,-9.18824e-05,0.732859,0,-0.0156347,-0.000463874,-0.999878,7.61267e-05,0,0,0,DISABLED,0
0.499996,-3.9665e-06,-3.04962e-06,0,-9.57102e-05,0.732859,0,-0.0156385,-0.00046342,-0.999878,7.92969e-05,0,0,0,DISABLED,0
0.519996,-4.136e-06,-3.16137e-06,0,-9.9143e-05,0.732859,0,-0.015642,-0.000463014,-0.999878,8.21513e-05,0,0,0,DISABLED,0
0.539996,-4.34462e-06,-3.29828e-06,0,-0.000103325,0.732859,0,-0.0156461,-0.000462531,-0.999878,8.56385e-05,0,0,0,DISABLED,0
0.559996,-4.53647e-06,-3.42261e-06,0,-0.000107111,0.732859,0,-0.0156499,-0.000462091,-0.999877,8.87936e-05,0,0,0,DISABLED,0
0.579996,-4.73019e-06,-3.54694e-06,0,-0.000110881,0.732859,0,-0.0156537,-0.000461656,-0.999877,9.1937e-05,0,0,0,DISABLED,0
0.599996,-4.92483e-06,-3.67081e-06,0,-0.000114635,0.732859,0,-0.0156575,-0.000461229,-0.999877,9.50703e-05,0,0,0,DISABLED,0
0.619996,-5.14183e-06,-3.80725e-06,0,-0.000118753,0.732859,0.000345267,-0.0156616,-0.000460766,-0.999877,9.85079e-05,0,0,0,DISABLED,0
0.639996,-5.32065e-06,-3.91854e-06,0,-0.000122106,0.732859,0,-0.0156649,-0.000460389,-0.999877,0.000101313,0,0,0,DISABLED,0
0.659996,-5.52181e-06,-4.04241e-06,0,-0.000125818,0.732858,0,-0.0156686,-0.000459975,-0.999877,0.000104424,0,0,0,DISABLED,0
0.679996,-5.70342e-06,-4.15323e-06,0,-0.000129519,0.732858,0.000345267,-0.0156723,-0.000459564,-0.999877,0.000107531,0,0,0,DISABLED,0
