t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732861,0.000345267,-0.0157225,-0.000465123,-0.999876,0,0.4,0,0,DISABLED,0
0.0399961,1.09095e-05,-1.87196e-07,0,-4.5225e-06,0.732858,0.000345267,-0.015727,-0.000465107,-0.999876,3.64205e-06,0.4,0,0,DISABLED,0
0.0599961,8.05454e-05,-1.1595e-07,0,-1.57561e-05,0.732845,0.000345267,-0.0157383,-0.000464198,-0.999876,1.03263e-05,0.4,0,0,DISABLED,0
0.0799961,0.000256473,-1.9961e-05,0,-0.000268148,0.732813,0.000345267,-0.0159907,-0.000473997,-0.999872,1.99568e-05,0.4,0,0,DISABLED,0
0.0999961,0.000640934,-6.49467e-05,0,-0.000870103,0.732735,0.000913491,-0.0165926,-0.000547218,-0.999862,-3.80189e-05,0.4,0,0,DISABLED,0
0.119996,0.00128118,-2.73278e-05,0,-0.00189529,0.732683,0.00192237,-0.0176178,-0.000590346,-0.999845,0.000338138,0.4,0,0,DISABLED,0
0.139996,0.00210385,0.00041193,0,-0.00210238,0.732603,0.00239208,-0.0178249,0.000627146,-0.999841,0.000398578,0.4,0,0,DISABLED,0
0.159996,0.00274956,0.0012571,0,-0.00132842,0.732546,0.00182698,-0.0170509,0.000750044,-0.999854,0.00101075,0.4,0,0,DISABLED,0
0.179996,0.00387433,0.00246536,0,-0.00140352,0.732806,0.00302971,-0.017126,-0.00313042,-0.999848,0.00165614,0.4,0,0,DISABLED,0
0.199996,0.00545453,0.00396494,0,-0.00183005,0.733242,0.00620522,-0.0175525,-0.00638858,-0.999826,0.0022168,0.4,0,0,DISABLED,0
0.219996,0.0074348,0.0059251,0,-0.00177257,0.733599,0.00800098,-0.0174951,-0.00825819,-0.999813,0.00368117,0.4,0,0,DISABLED,0
0.239996,0.009225,0.00771807,0,-0.00145383,0.733797,0.00835805,-0.0171763,-0.00869551,-0.999815,0.00446591,0.4,0,0,DISABLED,0
0.259996,0.0114923,0.00989549,0,-0.00101733,0.734001,0.009405,-0.0167398,-0.00980988,-0.999812,0.00540183,0.4,0,0,DISABLED,0
0.279996,0.0141023,0.012261,0,-0.000885522,0.734175,0.0103061,-0.016608,-0.0107289,-0.999804,0.00577644,0.4,0,0,DISABLED,0
0.299996,0.0169863,0.014796,0,-0.000362521,0.734241,0.0103292,-0.016085,-0.0107803,-0.999812,0.00616262,0.4,0,0,DISABLED,0
0.319996,0.0200603,0.0175334,0,0.000805832,0.734176,0.00962426,-0.0149167,-0.0100498,-0.999838,0.00640422,0.4,0,0,DISABLED,0
0.339996,0.0233079,0.0205662,0,0.00288201,0.733969,0.00830081,-0.0128405,-0.00824364,-0.999884,0.00597547,0.4,0,0,DISABLED,0
0.359996,0.0267215,0.0239011,0,0.0056631,0.733543,0.00741321,-0.0100594,-0.00524064,-0.999936,0.00554657,0.4,0,0,DISABLED,0
0.379996,0.0307374,0.0277759,0,0.00854096,0.732578,0.00858323,-0.00718154,-0.00126583,-0.999973,0.00572002,0.4,0,0,DISABLED,0
0.399996,0.0337025,0.0303225,0,0.0101856,0.732136,0.0106866,-0.00553686,-0.00367952,-0.999978,0.00797302,0.4,0,0,DISABLED,0
0.419996,0.0384933,0.033997,0,0.00974241,0.732348,0.0116269,-0.00598009,-0.00680604,-0.999959,0.00890821,0.4,0,0,DISABLED,0
0.439996,0.0420335,0.0364283,0,0.00733232,0.732794,0.00788089,-0.00839018,-0.00333466,-0.999959,0.0109233,0.4,0,0,DISABLED,0
0.459996,0.0480668,0.0396728,0,0.00254368,0.733696,0.00469614,-0.0131788,0.00347663,-0.999907,0.0160791,0.4,0,0,DISABLED,0
