t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732862,0.000345267,-0.0156834,-0.000407855,-0.999877,0,0.4,0,0,DISABLED,0
0.0399961,1.10017e-05,-1.7928e-07,0,-4.40888e-06,0.732859,0,-0.0156878,-0.000408113,-0.999877,4.2537e-06,0.4,0,0,DISABLED,0
0.0599961,5.22826e-05,-1.70898e-07,0,-1.21687e-05,0.732851,0,-0.0156955,-0.000407729,-0.999877,9.91474e-06,0.4,0,0,DISABLED,0
0.0799961,0.000300685,-4.0289e-05,0,-0.000388104,0.732801,0.000345267,-0.0160715,-0.000427708,-0.999871,1.82744e-05,0.4,0,0,DISABLED,0
0.0999961,0.00071056,-9.52426e-05,0,-0.00102567,0.732715,0.0010358,-0.0167091,-0.000518404,-0.99986,-3.18377e-05,0.4,0,0,DISABLED,0
0.119996,0.00135935,-6.46892e-05,0,-0.00196136,0.732661,0.00198341,-0.0176447,-0.000577278,-0.999844,0.000315552,0.4,0,0,DISABLED,0
0.139996,0.00209443,0.000354374,0,-0.00215512,0.732582,0.00244141,-0.0178385,0.000698361,-0.999841,0.000384692,0.4,0,0,DISABLED,0
0.159996,0.00277369,0.00122987,0,-0.00157341,0.732491,0.00253718,-0.0172568,0.00155492,-0.99985,0.000579131,0.4,0,0,DISABLED,0
0.179996,0.00373531,0.00228224,0,-0.00150628,0.732702,0.00265205,-0.0171897,-0.00259381,-0.999849,0.00142647,0.4,0,0,DISABLED,0
0.199996,0.00561397,0.00403536,0,-0.0020427,0.73325,0.00673936,-0.0177261,-0.00682304,-0.99982,0.00235097,0.4,0,0,DISABLED,0
0.219996,0.00741328,0.00580023,0,-0.00194974,0.733599,0.00825039,-0.0176331,-0.00841625,-0.999809,0.00376021,0.4,0,0,DISABLED,0
0.239996,0.00938948,0.007776,0,-0.0014316,0.733843,0.00895703,-0.017115,-0.00925116,-0.999811,0.004836,0.4,0,0,DISABLED,0
0.259996,0.0109441,0.00927086,0,-0.00117903,0.734,0.00963664,-0.0168624,-0.0099702,-0.999808,0.0055201,0.4,0,0,DISABLED,0
0.279996,0.0142778,0.0123046,0,-0.00103843,0.734251,0.0110378,-0.0167218,-0.0113933,-0.999795,0.00567472,0.4,0,0,DISABLED,0
0.299996,0.0171787,0.0148597,0,-0.000669057,0.734309,0.011188,-0.0163524,-0.0115709,-0.999799,0.00586266,0.4,0,0,DISABLED,0
0.319996,0.0202698,0.0176213,0,0.000521895,0.734221,0.0103638,-0.0151615,-0.0107557,-0.999827,0.00606495,0.4,0,0,DISABLED,0
0.339996,0.0235386,0.020668,0,0.00254918,0.733988,0.00874831,-0.0131342,-0.00877532,-0.999875,0.0057634,0.4,0,0,DISABLED,0
0.359996,0.0266035,0.0236509,0,0.00507632,0.733583,0.0074613,-0.0106071,-0.00587329,-0.999927,0.00540517,0.4,0,0,DISABLED,0
0.379996,0.0306037,0.0275007,0,0.0080323,0.732615,0.00812664,-0.00765108,-0.00160068,-0.999969,0.00510125,0.4,0,0,DISABLED,0
0.399996,0.0343146,0.0305986,0,0.0100529,0.732087,0.0110324,-0.0056305,-0.00494065,-0.999972,0.00795574,0.4,0,0,DISABLED,0
0.419996,0.0382828,0.033647,0,0.00974075,0.732274,0.0120696,-0.00594263,-0.00752689,-0.999954,0.00822977,0.4,0,0,DISABLED,0
0.439996,0.0427915,0.0366222,0,0.00644675,0.732852,0.00701667,-0.00923663,-0.00316589,-0.999952,0.0111278,0.4,0,0,DISABLED,0
0.459996,0.0477526,0.039274,0,0.00172684,0.733605,0.00424271,-0.0139565,0.00347232,-0.999897,0.015382,0.4,0,0,DISABLED,0
0.479996,0.0526356,0.041664,0,-0.00148242,0.734142,0.0081413,-0.0171658,0.00759384,-0.999824,0.0177424,0.4,0,0,DISABLED,0
0.499996,0.0575695,0.0436988,0,-0.00365879,0.734338,0.00975956,-0.0193422,0.00863643,-0.999776,0.0185002,0.4,0,0,DISABLED,0
0.519996,0.0627346,0.0452307,0,-0.00555097,0.734377,0.0105066,-0.0212344,0.00851601,-0.999738,0.0185973,0.4,0,0,DISABLED,0
0.539996,0.0680967,0.0462422,0,-0.00690125,0.734399,0.0113204,-0.0225846,0.00856928,-0.999708,0.0183182,0.4,0,0,DISABLED,0
0.559996,0.0735971,0.0467678,0,-0.00739633,0.734387,0.0118302,-0.0230797,0.00881907,-0.999695,0.0180927,0.4,0,0,DISABLED,0
0.579996,0.0791858,0.0469179,0,-0.00697177,0.734292,0.012035,-0.0226552,0.00940427,-0.999699,0.0181264,0.4,0,0,DISABLED,0
0.599996,0.0842526,0.0467807,0,-0.00580096,0.734128,0.0121041,-0.0214843,0.010213,-0.999717,0.018136,0.4,0,0,DISABLED,0
0.619996,0.0904382,0.0462284,0,-0.00321772,0.733771,0.0119055,-0.0189011,0.011051,-0.99976,0.0189521,0.4,0,0,DISABLED,0
0.639996,0.0954966,0.045467,0,-0.00138493,0.733321,0.0117645,-0.0170683,0.0112701,-0.999791,0.0195137,0.4,0,0,DISABLED,0
0.659996,0.101654,0.0441371,0,0.00323366,0.732543,0.011673,-0.0124497,0.0108093,-0.999864,0.0214033,0.4,0,0,DISABLED,0
0.679996,0.107347,0.0425441,0,0.00649437,0.731694,0.0107976,-0.00918901,0.00821839,-0.999924,0.0234943,0.4,0,0,DISABLED,0
0.699996,0.113068,0.0408778,0,0.0078551,0.731067,0.0102132,-0.00782828,0.00611586,-0.999951,0.0221619,0.4,0,0,DISABLED,0
0.719995,0.11846,0.0396142,0,0.00715196,0.73137,0.0106195,-0.00853142,0.00743748,-0.999936,0.0201839,0.4,0,0,DISABLED,0
0.739995,0.12518,0.0378187,0,0.00393265,0.732143,0.00554582,-0.0117507,0.00349962,-0.999925,0.0136087,0.4,0,0,DISABLED,0
0.759995,0.131457,0.0362482,0,0.0007284,0.732821,0.00316443,-0.014955,-0.00347646,-0.999882,0.0103192,0.4,0,0,DISABLED,0
0.779995,0.137684,0.0349129,0,-0.00183129,0.733451,0.00991107,-0.0175147,-0.0101447,-0.999795,0.00963276,0.4,0,0,DISABLED,0
0.799995,0.143139,0.0339986,0,-0.00263212,0.733786,0.0144354,-0.0183155,-0.0146017,-0.999726,0.00920712,0.4,0,0,DISABLED,0
0.819995,0.14977,0.0331733,0,-0.00211,0.733931,0.0172325,-0.0177934,-0.0175101,-0.999688,0.00881514,0.4,0,0,DISABLED,0
0.839995,0.15596,0.0326837,0,-0.00108391,0.733961,0.0190464,-0.0167673,-0.0194228,-0.999671,0.00889103,0.4,0,0,DISABLED,0
0.859995,0.162395,0.0324566,0,-3.78676e-05,0.733957,0.0204383,-0.0157212,-0.0208439,-0.999659,0.00861459,0.4,0,0,DISABLED,0
0.879995,0.168361,0.0324045,0,0.000956454,0.733929,0.0221056,-0.0147269,-0.0224923,-0.999639,0.00818402,0.4,0,0,DISABLED,0
0.899995,0.175063,0.0324756,0,0.00259812,0.733823,0.024771,-0.0130853,-0.0250395,-0.999601,0.00780604,0.4,0,0,DISABLED,0
0.919995,0.18235,0.0327224,0,0.00560212,0.733536,0.0287702,-0.0100813,-0.028624,-0.999539,0.00761462,0.4,0,0,DISABLED,0
0.939995,0.188857,0.0332108,0,0.00902379,0.733128,0.0323203,-0.00665959,-0.031437,-0.999484,0.00766074,0.4,0,0,DISABLED,0
0.959995,0.195277,0.034158,0,0.0122208,0.732777,0.0330697,-0.00346259,-0.0311317,-0.999509,0.00777104,0.4,0,0,DISABLED,0
0.979995,0.200432,0.0352509,0,0.0139341,0.732597,0.0309079,-0.00174925,-0.0279953,-0.999607,0.00776181,0.4,0,0,DISABLED,0
0.999995,0.208188,0.0370644,0,0.0150993,0.732256,0.0260427,-0.000584056,-0.0216257,-0.999766,0.00797273,0.4,0,0,DISABLED,0
1.02,0.214603,0.0383321,0,0.0149273,0.732253,0.0233897,-0.000756074,-0.0184126,-0.99983,0.00941898,0.4,0,0,DISABLED,0
1.04,0.221113,0.0393179,0,0.0134622,0.732637,0.0202596,-0.00222121,-0.0155447,-0.999877,0.0120982,0.4,0,0,DISABLED,0
1.06,0.227856,0.0403584,0,0.0112918,0.733074,0.0151997,-0.00439157,-0.0105783,-0.999934,0.0147921,0.4,0,0,DISABLED,0
1.08,0.234698,0.0414308,0,0.00977869,0.733424,0.0106699,-0.00590469,-0.00467607,-0.999972,0.0163028,0.4,0,0,DISABLED,0
1.1,0.241506,0.0422579,0,0.00964492,0.733525,0.00968599,-0.00603846,-0.00125987,-0.999981,0.01701,0.4,0,0,DISABLED,0
1.12,0.248527,0.042661,0,0.00937643,0.733488,0.00944295,-0.00630695,0.000689243,-0.99998,0.0178008,0.4,0,0,DISABLED,0
1.14,0.255706,0.0426787,0,0.00891767,0.733487,0.00950586,-0.00676571,0.00287894,-0.999973,0.0185731,0.4,0,0,DISABLED,0
1.16,0.26283,0.0424448,0,0.0089947,0.733528,0.0108472,-0.00668868,0.00564741,-0.999962,0.019396,0.4,0,0,DISABLED,0
1.18,0.267046,0.0422409,0,0.00978689,0.733539,0.0130199,-0.00589649,0.00817821,-0.999949,0.0196137,0.4,0,0,DISABLED,0
1.2,0.276679,0.0416714,0,0.0113601,0.733409,0.0159049,-0.00432333,0.010721,-0.999933,0.0204341,0.4,0,0,DISABLED,0
1.22,0.282725,0.0412142,0,0.0132137,0.733207,0.0183774,-0.00246968,0.0123615,-0.999921,0.0210926,0.4,0,0,DISABLED,0
1.24,0.29012,0.040349,0,0.0149293,0.733039,0.019559,-0.000754102,0.0122262,-0.999925,0.0211112,0.4,0,0,DISABLED,0
1.25999,0.297,0.0391611,0,0.015154,0.733081,0.0187372,-0.000529345,0.0106118,-0.999944,0.021159,0.4,0,0,DISABLED,0
1.27999,0.30191,0.0380563,0,0.0145207,0.733108,0.017177,-0.00116272,0.00876554,-0.999961,0.0214016,0.4,0,0,DISABLED,0
1.29999,0.311146,0.0354863,0,0.0114937,0.732502,0.0122315,-0.00418969,0.00377948,-0.999984,0.0204307,0.4,0,0,DISABLED,0
1.31999,0.318615,0.0336165,0,0.00666168,0.732553,0.00818511,-0.0090217,0.00434152,-0.99995,0.0167608,0.4,0,0,DISABLED,0
1.33999,0.325857,0.0315463,0,0.00345373,0.733029,0.00367024,-0.0122297,0.000806544,-0.999925,0.0146449,0.4,0,0,DISABLED,0
1.35999,0.332721,0.0297645,0,0.00262999,0.733572,0.00479661,-0.0130534,-0.00441656,-0.999905,0.013384,0.4,0,0,DISABLED,0
1.37999,0.33952,0.028578,0,0.0022807,0.733935,0.00740517,-0.0134027,-0.00745174,-0.999882,0.0127532,0.4,0,0,DISABLED,0
1.39999,0.345659,0.0279158,0,0.00209557,0.734032,0.00914798,-0.0135878,-0.00930695,-0.999864,0.0119903,0.4,0,0,DISABLED,0
1.41999,0.353264,0.0275107,0,0.00209824,0.73396,0.0111667,-0.0135851,-0.0113707,-0.999843,0.0106188,0.4,0,0,DISABLED,0
1.43999,0.36034,0.0274616,0,0.00220438,0.733877,0.0125538,-0.013479,-0.0127644,-0.999828,0.00968612,0.4,0,0,DISABLED,0
1.45999,0.36755,0.0276463,0,0.00254232,0.733787,0.0139738,-0.0131411,-0.0141473,-0.999814,0.00880087,0.4,0,0,DISABLED,0
1.47999,0.374812,0.0279898,0,0.00334161,0.733652,0.0158034,-0.0123418,-0.0158502,-0.999798,0.00834785,0.4,0,0,DISABLED,0
1.49999,0.382017,0.0283975,0,0.00498466,0.733494,0.018526,-0.0106987,-0.0182482,-0.999776,0.00857046,0.4,0,0,DISABLED,0
1.51999,0.38912,0.0289496,0,0.00757927,0.733311,0.0219568,-0.00810411,-0.0210141,-0.999746,0.00833338,0.4,0,0,DISABLED,0
1.53999,0.39617,0.0298056,0,0.0103324,0.733213,0.0239413,-0.00535101,-0.0220048,-0.999744,0.00803104,0.4,0,0,DISABLED,0
1.55999,0.403226,0.0309766,0,0.0123032,0.733324,0.0231849,-0.00338018,-0.0200581,-0.999793,0.00857106,0.4,0,0,DISABLED,0
1.57999,0.410352,0.0323256,0,0.0129508,0.733497,0.0204995,-0.00273253,-0.0162951,-0.999864,0.0100628,0.4,0,0,DISABLED,0
1.59999,0.417433,0.0338941,0,0.0128473,0.733366,0.0163339,-0.00283604,-0.0104944,-0.999941,0.0114795,0.4,0,0,DISABLED,0
1.61999,0.424451,0.0354498,0,0.0118219,0.733183,0.0135053,-0.00386148,-0.00693502,-0.999968,0.0128964,0.4,0,0,DISABLED,0
1.63999,0.43155,0.0367003,0,0.00971386,0.733318,0.0109674,-0.00596952,-0.00549621,-0.999967,0.0146132,0.4,0,0,DISABLED,0
1.65999,0.438748,0.0377883,0,0.00787512,0.733547,0.00822868,-0.00780826,-0.00280556,-0.999966,0.017669,0.4,0,0,DISABLED,0
1.67999,0.445909,0.038816,0,0.00728804,0.733721,0.0073729,-0.00839534,0.000706113,-0.999965,0.0190842,0.4,0,0,DISABLED,0
1.69999,0.452365,0.0395041,0,0.00748679,0.733695,0.00797113,-0.00819659,0.00231653,-0.999964,0.0199005,0.4,0,0,DISABLED,0
1.71999,0.46047,0.0398253,0,0.00735569,0.73354,0.00822144,-0.00832769,0.00325411,-0.99996,0.0217593,0.4,0,0,DISABLED,0
1.73999,0.467945,0.039713,0,0.00696701,0.733442,0.00842907,-0.00871637,0.00432947,-0.999953,0.0231238,0.4,0,0,DISABLED,0
1.75999,0.475312,0.0393472,0,0.00701352,0.73339,0.0092129,-0.00866986,0.0055561,-0.999947,0.0240967,0.4,0,0,DISABLED,0
1.77999,0.482497,0.0388489,0,0.0079555,0.733328,0.0109129,-0.00772788,0.00706247,-0.999945,0.0253575,0.4,0,0,DISABLED,0
