time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.3517e-08,1.3515e-10,0.733769,3.19456e-05,6.61421e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390044,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8429,0.300078,0.0390047,0.000854,-0.0391991,nan
0.008,1.6964e-07,3.49582e-10,0.73362,5.30616e-05,1.07216e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.7239,0.300225,0.0733649,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.7239,0.300225,0.0733656,nan,nan,nan
0.01,-1.12039e-05,-5.61219e-07,0.733465,-0.00568677,-0.000280784,-0.000971439,0.0837014,0.000548772,-0.0500983,1,117.636,0.300379,0.0769375,nan,nan,nan,-0.000971439,-0.0837014,0.000548772,-0.0500985,1,106.28,0.300325,0.0499658,nan,nan,nan
0.012,-3.40737e-05,-1.5209e-06,0.733308,-0.0114349,-0.00047984,-0.000970834,0.0837369,0.000446782,-0.0509752,1,134.463,0.300563,0.0922901,nan,nan,nan,-0.000967353,-0.0837343,0.000444577,-0.0520789,1,120.621,0.300393,0.0343868,nan,nan,nan
0.014,-6.85341e-05,-2.97006e-06,0.733148,-0.0172302,-0.00072458,-0.000977077,0.083803,0.000346877,-0.0499252,1,134.373,0.300778,0.107461,nan,nan,nan,-0.000966315,-0.0837935,0.000339631,-0.0524499,1,120.198,0.300428,0.017473,nan,nan,nan
0.016,-0.000112204,-4.166e-06,0.732987,-0.0218348,-0.000597973,-0.000990394,0.0838982,0.000248306,-0.049249,1,137.755,0.300962,0.0917637,nan,nan,nan,-0.000968066,-0.0838771,0.00023292,-0.053328,1,124.064,0.3004,-0.0142528,nan,nan,nan
0.018,-0.000163938,-4.79149e-06,0.732825,-0.0258673,-0.00031274,-0.00100763,0.0840135,0.000148612,-0.0498061,1,138.319,0.301105,0.0718323,nan,nan,nan,-0.000971634,-0.0839756,0.000123481,-0.054687,1,125.841,0.300294,-0.0529246,nan,nan,nan
0.02,-0.000223635,-4.98992e-06,0.732683,-0.0298483,-9.92195e-05,-0.00103083,0.0841469,4.65474e-05,-0.0509904,1,218.037,0.301364,0.129155,nan,nan,nan,-0.000976446,-0.0840839,1.07321e-05,-0.0563377,1,203.343,0.300255,-0.0192662,nan,nan,nan
0.022,-0.000296165,-2.71602e-06,0.732591,-0.0362651,0.00113695,-0.00106091,0.0842667,-3.82837e-05,-0.0423831,1,312.983,0.301936,0.286243,nan,nan,nan,-0.000983662,-0.0841751,-8.434e-05,-0.0475034,1,324.14,0.300561,0.152571,nan,nan,nan
0.024,-0.000377032,8.14927e-07,0.732534,-0.0404336,0.00176547,-0.00108304,0.0843439,-9.05801e-05,-0.0261226,1,266.785,0.302679,0.371227,nan,nan,nan,-0.000989727,-0.0842326,-0.000142453,-0.0290383,1,271.784,0.301058,0.248573,nan,nan,nan
0.026,-0.000461512,4.88389e-06,0.732505,-0.0422399,0.00203448,-0.00109888,0.084394,-0.000120414,-0.014888,1,233.81,0.303476,0.398911,nan,nan,nan,-0.00099436,-0.0842693,-0.000175407,-0.0164581,1,236.164,0.301627,0.284464,nan,nan,nan
0.028,-0.00054676,9.17052e-06,0.732494,-0.042624,0.00214331,-0.00111037,0.0844269,-0.000135081,-0.00730159,1,210.626,0.304258,0.390823,nan,nan,nan,-0.000997689,-0.084293,-0.000191415,-0.00798395,1,210.751,0.302189,0.281275,nan,nan,nan
0.03,-0.000627718,1.18323e-05,0.732496,-0.0404791,0.00133089,-0.00111877,0.0844492,-0.000139496,-0.00217669,1,192.748,0.304987,0.364424,nan,nan,nan,-0.000999957,-0.0843087,-0.000196207,-0.00237547,1,182.252,0.302753,0.281729,nan,nan,nan
0.032,-0.000703353,1.27041e-05,0.732506,-0.0378174,0.000435883,-0.00112518,0.0844651,-0.000137133,0.00120916,1,181.559,0.305638,0.325472,nan,nan,nan,-0.00100153,-0.0843193,-0.00019364,0.00130373,1,167.707,0.303283,0.265072,nan,nan,nan
0.034,-0.000773266,1.18864e-05,0.732522,-0.0349565,-0.000408837,-0.00113014,0.084477,-0.000130407,0.00338623,1,174.037,0.306201,0.281768,nan,nan,nan,-0.00100257,-0.0843269,-0.000186456,0.00360973,1,157.429,0.303754,0.235709,nan,nan,nan
0.036,-0.000837428,9.45934e-06,0.732542,-0.0320808,-0.00121352,-0.0011341,0.0844867,-0.000120899,0.0047723,1,168.745,0.306676,0.237242,nan,nan,nan,-0.00100321,-0.0843326,-0.000176575,0.00495604,1,150.291,0.304153,0.199324,nan,nan,nan
0.038,-0.00089604,5.53581e-06,0.732565,-0.0293063,-0.00196177,-0.00113739,0.0844949,-0.000109593,0.00566738,1,164.557,0.307062,0.193196,nan,nan,nan,-0.00100352,-0.0843372,-0.000165242,0.00567842,1,145.387,0.304474,0.160637,nan,nan,nan
0.04,-0.000949772,4.08848e-08,0.732589,-0.0268659,-0.00274746,-0.00114024,0.0845025,-9.71686e-05,0.00622297,1,161.178,0.307369,0.153557,nan,nan,nan,-0.00100357,-0.0843413,-0.000153291,0.00598434,1,140.561,0.304728,0.127157,nan,nan,nan
0.042,-0.000999446,-6.99427e-06,0.732615,-0.0248369,-0.00351758,-0.00114282,0.0845097,-8.40919e-05,0.00654635,1,157.72,0.307612,0.121193,nan,nan,nan,-0.00100346,-0.084345,-0.000141242,0.00603159,1,137.364,0.304928,0.099855,nan,nan,nan
0.044,-0.00104576,-1.54923e-05,0.732641,-0.0231553,-0.00424901,-0.00114529,0.0845169,-7.06549e-05,0.0067247,1,155.111,0.307801,0.0948603,nan,nan,nan,-0.00100321,-0.0843486,-0.000129405,0.00592356,1,135.115,0.305084,0.0776795,nan,nan,nan
0.046,-0.00108914,-2.53499e-05,0.732667,-0.0216923,-0.00492879,-0.0011477,0.0845242,-5.7097e-05,0.00678393,1,153.491,0.307946,0.0723082,nan,nan,nan,-0.00100287,-0.0843522,-0.000117984,0.00571497,1,133.772,0.305199,0.0576434,nan,nan,nan
0.048,-0.0011299,-3.64835e-05,0.732693,-0.0203786,-0.0055668,-0.00115011,0.0845317,-4.36155e-05,0.00674483,1,152.629,0.30805,0.0517861,nan,nan,nan,-0.00100246,-0.084356,-0.000107126,0.00543202,1,132.742,0.305277,0.0390369,nan,nan,nan
0.05,-0.00116714,-4.84197e-05,0.732717,-0.0186219,-0.0059681,-0.00115256,0.0845395,-3.03868e-05,0.00661772,1,145.046,0.308127,0.0387822,nan,nan,nan,-0.00100201,-0.0843598,-9.6917e-05,0.00510723,1,130.599,0.305323,0.0228695,nan,nan,nan
0.052,-0.00120149,-6.10673e-05,0.732739,-0.0171758,-0.00632383,-0.00115513,0.0845475,-1.81825e-05,0.00610472,1,144.268,0.308183,0.0278854,nan,nan,nan,-0.00100178,-0.0843635,-8.76164e-05,0.00465226,1,130.639,0.305342,0.00977021,nan,nan,nan
0.054,-0.00123356,-7.44608e-05,0.732759,-0.0160338,-0.00669671,-0.00115777,0.0845556,-7.07058e-06,0.00555789,1,144.119,0.308222,0.0193544,nan,nan,nan,-0.00100171,-0.0843671,-7.91923e-05,0.00421355,1,130.841,0.305342,5.55874e-05,nan,nan,nan
0.056,-0.00126379,-8.86228e-05,0.732778,-0.0151125,-0.00708101,-0.00116046,0.0845639,3.04284e-06,0.00505824,1,144.137,0.308247,0.0127959,nan,nan,nan,-0.00100176,-0.0843706,-7.15852e-05,0.00380474,1,130.862,0.305329,-0.00645547,nan,nan,nan
0.058,-0.00129257,-0.000103557,0.732794,-0.0143929,-0.00746734,-0.00116318,0.0845721,1.22588e-05,0.00460921,1,143.345,0.308263,0.00787473,nan,nan,nan,-0.00100188,-0.084374,-6.47211e-05,0.00343304,1,131.258,0.305309,-0.0100431,nan,nan,nan
0.06,-0.00132029,-0.000119317,0.73281,-0.0138604,-0.00787986,-0.00116603,0.0845808,2.05573e-05,0.00415032,1,143.396,0.308273,0.00504129,nan,nan,nan,-0.00100206,-0.0843775,-5.85437e-05,0.00308951,1,131.471,0.305286,-0.0115885,nan,nan,nan
0.062,-0.00134727,-0.000135952,0.732823,-0.0134887,-0.00831747,-0.00116896,0.0845899,2.80344e-05,0.00373944,1,143.576,0.30828,0.00322959,nan,nan,nan,-0.00100227,-0.0843809,-5.29868e-05,0.00277919,1,131.734,0.305263,-0.0117463,nan,nan,nan
0.064,-0.00137377,-0.000153499,0.732835,-0.0132496,-0.00877361,-0.00117191,0.084599,3.47491e-05,0.00335814,1,143.753,0.308284,0.00217376,nan,nan,nan,-0.00100252,-0.0843843,-4.79901e-05,0.002499,1,132.027,0.305241,-0.0108674,nan,nan,nan
0.066,-0.0014,-0.00017188,0.732846,-0.0131153,-0.00919042,-0.00117483,0.0846083,4.07495e-05,0.003001,1,142.156,0.308287,0.00141579,nan,nan,nan,-0.00100279,-0.0843878,-4.34987e-05,0.0022463,1,133.198,0.305222,-0.00951084,nan,nan,nan
0.068,-0.00142614,-0.000191103,0.732855,-0.0130679,-0.00961123,-0.00117822,0.0846193,4.59054e-05,0.0025787,1,142.602,0.308289,0.000948754,nan,nan,nan,-0.00100307,-0.0843911,-3.94933e-05,0.00200323,1,133.694,0.305206,-0.00804979,nan,nan,nan
0.07,-0.00145231,-0.000211127,0.732863,-0.013088,-0.010012,-0.00118193,0.0846316,5.03055e-05,0.00220079,1,142.875,0.30829,0.000606524,nan,nan,nan,-0.00100335,-0.0843945,-3.59185e-05,0.00178791,1,134.162,0.305193,-0.00653089,nan,nan,nan
0.072,-0.00147788,-0.000231386,0.732869,-0.0127832,-0.0101294,-0.00118583,0.0846445,5.4021e-05,0.00185846,1,138.816,0.30829,0.000286138,nan,nan,nan,-0.00100364,-0.0843979,-3.2737e-05,0.00159124,1,134.591,0.305181,-0.00575014,nan,nan,nan
0.074,-0.00150285,-0.000251905,0.732874,-0.0124865,-0.0102598,-0.00118985,0.0846576,5.68733e-05,0.00142687,1,139.709,0.308291,0.000138907,nan,nan,nan,-0.00100414,-0.0844013,-3.00795e-05,0.00132923,1,135.415,0.305171,-0.00502854,nan,nan,nan
0.076,-0.00152727,-0.00027273,0.732878,-0.0122089,-0.0104124,-0.00119396,0.0846708,5.89995e-05,0.00106379,1,140.454,0.308291,0.000117119,nan,nan,nan,-0.00100478,-0.0844045,-2.78532e-05,0.00111358,1,135.992,0.305162,-0.00438491,nan,nan,nan
0.078,-0.00155118,-0.000293874,0.73288,-0.0119547,-0.010572,-0.00119812,0.0846839,6.05286e-05,0.00076523,1,141.068,0.308291,0.000179632,nan,nan,nan,-0.00100555,-0.084408,-2.60173e-05,0.000918324,1,136.626,0.305155,-0.00374152,nan,nan,nan
0.08,-0.00157463,-0.000315352,0.732882,-0.0117244,-0.0107387,-0.00120228,0.0846969,6.15695e-05,0.000521137,1,141.559,0.308292,0.000308667,nan,nan,nan,-0.0010064,-0.0844116,-2.44991e-05,0.000759508,1,137.142,0.305149,-0.00312165,nan,nan,nan
0.082,-0.00159767,-0.000337174,0.732883,-0.0115197,-0.0109113,-0.00120644,0.0847099,6.22121e-05,0.000322003,1,141.946,0.308293,0.000487309,nan,nan,nan,-0.0010073,-0.0844152,-2.32374e-05,0.000631257,1,137.564,0.305144,-0.00253027,nan,nan,nan
0.084,-0.00162035,-0.00035935,0.732883,-0.0113422,-0.0110882,-0.00121057,0.0847228,6.25303e-05,0.000159845,1,142.25,0.308294,0.000702506,nan,nan,nan,-0.00100823,-0.0844189,-2.21834e-05,0.000527395,1,137.913,0.30514,-0.00196754,nan,nan,nan
0.086,-0.00164274,-0.000381887,0.732882,-0.011193,-0.0112681,-0.00121467,0.0847355,6.25848e-05,2.79769e-05,1,142.487,0.308296,0.000944772,nan,nan,nan,-0.00100916,-0.0844226,-2.12985e-05,0.000442878,1,138.205,0.305137,-0.00143154,nan,nan,nan
0.088,-0.00166488,-0.000404786,0.732881,-0.0110731,-0.0114499,-0.00121873,0.0847482,6.24249e-05,-7.91716e-05,1,142.671,0.308299,0.00120739,nan,nan,nan,-0.00101011,-0.0844263,-2.05518e-05,0.000373768,1,138.454,0.305135,-0.000919372,nan,nan,nan
0.09,-0.00168685,-0.000428052,0.732879,-0.010983,-0.0116326,-0.00122274,0.0847607,6.20908e-05,-0.00016621,1,142.814,0.308302,0.00148564,nan,nan,nan,-0.00101105,-0.08443,-1.99188e-05,0.000316993,1,138.668,0.305134,-0.000427672,nan,nan,nan
0.092,-0.00170883,-0.000451522,0.732877,-0.0109902,-0.011735,-0.00122671,0.0847732,6.16152e-05,-0.000236932,1,141.632,0.308304,0.00122158,nan,nan,nan,-0.00101198,-0.0844337,-1.93794e-05,0.000270148,1,140.5,0.305127,-0.00354761,nan,nan,nan
