time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-1.13186e-05,-5.80108e-07,0.733796,-0.0056591,-0.000290055,-0.000976898,0.0837003,0.000736402,-0.0391991,1,114.891,0.300043,0.0215702,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,102.927,0.299989,-0.00536441,0.000854,-0.0391991,nan
0.008,-3.40857e-05,-1.72476e-06,0.733702,-0.0113836,-0.000572325,-0.000979628,0.0837367,0.000662362,-0.0370167,1,113.417,0.300124,0.0405512,nan,nan,nan,-0.000977166,-0.0837357,0.000659956,-0.0382216,1,101.367,0.299961,-0.0143375,nan,nan,nan
0.01,-6.71507e-05,-3.09601e-06,0.7336,-0.0165325,-0.000685625,-0.000986189,0.0838088,0.000589657,-0.0363406,1,115.516,0.300208,0.0420663,nan,nan,nan,-0.000977806,-0.0838043,0.000582311,-0.0388165,1,103.858,0.299887,-0.0367035,nan,nan,nan
0.012,-0.00010926,-4.18072e-06,0.733494,-0.0210546,-0.000542354,-0.000996485,0.0839127,0.000515612,-0.0370004,1,127.567,0.300298,0.0448927,nan,nan,nan,-0.00097741,-0.0838977,0.000501382,-0.0404529,1,113.859,0.299781,-0.0530144,nan,nan,nan
0.014,-0.000159603,-4.78543e-06,0.733384,-0.0251716,-0.000302357,-0.00101431,0.084038,0.000442194,-0.0366826,1,128.529,0.30037,0.0357246,nan,nan,nan,-0.000979899,-0.0840045,0.000419054,-0.041147,1,115.533,0.299625,-0.0782375,nan,nan,nan
0.016,-0.000217567,-4.83766e-06,0.73327,-0.0289821,-2.61135e-05,-0.00103738,0.0841803,0.000367238,-0.037449,1,130.026,0.300416,0.0231884,nan,nan,nan,-0.000984226,-0.0841201,0.000333763,-0.0426241,1,117.31,0.299405,-0.110066,nan,nan,nan
0.018,-0.000282368,-4.2077e-06,0.733153,-0.0324003,0.000314979,-0.00106454,0.0843341,0.000289954,-0.0386102,1,131.743,0.30042,0.0019354,nan,nan,nan,-0.00098978,-0.0842408,0.000244619,-0.0445448,1,118.816,0.299112,-0.146161,nan,nan,nan
0.02,-0.000353238,-2.62609e-06,0.733033,-0.0354352,0.000790807,-0.00109483,0.0844947,0.000209697,-0.0400945,1,133.04,0.30037,-0.024671,nan,nan,nan,-0.000996119,-0.0843634,0.000151154,-0.0467002,1,120.168,0.298744,-0.18392,nan,nan,nan
0.022,-0.000430723,-3.0096e-07,0.732929,-0.0387424,0.00116256,-0.00113006,0.0846615,0.000125715,-0.0419559,1,206.219,0.300401,0.0152952,nan,nan,nan,-0.00100291,-0.0844849,5.31336e-05,-0.0489722,1,190.117,0.298453,-0.145744,nan,nan,nan
0.024,-0.000517654,6.36816e-06,0.732863,-0.0434653,0.00333456,-0.00116904,0.0848042,5.48662e-05,-0.035399,1,262.405,0.300622,0.110673,nan,nan,nan,-0.00101292,-0.0845855,-3.19585e-05,-0.0425142,1,289.982,0.298442,-0.00528928,nan,nan,nan
0.026,-0.000611742,1.42897e-05,0.732828,-0.047044,0.00396076,-0.00119972,0.0849048,5.25463e-06,-0.02479,1,244.577,0.300978,0.177817,nan,nan,nan,-0.00102117,-0.0846497,-8.65029e-05,-0.0272549,1,252.031,0.298608,0.0826894,nan,nan,nan
0.028,-0.00070575,2.00268e-05,0.732812,-0.0470044,0.00286855,-0.00122215,0.0849718,-2.64402e-05,-0.015832,1,219.18,0.301401,0.211461,nan,nan,nan,-0.00102707,-0.0846906,-0.000119036,-0.0162516,1,213.099,0.298899,0.145464,nan,nan,nan
0.03,-0.000797079,2.32908e-05,0.73281,-0.0456643,0.001632,-0.00123804,0.0850159,-4.46728e-05,-0.00910006,1,199.326,0.301832,0.215331,nan,nan,nan,-0.00103132,-0.0847168,-0.000136587,-0.00876027,1,190.98,0.299248,0.174566,nan,nan,nan
0.032,-0.000884045,2.42907e-05,0.732818,-0.0434828,0.000499931,-0.0012494,0.0850455,-5.36236e-05,-0.00445941,1,186.186,0.302232,0.200063,nan,nan,nan,-0.00103432,-0.0847339,-0.000144105,-0.00374311,1,174.284,0.299604,0.178171,nan,nan,nan
0.034,-0.000965862,2.32942e-05,0.732833,-0.0409086,-0.000498239,-0.00125751,0.085066,-5.63452e-05,-0.00134621,1,176.694,0.302582,0.175278,nan,nan,nan,-0.0010364,-0.0847453,-0.00014501,-0.000437677,1,162.382,0.299935,0.165516,nan,nan,nan
0.036,-0.00104222,2.05516e-05,0.732853,-0.0381804,-0.00137129,-0.0012634,0.0850807,-5.49203e-05,0.000725025,1,169.938,0.302874,0.145979,nan,nan,nan,-0.00103778,-0.0847531,-0.000141671,0.00168227,1,153.869,0.300222,0.143314,nan,nan,nan
0.038,-0.00111279,1.63274e-05,0.732875,-0.0352853,-0.0021121,-0.00126778,0.0850919,-5.07658e-05,0.00208761,1,163.594,0.303105,0.115567,nan,nan,nan,-0.00103865,-0.0847588,-0.000135713,0.00299018,1,149.013,0.300451,0.114656,nan,nan,nan
0.04,-0.00117858,1.06581e-05,0.7329,-0.0328917,-0.00283465,-0.00127116,0.0851009,-4.48054e-05,0.00298843,1,159.844,0.303288,0.0912248,nan,nan,nan,-0.00103913,-0.0847631,-0.000128279,0.00372586,1,142.87,0.300633,0.091025,nan,nan,nan
0.042,-0.00124019,3.53572e-06,0.732925,-0.0308057,-0.00356119,-0.0012739,0.0851087,-3.75959e-05,0.00361152,1,156.474,0.303431,0.0713368,nan,nan,nan,-0.00103934,-0.0847666,-0.000120086,0.00410352,1,139.134,0.300776,0.071613,nan,nan,nan
0.044,-0.00129812,-4.99646e-06,0.732951,-0.0289644,-0.00426609,-0.00127623,0.0851157,-2.95091e-05,0.00404901,1,153.87,0.30354,0.0547773,nan,nan,nan,-0.00103936,-0.0847697,-0.000111613,0.00424208,1,136.505,0.300888,0.0557114,nan,nan,nan
0.046,-0.00135097,-1.45577e-05,0.732975,-0.026428,-0.00478061,-0.00127832,0.0851223,-2.08626e-05,0.00432793,1,146.3,0.303626,0.0428321,nan,nan,nan,-0.00103926,-0.0847725,-0.000103181,0.0042209,1,134.12,0.300975,0.0435539,nan,nan,nan
0.048,-0.00139943,-2.50022e-05,0.732997,-0.0242264,-0.00522226,-0.00128039,0.0851288,-1.24433e-05,0.00421327,1,144.895,0.303692,0.033185,nan,nan,nan,-0.0010393,-0.0847751,-9.5023e-05,0.00408287,1,133.054,0.301042,0.0337897,nan,nan,nan
0.05,-0.00144413,-3.62377e-05,0.733017,-0.0223514,-0.00561773,-0.00128244,0.0851352,-4.42792e-06,0.00401051,1,144.053,0.303743,0.025497,nan,nan,nan,-0.00103944,-0.0847778,-8.72769e-05,0.00387587,1,132.45,0.301095,0.0260505,nan,nan,nan
0.052,-0.00148575,-4.82401e-05,0.733035,-0.020811,-0.00600125,-0.00128446,0.0851415,3.09633e-06,0.00376431,1,143.62,0.303782,0.0195086,nan,nan,nan,-0.00103964,-0.0847804,-8.00179e-05,0.00363171,1,132.377,0.301135,0.0200972,nan,nan,nan
0.054,-0.00152459,-6.10232e-05,0.733052,-0.0194176,-0.00639152,-0.00128645,0.0851478,1.00761e-05,0.00349159,1,142.983,0.303812,0.0146882,nan,nan,nan,-0.00103987,-0.084783,-7.32878e-05,0.00336676,1,132.456,0.301166,0.0154735,nan,nan,nan
0.056,-0.00156103,-7.46402e-05,0.733067,-0.0182237,-0.00680853,-0.00128846,0.0851542,1.64819e-05,0.00320428,1,142.81,0.303834,0.0112631,nan,nan,nan,-0.00104012,-0.0847857,-6.70971e-05,0.00309668,1,132.606,0.30119,0.0119301,nan,nan,nan
0.058,-0.00159567,-8.90838e-05,0.73308,-0.0173191,-0.00722176,-0.00129047,0.0851608,2.23207e-05,0.00292052,1,142.794,0.303852,0.00913313,nan,nan,nan,-0.00104038,-0.0847883,-6.14355e-05,0.00283188,1,132.961,0.301209,0.00974632,nan,nan,nan
0.06,-0.00162898,-0.000104337,0.733091,-0.0166544,-0.00762667,-0.00129244,0.0851674,2.76086e-05,0.00264491,1,142.821,0.303868,0.00796341,nan,nan,nan,-0.00104063,-0.0847909,-5.62835e-05,0.00257687,1,133.394,0.301226,0.00857855,nan,nan,nan
0.062,-0.00166132,-0.000120381,0.733101,-0.0161706,-0.00802218,-0.00129434,0.0851741,3.2371e-05,0.00238203,1,142.944,0.303883,0.00737737,nan,nan,nan,-0.00104086,-0.0847936,-5.16139e-05,0.00233554,1,133.723,0.301243,0.0083664,nan,nan,nan
0.064,-0.00169292,-0.0001372,0.73311,-0.0158008,-0.00840929,-0.00129617,0.0851808,3.66349e-05,0.00213269,1,143.29,0.303897,0.00706824,nan,nan,nan,-0.00104106,-0.0847963,-4.73913e-05,0.00211196,1,133.57,0.301262,0.00968217,nan,nan,nan
0.066,-0.00172398,-0.00015478,0.733117,-0.0155301,-0.00878988,-0.00129796,0.0851875,4.04193e-05,0.00189289,1,143.588,0.303912,0.00723779,nan,nan,nan,-0.00104124,-0.0847989,-4.35667e-05,0.00191291,1,133.479,0.301287,0.0121815,nan,nan,nan
0.068,-0.0017533,-0.000172992,0.733122,-0.0146608,-0.00910606,-0.00129972,0.0851941,4.37525e-05,0.00166726,1,137.521,0.303924,0.00642886,nan,nan,nan,-0.0010414,-0.0848016,-4.00979e-05,0.001735,1,135.598,0.301309,0.0111042,nan,nan,nan
0.07,-0.00178096,-0.000191883,0.733126,-0.0138293,-0.00944566,-0.00130182,0.0852018,4.63785e-05,0.00131362,1,138.336,0.303936,0.00591212,nan,nan,nan,-0.00104174,-0.0848042,-3.71593e-05,0.00146981,1,136.33,0.301329,0.0101833,nan,nan,nan
0.072,-0.00180711,-0.000211484,0.733128,-0.0130723,-0.00980018,-0.00130416,0.0852101,4.83954e-05,0.00100905,1,139.007,0.303948,0.00563161,nan,nan,nan,-0.00104222,-0.0848066,-3.46627e-05,0.00124877,1,136.931,0.301349,0.00989548,nan,nan,nan
0.074,-0.00183189,-0.000231819,0.733129,-0.0123902,-0.0101675,-0.00130667,0.0852189,4.9896e-05,0.000750963,1,139.551,0.303959,0.005541,nan,nan,nan,-0.00104278,-0.0848091,-3.25264e-05,0.00106862,1,137.403,0.301369,0.0101615,nan,nan,nan
0.076,-0.00185545,-0.000252905,0.733129,-0.0117801,-0.0105432,-0.00130927,0.0852279,5.09596e-05,0.000532475,1,140.005,0.30397,0.00560547,nan,nan,nan,-0.0010434,-0.0848115,-3.06845e-05,0.000921431,1,137.773,0.301391,0.0108434,nan,nan,nan
0.078,-0.00187794,-0.000274753,0.733128,-0.0112443,-0.0109238,-0.00131194,0.0852371,5.16527e-05,0.000347294,1,140.361,0.303982,0.00599751,nan,nan,nan,-0.00104404,-0.0848139,-2.90843e-05,0.000800561,1,138.058,0.301415,0.0118275,nan,nan,nan
0.08,-0.00189951,-0.00029739,0.733125,-0.0107861,-0.0113186,-0.00131464,0.0852465,5.20331e-05,0.000191029,1,140.596,0.303996,0.00710021,nan,nan,nan,-0.0010447,-0.0848163,-2.76858e-05,0.000699757,1,138.188,0.30144,0.0128486,nan,nan,nan
0.082,-0.00192033,-0.00032081,0.733122,-0.0104087,-0.0117102,-0.00131736,0.0852559,5.21537e-05,6.12275e-05,1,140.792,0.304014,0.00879554,nan,nan,nan,-0.0010454,-0.0848189,-2.64886e-05,0.000599132,1,138.416,0.301469,0.0141351,nan,nan,nan
0.084,-0.00194054,-0.000345004,0.733118,-0.0101062,-0.012097,-0.00132007,0.0852653,5.20574e-05,-4.71588e-05,1,140.955,0.304036,0.0109644,nan,nan,nan,-0.00104612,-0.0848216,-2.54547e-05,0.000517559,1,138.612,0.3015,0.0156325,nan,nan,nan
0.086,-0.00196029,-0.000369959,0.733113,-0.00987366,-0.0124775,-0.00132277,0.0852747,5.17788e-05,-0.000138204,1,141.092,0.304063,0.0134884,nan,nan,nan,-0.00104686,-0.0848245,-2.45515e-05,0.000452214,1,138.779,0.301535,0.0173078,nan,nan,nan
0.088,-0.0019797,-0.000395659,0.733107,-0.00970675,-0.0128502,-0.00132545,0.0852842,5.13461e-05,-0.000215142,1,141.209,0.304095,0.0162647,nan,nan,nan,-0.00104759,-0.0848273,-2.37545e-05,0.000399235,1,138.923,0.301573,0.0191389,nan,nan,nan
0.09,-0.00199923,-0.000421913,0.733101,-0.0097655,-0.0131268,-0.0013281,0.0852937,5.07822e-05,-0.000280612,1,141.087,0.304131,0.0179433,nan,nan,nan,-0.00104833,-0.0848302,-2.30448e-05,0.000355615,1,141.301,0.301604,0.0157224,nan,nan,nan
0.092,-0.00201899,-0.000448674,0.733095,-0.00988071,-0.0133808,-0.00133055,0.0853028,5.01596e-05,-0.000309969,1,141.24,0.304171,0.0200089,nan,nan,nan,-0.00104909,-0.0848331,-2.24958e-05,0.000275325,1,141.528,0.30163,0.0130414,nan,nan,nan
