t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732862,0,-0.0157394,-0.000457038,-0.999876,0,0.4,0,0,DISABLED,0
0.0399961,1.09365e-05,-1.98837e-07,0,-4.37722e-06,0.732859,0,-0.0157437,-0.000457107,-0.999876,3.34892e-06,0.4,0,0,DISABLED,0
0.0599961,8.07028e-05,-1.42958e-07,0,-1.56853e-05,0.732846,0,-0.015755,-0.000456184,-0.999876,1.04753e-05,0.4,0,0,DISABLED,0
0.0799961,0.00026951,-2.58917e-05,0,-0.000269797,0.73281,0.000345267,-0.0160092,-0.000466429,-0.999872,1.88428e-05,0.4,0,0,DISABLED,0
0.0999961,0.000663714,-7.75056e-05,0,-0.000881827,0.732728,0.000913491,-0.0166212,-0.000543838,-0.999862,-3.41519e-05,0.4,0,0,DISABLED,0
0.119996,0.00138798,-3.35868e-05,0,-0.00186962,0.732674,0.00189111,-0.017609,-0.000597617,-0.999845,0.000295175,0.4,0,0,DISABLED,0
0.139996,0.00205123,0.000379487,0,-0.00215832,0.732593,0.00244141,-0.0178977,0.000626464,-0.99984,0.000370329,0.4,0,0,DISABLED,0
0.159996,0.00279478,0.00136571,0,-0.00147585,0.732509,0.00229024,-0.0172152,0.00129853,-0.999851,0.000765203,0.4,0,0,DISABLED,0
0.179996,0.00393261,0.00258981,0,-0.00144969,0.732783,0.0024657,-0.017189,-0.00245326,-0.999849,0.00154089,0.4,0,0,DISABLED,0
0.199996,0.0055147,0.00408242,0,-0.0018975,0.733219,0.00620522,-0.0176369,-0.00635981,-0.999824,0.00288619,0.4,0,0,DISABLED,0
0.219996,0.00731199,0.00584373,0,-0.00177108,0.73355,0.0074613,-0.0175104,-0.00770471,-0.999817,0.00404556,0.4,0,0,DISABLED,0
0.239996,0.00928209,0.00783171,0,-0.00125562,0.733794,0.00822144,-0.016995,-0.00858313,-0.999819,0.00515278,0.4,0,0,DISABLED,0
0.259996,0.0113178,0.00979705,0,-0.00101892,0.733995,0.00923875,-0.0167583,-0.00963782,-0.999813,0.00576454,0.4,0,0,DISABLED,0
0.279996,0.0141751,0.0124143,0,-0.00094106,0.734203,0.0104668,-0.0166804,-0.0108793,-0.999802,0.00601724,0.4,0,0,DISABLED,0
0.299996,0.0173682,0.015261,0,-0.000540068,0.734264,0.0106195,-0.0162794,-0.0110607,-0.999806,0.0063501,0.4,0,0,DISABLED,0
0.319996,0.0201583,0.0177839,0,0.000659418,0.734187,0.00986888,-0.0150799,-0.0103011,-0.999833,0.00649471,0.4,0,0,DISABLED,0
0.339996,0.0234303,0.0208685,0,0.00266628,0.73396,0.00836518,-0.0130731,-0.00838241,-0.999879,0.00617882,0.4,0,0,DISABLED,0
0.359996,0.0268415,0.0242398,0,0.00550663,0.733497,0.00721766,-0.0102327,-0.0051202,-0.999935,0.00578755,0.4,0,0,DISABLED,0
0.379996,0.0304428,0.027838,0,0.00845198,0.732615,0.00846435,-0.00728738,-0.000943064,-0.999973,0.00560881,0.4,0,0,DISABLED,0
