time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-1.13186e-05,-5.80108e-07,0.733796,-0.0056591,-0.000290055,-0.000976898,0.0837003,0.000736402,-0.0391991,1,114.891,0.300043,0.0215702,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,102.927,0.299989,-0.00536441,0.000854,-0.0391991,nan
0.008,-3.40857e-05,-1.72476e-06,0.733702,-0.0113836,-0.000572325,-0.000979628,0.0837367,0.000662362,-0.0370167,1,113.417,0.300124,0.0405512,nan,nan,nan,-0.000977166,-0.0837357,0.000659956,-0.0382216,1,101.367,0.299961,-0.0143375,nan,nan,nan
0.01,-6.71507e-05,-3.09601e-06,0.7336,-0.0165325,-0.000685625,-0.000986189,0.0838088,0.000589657,-0.0363406,1,115.516,0.300208,0.0420663,nan,nan,nan,-0.000977806,-0.0838043,0.000582311,-0.0388165,1,103.858,0.299887,-0.0367035,nan,nan,nan
0.012,-0.00010926,-4.18072e-06,0.733494,-0.0210546,-0.000542354,-0.000996485,0.0839127,0.000515612,-0.0370004,1,127.567,0.300298,0.0448927,nan,nan,nan,-0.00097741,-0.0838977,0.000501382,-0.0404529,1,113.859,0.299781,-0.0530144,nan,nan,nan
0.014,-0.000159603,-4.78543e-06,0.733384,-0.0251716,-0.000302357,-0.00101431,0.084038,0.000442194,-0.0366826,1,128.529,0.30037,0.0357246,nan,nan,nan,-0.000979899,-0.0840045,0.000419054,-0.041147,1,115.533,0.299625,-0.0782375,nan,nan,nan
0.016,-0.000217567,-4.83766e-06,0.73327,-0.0289821,-2.61135e-05,-0.00103738,0.0841803,0.000367238,-0.037449,1,130.026,0.300416,0.0231884,nan,nan,nan,-0.000984226,-0.0841201,0.000333763,-0.0426241,1,117.31,0.299405,-0.110066,nan,nan,nan
0.018,-0.000282368,-4.2077e-06,0.733153,-0.0324003,0.000314979,-0.00106454,0.0843341,0.000289954,-0.0386102,1,131.743,0.30042,0.0019354,nan,nan,nan,-0.00098978,-0.0842408,0.000244619,-0.0445448,1,118.816,0.299112,-0.146161,nan,nan,nan
0.02,-0.000353238,-2.62609e-06,0.733033,-0.0354352,0.000790807,-0.00109483,0.0844947,0.000209697,-0.0400945,1,133.04,0.30037,-0.024671,nan,nan,nan,-0.000996119,-0.0843634,0.000151154,-0.0467002,1,120.168,0.298744,-0.18392,nan,nan,nan
0.022,-0.000430723,-3.0096e-07,0.732929,-0.0387424,0.00116256,-0.00113006,0.0846615,0.000125715,-0.0419559,1,206.219,0.300401,0.0152952,nan,nan,nan,-0.00100291,-0.0844849,5.31336e-05,-0.0489722,1,190.117,0.298453,-0.145744,nan,nan,nan
0.024,-0.000517654,6.36816e-06,0.732863,-0.0434653,0.00333456,-0.00116904,0.0848042,5.48662e-05,-0.035399,1,262.405,0.300622,0.110673,nan,nan,nan,-0.00101292,-0.0845855,-3.19585e-05,-0.0425142,1,289.982,0.298442,-0.00528928,nan,nan,nan
0.026,-0.000607945,1.22951e-05,0.732825,-0.0451456,0.00296349,-0.00119972,0.0849048,5.25463e-06,-0.02479,1,241.966,0.300978,0.177548,nan,nan,nan,-0.00102117,-0.0846497,-8.65029e-05,-0.0272549,1,243.296,0.298662,0.109763,nan,nan,nan
0.028,-0.00069809,1.61058e-05,0.732806,-0.0450725,0.00190534,-0.00122212,0.0849718,-2.68698e-05,-0.016048,1,219.192,0.3014,0.211075,nan,nan,nan,-0.00102722,-0.0846905,-0.000118958,-0.0162131,1,212.62,0.299008,0.172899,nan,nan,nan
0.03,-0.000785712,1.7654e-05,0.732802,-0.043811,0.000774079,-0.00123798,0.0850158,-4.54694e-05,-0.00928486,1,199.753,0.301834,0.217205,nan,nan,nan,-0.00103156,-0.0847167,-0.000136457,-0.0087343,1,190.46,0.299407,0.199812,nan,nan,nan
0.032,-0.000869132,1.7242e-05,0.732807,-0.0417101,-0.000205972,-0.00124932,0.0850454,-5.47115e-05,-0.00460608,1,186.618,0.302242,0.204063,nan,nan,nan,-0.00103461,-0.0847338,-0.000143933,-0.00372208,1,173.84,0.29981,0.201179,nan,nan,nan
0.034,-0.000947567,1.50874e-05,0.732819,-0.0392177,-0.00107732,-0.00125744,0.0850658,-5.76685e-05,-0.00146479,1,177.06,0.302604,0.180984,nan,nan,nan,-0.0010367,-0.0847452,-0.000144804,-0.00042064,1,162.128,0.300183,0.186716,nan,nan,nan
0.036,-0.00102071,1.13988e-05,0.732836,-0.0365736,-0.00184427,-0.00126335,0.0850805,-5.64307e-05,0.000630701,1,170.287,0.30291,0.153068,nan,nan,nan,-0.00103808,-0.0847531,-0.000141431,0.00169956,1,153.695,0.300509,0.163004,nan,nan,nan
0.038,-0.00108857,6.35025e-06,0.732856,-0.0339272,-0.0025243,-0.00126777,0.0850917,-5.24212e-05,0.0020145,1,165.295,0.303157,0.123184,nan,nan,nan,-0.00103892,-0.0847588,-0.000135438,0.00300745,1,147.595,0.300778,0.134543,nan,nan,nan
0.04,-0.00115161,-1.73879e-09,0.732878,-0.0315198,-0.00317599,-0.00127116,0.0851006,-4.663e-05,0.00290333,1,160.409,0.303352,0.0976329,nan,nan,nan,-0.00103936,-0.0847631,-0.000127945,0.00375525,1,143.553,0.300993,0.107341,nan,nan,nan
0.042,-0.00121047,-7.67621e-06,0.732901,-0.0294311,-0.00383724,-0.00127391,0.0851084,-3.95432e-05,0.0035496,1,156.967,0.303505,0.0767169,nan,nan,nan,-0.00103951,-0.0847667,-0.000119704,0.00412755,1,139.743,0.301163,0.0849467,nan,nan,nan
0.044,-0.00126577,-1.66406e-05,0.732924,-0.0276486,-0.00448219,-0.00127625,0.0851154,-3.15354e-05,0.00400899,1,154.215,0.303625,0.0596243,nan,nan,nan,-0.00103947,-0.0847698,-0.000111188,0.0042634,1,137.082,0.301296,0.0666873,nan,nan,nan
0.046,-0.0013164,-2.65278e-05,0.732946,-0.0253178,-0.00494358,-0.00127836,0.0851221,-2.29244e-05,0.00430965,1,147.236,0.303719,0.0470508,nan,nan,nan,-0.00103932,-0.0847727,-0.000102716,0.00424019,1,134.11,0.301401,0.0525393,nan,nan,nan
0.048,-0.00136307,-3.72451e-05,0.732967,-0.0233331,-0.00535867,-0.0012804,0.0851286,-1.45449e-05,0.00419301,1,145.745,0.303792,0.0368897,nan,nan,nan,-0.00103931,-0.0847755,-9.4517e-05,0.00410296,1,133.077,0.301484,0.0411974,nan,nan,nan
0.05,-0.00140654,-4.87269e-05,0.732986,-0.0217354,-0.00574088,-0.00128239,0.0851349,-6.568e-06,0.00399095,1,144.968,0.30385,0.0288675,nan,nan,nan,-0.00103938,-0.0847782,-8.67277e-05,0.00389719,1,132.587,0.301548,0.0322925,nan,nan,nan
0.052,-0.00144727,-6.09735e-05,0.733003,-0.0203656,-0.00612331,-0.00128434,0.0851413,9.14883e-07,0.00374342,1,144.361,0.303895,0.0224805,nan,nan,nan,-0.00103951,-0.0847809,-7.94317e-05,0.00365001,1,132.346,0.301599,0.0252823,nan,nan,nan
0.054,-0.00148548,-7.39999e-05,0.733019,-0.0191026,-0.00651321,-0.00128625,0.0851476,7.86077e-06,0.00347452,1,143.606,0.30393,0.017251,nan,nan,nan,-0.00103968,-0.0847836,-7.26645e-05,0.00338516,1,132.371,0.301638,0.0196614,nan,nan,nan
0.056,-0.00152177,-8.78327e-05,0.733033,-0.0181463,-0.00691643,-0.00128818,0.085154,1.4235e-05,0.00318836,1,143.567,0.303957,0.0137643,nan,nan,nan,-0.00103988,-0.0847863,-6.64402e-05,0.00311339,1,132.552,0.301669,0.0156866,nan,nan,nan
0.058,-0.00155667,-0.000102459,0.733045,-0.0174497,-0.00731296,-0.00129009,0.0851606,2.00496e-05,0.00290836,1,143.534,0.30398,0.0115121,nan,nan,nan,-0.00104008,-0.084789,-6.0745e-05,0.00284858,1,132.861,0.301696,0.0130812,nan,nan,nan
0.06,-0.0015906,-0.000117866,0.733056,-0.0169656,-0.0077035,-0.00129196,0.0851673,2.53224e-05,0.00263734,1,143.548,0.304001,0.0101733,nan,nan,nan,-0.00104028,-0.0847917,-5.5559e-05,0.00259386,1,133.237,0.301719,0.0115026,nan,nan,nan
0.062,-0.00162386,-0.000134041,0.733065,-0.0166319,-0.00808789,-0.00129376,0.085174,3.00778e-05,0.00237851,1,143.676,0.30402,0.00951351,nan,nan,nan,-0.00104045,-0.0847945,-5.08546e-05,0.00235293,1,133.329,0.301741,0.0112802,nan,nan,nan
0.064,-0.00165667,-0.00015097,0.733073,-0.0164055,-0.00846426,-0.00129549,0.0851808,3.43383e-05,0.002131,1,143.791,0.304039,0.00959279,nan,nan,nan,-0.0010406,-0.0847972,-4.65919e-05,0.00213202,1,133.301,0.301766,0.0124902,nan,nan,nan
0.066,-0.00168802,-0.000168501,0.73308,-0.0156703,-0.00876545,-0.00129719,0.0851876,3.81316e-05,0.00189743,1,138.451,0.304057,0.00888935,nan,nan,nan,-0.00104074,-0.0848,-4.27284e-05,0.00193236,1,135.087,0.301788,0.0110177,nan,nan,nan
0.068,-0.00171794,-0.000186553,0.733085,-0.0149605,-0.00902591,-0.00129886,0.0851941,4.12858e-05,0.00157772,1,138.541,0.304073,0.00817594,nan,nan,nan,-0.00104107,-0.0848026,-3.94455e-05,0.00164202,1,135.776,0.301808,0.00991766,nan,nan,nan
0.07,-0.00174657,-0.000205185,0.733088,-0.0143155,-0.00931625,-0.00130088,0.0852017,4.37651e-05,0.00124029,1,139.306,0.304088,0.00777847,nan,nan,nan,-0.00104152,-0.0848051,-3.66484e-05,0.00139909,1,136.429,0.301826,0.00912052,nan,nan,nan
0.072,-0.00177406,-0.000224431,0.73309,-0.0137458,-0.00962312,-0.00130314,0.0852101,4.56738e-05,0.000955017,1,139.816,0.304105,0.0080415,nan,nan,nan,-0.00104205,-0.0848076,-3.425e-05,0.00119967,1,136.955,0.301844,0.00878168,nan,nan,nan
0.074,-0.00180056,-0.000244309,0.73309,-0.0132522,-0.00993857,-0.00130556,0.0852188,4.71063e-05,0.000716891,1,140.22,0.304122,0.00888541,nan,nan,nan,-0.00104263,-0.08481,-3.21805e-05,0.00103522,1,137.35,0.301862,0.00894673,nan,nan,nan
0.076,-0.00182622,-0.000264821,0.73309,-0.0128306,-0.0102565,-0.00130808,0.0852279,4.81405e-05,0.000517808,1,140.547,0.304143,0.0102101,nan,nan,nan,-0.00104325,-0.0848125,-3.03827e-05,0.000899418,1,137.665,0.301881,0.00951945,nan,nan,nan
0.078,-0.00185118,-0.000285973,0.733089,-0.0124768,-0.0105755,-0.00131067,0.0852371,4.88406e-05,0.000350864,1,140.811,0.304167,0.0119225,nan,nan,nan,-0.00104388,-0.0848149,-2.88101e-05,0.000786808,1,137.928,0.301902,0.0104146,nan,nan,nan
0.08,-0.00187555,-0.000307783,0.733087,-0.0121834,-0.0109052,-0.00131328,0.0852464,4.92597e-05,0.000210415,1,141.02,0.304195,0.0139736,nan,nan,nan,-0.00104452,-0.0848173,-2.74254e-05,0.000692917,1,138.058,0.301924,0.0113754,nan,nan,nan
0.082,-0.00189945,-0.000330245,0.733084,-0.0119516,-0.0112311,-0.0013159,0.0852558,4.94422e-05,9.2157e-05,1,141.201,0.304227,0.0162477,nan,nan,nan,-0.0010452,-0.0848199,-2.62288e-05,0.000598867,1,138.279,0.301949,0.0126062,nan,nan,nan
0.084,-0.001923,-0.00035335,0.73308,-0.0117774,-0.0115527,-0.00131852,0.0852653,4.94236e-05,-8.24404e-06,1,141.353,0.304264,0.0186914,nan,nan,nan,-0.0010459,-0.0848226,-2.51872e-05,0.000521409,1,138.473,0.301978,0.0140452,nan,nan,nan
0.086,-0.00194632,-0.000377089,0.733075,-0.0116576,-0.0118695,-0.00132112,0.0852747,4.92335e-05,-9.39581e-05,1,141.482,0.304307,0.0212539,nan,nan,nan,-0.00104661,-0.0848254,-2.42723e-05,0.000458125,1,138.641,0.302009,0.0156528,nan,nan,nan
0.088,-0.00196993,-0.000401392,0.73307,-0.0118049,-0.0121511,-0.00132369,0.0852842,4.88961e-05,-0.000167466,1,141.34,0.304352,0.0226148,nan,nan,nan,-0.00104733,-0.0848283,-2.34622e-05,0.0004058,1,140.89,0.302034,0.0125691,nan,nan,nan
0.09,-0.00199393,-0.000426216,0.733065,-0.0119991,-0.0124124,-0.00132606,0.0852934,4.84664e-05,-0.000213615,1,141.509,0.304401,0.0243642,nan,nan,nan,-0.00104807,-0.0848311,-2.28498e-05,0.000306968,1,141.175,0.302054,0.0101701,nan,nan,nan
0.092,-0.00201837,-0.000451512,0.73306,-0.0122236,-0.0126477,-0.00132829,0.0853024,4.79693e-05,-0.000247288,1,141.601,0.304453,0.0262403,nan,nan,nan,-0.00104882,-0.0848339,-2.23865e-05,0.000232425,1,141.402,0.302071,0.00837641,nan,nan,nan
