t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732862,0.000345267,-0.0157428,-0.000457343,-0.999876,0,0.4,0,0,DISABLED,0
0.0399961,1.36262e-05,-2.26311e-07,0,-4.5225e-06,0.732858,0,-0.0157473,-0.000457334,-0.999876,3.74438e-06,0.4,0,0,DISABLED,0
0.0599961,7.57109e-05,-1.73226e-07,0,-1.46367e-05,0.732847,0.000345267,-0.0157574,-0.000456216,-0.999876,1.10622e-05,0.4,0,0,DISABLED,0
0.0799961,0.000277392,-2.58572e-05,0,-0.000267833,0.732809,0.000345267,-0.0160106,-0.000466368,-0.999872,1.94584e-05,0.4,0,0,DISABLED,0
0.0999961,0.000676595,-6.69132e-05,0,-0.000881353,0.732727,0.000913491,-0.0166241,-0.0005394,-0.999862,-3.99741e-05,0.4,0,0,DISABLED,0
0.119996,0.00132439,-2.88519e-05,0,-0.00185665,0.732673,0.00185932,-0.0175994,-0.000593567,-0.999845,0.000293581,0.4,0,0,DISABLED,0
0.139996,0.00206852,0.000394795,0,-0.00213969,0.732592,0.00241687,-0.0178825,0.000625587,-0.99984,0.000369921,0.4,0,0,DISABLED,0
0.159996,0.00282369,0.00137645,0,-0.00149486,0.732511,0.00229024,-0.0172376,0.00126032,-0.999851,0.000723833,0.4,0,0,DISABLED,0
0.179996,0.00395822,0.00259368,0,-0.00150006,0.732784,0.00294996,-0.0172428,-0.00297817,-0.999847,0.00156371,0.4,0,0,DISABLED,0
0.199996,0.00553044,0.00407732,0,-0.00183507,0.733218,0.00599017,-0.0175779,-0.00615961,-0.999827,0.00279167,0.4,0,0,DISABLED,0
0.219996,0.0073163,0.00581774,0,-0.00170656,0.733553,0.00738905,-0.0174493,-0.00764208,-0.999819,0.00435501,0.4,0,0,DISABLED,0
0.239996,0.00930064,0.0077986,0,-0.00124805,0.733793,0.00814862,-0.0169908,-0.0085093,-0.999819,0.00534574,0.4,0,0,DISABLED,0
0.259996,0.0115792,0.00997055,0,-0.000962185,0.734014,0.00914798,-0.016705,-0.00954761,-0.999815,0.00631002,0.4,0,0,DISABLED,0
0.279996,0.0141862,0.012333,0,-0.00080478,0.734195,0.0100009,-0.0165476,-0.0104228,-0.999809,0.00680998,0.4,0,0,DISABLED,0
0.299996,0.0170669,0.0148847,0,-0.000285013,0.734258,0.0101429,-0.0160278,-0.0105947,-0.999815,0.00695658,0.4,0,0,DISABLED,0
0.319996,0.0201532,0.0176559,0,0.000793299,0.734185,0.00957458,-0.0149495,-0.00999654,-0.999838,0.00704387,0.4,0,0,DISABLED,0
0.339996,0.0237446,0.0210628,0,0.00331305,0.733927,0.00806036,-0.0124297,-0.00780607,-0.999892,0.00645441,0.4,0,0,DISABLED,0
0.359996,0.0261441,0.0234147,0,0.0052194,0.733624,0.00741321,-0.0105234,-0.00571414,-0.999928,0.00617826,0.4,0,0,DISABLED,0
0.379996,0.0304394,0.0277172,0,0.00881284,0.732614,0.00881618,-0.00692994,-0.000655048,-0.999976,0.0059168,0.4,0,0,DISABLED,0
0.399996,0.0346106,0.0311623,0,0.0106634,0.732073,0.0112517,-0.00507935,-0.00402869,-0.999979,0.00839311,0.4,0,0,DISABLED,0
0.419996,0.0386414,0.0342094,0,0.0102734,0.7323,0.0120498,-0.00546939,-0.00674894,-0.999962,0.0093258,0.4,0,0,DISABLED,0
0.439996,0.0432465,0.0371533,0,0.00704407,0.73291,0.00729978,-0.00869871,-0.00238468,-0.999959,0.0123088,0.4,0,0,DISABLED,0
0.459996,0.0482191,0.0398143,0,0.00243952,0.733655,0.0053041,-0.0133033,0.00424641,-0.999902,0.0164728,0.4,0,0,DISABLED,0
0.479996,0.0521362,0.041765,0,-0.000685683,0.734089,0.00879587,-0.0164285,0.00830657,-0.999831,0.0187848,0.4,0,0,DISABLED,0
0.499996,0.0575937,0.0440869,0,-0.00271828,0.734292,0.0104725,-0.0184611,0.00965151,-0.999783,0.0207495,0.4,0,0,DISABLED,0
0.519996,0.0627654,0.0457112,0,-0.004506,0.734297,0.0107589,-0.0202488,0.00931329,-0.999752,0.0199241,0.4,0,0,DISABLED,0
0.539996,0.0681773,0.046732,0,-0.00596608,0.734312,0.0114825,-0.0217089,0.0093537,-0.999721,0.019543,0.4,0,0,DISABLED,0
0.559996,0.0737397,0.047238,0,-0.00661457,0.734304,0.0120992,-0.0223573,0.00967272,-0.999703,0.0195846,0.4,0,0,DISABLED,0
0.579996,0.0776828,0.0473696,0,-0.00651717,0.734247,0.0124776,-0.02226,0.0101811,-0.9997,0.0197112,0.4,0,0,DISABLED,0
0.599996,0.0850492,0.0471815,0,-0.00480827,0.733963,0.012468,-0.020551,0.0110482,-0.999728,0.0203678,0.4,0,0,DISABLED,0
