time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,1.69623e-07,3.49575e-10,0.73362,5.30572e-05,1.07215e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.7239,0.300225,0.0733654,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.7239,0.300225,0.073366,nan,nan,nan
0.01,1.98975e-05,1.1419e-06,0.733461,0.00986394,0.000570777,-0.000971439,0.0837014,0.000548772,-0.0500983,1,103.764,0.29978,-0.222127,nan,nan,nan,-0.000971439,-0.0837014,0.000548772,-0.0500985,1,87.1358,0.299582,-0.321206,nan,nan,nan
0.012,5.92302e-05,3.57587e-06,0.733294,0.0196663,0.00121698,-0.000962055,0.0837137,0.000433781,-0.0574612,1,112.571,0.298734,-0.523385,nan,nan,nan,-0.000960709,-0.0837197,0.00042791,-0.0603874,1,103.48,0.298164,-0.709212,nan,nan,nan
0.014,0.000108888,6.80047e-06,0.733121,0.0248289,0.0016123,-0.00094899,0.083734,0.000305219,-0.0641938,1,113.547,0.297241,-0.746166,nan,nan,nan,-0.00094553,-0.0837525,0.00028961,-0.0690278,1,102.67,0.296155,-1.00442,nan,nan,nan
0.016,0.000159652,9.45711e-06,0.732942,0.0253822,0.00132832,-0.000934004,0.0837594,0.000164661,-0.0701326,1,126.237,0.295502,-0.869822,nan,nan,nan,-0.000928321,-0.083797,0.000136149,-0.0765142,1,101.925,0.293741,-1.20721,nan,nan,nan
0.018,0.000202904,3.43257e-05,0.732805,0.0216259,0.0124343,-0.000917308,0.0837833,1.85718e-05,-0.07286,1,204.053,0.29383,-0.835659,nan,nan,nan,-0.000910655,-0.0838507,-2.93454e-05,-0.08245,1,379.9,0.291709,-1.01559,nan,nan,nan
0.02,0.00023635,5.63612e-05,0.732733,0.0167228,0.0110178,-0.000905822,0.083798,-0.000109302,-0.0637658,1,390.097,0.292599,-0.615646,nan,nan,nan,-0.000906255,-0.0838865,-0.000139599,-0.0549234,1,356.719,0.290064,-0.822908,nan,nan,nan
0.022,0.00026151,7.61161e-05,0.732708,0.0125801,0.00987744,-0.000900908,0.0838079,-0.000187118,-0.0388247,1,308.639,0.291628,-0.485629,nan,nan,nan,-0.000905654,-0.0839093,-0.000205139,-0.0326497,1,304.21,0.288663,-0.700297,nan,nan,nan
0.024,0.000282207,9.42312e-05,0.732717,0.0103487,0.00905756,-0.000898988,0.0838147,-0.000230814,-0.0218039,1,258.845,0.290785,-0.421398,nan,nan,nan,-0.00090662,-0.083924,-0.000240525,-0.0176129,1,261.835,0.287367,-0.648073,nan,nan,nan
0.026,0.000301484,0.000111422,0.73275,0.00963839,0.00859537,-0.000898507,0.0838196,-0.000251786,-0.0104571,1,224.653,0.289973,-0.40585,nan,nan,nan,-0.000908014,-0.0839338,-0.000255777,-0.0075615,1,230.477,0.286075,-0.645953,nan,nan,nan
0.028,0.00032094,0.00012818,0.732801,0.00972818,0.00837897,-0.0008986,0.0838233,-0.000257993,-0.00307901,1,199.547,0.289131,-0.420944,nan,nan,nan,-0.000909348,-0.0839404,-0.000257846,-0.000971964,1,206.993,0.284734,-0.670512,nan,nan,nan
0.03,0.000355836,0.000146379,0.73287,0.0174478,0.00909931,-0.000898848,0.0838266,-0.000254909,0.00156784,1,225.904,0.287933,-0.599071,nan,nan,nan,-0.000910455,-0.0839451,-0.000251543,0.00321854,1,189.911,0.283134,-0.799944,nan,nan,nan
0.032,0.000405333,0.000165855,0.732953,0.0247484,0.00973812,-0.000898715,0.0838307,-0.000245035,0.00498971,1,214.836,0.286382,-0.775871,nan,nan,nan,-0.00091132,-0.0839492,-0.000239963,0.00588473,1,176.272,0.281279,-0.927637,nan,nan,nan
0.034,0.000464289,0.000186106,0.733048,0.0294781,0.0101254,-0.000898025,0.0838354,-0.000228912,0.00815168,1,199.095,0.284567,-0.90712,nan,nan,nan,-0.000911949,-0.083953,-0.000225298,0.00745857,1,160.527,0.279227,-1.02572,nan,nan,nan
0.036,0.000527443,0.000206669,0.733149,0.031577,0.0102819,-0.000896829,0.0838408,-0.000208158,0.0105028,1,185.24,0.282586,-0.990488,nan,nan,nan,-0.000912387,-0.0839568,-0.000208996,0.00830466,1,146.988,0.277043,-1.09195,nan,nan,nan
0.038,0.000594712,0.00022748,0.733257,0.0336346,0.0104054,-0.000895144,0.083847,-0.00018431,0.0120751,1,182.256,0.280431,-1.07763,nan,nan,nan,-0.000912698,-0.0839607,-0.000192006,0.00866919,1,143.663,0.274719,-1.16215,nan,nan,nan
0.04,0.000666041,0.000248496,0.73337,0.0356646,0.0105081,-0.000892865,0.0838541,-0.000157856,0.0134077,1,180.275,0.278096,-1.16764,nan,nan,nan,-0.000912872,-0.0839648,-0.000175,0.0087001,1,141.499,0.272249,-1.23525,nan,nan,nan
0.042,0.000731196,0.000269146,0.733484,0.0325774,0.0103249,-0.000889963,0.0838619,-0.000129102,0.0145901,1,160.823,0.275783,-1.1566,nan,nan,nan,-0.000912911,-0.0839692,-0.000158398,0.00852301,1,122.381,0.269793,-1.22805,nan,nan,nan
0.044,0.000786713,0.000289336,0.733598,0.0277585,0.0100947,-0.000886864,0.0838704,-9.99647e-05,0.0147777,1,153.921,0.273553,-1.11468,nan,nan,nan,-0.00091309,-0.083974,-0.000142208,0.00831475,1,115.944,0.267403,-1.19458,nan,nan,nan
0.046,0.000832011,0.000309168,0.73371,0.0226491,0.00991631,-0.000883608,0.0838796,-7.13483e-05,0.0145018,1,151.489,0.271417,-1.06828,nan,nan,nan,-0.000913505,-0.0839792,-0.000126543,0.00803999,1,113.534,0.265095,-1.154,nan,nan,nan
0.048,0.00086767,0.000328795,0.73382,0.0178295,0.0098133,-0.000880212,0.083889,-4.379e-05,0.0139565,1,150.778,0.269364,-1.02627,nan,nan,nan,-0.000914134,-0.0839847,-0.000111604,0.00766373,1,112.627,0.262868,-1.11345,nan,nan,nan
0.05,0.000901124,0.000349294,0.733932,0.0167269,0.0102497,-0.000876704,0.0838985,-1.76389e-05,0.013239,1,171.224,0.267384,-0.989849,nan,nan,nan,-0.000914925,-0.0839904,-9.75894e-05,0.00718899,1,124.757,0.260591,-1.13884,nan,nan,nan
0.052,0.000933088,0.000370795,0.734046,0.0159823,0.0107505,-0.000873069,0.0839095,1.3369e-05,0.0156646,1,171.248,0.265467,-0.958788,nan,nan,nan,-0.00091605,-0.083997,-8.30742e-05,0.00744801,1,124.549,0.258258,-1.16651,nan,nan,nan
0.054,0.000962814,0.000393208,0.734161,0.0148629,0.0112062,-0.000869262,0.0839217,4.91236e-05,0.0180387,1,166.378,0.2636,-0.933528,nan,nan,nan,-0.000917478,-0.0840043,-6.81339e-05,0.00767066,1,120.483,0.255896,-1.18095,nan,nan,nan
0.056,0.000989415,0.00041648,0.734274,0.0133004,0.0116362,-0.000865197,0.0839345,8.7261e-05,0.0192292,1,160.963,0.261772,-0.913899,nan,nan,nan,-0.000919267,-0.0840123,-5.30317e-05,0.0077573,1,116.913,0.253536,-1.17989,nan,nan,nan
0.058,0.00101217,0.000440399,0.734387,0.0113788,0.0119592,-0.000860811,0.0839475,0.000125527,0.0192895,1,156.937,0.259978,-0.897143,nan,nan,nan,-0.000921453,-0.0840209,-3.80585e-05,0.00769312,1,114.707,0.251205,-1.16577,nan,nan,nan
0.06,0.00103062,0.000464737,0.734498,0.00922369,0.0121691,-0.000856056,0.0839608,0.000162589,0.0186814,1,155.127,0.25822,-0.878761,nan,nan,nan,-0.000924037,-0.0840298,-2.34667e-05,0.00749828,1,112.784,0.248916,-1.14418,nan,nan,nan
0.062,0.00104468,0.000489136,0.734607,0.00702812,0.0121998,-0.000851005,0.0839741,0.000197841,0.0177688,1,154.411,0.256506,-0.857126,nan,nan,nan,-0.000926973,-0.0840391,-9.3826e-06,0.00723791,1,111.583,0.246677,-1.11947,nan,nan,nan
0.064,0.00105429,0.000513273,0.734713,0.00480711,0.0120683,-0.000845756,0.0839875,0.000231179,0.016804,1,154.298,0.254841,-0.832536,nan,nan,nan,-0.000930192,-0.0840486,4.09266e-06,0.006926,1,110.827,0.244491,-1.09295,nan,nan,nan
0.066,0.00105953,0.000536914,0.734818,0.00261783,0.0118203,-0.000840368,0.084001,0.000262714,0.0158939,1,154.478,0.253228,-0.806249,nan,nan,nan,-0.000933648,-0.0840584,1.68601e-05,0.00656416,1,110.474,0.242361,-1.06501,nan,nan,nan
0.068,0.00106065,0.000559959,0.734919,0.00056404,0.0115228,-0.000834922,0.0840146,0.000292596,0.0150601,1,154.688,0.251667,-0.780605,nan,nan,nan,-0.00093729,-0.0840683,2.88885e-05,0.00618638,1,110.298,0.240289,-1.03638,nan,nan,nan
0.07,0.0010617,0.000581861,0.735021,0.000521286,0.0109509,-0.000829543,0.0840282,0.000320919,0.0142731,1,169.64,0.25017,-0.748807,nan,nan,nan,-0.000941054,-0.0840782,4.01527e-05,0.00579604,1,114.228,0.238266,-1.01154,nan,nan,nan
0.072,0.00106286,0.000602546,0.735121,0.000582594,0.0103427,-0.000824365,0.0840428,0.000353524,0.0164153,1,169.901,0.248733,-0.718377,nan,nan,nan,-0.000945729,-0.0840894,5.17e-05,0.00593033,1,113.804,0.236293,-0.986332,nan,nan,nan
0.074,0.00106402,0.000621998,0.73522,0.000577814,0.00972564,-0.000819256,0.0840581,0.000390491,0.018599,1,167.043,0.247349,-0.691991,nan,nan,nan,-0.000951051,-0.0841015,6.35872e-05,0.00609305,1,111.478,0.234372,-0.960431,nan,nan,nan
0.076,0.00106504,0.00064023,0.735317,0.000510694,0.00911634,-0.000814,0.0840738,0.000429832,0.0197857,1,164.054,0.24601,-0.669447,nan,nan,nan,-0.0009568,-0.0841141,7.57089e-05,0.00620312,1,109.043,0.232504,-0.934215,nan,nan,nan
0.078,0.00106588,0.000657094,0.735411,0.000419669,0.00843195,-0.000808554,0.0840896,0.000469517,0.0199528,1,161.764,0.244711,-0.649215,nan,nan,nan,-0.000962827,-0.0841273,8.79102e-05,0.00623567,1,105.55,0.230687,-0.908329,nan,nan,nan
0.08,0.00106648,0.000672757,0.735502,0.000298978,0.00783122,-0.000802934,0.0841054,0.000508248,0.0194693,1,160.706,0.243452,-0.629636,nan,nan,nan,-0.000969854,-0.084143,9.9586e-05,0.00596564,1,104.72,0.228926,-0.880642,nan,nan,nan
0.082,0.0010667,0.000687373,0.73559,0.000111312,0.00730812,-0.000797145,0.0841213,0.000545477,0.0187102,1,160.33,0.242234,-0.609305,nan,nan,nan,-0.000977678,-0.0841605,0.000110723,0.00568872,1,104.385,0.227223,-0.851429,nan,nan,nan
0.084,0.00106646,0.000701058,0.735675,-0.000118677,0.00684258,-0.000791237,0.0841372,0.000581103,0.017902,1,160.334,0.241058,-0.588014,nan,nan,nan,-0.000986047,-0.0841792,0.000121425,0.00546326,1,104.25,0.22558,-0.82122,nan,nan,nan
0.086,0.00106573,0.00071388,0.735756,-0.0003664,0.00641107,-0.000785263,0.0841533,0.000615224,0.0171424,1,160.51,0.239925,-0.56614,nan,nan,nan,-0.000994765,-0.0841986,0.000131777,0.00528129,1,104.14,0.223999,-0.790623,nan,nan,nan
0.088,0.00106485,0.000726528,0.735834,-0.000441238,0.00632362,-0.000779262,0.0841694,0.000647954,0.0164406,1,158.858,0.238817,-0.554382,nan,nan,nan,-0.0010037,-0.0842185,0.00014181,0.00511375,1,103.824,0.222482,-0.75855,nan,nan,nan
0.09,0.00106336,0.000739153,0.73591,-0.000745281,0.0063127,-0.000771136,0.0841913,0.000679131,0.0156607,1,168.683,0.237777,-0.519798,nan,nan,nan,-0.00101265,-0.0842385,0.000151493,0.00493225,1,107.117,0.221081,-0.700302,nan,nan,nan
0.092,0.00106113,0.000751651,0.735984,-0.00111362,0.0062491,-0.000762053,0.0842179,0.000712621,0.0168156,1,168.595,0.236809,-0.483778,nan,nan,nan,-0.00102271,-0.0842596,0.000161898,0.00528061,1,106.542,0.219793,-0.644123,nan,nan,nan
0.094,0.00105856,0.000763812,0.736056,-0.00128507,0.0060805,-0.000752254,0.0842477,0.000748252,0.0178841,1,167.231,0.235907,-0.451334,nan,nan,nan,-0.00103348,-0.0842817,0.000172922,0.00557987,1,105.739,0.218596,-0.598371,nan,nan,nan
0.096,0.00105609,0.000775435,0.736125,-0.00123412,0.00581155,-0.000742006,0.0842793,0.000784715,0.0182959,1,165.888,0.235061,-0.422948,nan,nan,nan,-0.00104455,-0.0843044,0.000184397,0.00579649,1,104.957,0.21747,-0.563086,nan,nan,nan
