t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732859,0,-0.0155456,-0.000485496,-0.999879,0,0.4,0,0,DISABLED,0
0.0399961,1.0673e-05,-1.30851e-07,0,-4.63706e-06,0.732856,0,-0.0155503,-0.000485467,-0.999879,3.15381e-06,0.4,0,0,DISABLED,0
0.0599961,6.93249e-05,-3.44589e-08,0,-1.8226e-05,0.732845,0,-0.0155638,-0.000484062,-0.999879,1.1233e-05,0.4,0,0,DISABLED,0
0.0799961,0.000254863,-1.96332e-05,0,-0.000223725,0.732811,0,-0.0157693,-0.000490025,-0.999876,1.91871e-05,0.4,0,0,DISABLED,0
0.0999961,0.000642734,-5.38556e-05,0,-0.000823977,0.732732,0.000845728,-0.0163696,-0.00055436,-0.999866,-4.1164e-05,0.4,0,0,DISABLED,0
0.119996,0.00120815,-1.94963e-05,0,-0.0018268,0.73268,0.00182698,-0.0173724,-0.00060914,-0.999849,0.000269982,0.4,0,0,DISABLED,0
0.139996,0.00202111,0.000420248,0,-0.00213898,0.732597,0.00231612,-0.0176846,0.000351325,-0.999844,0.000395306,0.4,0,0,DISABLED,0
0.159996,0.00277211,0.00141573,0,-0.00151138,0.732515,0.00231612,-0.017057,0.0012531,-0.999854,0.000656333,0.4,0,0,DISABLED,0
0.179996,0.00363225,0.00238518,0,-0.00141207,0.732707,0.00179406,-0.0169577,-0.0015587,-0.999855,0.0013507,0.4,0,0,DISABLED,0
0.199996,0.00554866,0.00417909,0,-0.00219204,0.733285,0.00700817,-0.0177377,-0.00714108,-0.999817,0.00136304,0.4,0,0,DISABLED,0
0.219996,0.00736566,0.00601199,0,-0.00226262,0.733654,0.0092129,-0.0178082,-0.00941093,-0.999797,0.0026458,0.4,0,0,DISABLED,0
0.239996,0.00909605,0.0078216,0,-0.00170502,0.733849,0.0092838,-0.0172506,-0.00960488,-0.999805,0.00387267,0.4,0,0,DISABLED,0
0.259996,0.0115464,0.010224,0,-0.00115416,0.734075,0.00989903,-0.0166998,-0.0103201,-0.999807,0.00496829,0.4,0,0,DISABLED,0
0.279996,0.0141553,0.0125889,0,-0.00106356,0.734259,0.0106699,-0.0166092,-0.0110981,-0.9998,0.00520886,0.4,0,0,DISABLED,0
0.299996,0.0170393,0.0151262,0,-0.000609959,0.734325,0.0107644,-0.0161556,-0.0112313,-0.999806,0.00530574,0.4,0,0,DISABLED,0
0.319996,0.0197954,0.0175776,0,0.000512352,0.734262,0.0101135,-0.0150333,-0.0105851,-0.999831,0.00544316,0.4,0,0,DISABLED,0
0.339996,0.0233566,0.0208957,0,0.00281511,0.734025,0.0085971,-0.0127305,-0.00860743,-0.999882,0.00499306,0.4,0,0,DISABLED,0
0.359996,0.026785,0.0242343,0,0.0055808,0.733572,0.00749319,-0.00996482,-0.00548971,-0.999935,0.00459811,0.4,0,0,DISABLED,0
0.379996,0.0303983,0.0278266,0,0.00846957,0.732683,0.00849949,-0.00707604,-0.00126134,-0.999974,0.00441814,0.4,0,0,DISABLED,0
0.399996,0.0341631,0.0310053,0,0.0102513,0.732141,0.0109891,-0.00529433,-0.00444111,-0.999976,0.00686529,0.4,0,0,DISABLED,0
0.419996,0.0381651,0.0340281,0,0.00979804,0.732302,0.0117949,-0.00574758,-0.00705,-0.999959,0.00778045,0.4,0,0,DISABLED,0
0.439996,0.0426906,0.0369721,0,0.0069274,0.732861,0.00751701,-0.00861821,-0.00341163,-0.999957,0.0102547,0.4,0,0,DISABLED,0
0.459996,0.0476584,0.0395992,0,0.00171385,0.733599,0.00468343,-0.0138318,0.00387963,-0.999897,0.0150851,0.4,0,0,DISABLED,0
0.479996,0.0526016,0.0419682,0,-0.00169169,0.734134,0.00908915,-0.0172373,0.00844507,-0.999816,0.0181101,0.4,0,0,DISABLED,0
0.499996,0.0575209,0.0439936,0,-0.00381543,0.734321,0.0106531,-0.019361,0.00946011,-0.999768,0.0183912,0.4,0,0,DISABLED,0
0.519996,0.0626849,0.0454997,0,-0.00571907,0.734364,0.0113519,-0.0212647,0.0093235,-0.99973,0.0187526,0.4,0,0,DISABLED,0
0.539996,0.0680695,0.0464974,0,-0.0072039,0.734393,0.0122412,-0.0227495,0.00941433,-0.999697,0.018779,0.4,0,0,DISABLED,0
0.559996,0.0735784,0.0470215,0,-0.00773601,0.734381,0.0127843,-0.0232816,0.00969058,-0.999682,0.0187529,0.4,0,0,DISABLED,0
0.579996,0.0780445,0.0471746,0,-0.00745062,0.734307,0.0129465,-0.0229962,0.0100991,-0.999685,0.0187728,0.4,0,0,DISABLED,0
0.599996,0.0848042,0.0470166,0,-0.00585883,0.734066,0.0129049,-0.0214044,0.0110176,-0.99971,0.0190674,0.4,0,0,DISABLED,0
0.619996,0.0904736,0.0465232,0,-0.00352833,0.733712,0.0126625,-0.0190739,0.0116797,-0.99975,0.0197214,0.4,0,0,DISABLED,0
0.639996,0.0961221,0.0456809,0,-0.000366676,0.733189,0.0124441,-0.0159123,0.0119543,-0.999802,0.0203886,0.4,0,0,DISABLED,0
0.659996,0.101724,0.0444775,0,0.00324766,0.732507,0.0124153,-0.012298,0.011497,-0.999858,0.0216848,0.4,0,0,DISABLED,0
0.679996,0.107365,0.0428849,0,0.00614933,0.731726,0.0112729,-0.00939629,0.00896329,-0.999916,0.0232557,0.4,0,0,DISABLED,0
0.699996,0.113081,0.0412006,0,0.0072463,0.73115,0.0101194,-0.00829931,0.00658115,-0.999944,0.0217573,0.4,0,0,DISABLED,0
0.719995,0.118551,0.039956,0,0.00547646,0.731464,0.0100721,-0.0100692,0.00796996,-0.999918,0.0177609,0.4,0,0,DISABLED,0
0.739995,0.125291,0.0380067,0,0.00253238,0.732282,0.0049193,-0.0130132,0.00374079,-0.999908,0.0114722,0.4,0,0,DISABLED,0
0.759995,0.131325,0.0361151,0,0.000302942,0.733042,0.00308816,-0.0152427,-0.00355513,-0.999878,0.00936421,0.4,0,0,DISABLED,0
0.779995,0.137401,0.0345452,0,-0.00170956,0.733756,0.0101017,-0.0172552,-0.0104378,-0.999797,0.0084427,0.4,0,0,DISABLED,0
0.799995,0.143386,0.033402,0,-0.0023653,0.734178,0.0149467,-0.0179109,-0.0152464,-0.999723,0.00750954,0.4,0,0,DISABLED,0
0.819995,0.149352,0.0325612,0,-0.00173266,0.734318,0.0180005,-0.0172783,-0.0184018,-0.999681,0.00699724,0.4,0,0,DISABLED,0
0.839995,0.155458,0.0319906,0,-0.000493308,0.7343,0.0197108,-0.0160389,-0.0201932,-0.999667,0.0065276,0.4,0,0,DISABLED,0
0.859995,0.159249,0.0317745,0,0.000198947,0.734268,0.0202655,-0.0153467,-0.0207511,-0.999667,0.00642724,0.4,0,0,DISABLED,0
0.879995,0.168424,0.0315792,0,0.00173987,0.734159,0.0223257,-0.0138057,-0.0227421,-0.999646,0.00473894,0.4,0,0,DISABLED,0
0.899995,0.175143,0.0316343,0,0.00321292,0.733976,0.0245632,-0.0123327,-0.0248382,-0.999615,0.00429372,0.4,0,0,DISABLED,0
0.919995,0.181161,0.0318161,0,0.00534923,0.733713,0.0273729,-0.0101964,-0.0273287,-0.999574,0.00446616,0.4,0,0,DISABLED,0
0.939995,0.188391,0.032295,0,0.00883276,0.733281,0.0315229,-0.00671286,-0.030743,-0.999505,0.00450162,0.4,0,0,DISABLED,0
0.959995,0.194832,0.0331746,0,0.0122257,0.732872,0.033122,-0.00331991,-0.031266,-0.999506,0.00425599,0.4,0,0,DISABLED,0
0.979995,0.201326,0.0345272,0,0.0143929,0.732582,0.0309696,-0.0011527,-0.0279061,-0.99961,0.00335488,0.4,0,0,DISABLED,0
0.999995,0.207796,0.0359946,0,0.0154802,0.732216,0.0268563,-6.54151e-05,-0.0224316,-0.999748,0.00388315,0.4,0,0,DISABLED,0
1.02,0.214279,0.0372024,0,0.0154157,0.732215,0.0249221,-0.000129897,-0.0200659,-0.999799,0.00495297,0.4,0,0,DISABLED,0
1.04,0.220162,0.0380115,0,0.0140173,0.732582,0.0218207,-0.00152834,-0.0172099,-0.999851,0.00819531,0.4,0,0,DISABLED,0
1.06,0.227766,0.0389353,0,0.0109992,0.733099,0.0157505,-0.00454642,-0.0117619,-0.99992,0.0130978,0.4,0,0,DISABLED,0
1.08,0.234678,0.0398996,0,0.00926603,0.733496,0.0104725,-0.00627959,-0.00536521,-0.999966,0.0141082,0.4,0,0,DISABLED,0
1.1,0.241443,0.0406623,0,0.00931296,0.73363,0.00937961,-0.00623265,-0.0015885,-0.999979,0.0144246,0.4,0,0,DISABLED,0
1.12,0.248402,0.0410056,0,0.00931949,0.733599,0.00932224,-0.00622613,-0.000152722,-0.999981,0.0150038,0.4,0,0,DISABLED,0
1.14,0.255591,0.0409162,0,0.00859653,0.73358,0.00914798,-0.00694909,0.00264137,-0.999972,0.01662,0.4,0,0,DISABLED,0
1.16,0.262784,0.0405627,0,0.00834017,0.73358,0.0101957,-0.00720544,0.00538069,-0.99996,0.0174069,0.4,0,0,DISABLED,0
1.18,0.26983,0.0400728,0,0.00897557,0.733535,0.0123189,-0.00657005,0.00795775,-0.999947,0.0176943,0.4,0,0,DISABLED,0
1.2,0.276722,0.0395486,0,0.0104619,0.733402,0.015129,-0.00508376,0.0104441,-0.999933,0.018184,0.4,0,0,DISABLED,0
1.22,0.282798,0.0390229,0,0.0124914,0.733232,0.0178909,-0.00305426,0.0123241,-0.999919,0.0186273,0.4,0,0,DISABLED,0
1.24,0.289515,0.0381828,0,0.0141677,0.733086,0.0190339,-0.00137796,0.0122263,-0.999924,0.0186068,0.4,0,0,DISABLED,0
1.25999,0.297074,0.0368246,0,0.0145229,0.73314,0.0185035,-0.00102268,0.0109793,-0.999939,0.0188038,0.4,0,0,DISABLED,0
1.27999,0.304088,0.0351209,0,0.0137711,0.733159,0.016213,-0.00177455,0.00807396,-0.999966,0.0183226,0.4,0,0,DISABLED,0
1.29999,0.310474,0.0331409,0,0.0116732,0.732741,0.0123527,-0.00387245,0.00355116,-0.999986,0.0177558,0.4,0,0,DISABLED,0
1.31999,0.317843,0.031057,0,0.00745104,0.732575,0.00866616,-0.00809458,0.0039406,-0.999959,0.0145439,0.4,0,0,DISABLED,0
1.33999,0.325172,0.0289603,0,0.00351867,0.733001,0.00451496,-0.0120269,0.00235232,-0.999925,0.0108267,0.4,0,0,DISABLED,0
1.35999,0.333474,0.0266397,0,0.00191803,0.733718,0.00379794,-0.0136276,-0.00376316,-0.9999,0.00732331,0.4,0,0,DISABLED,0
1.37999,0.33959,0.0254222,0,0.00117441,0.734133,0.00677464,-0.0143712,-0.00716485,-0.999871,0.00653442,0.4,0,0,DISABLED,0
1.39999,0.344332,0.0247705,0,0.000831088,0.734272,0.00812664,-0.0147145,-0.00857036,-0.999855,0.00562789,0.4,0,0,DISABLED,0
1.41999,0.352548,0.0240898,0,0.000492015,0.734225,0.0100958,-0.0150536,-0.0105688,-0.999831,0.00367228,0.4,0,0,DISABLED,0
1.43999,0.360306,0.0238783,0,0.00028245,0.734085,0.0119804,-0.0152632,-0.0124627,-0.999806,0.001247,0.4,0,0,DISABLED,0
1.45999,0.367553,0.0239076,0,0.000274193,0.733958,0.0131339,-0.0152714,-0.0136179,-0.999791,0.000483521,0.4,0,0,DISABLED,0
1.47999,0.374872,0.0240898,0,0.000785757,0.733816,0.0147216,-0.0147599,-0.0151826,-0.999776,-0.000150667,0.4,0,0,DISABLED,0
1.49999,0.382154,0.0243402,0,0.00242226,0.733663,0.0176494,-0.0131234,-0.0179687,-0.999752,-0.000518427,0.4,0,0,DISABLED,0
1.51999,0.389336,0.0247067,0,0.00469784,0.733492,0.0204791,-0.0108478,-0.0204209,-0.999733,-0.000408633,0.4,0,0,DISABLED,0
1.53999,0.395731,0.0252652,0,0.00707451,0.733377,0.0225409,-0.0084711,-0.0218901,-0.999725,-0.000680307,0.4,0,0,DISABLED,0
1.55999,0.403516,0.0263355,0,0.0101391,0.733407,0.0226148,-0.00540656,-0.020701,-0.999771,-0.000705161,0.4,0,0,DISABLED,0
1.57999,0.409965,0.0274291,0,0.0111567,0.733514,0.0205024,-0.00438891,-0.0176886,-0.999834,-9.24328e-05,0.4,0,0,DISABLED,0
1.59999,0.417825,0.0289555,0,0.0112672,0.733357,0.0156937,-0.00427839,-0.0114092,-0.999926,0.00118709,0.4,0,0,DISABLED,0
1.61999,0.424825,0.0301817,0,0.0105241,0.733184,0.0131746,-0.00502152,-0.00841041,-0.999952,0.00334429,0.4,0,0,DISABLED,0
1.63999,0.432033,0.0312303,0,0.0078202,0.733337,0.0100781,-0.00772541,-0.00684364,-0.999947,0.00565659,0.4,0,0,DISABLED,0
1.65999,0.43778,0.0320655,0,0.00580889,0.733571,0.00652364,-0.00973673,-0.00346311,-0.999947,0.00863422,0.4,0,0,DISABLED,0
1.67999,0.446414,0.0332859,0,0.00498478,0.733901,0.00521342,-0.0105608,0.00108443,-0.999944,0.010513,0.4,0,0,DISABLED,0
1.69999,0.45353,0.0340326,0,0.0054738,0.733918,0.0065145,-0.0100718,0.00304382,-0.999945,0.0107494,0.4,0,0,DISABLED,0
1.71999,0.460847,0.0342934,0,0.00564823,0.733788,0.00707588,-0.00989738,0.00378296,-0.999944,0.0118931,0.4,0,0,DISABLED,0
1.73999,0.467549,0.0341733,0,0.00546779,0.733689,0.00752494,-0.0100778,0.00468387,-0.999938,0.0128723,0.4,0,0,DISABLED,0
1.75999,0.47567,0.0336919,0,0.00562641,0.733587,0.00849949,-0.0099192,0.00588764,-0.999933,0.0141296,0.4,0,0,DISABLED,0
1.77999,0.482886,0.0331048,0,0.00643686,0.733494,0.00982044,-0.00910876,0.00692999,-0.999934,0.0147758,0.4,0,0,DISABLED,0
1.79999,0.489958,0.0325033,0,0.00803258,0.733359,0.0119505,-0.00751303,0.00836043,-0.999937,0.0154509,0.4,0,0,DISABLED,0
1.81999,0.496189,0.031938,0,0.00980609,0.733187,0.0139268,-0.00573952,0.00940095,-0.999939,0.0161202,0.4,0,0,DISABLED,0
