t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732825,0,-0.0160318,-0.000502449,-0.999871,0,0.4,0,0,DISABLED,0
0.0399961,1.00965e-05,-3.07802e-07,0,-4.37722e-06,0.732822,0,-0.0160362,-0.000502075,-0.999871,1.71806e-06,0.4,0,0,DISABLED,0
0.0599961,7.55694e-05,-3.9069e-07,0,-1.74958e-05,0.732808,0,-0.0160493,-0.000500295,-0.999871,8.74835e-06,0.4,0,0,DISABLED,0
0.0799961,0.000255934,-2.41748e-05,0,-0.000262499,0.732771,0.000345267,-0.0162943,-0.000512509,-0.999867,1.69566e-05,0.4,0,0,DISABLED,0
0.0999961,0.000640992,-5.88233e-05,0,-0.000879211,0.732686,0.000913491,-0.016911,-0.000569892,-0.999857,-1.27467e-05,0.4,0,0,DISABLED,0
0.119996,0.001357,3.241e-06,0,-0.00199399,0.732629,0.00198341,-0.0180258,-0.000552615,-0.999837,0.000447803,0.4,0,0,DISABLED,0
0.139996,0.00201578,0.000441743,0,-0.00221211,0.73252,0.00260671,-0.0182439,0.000886804,-0.999833,0.000518828,0.4,0,0,DISABLED,0
0.159996,0.00275792,0.00145604,0,-0.00159435,0.732398,0.00276214,-0.0176261,0.00173155,-0.999843,0.00081279,0.4,0,0,DISABLED,0
0.179996,0.00362203,0.00242892,0,-0.00152944,0.732571,0.00165584,-0.0175612,-0.00111617,-0.999845,0.00151014,0.4,0,0,DISABLED,0
0.199996,0.00552612,0.00427338,0,-0.0021985,0.733118,0.00612789,-0.0182303,-0.00622422,-0.999814,0.00145713,0.4,0,0,DISABLED,0
0.219996,0.00750274,0.00635806,0,-0.00221316,0.733495,0.00842199,-0.018245,-0.00862776,-0.999796,0.00388072,0.4,0,0,DISABLED,0
0.239996,0.00945191,0.00846852,0,-0.00154993,0.733689,0.00840073,-0.0175817,-0.0087623,-0.999807,0.00530884,0.4,0,0,DISABLED,0
0.259996,0.0117075,0.0107454,0,-0.00102886,0.733869,0.00899687,-0.0170607,-0.00943489,-0.99981,0.00649212,0.4,0,0,DISABLED,0
0.279996,0.0140405,0.012931,0,-0.000897326,0.734016,0.00947445,-0.0169291,-0.00993522,-0.999807,0.00740044,0.4,0,0,DISABLED,0
0.299996,0.0168946,0.0155397,0,-0.000427436,0.734084,0.00961806,-0.0164592,-0.0101098,-0.999813,0.00759409,0.4,0,0,DISABLED,0
0.319996,0.0199301,0.0183742,0,0.000883865,0.73401,0.0090563,-0.0151479,-0.00951959,-0.99984,0.00755819,0.4,0,0,DISABLED,0
0.339996,0.0231385,0.021506,0,0.0029988,0.73378,0.00781252,-0.013033,-0.00771982,-0.999885,0.00748785,0.4,0,0,DISABLED,0
0.359996,0.0264718,0.0249547,0,0.00595091,0.733296,0.00714295,-0.0100809,-0.00445965,-0.999939,0.0071346,0.4,0,0,DISABLED,0
0.379996,0.0299919,0.0286455,0,0.00864515,0.732381,0.0086455,-0.00738665,-0.000427022,-0.999973,0.00687277,0.4,0,0,DISABLED,0
0.399996,0.0336166,0.032044,0,0.0113497,0.731723,0.0114565,-0.00468213,-0.00207555,-0.999987,0.0107686,0.4,0,0,DISABLED,0
0.419996,0.0374433,0.0353375,0,0.0116675,0.731811,0.0128726,-0.0043643,-0.00594549,-0.999973,0.00977039,0.4,0,0,DISABLED,0
